frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-2.57,-3.62,-2.57,2.55,2.39,0.85,-1.06,-1.07,-1.04
20.20,-3.58,-2.55,-3.58,-2.55,2.55,2.39,0.88,-1.04,-1.03,-1.03
20.40,-3.54,-2.53,-3.53,-2.53,2.53,2.40,0.90,-1.01,-1.00,-1.01
20.61,-3.48,-2.51,-3.49,-2.51,2.52,2.40,0.93,-0.96,-0.96,-0.97
20.81,-3.43,-2.49,-3.44,-2.49,2.51,2.40,0.95,-0.92,-0.93,-0.94
21.02,-3.39,-2.48,-3.39,-2.48,2.50,2.40,0.98,-0.90,-0.89,-0.91
21.23,-3.35,-2.48,-3.35,-2.48,2.48,2.40,1.01,-0.87,-0.87,-0.87
21.44,-3.30,-2.48,-3.31,-2.48,2.47,2.40,1.04,-0.84,-0.84,-0.82
21.66,-3.26,-2.47,-3.26,-2.47,2.45,2.40,1.07,-0.81,-0.81,-0.79
21.87,-3.21,-2.45,-3.21,-2.45,2.44,2.39,1.10,-0.78,-0.77,-0.76
22.09,-3.15,-2.42,-3.15,-2.42,2.42,2.39,1.13,-0.73,-0.73,-0.73
22.31,-3.09,-2.41,-3.10,-2.40,2.40,2.38,1.16,-0.69,-0.70,-0.69
22.54,-3.04,-2.36,-3.05,-2.37,2.38,2.37,1.20,-0.67,-0.67,-0.69
22.76,-3.01,-2.35,-3.01,-2.35,2.35,2.36,1.23,-0.66,-0.65,-0.67
22.99,-2.96,-2.33,-2.97,-2.33,2.33,2.35,1.27,-0.63,-0.63,-0.64
23.22,-2.93,-2.31,-2.94,-2.31,2.32,2.34,1.30,-0.62,-0.62,-0.63
23.45,-2.90,-2.31,-2.90,-2.30,2.30,2.33,1.34,-0.60,-0.60,-0.60
23.69,-2.87,-2.28,-2.87,-2.28,2.29,2.32,1.38,-0.58,-0.58,-0.60
23.92,-2.83,-2.29,-2.83,-2.27,2.28,2.30,1.42,-0.56,-0.55,-0.55
