frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.49,-3.62,-3.50,3.49,3.53,1.02,-0.12,-0.13,-0.12
20.20,-3.58,-3.46,-3.58,-3.46,3.46,3.50,1.05,-0.12,-0.11,-0.12
20.40,-3.54,-3.43,-3.53,-3.43,3.44,3.48,1.08,-0.11,-0.10,-0.11
20.61,-3.48,-3.41,-3.49,-3.40,3.41,3.46,1.11,-0.08,-0.08,-0.07
20.81,-3.43,-3.36,-3.44,-3.38,3.38,3.43,1.15,-0.05,-0.06,-0.07
21.02,-3.39,-3.34,-3.39,-3.35,3.35,3.41,1.18,-0.04,-0.04,-0.05
21.23,-3.35,-3.34,-3.35,-3.32,3.32,3.38,1.21,-0.03,-0.03,-0.01
21.44,-3.30,-3.29,-3.31,-3.30,3.29,3.35,1.25,-0.01,-0.02,-0.01
21.66,-3.26,-3.27,-3.26,-3.27,3.26,3.32,1.29,-0.01,-0.00,0.01
21.87,-3.21,-3.24,-3.21,-3.23,3.22,3.30,1.32,0.01,0.02,0.03
22.09,-3.15,-3.18,-3.15,-3.19,3.19,3.27,1.36,0.04,0.04,0.03
22.31,-3.09,-3.14,-3.10,-3.15,3.16,3.24,1.40,0.07,0.06,0.05
22.54,-3.04,-3.12,-3.05,-3.11,3.13,3.21,1.44,0.08,0.08,0.08
22.76,-3.01,-3.09,-3.01,-3.09,3.10,3.17,1.48,0.08,0.09,0.08
22.99,-2.96,-3.05,-2.97,-3.07,3.06,3.14,1.52,0.10,0.09,0.09
23.22,-2.93,-3.06,-2.94,-3.05,3.03,3.11,1.57,0.10,0.10,0.13
23.45,-2.90,-3.03,-2.90,-3.02,3.00,3.08,1.61,0.10,0.10,0.12
23.69,-2.87,-2.97,-2.87,-2.98,2.97,3.04,1.66,0.10,0.10,0.10
23.92,-2.83,-2.93,-2.83,-2.93,2.94,3.01,1.70,0.11,0.11,0.09
24.16,-2.78,-2.89,-2.79,-2.90,2.91,2.98,1.75,0.12,0.11,0.10
24.40,-2.75,-2.88,-2.75,-2.87,2.87,2.94,1.80,0.12,0.12,0.12
24.65,-2.72,-2.85,-2.72,-2.84,2.83,2.91,1.84,0.11,0.12,0.12
24.89,-2.67,-2.80,-2.68,-2.81,2.80,2.87,1.89,0.12,0.12,0.12
25.14,-2.63,-2.77,-2.63,-2.76,2.76,2.84,1.94,0.13,0.14,0.13
25.39,-2.57,-2.73,-2.58,-2.73,2.73,2.80,1.99,0.15,0.15,0.16
25.65,-2.52,-2.68,-2.53,-2.69,2.69,2.77,2.04,0.17,0.16,0.16
25.91,-2.50,-2.66,-2.49,-2.66,2.66,2.74,2.09,0.16,0.17,0.16
26.16,-2.46,-2.62,-2.47,-2.63,2.63,2.70,2.13,0.17,0.16,0.16
26.43,-2.43,-2.59,-2.44,-2.60,2.60,2.67,2.18,0.17,0.16,0.16
26.69,-2.42,-2.58,-2.41,-2.57,2.58,2.63,2.23,0.15,0.16,0.16
26.96,-2.37,-2.54,-2.39,-2.55,2.55,2.60,2.27,0.18,0.17,0.17
27.23,-2.37,-2.54,-2.37,-2.53,2.53,2.56,2.32,0.16,0.17,0.17
27.50,-2.33,-2.50,-2.34,-2.51,2.51,2.53,2.36,0.18,0.17,0.17
27.77,-2.33,-2.50,-2.33,-2.49,2.49,2.49,2.40,0.15,0.16,0.17
28.05,-2.29,-2.46,-2.30,-2.47,2.46,2.46,2.44,0.17,0.16,0.16
28.33,-2.28,-2.45,-2.28,-2.44,2.44,2.43,2.48,0.15,0.16,0.16
28.62,-2.24,-2.41,-2.24,-2.41,2.41,2.39,2.52,0.16,0.16,0.16
28.90,-2.20,-2.37,-2.21,-2.38,2.37,2.36,2.55,0.17,0.16,0.16
29.19,-2.18,-2.35,-2.18,-2.34,2.34,2.33,2.58,0.15,0.16,0.16
29.48,-2.14,-2.30,-2.14,-2.30,2.30,2.29,2.61,0.16,0.16,0.16
29.78,-2.09,-2.25,-2.10,-2.26,2.26,2.26,2.63,0.16,0.16,0.16
30.08,-2.05,-2.21,-2.05,-2.21,2.21,2.23,2.65,0.16,0.16,0.16
30.38,-2.00,-2.17,-2.01,-2.17,2.17,2.20,2.67,0.17,0.16,0.17
30.68,-1.96,-2.13,-1.96,-2.13,2.13,2.17,2.68,0.16,0.17,0.17
30.99,-1.91,-2.08,-1.92,-2.08,2.08,2.14,2.69,0.17,0.17,0.17
31.30,-1.87,-2.04,-1.87,-2.04,2.04,2.11,2.70,0.17,0.17,0.16
31.61,-1.83,-2.00,-1.83,-2.00,2.00,2.08,2.70,0.17,0.17,0.16
31.93,-1.80,-1.97,-1.81,-1.96,1.96,2.05,2.70,0.15,0.15,0.16
32.24,-1.77,-1.92,-1.78,-1.92,1.92,2.02,2.70,0.15,0.14,0.15
32.57,-1.76,-1.88,-1.75,-1.89,1.88,1.99,2.69,0.12,0.13,0.12
32.89,-1.72,-1.85,-1.72,-1.85,1.85,1.96,2.68,0.13,0.13,0.13
33.22,-1.68,-1.81,-1.69,-1.81,1.82,1.93,2.67,0.14,0.13,0.13
33.55,-1.65,-1.78,-1.66,-1.79,1.79,1.91,2.65,0.14,0.13,0.12
33.89,-1.64,-1.77,-1.64,-1.76,1.77,1.88,2.63,0.13,0.12,0.12
34.23,-1.64,-1.76,-1.63,-1.75,1.75,1.85,2.61,0.10,0.12,0.12
34.57,-1.59,-1.71,-1.60,-1.73,1.73,1.83,2.59,0.13,0.12,0.12
34.92,-1.57,-1.72,-1.58,-1.72,1.71,1.80,2.56,0.14,0.13,0.15
35.27,-1.54,-1.71,-1.54,-1.70,1.69,1.78,2.53,0.15,0.15,0.16
35.62,-1.51,-1.68,-1.51,-1.68,1.68,1.75,2.50,0.17,0.17,0.16
35.97,-1.46,-1.65,-1.47,-1.66,1.67,1.73,2.47,0.20,0.20,0.19
36.33,-1.43,-1.64,-1.44,-1.64,1.65,1.71,2.44,0.22,0.21,0.21
36.70,-1.42,-1.64,-1.41,-1.64,1.64,1.69,2.41,0.21,0.23,0.22
37.06,-1.38,-1.62,-1.39,-1.63,1.62,1.66,2.38,0.24,0.23,0.23
37.43,-1.36,-1.63,-1.36,-1.62,1.60,1.64,2.34,0.24,0.24,0.26
37.81,-1.33,-1.59,-1.33,-1.59,1.58,1.62,2.31,0.25,0.25,0.26
38.19,-1.30,-1.57,-1.31,-1.57,1.56,1.60,2.28,0.26,0.26,0.27
38.57,-1.27,-1.54,-1.28,-1.54,1.54,1.58,2.25,0.27,0.27,0.26
38.95,-1.25,-1.51,-1.25,-1.51,1.52,1.57,2.21,0.27,0.27,0.26
39.34,-1.22,-1.49,-1.23,-1.49,1.50,1.55,2.18,0.28,0.27,0.27
