frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-1.64,-3.62,-1.63,1.63,1.47,0.60,-1.99,-2.00,-1.98
20.20,-3.58,-1.64,-3.58,-1.64,1.64,1.49,0.61,-1.95,-1.94,-1.95
20.40,-3.54,-1.64,-3.53,-1.64,1.65,1.50,0.63,-1.89,-1.88,-1.90
20.61,-3.48,-1.63,-3.49,-1.65,1.66,1.51,0.65,-1.83,-1.83,-1.85
20.81,-3.43,-1.66,-3.44,-1.66,1.66,1.52,0.67,-1.77,-1.77,-1.77
21.02,-3.39,-1.67,-3.39,-1.67,1.67,1.54,0.69,-1.72,-1.72,-1.72
21.23,-3.35,-1.68,-3.35,-1.69,1.67,1.55,0.71,-1.68,-1.68,-1.67
21.44,-3.30,-1.68,-3.31,-1.69,1.68,1.56,0.73,-1.63,-1.63,-1.62
21.66,-3.26,-1.69,-3.26,-1.68,1.67,1.57,0.75,-1.59,-1.59,-1.57
21.87,-3.21,-1.67,-3.21,-1.68,1.67,1.58,0.77,-1.54,-1.54,-1.54
22.09,-3.15,-1.66,-3.15,-1.66,1.66,1.59,0.80,-1.49,-1.49,-1.49
22.31,-3.09,-1.65,-3.10,-1.65,1.66,1.60,0.82,-1.43,-1.44,-1.44
22.54,-3.04,-1.63,-3.05,-1.65,1.66,1.61,0.85,-1.39,-1.39,-1.41
22.76,-3.01,-1.66,-3.01,-1.64,1.66,1.61,0.87,-1.36,-1.35,-1.35
22.99,-2.96,-1.64,-2.97,-1.65,1.66,1.62,0.90,-1.30,-1.31,-1.32
23.22,-2.93,-1.66,-2.94,-1.67,1.67,1.63,0.92,-1.27,-1.27,-1.27
23.45,-2.90,-1.68,-2.90,-1.68,1.67,1.63,0.95,-1.23,-1.23,-1.22
23.69,-2.87,-1.70,-2.87,-1.69,1.68,1.64,0.98,-1.19,-1.19,-1.17
23.92,-2.83,-1.69,-2.83,-1.69,1.68,1.64,1.00,-1.15,-1.15,-1.14
24.16,-2.78,-1.67,-2.79,-1.69,1.69,1.64,1.03,-1.10,-1.11,-1.11
24.40,-2.75,-1.69,-2.75,-1.68,1.68,1.65,1.06,-1.07,-1.07,-1.06
24.65,-2.72,-1.68,-2.72,-1.68,1.67,1.65,1.09,-1.06,-1.05,-1.05
24.89,-2.67,-1.67,-2.68,-1.67,1.65,1.65,1.12,-1.02,-1.02,-1.01
25.14,-2.63,-1.65,-2.63,-1.64,1.64,1.65,1.15,-1.00,-0.99,-0.99
25.39,-2.57,-1.62,-2.58,-1.62,1.62,1.65,1.18,-0.95,-0.96,-0.96
25.65,-2.52,-1.58,-2.53,-1.60,1.61,1.65,1.21,-0.92,-0.93,-0.95
25.91,-2.50,-1.60,-2.49,-1.58,1.59,1.65,1.24,-0.91,-0.90,-0.91
26.16,-2.46,-1.58,-2.47,-1.58,1.58,1.64,1.26,-0.88,-0.88,-0.89
26.43,-2.43,-1.57,-2.44,-1.58,1.58,1.64,1.29,-0.86,-0.86,-0.87
26.69,-2.42,-1.59,-2.41,-1.57,1.58,1.64,1.32,-0.85,-0.83,-0.83
26.96,-2.37,-1.56,-2.39,-1.58,1.58,1.63,1.35,-0.79,-0.80,-0.81
27.23,-2.37,-1.59,-2.37,-1.59,1.59,1.63,1.38,-0.78,-0.77,-0.78
27.50,-2.33,-1.59,-2.34,-1.59,1.60,1.62,1.41,-0.74,-0.74,-0.74
27.77,-2.33,-1.62,-2.33,-1.61,1.60,1.61,1.43,-0.73,-0.72,-0.71
28.05,-2.29,-1.59,-2.30,-1.61,1.61,1.61,1.46,-0.69,-0.70,-0.70
28.33,-2.28,-1.63,-2.28,-1.61,1.60,1.60,1.48,-0.68,-0.67,-0.65
28.62,-2.24,-1.59,-2.24,-1.60,1.59,1.59,1.50,-0.65,-0.65,-0.65
28.90,-2.20,-1.59,-2.21,-1.59,1.58,1.58,1.52,-0.62,-0.63,-0.62
29.19,-2.18,-1.58,-2.18,-1.56,1.56,1.57,1.54,-0.62,-0.62,-0.61
29.48,-2.14,-1.54,-2.14,-1.54,1.54,1.56,1.56,-0.61,-0.60,-0.61
29.78,-2.09,-1.49,-2.10,-1.50,1.51,1.55,1.57,-0.59,-0.59,-0.61
30.08,-2.05,-1.48,-2.05,-1.47,1.48,1.54,1.59,-0.58,-0.58,-0.57
30.38,-2.00,-1.43,-2.01,-1.44,1.44,1.52,1.60,-0.56,-0.56,-0.57
30.68,-1.96,-1.40,-1.96,-1.41,1.41,1.51,1.61,-0.55,-0.55,-0.56
30.99,-1.91,-1.39,-1.92,-1.38,1.38,1.50,1.61,-0.54,-0.54,-0.52
31.30,-1.87,-1.35,-1.87,-1.35,1.35,1.48,1.62,-0.53,-0.53,-0.52
31.61,-1.83,-1.31,-1.83,-1.32,1.31,1.47,1.62,-0.52,-0.52,-0.53
31.93,-1.80,-1.29,-1.81,-1.29,1.29,1.46,1.62,-0.52,-0.52,-0.52
32.24,-1.77,-1.26,-1.78,-1.26,1.26,1.44,1.62,-0.52,-0.52,-0.52
32.57,-1.76,-1.24,-1.75,-1.24,1.23,1.43,1.62,-0.53,-0.52,-0.52
32.89,-1.72,-1.20,-1.72,-1.21,1.22,1.41,1.61,-0.51,-0.50,-0.52
33.22,-1.68,-1.20,-1.69,-1.19,1.21,1.39,1.60,-0.48,-0.48,-0.48
33.55,-1.65,-1.17,-1.66,-1.18,1.20,1.38,1.59,-0.46,-0.47,-0.48
33.89,-1.64,-1.18,-1.64,-1.19,1.19,1.36,1.58,-0.45,-0.45,-0.47
34.23,-1.64,-1.21,-1.63,-1.19,1.19,1.34,1.57,-0.46,-0.44,-0.44
34.57,-1.59,-1.19,-1.60,-1.20,1.18,1.33,1.55,-0.41,-0.42,-0.40
34.92,-1.57,-1.18,-1.58,-1.20,1.17,1.31,1.54,-0.40,-0.40,-0.39
35.27,-1.54,-1.19,-1.54,-1.18,1.17,1.29,1.52,-0.38,-0.37,-0.35
35.62,-1.51,-1.16,-1.51,-1.15,1.15,1.28,1.50,-0.36,-0.35,-0.35
35.97,-1.46,-1.12,-1.47,-1.13,1.14,1.26,1.49,-0.33,-0.34,-0.35
36.33,-1.43,-1.10,-1.44,-1.11,1.12,1.24,1.47,-0.32,-0.32,-0.33
36.70,-1.42,-1.11,-1.41,-1.09,1.10,1.22,1.45,-0.33,-0.31,-0.31
