frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.70,-3.62,-4.70,4.70,4.58,1.47,1.09,1.08,1.09
20.20,-3.58,-4.67,-3.58,-4.67,4.67,4.58,1.51,1.09,1.10,1.09
20.40,-3.54,-4.64,-3.53,-4.65,4.64,4.58,1.56,1.10,1.11,1.10
20.61,-3.48,-4.62,-3.49,-4.61,4.61,4.57,1.60,1.13,1.12,1.14
20.81,-3.43,-4.57,-3.44,-4.57,4.58,4.56,1.65,1.14,1.14,1.14
21.02,-3.39,-4.53,-3.39,-4.53,4.54,4.55,1.69,1.15,1.15,1.14
21.23,-3.35,-4.49,-3.35,-4.50,4.50,4.54,1.74,1.15,1.15,1.14
21.44,-3.30,-4.48,-3.31,-4.47,4.46,4.52,1.79,1.16,1.15,1.18
21.66,-3.26,-4.44,-3.26,-4.44,4.42,4.50,1.84,1.15,1.16,1.18
21.87,-3.21,-4.39,-3.21,-4.39,4.37,4.48,1.90,1.16,1.16,1.18
22.09,-3.15,-4.33,-3.15,-4.33,4.33,4.46,1.95,1.17,1.17,1.18
22.31,-3.09,-4.27,-3.10,-4.27,4.28,4.44,2.01,1.19,1.19,1.18
22.54,-3.04,-4.22,-3.05,-4.22,4.24,4.41,2.06,1.20,1.20,1.18
22.76,-3.01,-4.20,-3.01,-4.19,4.21,4.38,2.12,1.19,1.20,1.18
22.99,-2.96,-4.15,-2.97,-4.16,4.17,4.35,2.18,1.21,1.20,1.18
23.22,-2.93,-4.15,-2.94,-4.14,4.14,4.32,2.24,1.21,1.20,1.21
23.45,-2.90,-4.12,-2.90,-4.12,4.11,4.29,2.31,1.21,1.21,1.21
23.69,-2.87,-4.11,-2.87,-4.10,4.09,4.26,2.37,1.21,1.22,1.23
23.92,-2.83,-4.07,-2.83,-4.06,4.06,4.22,2.44,1.22,1.23,1.23
24.16,-2.78,-4.02,-2.79,-4.03,4.02,4.19,2.50,1.24,1.23,1.23
24.40,-2.75,-3.99,-2.75,-3.99,3.99,4.15,2.57,1.23,1.23,1.23
24.65,-2.72,-3.96,-2.72,-3.95,3.94,4.11,2.64,1.22,1.23,1.23
24.89,-2.67,-3.90,-2.68,-3.91,3.90,4.07,2.70,1.23,1.22,1.23
25.14,-2.63,-3.86,-2.63,-3.86,3.85,4.03,2.77,1.22,1.23,1.23
25.39,-2.57,-3.80,-2.58,-3.81,3.81,4.00,2.84,1.24,1.23,1.23
25.65,-2.52,-3.75,-2.53,-3.76,3.77,3.96,2.91,1.25,1.24,1.23
25.91,-2.50,-3.73,-2.49,-3.72,3.74,3.92,2.98,1.23,1.24,1.23
26.16,-2.46,-3.69,-2.47,-3.70,3.71,3.88,3.05,1.24,1.24,1.23
26.43,-2.43,-3.68,-2.44,-3.68,3.68,3.83,3.12,1.25,1.24,1.25
26.69,-2.42,-3.67,-2.41,-3.66,3.66,3.79,3.19,1.24,1.25,1.25
26.96,-2.37,-3.62,-2.39,-3.64,3.65,3.75,3.26,1.27,1.26,1.25
27.23,-2.37,-3.65,-2.37,-3.63,3.63,3.71,3.32,1.26,1.27,1.28
27.50,-2.33,-3.61,-2.34,-3.62,3.62,3.67,3.38,1.28,1.28,1.28
27.77,-2.33,-3.62,-2.33,-3.61,3.60,3.63,3.45,1.27,1.27,1.28
28.05,-2.29,-3.58,-2.30,-3.59,3.58,3.59,3.51,1.29,1.28,1.28
28.33,-2.28,-3.57,-2.28,-3.56,3.56,3.56,3.56,1.27,1.28,1.28
28.62,-2.24,-3.53,-2.24,-3.53,3.53,3.52,3.62,1.28,1.28,1.28
28.90,-2.20,-3.49,-2.21,-3.50,3.49,3.48,3.67,1.29,1.28,1.28
29.19,-2.18,-3.46,-2.18,-3.46,3.46,3.44,3.71,1.27,1.28,1.28
29.48,-2.14,-3.42,-2.14,-3.42,3.42,3.41,3.75,1.27,1.28,1.28
29.78,-2.09,-3.37,-2.10,-3.38,3.37,3.37,3.79,1.28,1.27,1.28
30.08,-2.05,-3.33,-2.05,-3.33,3.33,3.34,3.83,1.27,1.28,1.28
30.38,-2.00,-3.28,-2.01,-3.28,3.28,3.30,3.85,1.28,1.28,1.28
30.68,-1.96,-3.24,-1.96,-3.24,3.24,3.27,3.88,1.28,1.28,1.28
30.99,-1.91,-3.20,-1.92,-3.20,3.20,3.24,3.90,1.29,1.28,1.28
31.30,-1.87,-3.16,-1.87,-3.16,3.16,3.21,3.91,1.29,1.29,1.28
