frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,2.68,-3.62,2.68,-2.71,-2.30,-0.83,-6.32,-6.33,-6.29
20.20,-3.58,2.71,-3.58,2.69,-2.69,-2.33,-0.86,-6.28,-6.27,-6.29
20.40,-3.54,2.69,-3.53,2.69,-2.68,-2.36,-0.88,-6.22,-6.21,-6.23
20.61,-3.48,2.68,-3.49,2.68,-2.66,-2.39,-0.91,-6.15,-6.15,-6.16
20.81,-3.43,2.67,-3.44,2.66,-2.65,-2.42,-0.94,-6.08,-6.09,-6.10
21.02,-3.39,2.65,-3.39,2.64,-2.63,-2.45,-0.97,-6.03,-6.02,-6.04
21.23,-3.35,2.61,-3.35,2.61,-2.62,-2.47,-1.00,-5.97,-5.97,-5.96
21.44,-3.30,2.59,-3.31,2.59,-2.60,-2.49,-1.03,-5.90,-5.91,-5.89
21.66,-3.26,2.56,-3.26,2.56,-2.58,-2.51,-1.06,-5.85,-5.84,-5.82
21.87,-3.21,2.55,-3.21,2.55,-2.56,-2.52,-1.09,-5.78,-5.77,-5.76
22.09,-3.15,2.54,-3.15,2.54,-2.55,-2.53,-1.12,-5.70,-5.70,-5.69
22.31,-3.09,2.54,-3.10,2.54,-2.53,-2.54,-1.16,-5.62,-5.63,-5.63
22.54,-3.04,2.54,-3.05,2.53,-2.51,-2.54,-1.19,-5.56,-5.56,-5.59
22.76,-3.01,2.50,-3.01,2.51,-2.49,-2.54,-1.23,-5.51,-5.50,-5.51
22.99,-2.96,2.47,-2.97,2.48,-2.47,-2.53,-1.27,-5.43,-5.44,-5.44
23.22,-2.93,2.45,-2.94,2.44,-2.45,-2.53,-1.30,-5.38,-5.38,-5.39
23.45,-2.90,2.41,-2.90,2.41,-2.42,-2.52,-1.34,-5.32,-5.32,-5.32
23.69,-2.87,2.37,-2.87,2.38,-2.39,-2.50,-1.38,-5.26,-5.26,-5.25
23.92,-2.83,2.35,-2.83,2.35,-2.36,-2.48,-1.42,-5.19,-5.19,-5.19
24.16,-2.78,2.33,-2.79,2.32,-2.33,-2.46,-1.46,-5.11,-5.12,-5.12
24.40,-2.75,2.30,-2.75,2.30,-2.30,-2.44,-1.50,-5.06,-5.06,-5.06
24.65,-2.72,2.26,-2.72,2.28,-2.28,-2.41,-1.55,-5.01,-5.00,-4.99
24.89,-2.67,2.26,-2.68,2.26,-2.26,-2.39,-1.59,-4.93,-4.94,-4.94
25.14,-2.63,2.23,-2.63,2.24,-2.24,-2.35,-1.63,-4.87,-4.86,-4.87
25.39,-2.57,2.22,-2.58,2.22,-2.22,-2.32,-1.67,-4.79,-4.79,-4.80
25.65,-2.52,2.20,-2.53,2.20,-2.19,-2.29,-1.71,-4.72,-4.72,-4.72
25.91,-2.50,2.17,-2.49,2.17,-2.16,-2.25,-1.76,-4.67,-4.66,-4.67
26.16,-2.46,2.14,-2.47,2.13,-2.13,-2.21,-1.80,-4.60,-4.60,-4.60
26.43,-2.43,2.11,-2.44,2.10,-2.10,-2.17,-1.84,-4.53,-4.54,-4.54
26.69,-2.42,2.05,-2.41,2.06,-2.06,-2.13,-1.88,-4.48,-4.47,-4.47
26.96,-2.37,2.03,-2.39,2.02,-2.02,-2.09,-1.92,-4.39,-4.40,-4.40
