frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-6.47,-3.62,-6.46,6.00,5.49,2.56,2.39,2.38,2.86
20.20,-3.58,-6.45,-3.58,-6.47,6.00,5.56,2.63,2.42,2.42,2.87
20.40,-3.54,-6.49,-3.53,-6.49,6.00,5.63,2.70,2.46,2.47,2.95
20.61,-3.48,-6.49,-3.49,-6.50,6.00,5.69,2.78,2.52,2.51,3.01
20.81,-3.43,-6.52,-3.44,-6.51,6.00,5.76,2.86,2.57,2.56,3.09
21.02,-3.39,-6.51,-3.39,-6.51,6.00,5.82,2.94,2.61,2.61,3.12
21.23,-3.35,-6.50,-3.35,-6.51,6.00,5.87,3.02,2.65,2.65,3.15
21.44,-3.30,-6.49,-3.31,-6.50,6.00,5.93,3.11,2.70,2.69,3.19
21.66,-3.26,-6.49,-3.26,-6.48,6.00,5.98,3.19,2.74,2.74,3.23
21.87,-3.21,-6.47,-3.21,-6.46,6.00,6.02,3.28,2.79,2.79,3.26
22.09,-3.15,-6.43,-3.15,-6.43,6.00,6.06,3.38,2.85,2.85,3.28
22.31,-3.09,-6.41,-3.10,-6.40,6.00,6.10,3.47,2.91,2.90,3.31
22.54,-3.04,-6.36,-3.05,-6.37,6.00,6.13,3.57,2.96,2.95,3.31
22.76,-3.01,-6.37,-3.01,-6.35,6.00,6.16,3.67,2.99,2.99,3.35
22.99,-2.96,-6.32,-2.97,-6.33,6.00,6.18,3.78,3.04,3.03,3.35
23.22,-2.93,-6.34,-2.94,-6.32,6.00,6.20,3.88,3.07,3.06,3.40
23.45,-2.90,-6.31,-2.90,-6.32,6.00,6.21,3.99,3.10,3.10,3.40
23.69,-2.87,-6.32,-2.87,-6.32,6.00,6.22,4.10,3.13,3.13,3.44
23.92,-2.83,-6.33,-2.83,-6.30,6.00,6.23,4.21,3.17,3.17,3.49
24.16,-2.78,-6.28,-2.79,-6.30,6.00,6.23,4.33,3.22,3.21,3.49
24.40,-2.75,-6.30,-2.75,-6.29,6.00,6.22,4.44,3.25,3.25,3.54
24.65,-2.72,-6.29,-2.72,-6.29,6.00,6.21,4.56,3.28,3.28,3.57
24.89,-2.67,-6.30,-2.68,-6.30,6.00,6.20,4.68,3.33,3.32,3.63
25.14,-2.63,-6.29,-2.63,-6.29,6.00,6.18,4.80,3.37,3.37,3.66
25.39,-2.57,-6.26,-2.58,-6.27,6.00,6.16,4.92,3.43,3.42,3.69
25.65,-2.52,-6.23,-2.53,-6.24,6.00,6.13,5.05,3.48,3.47,3.71
25.91,-2.50,-6.21,-2.49,-6.20,6.00,6.10,5.17,3.50,3.51,3.71
26.16,-2.46,-6.17,-2.47,-6.18,6.00,6.07,5.29,3.54,3.53,3.71
26.43,-2.43,-6.14,-2.44,-6.14,6.00,6.04,5.42,3.57,3.56,3.71
26.69,-2.42,-6.13,-2.41,-6.12,6.00,6.00,5.54,3.58,3.59,3.71
26.96,-2.37,-6.08,-2.39,-6.10,6.00,5.96,5.66,3.63,3.61,3.71
27.23,-2.37,-6.10,-2.37,-6.09,6.00,5.91,5.77,3.63,3.64,3.73
27.50,-2.33,-6.08,-2.34,-6.08,6.01,5.87,5.89,3.67,3.66,3.74
27.77,-2.33,-6.08,-2.33,-6.07,6.01,5.82,6.00,3.67,3.68,3.74
