frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,0.28,-3.62,0.27,-0.28,-0.31,-0.39,-3.89,-3.90,-3.89
20.20,-3.58,0.30,-3.58,0.30,-0.30,-0.32,-0.40,-3.88,-3.88,-3.88
20.40,-3.54,0.31,-3.53,0.32,-0.32,-0.33,-0.42,-3.86,-3.85,-3.85
20.61,-3.48,0.36,-3.49,0.34,-0.34,-0.34,-0.43,-3.82,-3.83,-3.84
20.81,-3.43,0.36,-3.44,0.36,-0.36,-0.35,-0.45,-3.79,-3.80,-3.79
21.02,-3.39,0.39,-3.39,0.38,-0.38,-0.36,-0.46,-3.77,-3.77,-3.78
21.23,-3.35,0.39,-3.35,0.40,-0.40,-0.37,-0.48,-3.75,-3.75,-3.74
21.44,-3.30,0.42,-3.31,0.42,-0.42,-0.38,-0.49,-3.72,-3.73,-3.72
21.66,-3.26,0.44,-3.26,0.44,-0.44,-0.39,-0.51,-3.71,-3.70,-3.70
21.87,-3.21,0.45,-3.21,0.46,-0.46,-0.40,-0.53,-3.68,-3.67,-3.66
22.09,-3.15,0.49,-3.15,0.48,-0.48,-0.41,-0.54,-3.64,-3.64,-3.64
22.31,-3.09,0.50,-3.10,0.51,-0.51,-0.42,-0.56,-3.60,-3.60,-3.59
22.54,-3.04,0.54,-3.05,0.53,-0.53,-0.44,-0.58,-3.57,-3.57,-3.58
22.76,-3.01,0.54,-3.01,0.55,-0.54,-0.45,-0.60,-3.56,-3.55,-3.55
22.99,-2.96,0.58,-2.97,0.57,-0.56,-0.46,-0.62,-3.52,-3.53,-3.54
23.22,-2.93,0.57,-2.94,0.58,-0.58,-0.48,-0.64,-3.51,-3.51,-3.51
23.45,-2.90,0.60,-2.90,0.59,-0.59,-0.49,-0.66,-3.50,-3.50,-3.51
23.69,-2.87,0.58,-2.87,0.60,-0.61,-0.51,-0.68,-3.48,-3.48,-3.46
23.92,-2.83,0.62,-2.83,0.62,-0.62,-0.53,-0.70,-3.46,-3.45,-3.46
24.16,-2.78,0.63,-2.79,0.64,-0.64,-0.54,-0.72,-3.42,-3.43,-3.42
24.40,-2.75,0.66,-2.75,0.66,-0.66,-0.56,-0.75,-3.41,-3.42,-3.42
24.65,-2.72,0.69,-2.72,0.68,-0.68,-0.58,-0.77,-3.41,-3.40,-3.42
24.89,-2.67,0.70,-2.68,0.71,-0.71,-0.60,-0.79,-3.38,-3.39,-3.37
25.14,-2.63,0.74,-2.63,0.73,-0.73,-0.62,-0.81,-3.37,-3.36,-3.37
25.39,-2.57,0.76,-2.58,0.76,-0.76,-0.65,-0.84,-3.33,-3.33,-3.33
25.65,-2.52,0.80,-2.53,0.79,-0.78,-0.67,-0.86,-3.31,-3.32,-3.32
25.91,-2.50,0.82,-2.49,0.81,-0.81,-0.69,-0.88,-3.31,-3.30,-3.32
26.16,-2.46,0.82,-2.47,0.83,-0.83,-0.72,-0.90,-3.29,-3.30,-3.28
26.43,-2.43,0.85,-2.44,0.85,-0.85,-0.75,-0.93,-3.28,-3.29,-3.28
26.69,-2.42,0.86,-2.41,0.87,-0.87,-0.77,-0.95,-3.29,-3.28,-3.28
26.96,-2.37,0.91,-2.39,0.90,-0.89,-0.80,-0.97,-3.26,-3.28,-3.28
27.23,-2.37,0.91,-2.37,0.91,-0.91,-0.83,-0.99,-3.28,-3.28,-3.28
27.50,-2.33,0.94,-2.34,0.94,-0.93,-0.86,-1.01,-3.26,-3.27,-3.27
27.77,-2.33,0.94,-2.33,0.95,-0.95,-0.89,-1.03,-3.29,-3.28,-3.27
28.05,-2.29,0.98,-2.30,0.97,-0.98,-0.92,-1.05,-3.27,-3.28,-3.28
28.33,-2.28,0.99,-2.28,1.00,-1.00,-0.95,-1.07,-3.29,-3.28,-3.28
28.62,-2.24,1.03,-2.24,1.03,-1.03,-0.98,-1.09,-3.28,-3.28,-3.28
28.90,-2.20,1.07,-2.21,1.06,-1.07,-1.01,-1.10,-3.27,-3.28,-3.28
29.19,-2.18,1.10,-2.18,1.10,-1.11,-1.04,-1.12,-3.29,-3.29,-3.28
29.48,-2.14,1.14,-2.14,1.15,-1.15,-1.07,-1.13,-3.30,-3.29,-3.28
29.78,-2.09,1.21,-2.10,1.20,-1.20,-1.09,-1.14,-3.30,-3.30,-3.30
30.08,-2.05,1.27,-2.05,1.26,-1.26,-1.12,-1.15,-3.31,-3.31,-3.32
30.38,-2.00,1.32,-2.01,1.31,-1.31,-1.14,-1.16,-3.32,-3.32,-3.32
30.68,-1.96,1.35,-1.96,1.36,-1.37,-1.15,-1.16,-3.33,-3.33,-3.31
30.99,-1.91,1.41,-1.92,1.42,-1.43,-1.16,-1.17,-3.34,-3.34,-3.33
31.30,-1.87,1.49,-1.87,1.48,-1.48,-1.17,-1.17,-3.35,-3.35,-3.37
31.61,-1.83,1.53,-1.83,1.53,-1.52,-1.18,-1.17,-3.36,-3.36,-3.37
31.93,-1.80,1.56,-1.81,1.57,-1.56,-1.18,-1.17,-3.37,-3.37,-3.37
32.24,-1.77,1.60,-1.78,1.59,-1.59,-1.17,-1.17,-3.37,-3.37,-3.37
32.57,-1.76,1.61,-1.75,1.61,-1.61,-1.17,-1.16,-3.38,-3.37,-3.37
32.89,-1.72,1.61,-1.72,1.62,-1.62,-1.15,-1.16,-3.35,-3.34,-3.33
33.22,-1.68,1.63,-1.69,1.62,-1.62,-1.14,-1.15,-3.30,-3.31,-3.31
33.55,-1.65,1.61,-1.66,1.61,-1.60,-1.12,-1.14,-3.26,-3.27,-3.27
33.89,-1.64,1.58,-1.64,1.58,-1.57,-1.10,-1.13,-3.21,-3.21,-3.23
34.23,-1.64,1.51,-1.63,1.53,-1.53,-1.08,-1.12,-3.17,-3.15,-3.15
34.57,-1.59,1.50,-1.60,1.48,-1.47,-1.06,-1.10,-3.06,-3.07,-3.09
34.92,-1.57,1.40,-1.58,1.40,-1.40,-1.04,-1.09,-2.97,-2.97,-2.97
35.27,-1.54,1.31,-1.54,1.31,-1.31,-1.02,-1.07,-2.86,-2.85,-2.86
35.62,-1.51,1.19,-1.51,1.22,-1.22,-0.99,-1.06,-2.73,-2.72,-2.71
35.97,-1.46,1.13,-1.47,1.12,-1.11,-0.97,-1.04,-2.57,-2.58,-2.60
36.33,-1.43,1.02,-1.44,1.01,-1.00,-0.95,-1.02,-2.43,-2.44,-2.45
36.70,-1.42,0.89,-1.41,0.90,-0.88,-0.93,-1.00,-2.31,-2.29,-2.32
37.06,-1.38,0.77,-1.39,0.77,-0.77,-0.91,-0.98,-2.15,-2.15,-2.15
37.43,-1.36,0.64,-1.36,0.65,-0.65,-0.89,-0.96,-2.02,-2.02,-2.01
37.81,-1.33,0.54,-1.33,0.54,-0.55,-0.87,-0.94,-1.88,-1.88,-1.87
38.19,-1.30,0.44,-1.31,0.44,-0.46,-0.85,-0.92,-1.76,-1.76,-1.74
38.57,-1.27,0.37,-1.28,0.37,-0.38,-0.84,-0.90,-1.66,-1.66,-1.65
38.95,-1.25,0.32,-1.25,0.32,-0.33,-0.82,-0.88,-1.58,-1.57,-1.57
39.34,-1.22,0.29,-1.23,0.28,-0.29,-0.81,-0.86,-1.51,-1.52,-1.51
39.74,-1.20,0.25,-1.21,0.26,-0.27,-0.80,-0.84,-1.48,-1.48,-1.46
40.14,-1.20,0.26,-1.19,0.26,-0.27,-0.79,-0.82,-1.48,-1.46,-1.46
40.54,-1.16,0.30,-1.18,0.28,-0.29,-0.78,-0.80,-1.45,-1.47,-1.46
40.94,-1.16,0.31,-1.16,0.32,-0.31,-0.77,-0.78,-1.48,-1.47,-1.48
41.35,-1.15,0.36,-1.15,0.36,-0.34,-0.76,-0.76,-1.50,-1.49,-1.51
41.76,-1.12,0.40,-1.13,0.39,-0.38,-0.75,-0.74,-1.51,-1.52,-1.52
42.18,-1.12,0.43,-1.12,0.43,-0.43,-0.74,-0.72,-1.55,-1.54,-1.56
42.60,-1.09,0.47,-1.10,0.47,-0.47,-0.73,-0.70,-1.57,-1.57,-1.56
43.03,-1.07,0.50,-1.07,0.51,-0.52,-0.73,-0.68,-1.59,-1.59,-1.58
43.46,-1.04,0.56,-1.04,0.55,-0.56,-0.72,-0.66,-1.60,-1.60,-1.60
43.90,-0.99,0.60,-1.01,0.60,-0.60,-0.72,-0.65,-1.60,-1.61,-1.59
44.33,-0.99,0.65,-0.98,0.65,-0.64,-0.71,-0.63,-1.63,-1.62,-1.64
44.78,-0.94,0.70,-0.96,0.68,-0.67,-0.71,-0.61,-1.62,-1.63,-1.64
45.23,-0.94,0.71,-0.94,0.71,-0.70,-0.70,-0.60,-1.64,-1.64,-1.65
45.68,-0.94,0.70,-0.93,0.72,-0.72,-0.70,-0.58,-1.66,-1.65,-1.64
46.13,-0.90,0.75,-0.92,0.73,-0.73,-0.69,-0.56,-1.64,-1.65,-1.65
46.60,-0.90,0.74,-0.91,0.75,-0.74,-0.69,-0.55,-1.64,-1.65,-1.65
47.06,-0.90,0.75,-0.90,0.75,-0.74,-0.68,-0.53,-1.65,-1.64,-1.65
47.53,-0.90,0.74,-0.90,0.73,-0.74,-0.68,-0.52,-1.64,-1.64,-1.65
48.01,-0.90,0.71,-0.90,0.72,-0.73,-0.67,-0.51,-1.64,-1.63,-1.61
48.49,-0.90,0.72,-0.90,0.72,-0.72,-0.67,-0.49,-1.63,-1.63,-1.62
48.97,-0.90,0.71,-0.91,0.71,-0.71,-0.66,-0.48,-1.61,-1.62,-1.62
49.46,-0.93,0.71,-0.93,0.71,-0.69,-0.66,-0.47,-1.63,-1.63,-1.64
49.96,-0.96,0.69,-0.96,0.68,-0.68,-0.65,-0.46,-1.64,-1.64,-1.65
50.46,-0.99,0.66,-1.00,0.66,-0.66,-0.64,-0.44,-1.65,-1.66,-1.65
50.96,-1.03,0.62,-1.03,0.63,-0.64,-0.63,-0.43,-1.68,-1.68,-1.66
51.47,-1.07,0.61,-1.07,0.60,-0.62,-0.62,-0.42,-1.69,-1.69,-1.69
51.99,-1.10,0.58,-1.11,0.59,-0.59,-0.61,-0.41,-1.70,-1.70,-1.68
52.51,-1.14,0.57,-1.14,0.57,-0.56,-0.60,-0.40,-1.70,-1.70,-1.71
53.03,-1.18,0.56,-1.19,0.54,-0.52,-0.58,-0.39,-1.71,-1.71,-1.74
53.56,-1.24,0.50,-1.24,0.50,-0.48,-0.56,-0.39,-1.73,-1.73,-1.74
54.10,-1.30,0.44,-1.30,0.45,-0.44,-0.54,-0.38,-1.75,-1.74,-1.74
54.64,-1.34,0.40,-1.35,0.39,-0.40,-0.52,-0.37,-1.74,-1.75,-1.74
55.18,-1.38,0.36,-1.39,0.34,-0.35,-0.50,-0.36,-1.74,-1.74,-1.74
55.74,-1.42,0.27,-1.41,0.30,-0.30,-0.47,-0.36,-1.73,-1.71,-1.69
56.29,-1.42,0.26,-1.43,0.25,-0.26,-0.43,-0.35,-1.68,-1.69,-1.68
56.86,-1.42,0.22,-1.44,0.21,-0.21,-0.39,-0.35,-1.64,-1.65,-1.65
57.42,-1.46,0.17,-1.45,0.18,-0.17,-0.35,-0.35,-1.64,-1.62,-1.64
58.00,-1.46,0.14,-1.46,0.14,-0.13,-0.30,-0.34,-1.60,-1.60,-1.60
58.58,-1.46,0.10,-1.47,0.10,-0.10,-0.25,-0.34,-1.56,-1.57,-1.56
59.16,-1.46,0.06,-1.46,0.06,-0.07,-0.19,-0.34,-1.53,-1.53,-1.52
59.76,-1.46,0.03,-1.46,0.03,-0.03,-0.13,-0.34,-1.50,-1.50,-1.49
60.35,-1.46,-0.00,-1.46,-0.00,0.00,-0.07,-0.34,-1.46,-1.46,-1.46
60.96,-1.46,-0.04,-1.46,-0.03,0.04,-0.00,-0.34,-1.42,-1.42,-1.43
61.57,-1.46,-0.06,-1.46,-0.06,0.08,0.06,-0.34,-1.38,-1.38,-1.40
62.18,-1.46,-0.10,-1.46,-0.10,0.11,0.11,-0.34,-1.35,-1.35,-1.37
62.80,-1.46,-0.15,-1.48,-0.15,0.15,0.16,-0.35,-1.32,-1.33,-1.31
63.43,-1.50,-0.18,-1.49,-0.19,0.18,0.19,-0.35,-1.32,-1.31,-1.32
64.07,-1.51,-0.24,-1.51,-0.22,0.21,0.20,-0.36,-1.30,-1.29,-1.28
64.71,-1.51,-0.24,-1.52,-0.24,0.24,0.19,-0.36,-1.28,-1.28,-1.27
65.35,-1.51,-0.23,-1.52,-0.25,0.26,0.16,-0.37,-1.26,-1.27,-1.28
66.01,-1.53,-0.25,-1.53,-0.25,0.26,0.11,-0.38,-1.27,-1.27,-1.28
66.67,-1.53,-0.25,-1.53,-0.25,0.25,0.04,-0.39,-1.28,-1.28,-1.28
67.33,-1.51,-0.23,-1.52,-0.24,0.22,-0.04,-0.40,-1.29,-1.30,-1.28
68.01,-1.49,-0.21,-1.48,-0.20,0.18,-0.12,-0.41,-1.32,-1.31,-1.28
68.69,-1.42,-0.14,-1.43,-0.14,0.11,-0.20,-0.42,-1.31,-1.32,-1.28
69.37,-1.36,-0.04,-1.36,-0.05,0.04,-0.28,-0.43,-1.33,-1.32,-1.32
70.07,-1.26,0.05,-1.27,0.06,-0.06,-0.36,-0.45,-1.32,-1.33,-1.31
70.77,-1.18,0.18,-1.19,0.17,-0.16,-0.44,-0.46,-1.34,-1.34,-1.37
71.48,-1.10,0.27,-1.09,0.28,-0.27,-0.51,-0.47,-1.37,-1.36,-1.37
72.19,-0.99,0.40,-1.00,0.39,-0.38,-0.57,-0.49,-1.38,-1.39,-1.39
72.91,-0.90,0.51,-0.91,0.50,-0.50,-0.63,-0.51,-1.40,-1.41,-1.42
73.64,-0.83,0.59,-0.82,0.61,-0.61,-0.69,-0.52,-1.44,-1.43,-1.42
74.38,-0.73,0.70,-0.74,0.70,-0.71,-0.74,-0.54,-1.44,-1.45,-1.44
75.12,-0.65,0.81,-0.65,0.80,-0.80,-0.78,-0.56,-1.45,-1.45,-1.46
75.87,-0.57,0.89,-0.57,0.89,-0.88,-0.82,-0.58,-1.45,-1.45,-1.46
76.63,-0.49,0.96,-0.49,0.96,-0.95,-0.86,-0.60,-1.44,-1.44,-1.46
77.40,-0.42,1.03,-0.43,1.03,-1.01,-0.90,-0.62,-1.43,-1.44,-1.45
78.17,-0.38,1.08,-0.39,1.08,-1.06,-0.93,-0.64,-1.44,-1.45,-1.46
78.95,-0.38,1.13,-0.38,1.11,-1.11,-0.96,-0.66,-1.49,-1.49,-1.51
79.74,-0.38,1.13,-0.38,1.13,-1.15,-0.99,-0.68,-1.54,-1.53,-1.51
