frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-10.33,-3.62,-10.34,6.00,5.06,2.86,2.39,2.38,6.72
20.20,-3.58,-10.31,-3.58,-10.31,6.00,5.11,2.95,2.42,2.42,6.73
20.40,-3.54,-10.30,-3.53,-10.29,6.00,5.17,3.03,2.46,2.47,6.76
20.61,-3.48,-10.25,-3.49,-10.26,6.00,5.22,3.11,2.52,2.51,6.77
20.81,-3.43,-10.21,-3.44,-10.23,6.00,5.27,3.20,2.57,2.56,6.78
21.02,-3.39,-10.22,-3.39,-10.20,6.00,5.33,3.29,2.61,2.61,6.83
21.23,-3.35,-10.18,-3.35,-10.18,6.00,5.38,3.39,2.65,2.65,6.83
21.44,-3.30,-10.13,-3.31,-10.16,6.00,5.43,3.49,2.70,2.69,6.83
21.66,-3.26,-10.14,-3.26,-10.12,6.00,5.49,3.58,2.74,2.74,6.88
21.87,-3.21,-10.09,-3.21,-10.08,6.00,5.54,3.69,2.79,2.79,6.88
22.09,-3.15,-10.03,-3.15,-10.03,6.00,5.59,3.79,2.85,2.85,6.88
22.31,-3.09,-9.97,-3.10,-9.98,6.00,5.64,3.90,2.91,2.90,6.88
22.54,-3.04,-9.92,-3.05,-9.93,6.00,5.69,4.01,2.96,2.95,6.88
22.76,-3.01,-9.91,-3.01,-9.89,6.00,5.73,4.12,2.99,2.99,6.90
22.99,-2.96,-9.86,-2.97,-9.86,6.00,5.78,4.24,3.04,3.03,6.90
23.22,-2.93,-9.83,-2.94,-9.83,6.00,5.83,4.36,3.07,3.06,6.90
23.45,-2.90,-9.80,-2.90,-9.80,6.00,5.87,4.48,3.10,3.10,6.90
23.69,-2.87,-9.77,-2.87,-9.77,6.00,5.92,4.61,3.13,3.13,6.89
23.92,-2.83,-9.75,-2.83,-9.74,6.00,5.96,4.73,3.17,3.17,6.91
24.16,-2.78,-9.70,-2.79,-9.71,6.00,6.00,4.86,3.22,3.21,6.91
24.40,-2.75,-9.67,-2.75,-9.67,6.00,6.04,5.00,3.25,3.25,6.91
24.65,-2.72,-9.64,-2.72,-9.63,6.00,6.08,5.13,3.28,3.28,6.91
24.89,-2.67,-9.59,-2.68,-9.58,6.00,6.12,5.27,3.33,3.32,6.91
25.14,-2.63,-9.53,-2.63,-9.52,6.00,6.16,5.40,3.37,3.37,6.90
25.39,-2.57,-9.44,-2.58,-9.46,6.00,6.19,5.54,3.43,3.42,6.87
25.65,-2.52,-9.40,-2.53,-9.41,6.00,6.23,5.68,3.48,3.47,6.87
25.91,-2.50,-9.37,-2.49,-9.36,6.00,6.26,5.82,3.50,3.51,6.87
26.16,-2.46,-9.33,-2.47,-9.33,6.00,6.29,5.97,3.54,3.53,6.87
26.43,-2.43,-9.26,-2.44,-9.28,6.00,6.32,6.11,3.57,3.56,6.83
26.69,-2.42,-9.25,-2.41,-9.24,6.00,6.35,6.24,3.58,3.59,6.83
26.96,-2.37,-9.18,-2.39,-9.19,6.00,6.37,6.38,3.63,3.61,6.81
27.23,-2.37,-9.15,-2.37,-9.15,6.00,6.40,6.52,3.63,3.63,6.78
27.50,-2.33,-9.09,-2.34,-9.10,6.00,6.42,6.65,3.67,3.66,6.76
27.77,-2.33,-9.07,-2.33,-9.06,6.00,6.44,6.78,3.67,3.67,6.74
28.05,-2.29,-9.00,-2.30,-9.01,6.00,6.45,6.90,3.71,3.70,6.71
28.33,-2.28,-8.97,-2.28,-8.96,6.00,6.47,7.02,3.72,3.72,6.68
28.62,-2.24,-8.93,-2.24,-8.91,6.00,6.49,7.13,3.76,3.76,6.68
28.90,-2.20,-8.84,-2.21,-8.86,6.00,6.50,7.23,3.80,3.79,6.63
29.19,-2.18,-8.81,-2.18,-8.80,6.00,6.51,7.33,3.82,3.82,6.62
29.48,-2.14,-8.73,-2.14,-8.73,6.00,6.51,7.41,3.86,3.86,6.59
29.78,-2.09,-8.65,-2.10,-8.66,6.00,6.52,7.49,3.91,3.90,6.56
30.08,-2.05,-8.58,-2.05,-8.58,6.00,6.52,7.55,3.95,3.95,6.53
30.38,-2.00,-8.49,-2.01,-8.49,6.00,6.53,7.61,4.00,3.99,6.49
30.68,-1.96,-8.39,-1.96,-8.40,6.00,6.53,7.65,4.04,4.04,6.43
30.99,-1.91,-8.30,-1.92,-8.30,6.00,6.52,7.68,4.09,4.08,6.39
31.30,-1.87,-8.22,-1.87,-8.21,6.00,6.52,7.69,4.13,4.13,6.34
31.61,-1.83,-8.12,-1.83,-8.13,6.00,6.51,7.70,4.17,4.17,6.28
31.93,-1.80,-8.07,-1.81,-8.07,6.00,6.50,7.69,4.20,4.19,6.26
32.24,-1.77,-8.03,-1.78,-8.03,6.00,6.49,7.67,4.23,4.22,6.26
32.57,-1.76,-8.00,-1.75,-8.01,6.00,6.48,7.64,4.24,4.25,6.24
32.89,-1.72,-7.99,-1.72,-7.98,6.00,6.47,7.59,4.28,4.28,6.27
33.22,-1.68,-7.95,-1.69,-7.95,6.00,6.45,7.54,4.32,4.31,6.27
33.55,-1.65,-7.92,-1.66,-7.93,6.00,6.43,7.48,4.35,4.34,6.26
33.89,-1.64,-7.91,-1.64,-7.91,6.00,6.41,7.40,4.36,4.36,6.26
34.23,-1.64,-7.90,-1.63,-7.89,6.00,6.39,7.32,4.36,4.37,6.26
34.57,-1.59,-7.85,-1.60,-7.87,6.00,6.36,7.24,4.41,4.40,6.26
34.92,-1.57,-7.84,-1.58,-7.84,6.00,6.34,7.14,4.43,4.42,6.27
35.27,-1.54,-7.81,-1.54,-7.81,6.00,6.31,7.04,4.46,4.46,6.27
35.62,-1.51,-7.79,-1.51,-7.79,6.00,6.28,6.94,4.49,4.49,6.27
35.97,-1.46,-7.77,-1.47,-7.77,6.00,6.25,6.84,4.54,4.53,6.31
