frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-2.46,-3.62,-2.46,2.46,2.11,0.60,-1.15,-1.16,-1.16
20.20,-3.58,-2.43,-3.58,-2.42,2.42,2.10,0.62,-1.16,-1.16,-1.16
20.40,-3.54,-2.39,-3.53,-2.38,2.37,2.09,0.64,-1.17,-1.16,-1.16
20.61,-3.48,-2.33,-3.49,-2.33,2.33,2.08,0.66,-1.16,-1.16,-1.16
20.81,-3.43,-2.27,-3.44,-2.28,2.28,2.07,0.67,-1.15,-1.16,-1.16
21.02,-3.39,-2.24,-3.39,-2.23,2.24,2.05,0.70,-1.16,-1.16,-1.16
21.23,-3.35,-2.19,-3.35,-2.19,2.19,2.04,0.72,-1.16,-1.16,-1.16
21.44,-3.30,-2.14,-3.31,-2.15,2.14,2.02,0.74,-1.16,-1.17,-1.16
21.66,-3.26,-2.10,-3.26,-2.10,2.09,2.01,0.76,-1.17,-1.17,-1.16
21.87,-3.21,-2.05,-3.21,-2.05,2.04,1.99,0.78,-1.17,-1.17,-1.16
22.09,-3.15,-1.99,-3.15,-1.99,1.99,1.97,0.81,-1.16,-1.16,-1.16
22.31,-3.09,-1.93,-3.10,-1.94,1.94,1.96,0.83,-1.15,-1.15,-1.16
22.54,-3.04,-1.88,-3.05,-1.89,1.90,1.94,0.85,-1.15,-1.15,-1.16
22.76,-3.01,-1.85,-3.01,-1.84,1.85,1.92,0.88,-1.16,-1.15,-1.16
22.99,-2.96,-1.80,-2.97,-1.81,1.81,1.90,0.90,-1.16,-1.16,-1.16
23.22,-2.93,-1.77,-2.94,-1.77,1.77,1.88,0.93,-1.17,-1.17,-1.16
23.45,-2.90,-1.74,-2.90,-1.74,1.74,1.86,0.96,-1.17,-1.17,-1.16
23.69,-2.87,-1.71,-2.87,-1.71,1.71,1.84,0.99,-1.17,-1.16,-1.16
23.92,-2.83,-1.67,-2.83,-1.67,1.68,1.82,1.01,-1.15,-1.15,-1.16
24.16,-2.78,-1.64,-2.79,-1.65,1.66,1.80,1.04,-1.12,-1.13,-1.14
24.40,-2.75,-1.63,-2.75,-1.63,1.64,1.78,1.07,-1.12,-1.12,-1.12
24.65,-2.72,-1.63,-2.72,-1.62,1.61,1.76,1.10,-1.11,-1.11,-1.09
24.89,-2.67,-1.62,-2.68,-1.61,1.59,1.74,1.13,-1.08,-1.09,-1.05
25.14,-2.63,-1.58,-2.63,-1.59,1.57,1.72,1.16,-1.06,-1.05,-1.05
25.39,-2.57,-1.57,-2.58,-1.56,1.56,1.69,1.19,-1.01,-1.02,-1.01
25.65,-2.52,-1.52,-2.53,-1.53,1.55,1.67,1.22,-0.97,-0.98,-1.01
