frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.00,-3.62,-4.01,4.03,3.07,1.30,0.42,0.41,0.39
20.20,-3.58,-3.99,-3.58,-3.98,3.98,3.07,1.34,0.40,0.40,0.41
20.40,-3.54,-3.95,-3.53,-3.94,3.93,3.07,1.38,0.39,0.40,0.41
20.61,-3.48,-3.89,-3.49,-3.90,3.88,3.06,1.42,0.40,0.39,0.41
20.81,-3.43,-3.84,-3.44,-3.85,3.84,3.06,1.46,0.40,0.40,0.41
21.02,-3.39,-3.80,-3.39,-3.80,3.79,3.06,1.50,0.40,0.40,0.41
21.23,-3.35,-3.76,-3.35,-3.76,3.75,3.06,1.55,0.39,0.40,0.41
21.44,-3.30,-3.71,-3.31,-3.71,3.71,3.06,1.59,0.40,0.40,0.41
21.66,-3.26,-3.67,-3.26,-3.67,3.66,3.06,1.64,0.40,0.40,0.41
21.87,-3.21,-3.62,-3.21,-3.62,3.62,3.05,1.69,0.41,0.41,0.41
22.09,-3.15,-3.57,-3.15,-3.57,3.59,3.05,1.74,0.43,0.43,0.42
22.31,-3.09,-3.55,-3.10,-3.55,3.56,3.05,1.79,0.46,0.46,0.46
22.54,-3.04,-3.51,-3.05,-3.52,3.53,3.05,1.84,0.49,0.48,0.47
22.76,-3.01,-3.53,-3.01,-3.51,3.51,3.04,1.89,0.50,0.51,0.52
22.99,-2.96,-3.49,-2.97,-3.49,3.50,3.04,1.95,0.53,0.53,0.52
23.22,-2.93,-3.49,-2.94,-3.49,3.48,3.04,2.00,0.55,0.55,0.55
23.45,-2.90,-3.46,-2.90,-3.47,3.47,3.04,2.06,0.57,0.57,0.55
23.69,-2.87,-3.48,-2.87,-3.46,3.46,3.03,2.12,0.59,0.59,0.60
23.92,-2.83,-3.44,-2.83,-3.45,3.44,3.03,2.18,0.61,0.61,0.60
24.16,-2.78,-3.44,-2.79,-3.43,3.42,3.03,2.24,0.64,0.63,0.65
24.40,-2.75,-3.41,-2.75,-3.40,3.39,3.03,2.30,0.64,0.64,0.65
24.65,-2.72,-3.38,-2.72,-3.37,3.36,3.02,2.36,0.64,0.64,0.65
24.89,-2.67,-3.32,-2.68,-3.33,3.33,3.02,2.43,0.65,0.65,0.65
25.14,-2.63,-3.28,-2.63,-3.29,3.29,3.02,2.49,0.66,0.67,0.65
25.39,-2.57,-3.25,-2.58,-3.25,3.26,3.01,2.55,0.68,0.68,0.68
25.65,-2.52,-3.21,-2.53,-3.22,3.22,3.01,2.62,0.70,0.69,0.69
25.91,-2.50,-3.19,-2.49,-3.18,3.19,3.00,2.68,0.69,0.70,0.69
26.16,-2.46,-3.15,-2.47,-3.16,3.17,3.00,2.75,0.70,0.70,0.69
26.43,-2.43,-3.13,-2.44,-3.14,3.14,3.00,2.81,0.71,0.71,0.70
26.69,-2.42,-3.15,-2.41,-3.13,3.13,2.99,2.87,0.71,0.72,0.73
26.96,-2.37,-3.11,-2.39,-3.12,3.12,2.99,2.93,0.74,0.73,0.74
27.23,-2.37,-3.11,-2.37,-3.11,3.11,2.98,3.00,0.74,0.74,0.74
27.50,-2.33,-3.08,-2.34,-3.10,3.10,2.98,3.05,0.77,0.76,0.75
27.77,-2.33,-3.12,-2.33,-3.10,3.10,2.97,3.11,0.77,0.77,0.79
28.05,-2.29,-3.09,-2.30,-3.10,3.09,2.97,3.17,0.80,0.79,0.79
28.33,-2.28,-3.11,-2.28,-3.10,3.09,2.96,3.22,0.81,0.81,0.82
28.62,-2.24,-3.08,-2.24,-3.08,3.08,2.96,3.27,0.84,0.84,0.83
28.90,-2.20,-3.07,-2.21,-3.08,3.07,2.95,3.32,0.87,0.86,0.86
29.19,-2.18,-3.06,-2.18,-3.06,3.06,2.94,3.36,0.88,0.88,0.88
29.48,-2.14,-3.06,-2.14,-3.05,3.05,2.94,3.40,0.90,0.91,0.92
29.78,-2.09,-3.02,-2.10,-3.03,3.03,2.93,3.43,0.93,0.93,0.93
30.08,-2.05,-3.01,-2.05,-3.01,3.01,2.92,3.47,0.95,0.95,0.96
30.38,-2.00,-2.97,-2.01,-2.98,2.98,2.92,3.49,0.98,0.98,0.97
30.68,-1.96,-2.97,-1.96,-2.96,2.96,2.91,3.52,1.00,1.00,1.01
30.99,-1.91,-2.94,-1.92,-2.93,2.94,2.90,3.53,1.02,1.02,1.02
31.30,-1.87,-2.90,-1.87,-2.92,2.91,2.89,3.55,1.04,1.04,1.02
31.61,-1.83,-2.91,-1.83,-2.89,2.89,2.88,3.56,1.06,1.06,1.07
31.93,-1.80,-2.87,-1.81,-2.88,2.88,2.87,3.56,1.07,1.07,1.07
32.24,-1.77,-2.84,-1.78,-2.86,2.86,2.86,3.56,1.09,1.08,1.07
32.57,-1.76,-2.87,-1.75,-2.85,2.85,2.85,3.56,1.09,1.10,1.11
32.89,-1.72,-2.83,-1.72,-2.84,2.84,2.84,3.55,1.12,1.12,1.11
33.22,-1.68,-2.84,-1.69,-2.83,2.83,2.83,3.53,1.15,1.15,1.15
33.55,-1.65,-2.82,-1.66,-2.83,2.83,2.82,3.52,1.18,1.17,1.16
33.89,-1.64,-2.84,-1.64,-2.83,2.83,2.81,3.50,1.19,1.19,1.19
34.23,-1.64,-2.85,-1.63,-2.83,2.83,2.79,3.47,1.19,1.20,1.21
34.57,-1.59,-2.80,-1.60,-2.83,2.83,2.78,3.45,1.24,1.23,1.21
34.92,-1.57,-2.82,-1.58,-2.83,2.83,2.76,3.42,1.26,1.25,1.25
35.27,-1.54,-2.85,-1.54,-2.83,2.83,2.75,3.39,1.29,1.29,1.30
35.62,-1.51,-2.85,-1.51,-2.84,2.83,2.73,3.35,1.32,1.33,1.33
35.97,-1.46,-2.82,-1.47,-2.83,2.83,2.71,3.32,1.37,1.36,1.36
36.33,-1.43,-2.82,-1.44,-2.82,2.83,2.70,3.28,1.39,1.39,1.39
36.70,-1.42,-2.81,-1.41,-2.82,2.82,2.68,3.25,1.39,1.41,1.39
37.06,-1.38,-2.83,-1.39,-2.82,2.81,2.66,3.21,1.42,1.42,1.44
37.43,-1.36,-2.80,-1.36,-2.80,2.79,2.63,3.17,1.42,1.43,1.44
37.81,-1.33,-2.77,-1.33,-2.78,2.77,2.61,3.14,1.43,1.44,1.44
38.19,-1.30,-2.74,-1.31,-2.74,2.75,2.59,3.10,1.44,1.44,1.44
38.57,-1.27,-2.72,-1.28,-2.71,2.72,2.56,3.06,1.45,1.45,1.44
38.95,-1.25,-2.69,-1.25,-2.69,2.70,2.54,3.03,1.45,1.45,1.44
39.34,-1.22,-2.66,-1.23,-2.67,2.68,2.51,2.99,1.45,1.45,1.44
39.74,-1.20,-2.65,-1.21,-2.65,2.65,2.48,2.96,1.45,1.44,1.44
40.14,-1.20,-2.64,-1.19,-2.63,2.63,2.45,2.93,1.42,1.44,1.44
40.54,-1.16,-2.60,-1.18,-2.62,2.61,2.42,2.90,1.44,1.43,1.44
40.94,-1.16,-2.61,-1.16,-2.59,2.59,2.40,2.87,1.42,1.43,1.44
41.35,-1.15,-2.56,-1.15,-2.56,2.56,2.37,2.84,1.41,1.42,1.41
41.76,-1.12,-2.51,-1.13,-2.53,2.54,2.34,2.82,1.42,1.41,1.39
42.18,-1.12,-2.52,-1.12,-2.50,2.51,2.31,2.79,1.39,1.40,1.39
42.60,-1.09,-2.48,-1.10,-2.49,2.48,2.29,2.77,1.39,1.38,1.39
43.03,-1.07,-2.47,-1.07,-2.46,2.45,2.26,2.75,1.37,1.38,1.39
43.46,-1.04,-2.43,-1.04,-2.43,2.42,2.24,2.73,1.37,1.38,1.39
43.90,-0.99,-2.38,-1.01,-2.39,2.39,2.22,2.72,1.39,1.38,1.39
44.33,-0.99,-2.35,-0.98,-2.34,2.36,2.20,2.70,1.36,1.38,1.36
44.78,-0.94,-2.29,-0.96,-2.31,2.33,2.19,2.69,1.38,1.37,1.35
45.23,-0.94,-2.29,-0.94,-2.29,2.30,2.18,2.68,1.36,1.36,1.35
45.68,-0.94,-2.30,-0.93,-2.28,2.27,2.18,2.68,1.33,1.35,1.36
46.13,-0.90,-2.25,-0.92,-2.27,2.25,2.18,2.67,1.35,1.33,1.35
46.60,-0.90,-2.25,-0.91,-2.24,2.23,2.18,2.67,1.33,1.33,1.34
47.06,-0.90,-2.22,-0.90,-2.22,2.22,2.19,2.67,1.32,1.32,1.32
47.53,-0.90,-2.21,-0.90,-2.21,2.21,2.20,2.67,1.31,1.31,1.30
48.01,-0.90,-2.20,-0.90,-2.20,2.21,2.21,2.67,1.30,1.31,1.30
48.49,-0.90,-2.20,-0.90,-2.20,2.21,2.22,2.68,1.31,1.31,1.30
48.97,-0.90,-2.21,-0.91,-2.21,2.22,2.24,2.68,1.32,1.31,1.30
49.46,-0.93,-2.24,-0.93,-2.23,2.25,2.26,2.69,1.31,1.31,1.31
49.96,-0.96,-2.26,-0.96,-2.26,2.27,2.28,2.70,1.31,1.31,1.30
50.46,-0.99,-2.29,-1.00,-2.31,2.31,2.29,2.71,1.31,1.31,1.30
50.96,-1.03,-2.36,-1.03,-2.36,2.34,2.31,2.72,1.31,1.31,1.32
51.47,-1.07,-2.42,-1.07,-2.40,2.38,2.33,2.73,1.31,1.31,1.34
51.99,-1.10,-2.45,-1.11,-2.44,2.42,2.35,2.75,1.31,1.31,1.35
52.51,-1.14,-2.44,-1.14,-2.46,2.46,2.36,2.76,1.31,1.31,1.30
53.03,-1.18,-2.48,-1.19,-2.49,2.50,2.38,2.78,1.31,1.31,1.30
53.56,-1.24,-2.54,-1.24,-2.52,2.54,2.39,2.79,1.30,1.30,1.30
54.10,-1.30,-2.55,-1.30,-2.57,2.58,2.41,2.81,1.28,1.29,1.25
54.64,-1.34,-2.61,-1.35,-2.62,2.63,2.42,2.82,1.28,1.28,1.27
55.18,-1.38,-2.68,-1.39,-2.68,2.67,2.43,2.84,1.29,1.29,1.30
55.74,-1.42,-2.75,-1.41,-2.73,2.72,2.44,2.85,1.30,1.32,1.33
56.29,-1.42,-2.77,-1.43,-2.78,2.77,2.45,2.86,1.35,1.35,1.35
56.86,-1.42,-2.82,-1.44,-2.83,2.82,2.46,2.88,1.40,1.38,1.39
57.42,-1.46,-2.89,-1.45,-2.87,2.87,2.46,2.89,1.41,1.42,1.42
58.00,-1.46,-2.90,-1.46,-2.91,2.91,2.47,2.90,1.45,1.45,1.44
58.58,-1.46,-2.94,-1.47,-2.95,2.95,2.47,2.90,1.48,1.48,1.48
59.16,-1.46,-2.99,-1.46,-2.98,2.98,2.48,2.91,1.52,1.52,1.52
59.76,-1.46,-3.01,-1.46,-3.02,3.01,2.48,2.91,1.55,1.55,1.55
60.35,-1.46,-3.04,-1.46,-3.04,3.04,2.48,2.91,1.58,1.58,1.58
60.96,-1.46,-3.08,-1.46,-3.07,3.08,2.48,2.91,1.61,1.61,1.61
61.57,-1.46,-3.09,-1.46,-3.09,3.11,2.49,2.91,1.64,1.65,1.63
62.18,-1.46,-3.14,-1.46,-3.13,3.14,2.49,2.90,1.67,1.67,1.67
62.80,-1.46,-3.14,-1.48,-3.16,3.16,2.48,2.89,1.70,1.69,1.68
63.43,-1.50,-3.21,-1.49,-3.20,3.19,2.48,2.88,1.69,1.70,1.71
64.07,-1.51,-3.24,-1.51,-3.22,3.22,2.48,2.86,1.71,1.72,1.72
64.71,-1.51,-3.24,-1.52,-3.25,3.25,2.48,2.85,1.74,1.73,1.72
65.35,-1.51,-3.24,-1.52,-3.26,3.27,2.47,2.83,1.76,1.75,1.73
66.01,-1.53,-3.29,-1.53,-3.28,3.28,2.47,2.80,1.75,1.76,1.76
66.67,-1.53,-3.30,-1.53,-3.29,3.28,2.47,2.78,1.75,1.75,1.77
67.33,-1.51,-3.28,-1.52,-3.29,3.27,2.46,2.75,1.76,1.75,1.77
68.01,-1.49,-3.26,-1.48,-3.27,3.25,2.46,2.72,1.76,1.76,1.77
68.69,-1.42,-3.23,-1.43,-3.22,3.21,2.45,2.69,1.79,1.78,1.81
69.37,-1.36,-3.17,-1.36,-3.16,3.16,2.44,2.66,1.80,1.81,1.81
70.07,-1.26,-3.07,-1.27,-3.10,3.10,2.44,2.63,1.84,1.83,1.81
70.77,-1.18,-3.05,-1.19,-3.03,3.03,2.43,2.59,1.85,1.84,1.86
71.48,-1.10,-2.96,-1.09,-2.95,2.95,2.42,2.55,1.85,1.86,1.86
