frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.02,-3.62,-3.03,3.02,2.79,1.13,-0.59,-0.60,-0.59
20.20,-3.58,-2.97,-3.58,-2.99,2.99,2.79,1.16,-0.60,-0.59,-0.61
20.40,-3.54,-2.97,-3.53,-2.95,2.95,2.78,1.20,-0.59,-0.58,-0.57
20.61,-3.48,-2.91,-3.49,-2.91,2.92,2.78,1.23,-0.57,-0.57,-0.57
20.81,-3.43,-2.86,-3.44,-2.88,2.88,2.78,1.27,-0.55,-0.56,-0.57
21.02,-3.39,-2.85,-3.39,-2.85,2.85,2.77,1.31,-0.55,-0.54,-0.54
21.23,-3.35,-2.83,-3.35,-2.82,2.82,2.77,1.34,-0.54,-0.53,-0.52
21.44,-3.30,-2.78,-3.31,-2.79,2.79,2.77,1.38,-0.52,-0.52,-0.52
21.66,-3.26,-2.75,-3.26,-2.76,2.75,2.76,1.42,-0.51,-0.51,-0.51
21.87,-3.21,-2.74,-3.21,-2.73,2.72,2.76,1.46,-0.49,-0.48,-0.47
22.09,-3.15,-2.70,-3.15,-2.70,2.70,2.75,1.51,-0.46,-0.46,-0.45
22.31,-3.09,-2.66,-3.10,-2.67,2.67,2.75,1.55,-0.42,-0.43,-0.43
22.54,-3.04,-2.63,-3.05,-2.64,2.65,2.75,1.60,-0.39,-0.40,-0.41
22.76,-3.01,-2.63,-3.01,-2.62,2.63,2.74,1.64,-0.38,-0.37,-0.38
22.99,-2.96,-2.61,-2.97,-2.61,2.62,2.74,1.69,-0.34,-0.35,-0.35
23.22,-2.93,-2.61,-2.94,-2.61,2.61,2.73,1.74,-0.33,-0.33,-0.32
23.45,-2.90,-2.61,-2.90,-2.61,2.60,2.73,1.79,-0.30,-0.30,-0.29
23.69,-2.87,-2.61,-2.87,-2.60,2.60,2.72,1.84,-0.28,-0.27,-0.26
23.92,-2.83,-2.59,-2.83,-2.59,2.59,2.72,1.89,-0.24,-0.24,-0.24
24.16,-2.78,-2.58,-2.79,-2.59,2.59,2.71,1.94,-0.19,-0.20,-0.20
24.40,-2.75,-2.59,-2.75,-2.58,2.58,2.71,1.99,-0.17,-0.17,-0.16
24.65,-2.72,-2.59,-2.72,-2.58,2.57,2.70,2.05,-0.15,-0.15,-0.14
24.89,-2.67,-2.57,-2.68,-2.58,2.56,2.70,2.10,-0.11,-0.11,-0.11
25.14,-2.63,-2.57,-2.63,-2.56,2.55,2.69,2.16,-0.08,-0.07,-0.07
25.39,-2.57,-2.56,-2.58,-2.54,2.55,2.69,2.21,-0.03,-0.03,-0.02
25.65,-2.52,-2.51,-2.53,-2.53,2.55,2.68,2.27,0.02,0.01,-0.02
25.91,-2.50,-2.54,-2.49,-2.53,2.55,2.68,2.32,0.04,0.05,0.04
26.16,-2.46,-2.55,-2.47,-2.55,2.55,2.67,2.38,0.09,0.09,0.08
26.43,-2.43,-2.56,-2.44,-2.57,2.57,2.66,2.43,0.13,0.13,0.13
26.69,-2.42,-2.59,-2.41,-2.58,2.58,2.66,2.48,0.16,0.17,0.17
26.96,-2.37,-2.59,-2.39,-2.61,2.61,2.65,2.54,0.23,0.22,0.22
27.23,-2.37,-2.64,-2.37,-2.64,2.63,2.65,2.59,0.26,0.27,0.27
27.50,-2.33,-2.66,-2.34,-2.66,2.66,2.64,2.64,0.33,0.32,0.33
27.77,-2.33,-2.71,-2.33,-2.70,2.69,2.63,2.69,0.36,0.36,0.38
28.05,-2.29,-2.70,-2.30,-2.72,2.72,2.63,2.73,0.42,0.41,0.41
28.33,-2.28,-2.75,-2.28,-2.74,2.74,2.62,2.78,0.46,0.46,0.47
28.62,-2.24,-2.76,-2.24,-2.75,2.76,2.61,2.82,0.52,0.52,0.51
28.90,-2.20,-2.77,-2.21,-2.78,2.78,2.60,2.86,0.58,0.57,0.56
29.19,-2.18,-2.80,-2.18,-2.79,2.79,2.60,2.89,0.61,0.62,0.61
