frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-2.64,-3.62,-2.66,2.65,1.95,0.71,-0.96,-0.97,-0.97
20.20,-3.58,-2.64,-3.58,-2.62,2.62,1.95,0.73,-0.96,-0.95,-0.94
20.40,-3.54,-2.60,-3.53,-2.59,2.60,1.94,0.76,-0.95,-0.94,-0.94
20.61,-3.48,-2.55,-3.49,-2.56,2.57,1.94,0.78,-0.92,-0.92,-0.93
20.81,-3.43,-2.53,-3.44,-2.53,2.54,1.93,0.80,-0.89,-0.90,-0.90
21.02,-3.39,-2.49,-3.39,-2.51,2.51,1.93,0.83,-0.88,-0.88,-0.90
21.23,-3.35,-2.50,-3.35,-2.48,2.48,1.92,0.85,-0.87,-0.87,-0.85
21.44,-3.30,-2.45,-3.31,-2.46,2.45,1.92,0.88,-0.85,-0.86,-0.85
21.66,-3.26,-2.43,-3.26,-2.43,2.42,1.92,0.91,-0.84,-0.84,-0.83
21.87,-3.21,-2.41,-3.21,-2.40,2.39,1.91,0.93,-0.82,-0.82,-0.80
22.09,-3.15,-2.35,-3.15,-2.36,2.36,1.91,0.96,-0.79,-0.79,-0.80
22.31,-3.09,-2.33,-3.10,-2.32,2.33,1.90,0.99,-0.76,-0.77,-0.76
22.54,-3.04,-2.28,-3.05,-2.29,2.30,1.90,1.02,-0.74,-0.75,-0.76
22.76,-3.01,-2.25,-3.01,-2.26,2.27,1.89,1.05,-0.74,-0.73,-0.76
22.99,-2.96,-2.25,-2.97,-2.24,2.24,1.89,1.08,-0.72,-0.73,-0.71
23.22,-2.93,-2.22,-2.94,-2.22,2.21,1.88,1.12,-0.73,-0.73,-0.71
23.45,-2.90,-2.19,-2.90,-2.19,2.18,1.88,1.15,-0.73,-0.73,-0.71
23.69,-2.87,-2.16,-2.87,-2.15,2.15,1.87,1.18,-0.73,-0.72,-0.71
23.92,-2.83,-2.12,-2.83,-2.12,2.11,1.86,1.22,-0.72,-0.72,-0.71
24.16,-2.78,-2.07,-2.79,-2.08,2.08,1.86,1.25,-0.70,-0.71,-0.72
24.40,-2.75,-2.04,-2.75,-2.04,2.04,1.85,1.29,-0.71,-0.71,-0.72
24.65,-2.72,-2.01,-2.72,-2.01,2.01,1.85,1.32,-0.72,-0.71,-0.72
24.89,-2.67,-1.98,-2.68,-1.98,1.98,1.84,1.36,-0.70,-0.70,-0.70
25.14,-2.63,-1.97,-2.63,-1.95,1.95,1.83,1.40,-0.68,-0.67,-0.67
25.39,-2.57,-1.92,-2.58,-1.92,1.93,1.83,1.43,-0.64,-0.65,-0.66
25.65,-2.52,-1.90,-2.53,-1.91,1.92,1.82,1.47,-0.61,-0.62,-0.63
25.91,-2.50,-1.90,-2.49,-1.90,1.90,1.82,1.51,-0.60,-0.59,-0.60
26.16,-2.46,-1.89,-2.47,-1.90,1.90,1.81,1.54,-0.57,-0.57,-0.57
26.43,-2.43,-1.90,-2.44,-1.90,1.89,1.80,1.58,-0.54,-0.55,-0.53
26.69,-2.42,-1.89,-2.41,-1.90,1.89,1.79,1.62,-0.53,-0.52,-0.53
26.96,-2.37,-1.89,-2.39,-1.89,1.89,1.79,1.65,-0.49,-0.50,-0.48
27.23,-2.37,-1.89,-2.37,-1.89,1.89,1.78,1.69,-0.48,-0.48,-0.48
27.50,-2.33,-1.87,-2.34,-1.88,1.89,1.77,1.72,-0.45,-0.45,-0.46
27.77,-2.33,-1.90,-2.33,-1.88,1.88,1.77,1.76,-0.45,-0.44,-0.43
28.05,-2.29,-1.86,-2.30,-1.88,1.88,1.76,1.79,-0.42,-0.42,-0.43
