frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.22,-3.62,-4.23,4.24,3.89,1.21,0.63,0.62,0.61
20.20,-3.58,-4.21,-3.58,-4.20,4.20,3.86,1.25,0.61,0.62,0.63
20.40,-3.54,-4.17,-3.53,-4.16,4.16,3.82,1.28,0.61,0.62,0.63
20.61,-3.48,-4.11,-3.49,-4.12,4.11,3.79,1.32,0.63,0.62,0.63
20.81,-3.43,-4.06,-3.44,-4.07,4.07,3.76,1.36,0.63,0.63,0.63
21.02,-3.39,-4.02,-3.39,-4.02,4.02,3.73,1.40,0.63,0.63,0.63
21.23,-3.35,-3.98,-3.35,-3.98,3.98,3.70,1.44,0.62,0.63,0.63
21.44,-3.30,-3.93,-3.31,-3.93,3.93,3.66,1.49,0.63,0.62,0.63
21.66,-3.26,-3.89,-3.26,-3.89,3.88,3.63,1.53,0.61,0.62,0.63
21.87,-3.21,-3.84,-3.21,-3.83,3.83,3.60,1.58,0.61,0.62,0.63
22.09,-3.15,-3.78,-3.15,-3.78,3.78,3.56,1.62,0.62,0.62,0.63
22.31,-3.09,-3.72,-3.10,-3.72,3.73,3.53,1.67,0.64,0.63,0.63
22.54,-3.04,-3.67,-3.05,-3.67,3.68,3.49,1.72,0.64,0.64,0.62
22.76,-3.01,-3.64,-3.01,-3.63,3.64,3.46,1.77,0.63,0.64,0.62
22.99,-2.96,-3.59,-2.97,-3.59,3.60,3.42,1.82,0.64,0.63,0.62
23.22,-2.93,-3.56,-2.94,-3.56,3.56,3.39,1.88,0.63,0.63,0.62
23.45,-2.90,-3.54,-2.90,-3.53,3.53,3.35,1.93,0.62,0.62,0.63
23.69,-2.87,-3.51,-2.87,-3.50,3.49,3.32,1.99,0.62,0.63,0.63
23.92,-2.83,-3.47,-2.83,-3.46,3.46,3.28,2.04,0.63,0.63,0.63
24.16,-2.78,-3.42,-2.79,-3.42,3.42,3.25,2.10,0.64,0.63,0.63
24.40,-2.75,-3.39,-2.75,-3.39,3.38,3.21,2.16,0.63,0.63,0.63
24.65,-2.72,-3.36,-2.72,-3.35,3.34,3.17,2.22,0.62,0.62,0.63
24.89,-2.67,-3.30,-2.68,-3.31,3.30,3.14,2.28,0.62,0.62,0.63
25.14,-2.63,-3.26,-2.63,-3.26,3.25,3.10,2.34,0.62,0.63,0.63
25.39,-2.57,-3.20,-2.58,-3.20,3.21,3.07,2.40,0.64,0.64,0.63
25.65,-2.52,-3.15,-2.53,-3.16,3.18,3.03,2.46,0.65,0.64,0.63
25.91,-2.50,-3.13,-2.49,-3.13,3.14,3.00,2.52,0.64,0.65,0.63
26.16,-2.46,-3.11,-2.47,-3.11,3.11,2.96,2.58,0.65,0.64,0.65
26.43,-2.43,-3.09,-2.44,-3.09,3.09,2.92,2.64,0.65,0.65,0.66
26.69,-2.42,-3.08,-2.41,-3.07,3.07,2.89,2.70,0.64,0.65,0.66
26.96,-2.37,-3.03,-2.39,-3.04,3.05,2.85,2.76,0.67,0.66,0.66
27.23,-2.37,-3.03,-2.37,-3.03,3.03,2.82,2.81,0.66,0.67,0.66
27.50,-2.33,-3.01,-2.34,-3.01,3.02,2.78,2.87,0.68,0.67,0.67
27.77,-2.33,-3.01,-2.33,-3.00,3.00,2.75,2.92,0.66,0.67,0.67
28.05,-2.29,-2.98,-2.30,-2.98,2.98,2.72,2.97,0.68,0.67,0.68
28.33,-2.28,-2.97,-2.28,-2.96,2.95,2.68,3.02,0.67,0.68,0.68
28.62,-2.24,-2.93,-2.24,-2.93,2.92,2.65,3.07,0.68,0.68,0.68
28.90,-2.20,-2.88,-2.21,-2.90,2.89,2.62,3.11,0.69,0.68,0.68
29.19,-2.18,-2.86,-2.18,-2.86,2.86,2.58,3.15,0.67,0.68,0.68
29.48,-2.14,-2.82,-2.14,-2.82,2.82,2.55,3.18,0.67,0.68,0.68
29.78,-2.09,-2.77,-2.10,-2.78,2.77,2.52,3.22,0.68,0.67,0.68
30.08,-2.05,-2.73,-2.05,-2.73,2.73,2.48,3.24,0.67,0.68,0.68
30.38,-2.00,-2.68,-2.01,-2.68,2.68,2.45,3.27,0.68,0.68,0.68
30.68,-1.96,-2.64,-1.96,-2.64,2.64,2.42,3.28,0.68,0.68,0.67
30.99,-1.91,-2.59,-1.92,-2.59,2.60,2.39,3.30,0.68,0.68,0.67
31.30,-1.87,-2.56,-1.87,-2.55,2.56,2.36,3.31,0.68,0.68,0.68
31.61,-1.83,-2.52,-1.83,-2.51,2.52,2.33,3.31,0.68,0.68,0.68
31.93,-1.80,-2.48,-1.81,-2.49,2.48,2.30,3.31,0.68,0.68,0.68
32.24,-1.77,-2.45,-1.78,-2.46,2.46,2.27,3.31,0.68,0.68,0.68
32.57,-1.76,-2.44,-1.75,-2.43,2.43,2.24,3.30,0.67,0.68,0.68
32.89,-1.72,-2.40,-1.72,-2.40,2.41,2.21,3.28,0.69,0.69,0.68
33.22,-1.68,-2.38,-1.69,-2.38,2.39,2.18,3.27,0.71,0.71,0.69
33.55,-1.65,-2.36,-1.66,-2.37,2.38,2.16,3.24,0.72,0.71,0.70
33.89,-1.64,-2.37,-1.64,-2.37,2.36,2.13,3.22,0.72,0.72,0.73
34.23,-1.64,-2.37,-1.63,-2.36,2.34,2.10,3.19,0.70,0.71,0.73
34.57,-1.59,-2.32,-1.60,-2.33,2.32,2.08,3.16,0.72,0.71,0.73
34.92,-1.57,-2.30,-1.58,-2.30,2.29,2.05,3.12,0.72,0.72,0.73
35.27,-1.54,-2.27,-1.54,-2.27,2.27,2.02,3.09,0.72,0.73,0.72
35.62,-1.51,-2.25,-1.51,-2.23,2.24,2.00,3.05,0.73,0.73,0.73
35.97,-1.46,-2.19,-1.47,-2.20,2.21,1.98,3.01,0.74,0.74,0.73
36.33,-1.43,-2.16,-1.44,-2.17,2.18,1.95,2.97,0.74,0.74,0.73
36.70,-1.42,-2.15,-1.41,-2.14,2.14,1.93,2.92,0.72,0.73,0.73
