frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.18,-3.62,-4.18,4.18,3.83,1.22,0.57,0.56,0.56
20.20,-3.58,-4.15,-3.58,-4.14,4.14,3.83,1.26,0.56,0.56,0.56
20.40,-3.54,-4.11,-3.53,-4.10,4.09,3.82,1.29,0.55,0.56,0.56
20.61,-3.48,-4.05,-3.49,-4.05,4.05,3.82,1.33,0.56,0.56,0.56
20.81,-3.43,-3.99,-3.44,-4.00,4.00,3.81,1.37,0.57,0.56,0.56
21.02,-3.39,-3.96,-3.39,-3.95,3.96,3.80,1.41,0.56,0.56,0.56
21.23,-3.35,-3.91,-3.35,-3.91,3.91,3.79,1.46,0.56,0.56,0.56
21.44,-3.30,-3.86,-3.31,-3.87,3.86,3.77,1.50,0.56,0.55,0.56
21.66,-3.26,-3.82,-3.26,-3.82,3.81,3.76,1.54,0.55,0.55,0.56
21.87,-3.21,-3.77,-3.21,-3.77,3.76,3.74,1.59,0.55,0.55,0.56
22.09,-3.15,-3.71,-3.15,-3.71,3.71,3.72,1.64,0.56,0.56,0.56
22.31,-3.09,-3.65,-3.10,-3.66,3.66,3.70,1.69,0.57,0.57,0.56
22.54,-3.04,-3.60,-3.05,-3.61,3.62,3.68,1.74,0.57,0.57,0.56
22.76,-3.01,-3.57,-3.01,-3.56,3.57,3.65,1.79,0.56,0.57,0.56
22.99,-2.96,-3.52,-2.97,-3.53,3.53,3.63,1.84,0.57,0.56,0.56
23.22,-2.93,-3.49,-2.94,-3.49,3.49,3.60,1.89,0.56,0.56,0.56
23.45,-2.90,-3.46,-2.90,-3.46,3.46,3.57,1.95,0.55,0.55,0.56
23.69,-2.87,-3.43,-2.87,-3.43,3.42,3.54,2.01,0.55,0.55,0.56
23.92,-2.83,-3.39,-2.83,-3.39,3.39,3.51,2.06,0.55,0.56,0.56
24.16,-2.78,-3.34,-2.79,-3.35,3.35,3.48,2.12,0.57,0.56,0.56
24.40,-2.75,-3.32,-2.75,-3.32,3.31,3.45,2.18,0.56,0.56,0.57
24.65,-2.72,-3.29,-2.72,-3.28,3.27,3.41,2.24,0.55,0.56,0.57
24.89,-2.67,-3.24,-2.68,-3.24,3.23,3.38,2.30,0.56,0.56,0.57
25.14,-2.63,-3.20,-2.63,-3.19,3.20,3.34,2.36,0.56,0.57,0.57
25.39,-2.57,-3.15,-2.58,-3.15,3.16,3.31,2.42,0.59,0.58,0.57
25.65,-2.52,-3.11,-2.53,-3.11,3.13,3.27,2.48,0.60,0.59,0.58
25.91,-2.50,-3.09,-2.49,-3.08,3.09,3.23,2.54,0.59,0.60,0.58
26.16,-2.46,-3.07,-2.47,-3.06,3.06,3.20,2.60,0.60,0.59,0.60
26.43,-2.43,-3.04,-2.44,-3.04,3.04,3.16,2.67,0.60,0.60,0.60
