frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.11,-3.62,-3.11,3.11,2.42,1.07,-0.51,-0.51,-0.50
20.20,-3.58,-3.06,-3.58,-3.08,3.08,2.43,1.11,-0.50,-0.50,-0.52
20.40,-3.54,-3.06,-3.53,-3.05,3.05,2.45,1.14,-0.49,-0.48,-0.48
20.61,-3.48,-3.01,-3.49,-3.02,3.02,2.46,1.18,-0.46,-0.47,-0.47
20.81,-3.43,-2.99,-3.44,-2.99,2.99,2.47,1.21,-0.44,-0.45,-0.44
21.02,-3.39,-2.96,-3.39,-2.96,2.96,2.49,1.25,-0.43,-0.43,-0.43
21.23,-3.35,-2.92,-3.35,-2.93,2.94,2.50,1.29,-0.42,-0.42,-0.43
21.44,-3.30,-2.91,-3.31,-2.91,2.91,2.51,1.33,-0.40,-0.40,-0.39
21.66,-3.26,-2.87,-3.26,-2.88,2.87,2.53,1.38,-0.39,-0.39,-0.39
21.87,-3.21,-2.87,-3.21,-2.85,2.84,2.54,1.42,-0.37,-0.37,-0.34
22.09,-3.15,-2.81,-3.15,-2.82,2.81,2.55,1.46,-0.34,-0.34,-0.34
22.31,-3.09,-2.77,-3.10,-2.78,2.78,2.56,1.51,-0.31,-0.32,-0.32
22.54,-3.04,-2.74,-3.05,-2.74,2.75,2.57,1.56,-0.29,-0.29,-0.30
22.76,-3.01,-2.71,-3.01,-2.71,2.73,2.58,1.61,-0.29,-0.28,-0.30
22.99,-2.96,-2.70,-2.97,-2.70,2.70,2.60,1.66,-0.26,-0.27,-0.26
23.22,-2.93,-2.67,-2.94,-2.68,2.68,2.61,1.71,-0.25,-0.25,-0.26
23.45,-2.90,-2.68,-2.90,-2.67,2.66,2.62,1.76,-0.24,-0.24,-0.22
23.69,-2.87,-2.66,-2.87,-2.65,2.64,2.63,1.81,-0.23,-0.23,-0.21
23.92,-2.83,-2.62,-2.83,-2.63,2.63,2.64,1.86,-0.21,-0.20,-0.21
24.16,-2.78,-2.61,-2.79,-2.61,2.61,2.65,1.92,-0.18,-0.18,-0.17
24.40,-2.75,-2.58,-2.75,-2.58,2.59,2.66,1.97,-0.17,-0.17,-0.17
24.65,-2.72,-2.58,-2.72,-2.57,2.56,2.67,2.03,-0.16,-0.16,-0.15
24.89,-2.67,-2.54,-2.68,-2.54,2.54,2.68,2.09,-0.14,-0.14,-0.14
25.14,-2.63,-2.53,-2.63,-2.52,2.51,2.68,2.15,-0.12,-0.11,-0.11
25.39,-2.57,-2.49,-2.58,-2.49,2.49,2.69,2.20,-0.08,-0.08,-0.09
25.65,-2.52,-2.47,-2.53,-2.47,2.48,2.70,2.26,-0.05,-0.06,-0.06
25.91,-2.50,-2.46,-2.49,-2.45,2.46,2.71,2.32,-0.04,-0.03,-0.05
26.16,-2.46,-2.44,-2.47,-2.45,2.45,2.72,2.38,-0.01,-0.02,-0.02
26.43,-2.43,-2.43,-2.44,-2.44,2.44,2.72,2.44,0.01,0.01,0.00
26.69,-2.42,-2.46,-2.41,-2.44,2.45,2.73,2.49,0.02,0.03,0.04
26.96,-2.37,-2.42,-2.39,-2.44,2.45,2.74,2.55,0.07,0.06,0.05
27.23,-2.37,-2.46,-2.37,-2.46,2.46,2.75,2.60,0.08,0.09,0.09
27.50,-2.33,-2.46,-2.34,-2.46,2.46,2.75,2.66,0.13,0.12,0.13
27.77,-2.33,-2.49,-2.33,-2.48,2.47,2.76,2.71,0.14,0.15,0.16
28.05,-2.29,-2.47,-2.30,-2.49,2.48,2.76,2.76,0.18,0.18,0.18
28.33,-2.28,-2.50,-2.28,-2.49,2.48,2.77,2.81,0.20,0.21,0.22
28.62,-2.24,-2.49,-2.24,-2.48,2.49,2.77,2.86,0.24,0.25,0.24
28.90,-2.20,-2.48,-2.21,-2.49,2.49,2.78,2.90,0.29,0.28,0.27
29.19,-2.18,-2.49,-2.18,-2.49,2.49,2.78,2.94,0.30,0.31,0.30
29.48,-2.14,-2.50,-2.14,-2.49,2.48,2.79,2.98,0.34,0.34,0.35
29.78,-2.09,-2.48,-2.10,-2.48,2.48,2.79,3.01,0.38,0.38,0.39
30.08,-2.05,-2.47,-2.05,-2.48,2.47,2.80,3.04,0.42,0.42,0.42
30.38,-2.00,-2.46,-2.01,-2.46,2.46,2.80,3.07,0.46,0.46,0.46
30.68,-1.96,-2.46,-1.96,-2.46,2.46,2.80,3.09,0.50,0.50,0.50
30.99,-1.91,-2.44,-1.92,-2.45,2.46,2.81,3.11,0.54,0.54,0.53
31.30,-1.87,-2.46,-1.87,-2.45,2.46,2.81,3.13,0.59,0.59,0.58
31.61,-1.83,-2.45,-1.83,-2.45,2.46,2.81,3.14,0.63,0.63,0.61
31.93,-1.80,-2.47,-1.81,-2.47,2.47,2.81,3.15,0.67,0.67,0.66
32.24,-1.77,-2.50,-1.78,-2.49,2.48,2.82,3.15,0.71,0.70,0.72
32.57,-1.76,-2.51,-1.75,-2.51,2.50,2.82,3.15,0.73,0.74,0.75
32.89,-1.72,-2.52,-1.72,-2.52,2.52,2.82,3.15,0.79,0.80,0.80
33.22,-1.68,-2.53,-1.69,-2.53,2.54,2.82,3.14,0.85,0.85,0.85
33.55,-1.65,-2.53,-1.66,-2.55,2.56,2.82,3.13,0.90,0.89,0.88
33.89,-1.64,-2.57,-1.64,-2.57,2.58,2.82,3.12,0.93,0.93,0.92
34.23,-1.64,-2.62,-1.63,-2.60,2.60,2.82,3.10,0.95,0.97,0.97
34.57,-1.59,-2.61,-1.60,-2.62,2.61,2.82,3.08,1.02,1.01,1.02
34.92,-1.57,-2.64,-1.58,-2.64,2.63,2.82,3.06,1.05,1.05,1.07
35.27,-1.54,-2.65,-1.54,-2.65,2.64,2.82,3.04,1.10,1.10,1.11
35.62,-1.51,-2.66,-1.51,-2.65,2.65,2.82,3.02,1.14,1.15,1.14
35.97,-1.46,-2.65,-1.47,-2.66,2.66,2.82,2.99,1.20,1.19,1.18
36.33,-1.43,-2.65,-1.44,-2.66,2.67,2.81,2.96,1.23,1.23,1.22
36.70,-1.42,-2.68,-1.41,-2.67,2.67,2.81,2.94,1.25,1.26,1.26
37.06,-1.38,-2.67,-1.39,-2.68,2.68,2.81,2.91,1.29,1.29,1.29
37.43,-1.36,-2.69,-1.36,-2.69,2.68,2.81,2.88,1.32,1.32,1.32
37.81,-1.33,-2.70,-1.33,-2.69,2.69,2.80,2.86,1.36,1.36,1.37
38.19,-1.30,-2.70,-1.31,-2.70,2.70,2.80,2.83,1.39,1.39,1.40
38.57,-1.27,-2.70,-1.28,-2.71,2.71,2.80,2.80,1.43,1.43,1.43
38.95,-1.25,-2.72,-1.25,-2.71,2.72,2.79,2.78,1.46,1.47,1.46
39.34,-1.22,-2.72,-1.23,-2.72,2.73,2.79,2.75,1.50,1.50,1.50
39.74,-1.20,-2.72,-1.21,-2.73,2.74,2.78,2.73,1.53,1.53,1.52
40.14,-1.20,-2.76,-1.19,-2.75,2.75,2.78,2.70,1.55,1.56,1.55
40.54,-1.16,-2.76,-1.18,-2.76,2.76,2.77,2.68,1.60,1.59,1.60
40.94,-1.16,-2.77,-1.16,-2.78,2.77,2.77,2.66,1.61,1.61,1.61
41.35,-1.15,-2.80,-1.15,-2.78,2.78,2.76,2.65,1.63,1.64,1.64
41.76,-1.12,-2.77,-1.13,-2.79,2.79,2.76,2.63,1.66,1.65,1.65
42.18,-1.12,-2.81,-1.12,-2.79,2.79,2.75,2.61,1.66,1.67,1.69
42.60,-1.09,-2.78,-1.10,-2.78,2.78,2.75,2.60,1.69,1.68,1.69
43.03,-1.07,-2.76,-1.07,-2.77,2.77,2.74,2.59,1.70,1.70,1.69
43.46,-1.04,-2.76,-1.04,-2.75,2.75,2.73,2.58,1.71,1.71,1.71
43.90,-0.99,-2.72,-1.01,-2.73,2.73,2.73,2.57,1.74,1.72,1.73
44.33,-0.99,-2.73,-0.98,-2.71,2.71,2.72,2.57,1.71,1.73,1.73
44.78,-0.94,-2.68,-0.96,-2.69,2.68,2.71,2.57,1.74,1.72,1.74
45.23,-0.94,-2.66,-0.94,-2.66,2.66,2.70,2.56,1.72,1.71,1.71
45.68,-0.94,-2.63,-0.93,-2.62,2.64,2.69,2.57,1.69,1.71,1.69
46.13,-0.90,-2.59,-0.92,-2.61,2.61,2.69,2.57,1.71,1.69,1.68
46.60,-0.90,-2.59,-0.91,-2.59,2.59,2.68,2.57,1.69,1.68,1.69
47.06,-0.90,-2.59,-0.90,-2.58,2.57,2.67,2.58,1.67,1.67,1.69
47.53,-0.90,-2.55,-0.90,-2.57,2.55,2.66,2.59,1.65,1.65,1.64
48.01,-0.90,-2.55,-0.90,-2.54,2.54,2.65,2.60,1.64,1.64,1.65
48.49,-0.90,-2.53,-0.90,-2.53,2.53,2.64,2.61,1.63,1.63,1.62
48.97,-0.90,-2.51,-0.91,-2.52,2.53,2.63,2.62,1.62,1.62,1.60
49.46,-0.93,-2.53,-0.93,-2.52,2.53,2.62,2.63,1.59,1.60,1.60
49.96,-0.96,-2.52,-0.96,-2.53,2.53,2.61,2.65,1.57,1.57,1.56
50.46,-0.99,-2.55,-1.00,-2.55,2.54,2.60,2.67,1.55,1.54,1.55
50.96,-1.03,-2.55,-1.03,-2.56,2.55,2.59,2.69,1.52,1.52,1.51
51.47,-1.07,-2.59,-1.07,-2.57,2.57,2.58,2.70,1.50,1.51,1.52
51.99,-1.10,-2.58,-1.11,-2.60,2.60,2.56,2.72,1.50,1.50,1.48
52.51,-1.14,-2.62,-1.14,-2.62,2.63,2.55,2.74,1.49,1.49,1.48
