frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,2.45,-3.62,2.45,-2.47,-2.37,-0.33,-6.09,-6.09,-6.06
20.20,-3.58,2.46,-3.58,2.45,-2.45,-2.34,-0.35,-6.03,-6.03,-6.04
20.40,-3.54,2.44,-3.53,2.44,-2.42,-2.31,-0.36,-5.97,-5.96,-5.98
20.61,-3.48,2.42,-3.49,2.42,-2.40,-2.27,-0.37,-5.88,-5.88,-5.90
20.81,-3.43,2.39,-3.44,2.38,-2.37,-2.24,-0.39,-5.80,-5.81,-5.82
21.02,-3.39,2.33,-3.39,2.34,-2.33,-2.20,-0.40,-5.73,-5.73,-5.72
21.23,-3.35,2.30,-3.35,2.30,-2.30,-2.17,-0.41,-5.65,-5.65,-5.65
21.44,-3.30,2.25,-3.31,2.25,-2.26,-2.13,-0.43,-5.57,-5.57,-5.55
21.66,-3.26,2.23,-3.26,2.21,-2.22,-2.09,-0.44,-5.49,-5.48,-5.49
21.87,-3.21,2.16,-3.21,2.18,-2.18,-2.05,-0.46,-5.39,-5.39,-5.37
22.09,-3.15,2.14,-3.15,2.14,-2.14,-2.01,-0.48,-5.29,-5.29,-5.29
22.31,-3.09,2.11,-3.10,2.09,-2.09,-1.98,-0.49,-5.19,-5.19,-5.20
22.54,-3.04,2.05,-3.05,2.06,-2.05,-1.94,-0.51,-5.09,-5.09,-5.10
22.76,-3.01,2.00,-3.01,2.01,-1.99,-1.90,-0.53,-5.01,-5.00,-5.01
22.99,-2.96,1.96,-2.97,1.95,-1.94,-1.85,-0.54,-4.90,-4.91,-4.92
23.22,-2.93,1.88,-2.94,1.88,-1.88,-1.81,-0.56,-4.82,-4.82,-4.81
23.45,-2.90,1.81,-2.90,1.82,-1.83,-1.77,-0.58,-4.73,-4.73,-4.71
23.69,-2.87,1.76,-2.87,1.76,-1.77,-1.73,-0.60,-4.64,-4.64,-4.64
23.92,-2.83,1.70,-2.83,1.71,-1.71,-1.69,-0.62,-4.54,-4.54,-4.53
24.16,-2.78,1.65,-2.79,1.65,-1.65,-1.65,-0.64,-4.44,-4.44,-4.44
24.40,-2.75,1.61,-2.75,1.60,-1.60,-1.60,-0.66,-4.35,-4.35,-4.36
24.65,-2.72,1.53,-2.72,1.55,-1.55,-1.56,-0.68,-4.27,-4.27,-4.26
24.89,-2.67,1.50,-2.68,1.50,-1.50,-1.52,-0.69,-4.18,-4.18,-4.18
25.14,-2.63,1.45,-2.63,1.45,-1.46,-1.48,-0.71,-4.09,-4.09,-4.09
25.39,-2.57,1.40,-2.58,1.42,-1.42,-1.43,-0.73,-3.99,-3.99,-3.98
25.65,-2.52,1.40,-2.53,1.37,-1.37,-1.39,-0.75,-3.89,-3.90,-3.92
25.91,-2.50,1.32,-2.49,1.33,-1.33,-1.35,-0.77,-3.83,-3.82,-3.82
26.16,-2.46,1.29,-2.47,1.28,-1.28,-1.30,-0.79,-3.74,-3.75,-3.75
26.43,-2.43,1.24,-2.44,1.23,-1.23,-1.26,-0.81,-3.66,-3.67,-3.67
26.69,-2.42,1.17,-2.41,1.18,-1.18,-1.22,-0.82,-3.60,-3.59,-3.59
26.96,-2.37,1.14,-2.39,1.12,-1.12,-1.17,-0.84,-3.49,-3.51,-3.51
27.23,-2.37,1.05,-2.37,1.06,-1.06,-1.13,-0.86,-3.44,-3.43,-3.42
27.50,-2.33,1.01,-2.34,1.01,-1.00,-1.08,-0.87,-3.34,-3.35,-3.34
27.77,-2.33,0.94,-2.33,0.94,-0.95,-1.04,-0.88,-3.28,-3.27,-3.27
28.05,-2.29,0.90,-2.30,0.89,-0.89,-1.00,-0.90,-3.19,-3.20,-3.19
28.33,-2.28,0.82,-2.28,0.84,-0.84,-0.95,-0.91,-3.13,-3.12,-3.11
28.62,-2.24,0.79,-2.24,0.79,-0.79,-0.91,-0.91,-3.04,-3.04,-3.04
28.90,-2.20,0.76,-2.21,0.75,-0.75,-0.86,-0.92,-2.95,-2.96,-2.97
29.19,-2.18,0.69,-2.18,0.71,-0.71,-0.82,-0.93,-2.89,-2.89,-2.88
29.48,-2.14,0.67,-2.14,0.67,-0.67,-0.77,-0.93,-2.81,-2.81,-2.81
29.78,-2.09,0.64,-2.10,0.63,-0.63,-0.73,-0.93,-2.73,-2.73,-2.73
30.08,-2.05,0.60,-2.05,0.60,-0.60,-0.69,-0.93,-2.66,-2.65,-2.65
30.38,-2.00,0.58,-2.01,0.57,-0.57,-0.64,-0.93,-2.57,-2.57,-2.58
30.68,-1.96,0.53,-1.96,0.53,-0.53,-0.60,-0.92,-2.50,-2.49,-2.49
30.99,-1.91,0.49,-1.92,0.50,-0.49,-0.55,-0.91,-2.41,-2.41,-2.41
31.30,-1.87,0.46,-1.87,0.46,-0.46,-0.51,-0.90,-2.33,-2.33,-2.34
31.61,-1.83,0.42,-1.83,0.43,-0.42,-0.47,-0.89,-2.25,-2.25,-2.26
31.93,-1.80,0.39,-1.81,0.38,-0.38,-0.42,-0.87,-2.18,-2.18,-2.19
32.24,-1.77,0.34,-1.78,0.33,-0.33,-0.38,-0.85,-2.11,-2.11,-2.11
32.57,-1.76,0.27,-1.75,0.28,-0.29,-0.33,-0.83,-2.06,-2.04,-2.03
32.89,-1.72,0.24,-1.72,0.24,-0.25,-0.29,-0.81,-1.97,-1.97,-1.96
33.22,-1.68,0.21,-1.69,0.21,-0.20,-0.25,-0.78,-1.89,-1.89,-1.89
33.55,-1.65,0.18,-1.66,0.17,-0.16,-0.20,-0.75,-1.81,-1.82,-1.83
33.89,-1.64,0.12,-1.64,0.13,-0.12,-0.16,-0.72,-1.76,-1.76,-1.77
34.23,-1.64,0.07,-1.63,0.08,-0.08,-0.12,-0.69,-1.72,-1.70,-1.71
34.57,-1.59,0.05,-1.60,0.03,-0.04,-0.07,-0.65,-1.63,-1.64,-1.64
34.92,-1.57,-0.01,-1.58,-0.01,-0.00,-0.03,-0.62,-1.58,-1.58,-1.56
35.27,-1.54,-0.04,-1.54,-0.04,0.03,0.02,-0.58,-1.51,-1.51,-1.51
35.62,-1.51,-0.09,-1.51,-0.07,0.07,0.06,-0.54,-1.44,-1.44,-1.43
35.97,-1.46,-0.09,-1.47,-0.10,0.10,0.10,-0.50,-1.36,-1.37,-1.38
