frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-9.81,-3.62,-9.81,6.00,5.03,2.66,2.39,2.38,6.19
20.20,-3.58,-9.80,-3.58,-9.78,6.00,5.06,2.73,2.42,2.42,6.21
20.40,-3.54,-9.75,-3.53,-9.76,6.00,5.09,2.81,2.46,2.47,6.21
20.61,-3.48,-9.74,-3.49,-9.73,6.00,5.13,2.90,2.52,2.51,6.25
20.81,-3.43,-9.69,-3.44,-9.71,6.00,5.16,2.98,2.57,2.56,6.26
21.02,-3.39,-9.68,-3.39,-9.68,6.00,5.19,3.07,2.61,2.61,6.29
21.23,-3.35,-9.66,-3.35,-9.66,6.00,5.23,3.15,2.65,2.65,6.31
21.44,-3.30,-9.61,-3.31,-9.63,6.00,5.26,3.25,2.70,2.69,6.31
21.66,-3.26,-9.61,-3.26,-9.60,6.00,5.29,3.34,2.74,2.74,6.35
21.87,-3.21,-9.56,-3.21,-9.57,6.00,5.32,3.44,2.79,2.79,6.35
22.09,-3.15,-9.55,-3.15,-9.53,6.00,5.35,3.54,2.85,2.85,6.40
22.31,-3.09,-9.49,-3.10,-9.50,6.00,5.38,3.64,2.91,2.90,6.40
22.54,-3.04,-9.44,-3.05,-9.47,6.00,5.42,3.74,2.96,2.95,6.40
22.76,-3.01,-9.46,-3.01,-9.43,6.00,5.45,3.85,2.99,2.99,6.45
22.99,-2.96,-9.41,-2.97,-9.42,6.00,5.48,3.96,3.04,3.03,6.45
23.22,-2.93,-9.38,-2.94,-9.40,6.00,5.51,4.08,3.07,3.06,6.45
23.45,-2.90,-9.39,-2.90,-9.37,6.00,5.54,4.19,3.10,3.10,6.49
23.69,-2.87,-9.36,-2.87,-9.35,6.00,5.56,4.31,3.13,3.13,6.49
23.92,-2.83,-9.32,-2.83,-9.33,6.00,5.59,4.43,3.17,3.17,6.49
24.16,-2.78,-9.30,-2.79,-9.31,6.00,5.62,4.55,3.22,3.21,6.52
24.40,-2.75,-9.30,-2.75,-9.29,6.00,5.65,4.68,3.25,3.25,6.55
24.65,-2.72,-9.27,-2.72,-9.26,6.00,5.68,4.80,3.28,3.28,6.55
24.89,-2.67,-9.22,-2.68,-9.23,6.00,5.71,4.93,3.33,3.32,6.54
25.14,-2.63,-9.18,-2.63,-9.19,6.00,5.73,5.06,3.37,3.37,6.54
25.39,-2.57,-9.17,-2.58,-9.15,6.00,5.76,5.19,3.43,3.42,6.59
25.65,-2.52,-9.12,-2.53,-9.12,6.00,5.79,5.33,3.48,3.47,6.59
25.91,-2.50,-9.10,-2.49,-9.09,6.00,5.81,5.46,3.50,3.51,6.59
26.16,-2.46,-9.06,-2.47,-9.06,6.00,5.84,5.59,3.54,3.53,6.59
26.43,-2.43,-9.03,-2.44,-9.03,6.00,5.87,5.72,3.57,3.56,6.59
26.69,-2.42,-9.01,-2.41,-9.00,6.00,5.89,5.85,3.58,3.59,6.59
26.96,-2.37,-8.96,-2.39,-8.98,6.00,5.92,5.98,3.63,3.61,6.59
27.23,-2.37,-8.96,-2.37,-8.96,6.00,5.94,6.11,3.63,3.63,6.59
27.50,-2.33,-8.92,-2.34,-8.93,6.00,5.97,6.24,3.67,3.66,6.59
