frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.93,-3.62,-3.94,3.93,3.07,1.64,0.32,0.31,0.32
20.20,-3.58,-3.94,-3.58,-3.93,3.93,3.11,1.69,0.34,0.35,0.36
20.40,-3.54,-3.92,-3.53,-3.92,3.93,3.15,1.74,0.38,0.39,0.38
20.61,-3.48,-3.90,-3.49,-3.91,3.92,3.19,1.79,0.44,0.43,0.42
20.81,-3.43,-3.90,-3.44,-3.91,3.92,3.23,1.84,0.49,0.48,0.47
21.02,-3.39,-3.91,-3.39,-3.91,3.92,3.27,1.89,0.52,0.52,0.52
21.23,-3.35,-3.92,-3.35,-3.92,3.91,3.32,1.95,0.56,0.56,0.57
21.44,-3.30,-3.91,-3.31,-3.92,3.91,3.36,2.01,0.61,0.60,0.61
21.66,-3.26,-3.92,-3.26,-3.92,3.91,3.40,2.07,0.64,0.65,0.66
21.87,-3.21,-3.92,-3.21,-3.91,3.91,3.44,2.13,0.69,0.70,0.71
22.09,-3.15,-3.90,-3.15,-3.90,3.90,3.47,2.19,0.75,0.75,0.75
22.31,-3.09,-3.89,-3.10,-3.89,3.90,3.51,2.25,0.81,0.80,0.80
22.54,-3.04,-3.88,-3.05,-3.89,3.90,3.55,2.32,0.85,0.85,0.84
22.76,-3.01,-3.90,-3.01,-3.89,3.90,3.59,2.39,0.88,0.89,0.89
22.99,-2.96,-3.89,-2.97,-3.89,3.90,3.63,2.46,0.93,0.93,0.93
23.22,-2.93,-3.89,-2.94,-3.90,3.90,3.66,2.53,0.96,0.96,0.96
23.45,-2.90,-3.91,-2.90,-3.90,3.90,3.70,2.60,1.00,1.00,1.01
23.69,-2.87,-3.91,-2.87,-3.91,3.91,3.73,2.68,1.03,1.04,1.04
23.92,-2.83,-3.91,-2.83,-3.91,3.91,3.77,2.75,1.08,1.08,1.08
24.16,-2.78,-3.91,-2.79,-3.91,3.91,3.80,2.83,1.12,1.12,1.13
24.40,-2.75,-3.91,-2.75,-3.91,3.90,3.83,2.91,1.15,1.15,1.15
24.65,-2.72,-3.91,-2.72,-3.90,3.90,3.86,2.99,1.17,1.18,1.18
24.89,-2.67,-3.89,-2.68,-3.89,3.89,3.89,3.07,1.21,1.21,1.21
25.14,-2.63,-3.88,-2.63,-3.87,3.87,3.92,3.15,1.24,1.25,1.24
25.39,-2.57,-3.86,-2.58,-3.86,3.86,3.95,3.23,1.29,1.28,1.28
25.65,-2.52,-3.84,-2.53,-3.84,3.85,3.98,3.31,1.32,1.31,1.31
25.91,-2.50,-3.84,-2.49,-3.83,3.83,4.00,3.39,1.33,1.34,1.33
26.16,-2.46,-3.81,-2.47,-3.82,3.82,4.03,3.48,1.36,1.36,1.35
26.43,-2.43,-3.81,-2.44,-3.81,3.82,4.05,3.56,1.38,1.38,1.38
26.69,-2.42,-3.81,-2.41,-3.81,3.81,4.07,3.64,1.39,1.40,1.39
26.96,-2.37,-3.80,-2.39,-3.81,3.81,4.09,3.72,1.44,1.42,1.43
