frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-5.73,-3.62,-5.75,5.73,6.02,2.31,2.12,2.11,2.12
20.20,-3.58,-5.73,-3.58,-5.72,5.72,6.00,2.38,2.14,2.14,2.15
20.40,-3.54,-5.70,-3.53,-5.70,5.71,5.97,2.45,2.16,2.17,2.16
20.61,-3.48,-5.68,-3.49,-5.68,5.69,5.94,2.52,2.21,2.20,2.20
20.81,-3.43,-5.65,-3.44,-5.67,5.68,5.91,2.59,2.25,2.24,2.22
21.02,-3.39,-5.66,-3.39,-5.66,5.67,5.88,2.67,2.27,2.27,2.27
21.23,-3.35,-5.66,-3.35,-5.65,5.65,5.86,2.74,2.30,2.30,2.31
21.44,-3.30,-5.64,-3.31,-5.65,5.64,5.83,2.82,2.33,2.33,2.34
21.66,-3.26,-5.63,-3.26,-5.63,5.62,5.80,2.91,2.36,2.36,2.37
21.87,-3.21,-5.62,-3.21,-5.61,5.61,5.78,2.99,2.40,2.40,2.41
22.09,-3.15,-5.58,-3.15,-5.59,5.59,5.75,3.08,2.44,2.44,2.43
22.31,-3.09,-5.57,-3.10,-5.57,5.58,5.73,3.17,2.48,2.48,2.48
22.54,-3.04,-5.56,-3.05,-5.56,5.56,5.70,3.26,2.52,2.51,2.52
22.76,-3.01,-5.54,-3.01,-5.54,5.55,5.68,3.35,2.53,2.54,2.53
22.99,-2.96,-5.53,-2.97,-5.53,5.53,5.65,3.45,2.57,2.56,2.57
23.22,-2.93,-5.50,-2.94,-5.51,5.52,5.63,3.55,2.58,2.58,2.57
23.45,-2.90,-5.52,-2.90,-5.51,5.50,5.61,3.65,2.60,2.60,2.62
23.69,-2.87,-5.49,-2.87,-5.49,5.49,5.59,3.75,2.62,2.62,2.62
23.92,-2.83,-5.49,-2.83,-5.48,5.48,5.57,3.85,2.65,2.65,2.66
24.16,-2.78,-5.45,-2.79,-5.46,5.46,5.54,3.96,2.68,2.67,2.67
24.40,-2.75,-5.46,-2.75,-5.45,5.45,5.52,4.07,2.69,2.69,2.70
24.65,-2.72,-5.43,-2.72,-5.43,5.43,5.50,4.18,2.70,2.71,2.70
24.89,-2.67,-5.43,-2.68,-5.42,5.41,5.48,4.29,2.73,2.73,2.75
25.14,-2.63,-5.40,-2.63,-5.39,5.39,5.47,4.40,2.76,2.76,2.76
25.39,-2.57,-5.38,-2.58,-5.37,5.37,5.45,4.52,2.80,2.80,2.80
25.65,-2.52,-5.33,-2.53,-5.35,5.36,5.43,4.63,2.84,2.83,2.80
25.91,-2.50,-5.35,-2.49,-5.34,5.36,5.41,4.75,2.85,2.86,2.84
26.16,-2.46,-5.35,-2.47,-5.34,5.35,5.40,4.86,2.89,2.88,2.89
26.43,-2.43,-5.33,-2.44,-5.35,5.35,5.38,4.98,2.92,2.92,2.90
26.69,-2.42,-5.37,-2.41,-5.36,5.36,5.37,5.09,2.94,2.95,2.95
26.96,-2.37,-5.36,-2.39,-5.37,5.37,5.35,5.20,2.99,2.98,2.99
27.23,-2.37,-5.39,-2.37,-5.38,5.38,5.34,5.31,3.00,3.01,3.02
27.50,-2.33,-5.37,-2.34,-5.38,5.38,5.32,5.42,3.05,3.04,3.04
27.77,-2.33,-5.40,-2.33,-5.39,5.39,5.31,5.52,3.05,3.06,3.07
28.05,-2.29,-5.37,-2.30,-5.38,5.38,5.30,5.62,3.09,3.08,3.08
28.33,-2.28,-5.38,-2.28,-5.38,5.37,5.28,5.72,3.08,3.09,3.10
28.62,-2.24,-5.37,-2.24,-5.36,5.35,5.27,5.81,3.11,3.11,3.12
28.90,-2.20,-5.33,-2.21,-5.34,5.33,5.26,5.89,3.12,3.11,3.12
29.19,-2.18,-5.31,-2.18,-5.30,5.30,5.25,5.97,3.12,3.12,3.12
29.48,-2.14,-5.27,-2.14,-5.26,5.27,5.24,6.05,3.13,3.13,3.12
29.78,-2.09,-5.23,-2.10,-5.22,5.23,5.23,6.11,3.14,3.14,3.13
30.08,-2.05,-5.18,-2.05,-5.19,5.20,5.22,6.17,3.14,3.14,3.13
30.38,-2.00,-5.15,-2.01,-5.16,5.16,5.21,6.22,3.15,3.15,3.15
30.68,-1.96,-5.14,-1.96,-5.13,5.12,5.20,6.26,3.15,3.16,3.18
30.99,-1.91,-5.09,-1.92,-5.09,5.08,5.20,6.29,3.17,3.17,3.18
31.30,-1.87,-5.05,-1.87,-5.05,5.05,5.19,6.31,3.18,3.18,3.18
31.61,-1.83,-5.01,-1.83,-5.01,5.02,5.18,6.33,3.19,3.19,3.17
31.93,-1.80,-4.98,-1.81,-4.98,5.00,5.17,6.33,3.19,3.19,3.17
32.24,-1.77,-4.96,-1.78,-4.97,4.98,5.16,6.33,3.20,3.20,3.18
32.57,-1.76,-4.98,-1.75,-4.96,4.96,5.16,6.32,3.19,3.21,3.22
32.89,-1.72,-4.94,-1.72,-4.95,4.95,5.15,6.30,3.22,3.23,3.22
33.22,-1.68,-4.95,-1.69,-4.94,4.94,5.14,6.28,3.26,3.25,3.27
33.55,-1.65,-4.92,-1.66,-4.93,4.94,5.14,6.24,3.28,3.27,3.27
33.89,-1.64,-4.93,-1.64,-4.93,4.93,5.13,6.20,3.29,3.29,3.28
34.23,-1.64,-4.96,-1.63,-4.93,4.93,5.13,6.16,3.28,3.30,3.31
34.57,-1.59,-4.91,-1.60,-4.93,4.92,5.12,6.11,3.33,3.32,3.32
34.92,-1.57,-4.93,-1.58,-4.93,4.91,5.12,6.05,3.34,3.34,3.36
35.27,-1.54,-4.90,-1.54,-4.91,4.91,5.11,5.99,3.36,3.37,3.36
35.62,-1.51,-4.92,-1.51,-4.90,4.90,5.10,5.93,3.39,3.40,3.40
35.97,-1.46,-4.88,-1.47,-4.89,4.90,5.10,5.87,3.44,3.43,3.41
36.33,-1.43,-4.88,-1.44,-4.89,4.90,5.09,5.80,3.47,3.46,3.45
36.70,-1.42,-4.90,-1.41,-4.89,4.91,5.09,5.74,3.48,3.50,3.48
37.06,-1.38,-4.91,-1.39,-4.91,4.92,5.08,5.67,3.53,3.53,3.53
37.43,-1.36,-4.93,-1.36,-4.93,4.92,5.08,5.60,3.56,3.56,3.56
37.81,-1.33,-4.95,-1.33,-4.95,4.94,5.07,5.54,3.60,3.60,3.62
38.19,-1.30,-4.96,-1.31,-4.96,4.95,5.07,5.47,3.64,3.64,3.66
38.57,-1.27,-4.96,-1.28,-4.96,4.96,5.06,5.41,3.69,3.68,3.69
38.95,-1.25,-4.97,-1.25,-4.96,4.97,5.06,5.34,3.72,3.72,3.71
39.34,-1.22,-4.96,-1.23,-4.97,4.98,5.05,5.28,3.75,3.75,3.74
39.74,-1.20,-4.98,-1.21,-4.98,4.98,5.05,5.23,3.78,3.77,3.78
40.14,-1.20,-4.98,-1.19,-4.98,4.98,5.04,5.17,3.78,3.79,3.77
40.54,-1.16,-4.99,-1.18,-4.99,4.99,5.04,5.12,3.82,3.81,3.83
40.94,-1.16,-4.99,-1.16,-4.98,4.98,5.03,5.07,3.82,3.82,3.83
41.35,-1.15,-4.98,-1.15,-4.98,4.98,5.02,5.02,3.83,3.83,3.82
41.76,-1.12,-4.96,-1.13,-4.97,4.97,5.02,4.97,3.84,3.83,3.84
42.18,-1.12,-4.97,-1.12,-4.95,4.95,5.01,4.93,3.83,3.83,3.84
42.60,-1.09,-4.92,-1.10,-4.93,4.92,5.01,4.90,3.83,3.83,3.83
43.03,-1.07,-4.90,-1.07,-4.90,4.89,5.00,4.86,3.82,3.82,3.83
43.46,-1.04,-4.87,-1.04,-4.86,4.85,4.99,4.83,3.81,3.81,3.82
43.90,-0.99,-4.81,-1.01,-4.81,4.81,4.98,4.81,3.82,3.81,3.82
44.33,-0.99,-4.77,-0.98,-4.76,4.77,4.98,4.78,3.78,3.79,3.77
44.78,-0.94,-4.70,-0.96,-4.72,4.73,4.97,4.76,3.79,3.77,3.76
45.23,-0.94,-4.68,-0.94,-4.68,4.69,4.96,4.75,3.75,3.75,3.73
45.68,-0.94,-4.68,-0.93,-4.65,4.65,4.95,4.74,3.71,3.73,3.74
46.13,-0.90,-4.60,-0.92,-4.62,4.62,4.94,4.73,3.71,3.70,3.69
