frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-5.82,-3.62,-5.83,5.82,5.22,2.08,2.21,2.20,2.21
20.20,-3.58,-5.77,-3.58,-5.79,5.79,5.23,2.14,2.21,2.21,2.19
20.40,-3.54,-5.78,-3.53,-5.75,5.76,5.24,2.21,2.21,2.22,2.24
20.61,-3.48,-5.73,-3.49,-5.72,5.72,5.25,2.27,2.24,2.24,2.24
20.81,-3.43,-5.67,-3.44,-5.69,5.69,5.26,2.34,2.26,2.25,2.24
21.02,-3.39,-5.63,-3.39,-5.65,5.66,5.27,2.40,2.26,2.27,2.24
21.23,-3.35,-5.64,-3.35,-5.62,5.62,5.27,2.47,2.27,2.27,2.29
21.44,-3.30,-5.59,-3.31,-5.60,5.59,5.28,2.55,2.28,2.28,2.29
21.66,-3.26,-5.55,-3.26,-5.57,5.55,5.28,2.62,2.28,2.29,2.29
21.87,-3.21,-5.53,-3.21,-5.52,5.51,5.28,2.70,2.30,2.30,2.32
22.09,-3.15,-5.48,-3.15,-5.48,5.47,5.29,2.77,2.32,2.32,2.33
22.31,-3.09,-5.42,-3.10,-5.43,5.43,5.29,2.85,2.34,2.34,2.33
22.54,-3.04,-5.37,-3.05,-5.38,5.40,5.29,2.93,2.35,2.35,2.33
22.76,-3.01,-5.34,-3.01,-5.34,5.36,5.29,3.02,2.35,2.36,2.33
22.99,-2.96,-5.32,-2.97,-5.32,5.33,5.28,3.10,2.36,2.36,2.36
23.22,-2.93,-5.31,-2.94,-5.30,5.30,5.28,3.19,2.36,2.36,2.38
23.45,-2.90,-5.28,-2.90,-5.28,5.27,5.27,3.28,2.36,2.36,2.38
23.69,-2.87,-5.25,-2.87,-5.25,5.24,5.27,3.37,2.36,2.37,2.38
23.92,-2.83,-5.21,-2.83,-5.21,5.20,5.26,3.47,2.37,2.37,2.38
24.16,-2.78,-5.16,-2.79,-5.17,5.17,5.25,3.56,2.39,2.38,2.38
