frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-5.95,-3.62,-5.96,5.96,5.97,2.30,2.35,2.34,2.34
20.20,-3.58,-5.94,-3.58,-5.93,5.93,5.95,2.36,2.35,2.36,2.36
20.40,-3.54,-5.90,-3.53,-5.91,5.91,5.92,2.43,2.36,2.37,2.36
20.61,-3.48,-5.88,-3.49,-5.88,5.88,5.89,2.50,2.39,2.39,2.40
20.81,-3.43,-5.85,-3.44,-5.86,5.85,5.87,2.57,2.42,2.41,2.42
21.02,-3.39,-5.84,-3.39,-5.83,5.82,5.84,2.64,2.43,2.43,2.45
21.23,-3.35,-5.80,-3.35,-5.80,5.80,5.81,2.71,2.44,2.45,2.45
21.44,-3.30,-5.76,-3.31,-5.78,5.77,5.78,2.79,2.47,2.46,2.46
21.66,-3.26,-5.75,-3.26,-5.75,5.74,5.74,2.87,2.47,2.48,2.49
21.87,-3.21,-5.74,-3.21,-5.72,5.71,5.71,2.95,2.50,2.50,2.53
22.09,-3.15,-5.68,-3.15,-5.68,5.68,5.68,3.04,2.53,2.53,2.53
22.31,-3.09,-5.62,-3.10,-5.65,5.66,5.65,3.12,2.56,2.56,2.53
22.54,-3.04,-5.62,-3.05,-5.61,5.63,5.61,3.21,2.59,2.59,2.57
22.76,-3.01,-5.63,-3.01,-5.61,5.61,5.58,3.30,2.60,2.61,2.61
22.99,-2.96,-5.58,-2.97,-5.60,5.60,5.55,3.39,2.63,2.63,2.61
23.22,-2.93,-5.60,-2.94,-5.59,5.58,5.51,3.49,2.65,2.65,2.66
23.45,-2.90,-5.57,-2.90,-5.58,5.57,5.48,3.58,2.67,2.67,2.66
23.69,-2.87,-5.59,-2.87,-5.57,5.56,5.45,3.68,2.69,2.69,2.71
23.92,-2.83,-5.55,-2.83,-5.55,5.55,5.41,3.78,2.72,2.72,2.71
24.16,-2.78,-5.54,-2.79,-5.54,5.54,5.38,3.88,2.75,2.74,2.75
24.40,-2.75,-5.52,-2.75,-5.52,5.52,5.35,3.99,2.77,2.77,2.76
24.65,-2.72,-5.52,-2.72,-5.51,5.50,5.32,4.09,2.78,2.79,2.79
24.89,-2.67,-5.47,-2.68,-5.49,5.48,5.28,4.20,2.81,2.81,2.80
25.14,-2.63,-5.47,-2.63,-5.46,5.47,5.25,4.31,2.83,2.84,2.84
25.39,-2.57,-5.43,-2.58,-5.44,5.45,5.22,4.42,2.87,2.87,2.86
25.65,-2.52,-5.41,-2.53,-5.43,5.42,5.19,4.52,2.90,2.89,2.89
25.91,-2.50,-5.42,-2.49,-5.40,5.40,5.16,4.63,2.89,2.90,2.92
26.16,-2.46,-5.38,-2.47,-5.39,5.37,5.13,4.74,2.91,2.91,2.92
26.43,-2.43,-5.35,-2.44,-5.36,5.35,5.10,4.85,2.92,2.91,2.92
26.69,-2.42,-5.34,-2.41,-5.33,5.33,5.08,4.96,2.91,2.92,2.92
26.96,-2.37,-5.29,-2.39,-5.30,5.31,5.05,5.06,2.94,2.93,2.92
27.23,-2.37,-5.29,-2.37,-5.28,5.30,5.02,5.16,2.93,2.94,2.92
27.50,-2.33,-5.25,-2.34,-5.28,5.29,5.00,5.27,2.96,2.95,2.92
27.77,-2.33,-5.31,-2.33,-5.28,5.29,4.97,5.36,2.96,2.97,2.97
28.05,-2.29,-5.29,-2.30,-5.29,5.29,4.95,5.46,3.00,2.99,2.99
28.33,-2.28,-5.30,-2.28,-5.30,5.29,4.92,5.54,3.01,3.01,3.01
28.62,-2.24,-5.30,-2.24,-5.29,5.28,4.90,5.63,3.04,3.04,3.05
28.90,-2.20,-5.27,-2.21,-5.29,5.27,4.88,5.71,3.07,3.06,3.07
29.19,-2.18,-5.28,-2.18,-5.27,5.26,4.86,5.78,3.07,3.08,3.10
29.48,-2.14,-5.24,-2.14,-5.24,5.23,4.84,5.84,3.09,3.09,3.10
29.78,-2.09,-5.19,-2.10,-5.20,5.19,4.82,5.90,3.10,3.09,3.10
30.08,-2.05,-5.15,-2.05,-5.15,5.15,4.80,5.95,3.10,3.10,3.10
30.38,-2.00,-5.10,-2.01,-5.10,5.11,4.78,6.00,3.11,3.10,3.10
30.68,-1.96,-5.06,-1.96,-5.06,5.07,4.76,6.03,3.10,3.10,3.10
30.99,-1.91,-5.02,-1.92,-5.02,5.02,4.75,6.06,3.11,3.11,3.10
31.30,-1.87,-4.98,-1.87,-4.98,4.98,4.73,6.07,3.11,3.11,3.10
31.61,-1.83,-4.94,-1.83,-4.94,4.94,4.72,6.08,3.11,3.11,3.10
