frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-6.33,-3.62,-6.34,6.00,5.80,2.39,2.38,2.38,2.72
20.20,-3.58,-6.31,-3.58,-6.31,6.00,5.83,2.46,2.42,2.42,2.73
20.40,-3.54,-6.31,-3.53,-6.29,6.00,5.85,2.54,2.46,2.47,2.77
20.61,-3.48,-6.25,-3.49,-6.27,6.00,5.87,2.61,2.52,2.51,2.77
20.81,-3.43,-6.25,-3.44,-6.25,6.00,5.89,2.69,2.57,2.56,2.82
21.02,-3.39,-6.21,-3.39,-6.22,6.00,5.90,2.76,2.61,2.61,2.82
21.23,-3.35,-6.21,-3.35,-6.20,6.00,5.92,2.84,2.65,2.65,2.86
21.44,-3.30,-6.17,-3.31,-6.17,6.00,5.92,2.93,2.70,2.69,2.87
21.66,-3.26,-6.14,-3.26,-6.14,6.00,5.93,3.01,2.74,2.74,2.88
21.87,-3.21,-6.12,-3.21,-6.11,6.00,5.93,3.10,2.79,2.79,2.91
22.09,-3.15,-6.07,-3.15,-6.08,6.00,5.93,3.19,2.85,2.85,2.92
22.31,-3.09,-6.06,-3.10,-6.05,6.00,5.93,3.28,2.91,2.90,2.97
22.54,-3.04,-6.01,-3.05,-6.02,5.99,5.92,3.38,2.95,2.95,2.97
22.76,-3.01,-6.00,-3.01,-6.00,5.99,5.91,3.47,2.97,2.98,2.99
22.99,-2.96,-5.98,-2.97,-5.97,5.98,5.90,3.57,3.01,3.01,3.02
23.22,-2.93,-5.95,-2.94,-5.96,5.96,5.89,3.67,3.03,3.03,3.01
23.45,-2.90,-5.96,-2.90,-5.94,5.94,5.87,3.78,3.04,3.04,3.05
23.69,-2.87,-5.93,-2.87,-5.92,5.93,5.86,3.88,3.05,3.06,3.05
23.92,-2.83,-5.89,-2.83,-5.90,5.91,5.84,3.99,3.07,3.08,3.05
24.16,-2.78,-5.89,-2.79,-5.87,5.88,5.82,4.10,3.10,3.09,3.10
24.40,-2.75,-5.86,-2.75,-5.86,5.86,5.79,4.21,3.10,3.10,3.10
24.65,-2.72,-5.83,-2.72,-5.84,5.83,5.77,4.33,3.11,3.11,3.10
24.89,-2.67,-5.82,-2.68,-5.81,5.80,5.75,4.44,3.13,3.13,3.15
25.14,-2.63,-5.78,-2.63,-5.79,5.78,5.72,4.56,3.14,3.15,3.15
25.39,-2.57,-5.75,-2.58,-5.76,5.75,5.69,4.68,3.18,3.17,3.18
25.65,-2.52,-5.71,-2.53,-5.71,5.72,5.67,4.80,3.20,3.19,3.19
25.91,-2.50,-5.69,-2.49,-5.69,5.70,5.64,4.91,3.20,3.21,3.19
26.16,-2.46,-5.65,-2.47,-5.67,5.68,5.61,5.03,3.22,3.21,3.19
26.43,-2.43,-5.67,-2.44,-5.66,5.66,5.58,5.15,3.23,3.22,3.24
26.69,-2.42,-5.66,-2.41,-5.65,5.65,5.55,5.27,3.23,3.24,3.24
26.96,-2.37,-5.61,-2.39,-5.64,5.64,5.52,5.38,3.27,3.26,3.24
27.23,-2.37,-5.66,-2.37,-5.64,5.64,5.50,5.50,3.27,3.27,3.29
27.50,-2.33,-5.63,-2.34,-5.63,5.64,5.47,5.61,3.30,3.30,3.30
27.77,-2.33,-5.64,-2.33,-5.64,5.64,5.44,5.72,3.30,3.31,3.31
28.05,-2.29,-5.63,-2.30,-5.64,5.64,5.41,5.82,3.34,3.33,3.33
28.33,-2.28,-5.66,-2.28,-5.64,5.63,5.38,5.92,3.35,3.36,3.37
28.62,-2.24,-5.63,-2.24,-5.63,5.63,5.35,6.02,3.38,3.38,3.38
28.90,-2.20,-5.61,-2.21,-5.62,5.62,5.33,6.11,3.42,3.41,3.40
29.19,-2.18,-5.61,-2.18,-5.61,5.61,5.30,6.19,3.42,3.43,3.43
29.48,-2.14,-5.61,-2.14,-5.60,5.59,5.27,6.27,3.45,3.45,3.47
29.78,-2.09,-5.56,-2.10,-5.58,5.57,5.25,6.33,3.48,3.47,3.47
30.08,-2.05,-5.56,-2.05,-5.55,5.55,5.22,6.40,3.50,3.50,3.51
30.38,-2.00,-5.52,-2.01,-5.52,5.53,5.20,6.45,3.52,3.52,3.52
30.68,-1.96,-5.49,-1.96,-5.50,5.50,5.18,6.49,3.54,3.54,3.53
30.99,-1.91,-5.49,-1.92,-5.47,5.48,5.16,6.53,3.56,3.56,3.57
31.30,-1.87,-5.45,-1.87,-5.45,5.45,5.13,6.56,3.58,3.58,3.57
31.61,-1.83,-5.41,-1.83,-5.42,5.43,5.11,6.58,3.59,3.59,3.57
31.93,-1.80,-5.41,-1.81,-5.40,5.40,5.09,6.59,3.60,3.60,3.61
32.24,-1.77,-5.38,-1.78,-5.39,5.38,5.08,6.59,3.61,3.60,3.61
32.57,-1.76,-5.37,-1.75,-5.37,5.36,5.06,6.58,3.59,3.60,3.61
32.89,-1.72,-5.33,-1.72,-5.33,5.33,5.04,6.57,3.61,3.61,3.61
33.22,-1.68,-5.30,-1.69,-5.30,5.31,5.03,6.55,3.62,3.62,3.62
33.55,-1.65,-5.27,-1.66,-5.28,5.28,5.01,6.52,3.63,3.62,3.61
33.89,-1.64,-5.26,-1.64,-5.26,5.26,5.00,6.48,3.61,3.61,3.61
34.23,-1.64,-5.25,-1.63,-5.24,5.23,4.99,6.44,3.59,3.60,3.61
34.57,-1.59,-5.20,-1.60,-5.21,5.20,4.97,6.39,3.61,3.60,3.61
34.92,-1.57,-5.18,-1.58,-5.18,5.18,4.96,6.35,3.60,3.60,3.61
35.27,-1.54,-5.16,-1.54,-5.15,5.16,4.95,6.29,3.61,3.61,3.61
35.62,-1.51,-5.13,-1.51,-5.13,5.13,4.95,6.23,3.62,3.63,3.61
35.97,-1.46,-5.09,-1.47,-5.11,5.11,4.94,6.18,3.65,3.64,3.63
36.33,-1.43,-5.09,-1.44,-5.09,5.10,4.93,6.12,3.66,3.66,3.66
36.70,-1.42,-5.09,-1.41,-5.08,5.08,4.93,6.05,3.66,3.67,3.67
37.06,-1.38,-5.05,-1.39,-5.07,5.06,4.92,5.99,3.68,3.68,3.66
37.43,-1.36,-5.07,-1.36,-5.06,5.05,4.92,5.93,3.69,3.69,3.71
37.81,-1.33,-5.04,-1.33,-5.04,5.04,4.91,5.87,3.70,3.71,3.71
38.19,-1.30,-5.02,-1.31,-5.03,5.02,4.91,5.81,3.72,3.72,3.72
38.57,-1.27,-5.02,-1.28,-5.01,5.01,4.91,5.75,3.73,3.73,3.74
38.95,-1.25,-5.00,-1.25,-4.99,5.00,4.91,5.69,3.74,3.75,3.75
39.34,-1.22,-4.97,-1.23,-4.98,4.98,4.91,5.64,3.76,3.76,3.75
39.74,-1.20,-4.96,-1.21,-4.96,4.97,4.91,5.58,3.77,3.77,3.75
40.14,-1.20,-4.96,-1.19,-4.96,4.97,4.92,5.53,3.77,3.78,3.76
40.54,-1.16,-4.96,-1.18,-4.96,4.97,4.92,5.49,3.80,3.79,3.80
40.94,-1.16,-4.97,-1.16,-4.97,4.97,4.92,5.44,3.80,3.81,3.80
41.35,-1.15,-4.96,-1.15,-4.97,4.97,4.93,5.40,3.81,3.82,3.81
41.76,-1.12,-4.97,-1.13,-4.97,4.96,4.93,5.37,3.84,3.83,3.85
42.18,-1.12,-4.98,-1.12,-4.97,4.96,4.94,5.33,3.83,3.84,3.85
42.60,-1.09,-4.94,-1.10,-4.97,4.95,4.95,5.30,3.86,3.85,3.85
43.03,-1.07,-4.97,-1.07,-4.95,4.94,4.95,5.28,3.87,3.87,3.89
43.46,-1.04,-4.93,-1.04,-4.93,4.93,4.96,5.25,3.89,3.89,3.89
