frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.89,-3.62,-4.90,4.88,4.71,1.71,1.27,1.26,1.28
20.20,-3.58,-4.86,-3.58,-4.86,4.86,4.68,1.76,1.27,1.28,1.28
20.40,-3.54,-4.82,-3.53,-4.82,4.82,4.64,1.81,1.28,1.29,1.28
20.61,-3.48,-4.77,-3.49,-4.78,4.79,4.61,1.86,1.31,1.30,1.28
20.81,-3.43,-4.75,-3.44,-4.74,4.76,4.58,1.92,1.33,1.32,1.32
21.02,-3.39,-4.71,-3.39,-4.71,4.72,4.55,1.97,1.33,1.33,1.32
21.23,-3.35,-4.67,-3.35,-4.69,4.69,4.51,2.03,1.33,1.34,1.32
21.44,-3.30,-4.67,-3.31,-4.66,4.65,4.48,2.09,1.34,1.34,1.37
21.66,-3.26,-4.63,-3.26,-4.63,4.61,4.45,2.15,1.34,1.35,1.37
21.87,-3.21,-4.58,-3.21,-4.58,4.57,4.42,2.22,1.35,1.36,1.37
22.09,-3.15,-4.52,-3.15,-4.52,4.52,4.39,2.28,1.37,1.37,1.37
22.31,-3.09,-4.46,-3.10,-4.47,4.48,4.36,2.35,1.38,1.38,1.37
22.54,-3.04,-4.41,-3.05,-4.42,4.43,4.32,2.42,1.39,1.38,1.37
22.76,-3.01,-4.38,-3.01,-4.37,4.38,4.29,2.49,1.37,1.38,1.37
22.99,-2.96,-4.33,-2.97,-4.34,4.34,4.26,2.56,1.38,1.37,1.37
23.22,-2.93,-4.30,-2.94,-4.30,4.30,4.23,2.63,1.37,1.37,1.37
23.45,-2.90,-4.27,-2.90,-4.27,4.26,4.20,2.71,1.36,1.36,1.37
23.69,-2.87,-4.24,-2.87,-4.24,4.23,4.17,2.79,1.36,1.36,1.37
23.92,-2.83,-4.20,-2.83,-4.20,4.19,4.15,2.86,1.36,1.36,1.37
24.16,-2.78,-4.15,-2.79,-4.16,4.16,4.12,2.94,1.37,1.36,1.37
24.40,-2.75,-4.12,-2.75,-4.12,4.12,4.09,3.02,1.36,1.36,1.36
24.65,-2.72,-4.09,-2.72,-4.08,4.07,4.06,3.11,1.35,1.36,1.36
24.89,-2.67,-4.04,-2.68,-4.04,4.03,4.03,3.19,1.36,1.35,1.36
25.14,-2.63,-4.00,-2.63,-3.99,3.99,4.00,3.27,1.35,1.36,1.36
25.39,-2.57,-3.94,-2.58,-3.94,3.94,3.98,3.35,1.37,1.37,1.36
25.65,-2.52,-3.89,-2.53,-3.90,3.90,3.95,3.44,1.38,1.37,1.36
25.91,-2.50,-3.88,-2.49,-3.86,3.87,3.92,3.52,1.36,1.37,1.37
26.16,-2.46,-3.83,-2.47,-3.84,3.83,3.90,3.61,1.37,1.36,1.37
26.43,-2.43,-3.80,-2.44,-3.81,3.81,3.87,3.69,1.37,1.37,1.37
26.69,-2.42,-3.79,-2.41,-3.78,3.79,3.85,3.77,1.37,1.38,1.37
26.96,-2.37,-3.74,-2.39,-3.77,3.78,3.82,3.85,1.41,1.39,1.37
27.23,-2.37,-3.78,-2.37,-3.76,3.78,3.80,3.93,1.40,1.41,1.41
27.50,-2.33,-3.76,-2.34,-3.77,3.78,3.77,4.01,1.44,1.44,1.43
27.77,-2.33,-3.79,-2.33,-3.79,3.78,3.75,4.08,1.45,1.46,1.46
28.05,-2.29,-3.80,-2.30,-3.80,3.79,3.72,4.15,1.50,1.49,1.51
28.33,-2.28,-3.82,-2.28,-3.81,3.80,3.70,4.22,1.52,1.52,1.54
28.62,-2.24,-3.81,-2.24,-3.81,3.81,3.67,4.28,1.56,1.56,1.56
28.90,-2.20,-3.80,-2.21,-3.81,3.81,3.65,4.34,1.61,1.60,1.59
29.19,-2.18,-3.81,-2.18,-3.81,3.81,3.63,4.40,1.62,1.63,1.62
29.48,-2.14,-3.82,-2.14,-3.80,3.80,3.60,4.45,1.66,1.66,1.67
29.78,-2.09,-3.79,-2.10,-3.79,3.78,3.58,4.49,1.69,1.68,1.69
30.08,-2.05,-3.76,-2.05,-3.77,3.76,3.56,4.53,1.71,1.71,1.71
30.38,-2.00,-3.73,-2.01,-3.74,3.74,3.54,4.56,1.73,1.73,1.73
30.68,-1.96,-3.72,-1.96,-3.71,3.71,3.52,4.59,1.74,1.74,1.76
30.99,-1.91,-3.68,-1.92,-3.68,3.67,3.50,4.61,1.76,1.76,1.77
31.30,-1.87,-3.63,-1.87,-3.63,3.64,3.47,4.62,1.76,1.76,1.76
31.61,-1.83,-3.59,-1.83,-3.59,3.60,3.45,4.62,1.77,1.77,1.75
31.93,-1.80,-3.56,-1.81,-3.56,3.57,3.43,4.62,1.76,1.76,1.75
32.24,-1.77,-3.54,-1.78,-3.54,3.54,3.41,4.61,1.76,1.76,1.76
