frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-8.30,-3.62,-8.31,6.00,5.86,2.56,2.39,2.38,4.69
20.20,-3.58,-8.27,-3.58,-8.27,6.00,5.88,2.64,2.42,2.42,4.69
20.40,-3.54,-8.23,-3.53,-8.22,6.00,5.90,2.71,2.46,2.47,4.69
20.61,-3.48,-8.17,-3.49,-8.18,6.00,5.92,2.79,2.52,2.51,4.69
20.81,-3.43,-8.12,-3.44,-8.13,6.00,5.93,2.87,2.57,2.56,4.69
21.02,-3.39,-8.08,-3.39,-8.08,6.00,5.95,2.95,2.61,2.61,4.69
21.23,-3.35,-8.04,-3.35,-8.03,6.00,5.97,3.04,2.65,2.65,4.69
21.44,-3.30,-7.97,-3.31,-7.99,6.00,5.98,3.13,2.70,2.69,4.67
21.66,-3.26,-7.94,-3.26,-7.93,6.00,5.99,3.22,2.74,2.74,4.68
21.87,-3.21,-7.88,-3.21,-7.87,6.00,6.00,3.31,2.79,2.79,4.67
22.09,-3.15,-7.80,-3.15,-7.80,6.00,6.02,3.40,2.85,2.85,4.65
22.31,-3.09,-7.72,-3.10,-7.72,6.00,6.02,3.50,2.91,2.90,4.63
22.54,-3.04,-7.63,-3.05,-7.64,6.00,6.03,3.60,2.96,2.95,4.59
22.76,-3.01,-7.59,-3.01,-7.57,6.00,6.04,3.70,2.99,2.99,4.58
22.99,-2.96,-7.50,-2.97,-7.51,6.00,6.05,3.81,3.04,3.03,4.54
23.22,-2.93,-7.47,-2.94,-7.48,6.00,6.05,3.91,3.07,3.06,4.53
23.45,-2.90,-7.44,-2.90,-7.43,6.00,6.06,4.02,3.10,3.10,4.53
23.69,-2.87,-7.41,-2.87,-7.39,6.00,6.06,4.14,3.13,3.13,4.53
23.92,-2.83,-7.33,-2.83,-7.33,6.00,6.06,4.25,3.17,3.17,4.49
24.16,-2.78,-7.27,-2.79,-7.28,6.00,6.07,4.36,3.22,3.21,4.48
24.40,-2.75,-7.24,-2.75,-7.23,6.00,6.07,4.48,3.25,3.25,4.48
24.65,-2.72,-7.21,-2.72,-7.20,6.00,6.06,4.60,3.28,3.28,4.48
24.89,-2.67,-7.16,-2.68,-7.16,6.00,6.06,4.72,3.33,3.32,4.48
