frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-7.33,-3.62,-7.34,6.00,6.18,1.88,2.39,2.38,3.72
20.20,-3.58,-7.28,-3.58,-7.28,6.00,6.19,1.93,2.42,2.42,3.70
20.40,-3.54,-7.24,-3.53,-7.23,6.00,6.21,1.98,2.46,2.47,3.70
20.61,-3.48,-7.18,-3.49,-7.18,6.00,6.23,2.04,2.52,2.51,3.70
20.81,-3.43,-7.13,-3.44,-7.14,6.00,6.25,2.10,2.57,2.56,3.70
21.02,-3.39,-7.09,-3.39,-7.09,6.00,6.27,2.16,2.61,2.61,3.70
21.23,-3.35,-7.05,-3.35,-7.04,6.00,6.30,2.22,2.65,2.65,3.70
21.44,-3.30,-6.96,-3.31,-6.98,6.00,6.33,2.28,2.70,2.69,3.66
21.66,-3.26,-6.93,-3.26,-6.92,6.00,6.37,2.34,2.74,2.74,3.67
21.87,-3.21,-6.87,-3.21,-6.86,6.00,6.40,2.41,2.79,2.79,3.66
22.09,-3.15,-6.79,-3.15,-6.80,6.00,6.44,2.48,2.85,2.85,3.64
22.31,-3.09,-6.74,-3.10,-6.74,6.00,6.48,2.55,2.91,2.90,3.65
22.54,-3.04,-6.67,-3.05,-6.68,6.00,6.52,2.62,2.96,2.95,3.63
22.76,-3.01,-6.64,-3.01,-6.63,6.00,6.55,2.69,2.99,2.99,3.63
22.99,-2.96,-6.58,-2.97,-6.57,6.00,6.59,2.77,3.04,3.03,3.62
23.22,-2.93,-6.51,-2.94,-6.52,6.00,6.62,2.85,3.07,3.06,3.58
23.45,-2.90,-6.48,-2.90,-6.48,6.00,6.65,2.92,3.10,3.10,3.57
23.69,-2.87,-6.45,-2.87,-6.44,6.00,6.67,3.00,3.13,3.13,3.57
23.92,-2.83,-6.41,-2.83,-6.39,6.01,6.69,3.09,3.17,3.18,3.57
24.16,-2.78,-6.32,-2.79,-6.33,6.01,6.69,3.17,3.23,3.22,3.53
24.40,-2.75,-6.28,-2.75,-6.28,6.02,6.70,3.26,3.26,3.26,3.52
24.65,-2.72,-6.22,-2.72,-6.22,6.01,6.69,3.34,3.29,3.30,3.49
24.89,-2.67,-6.16,-2.68,-6.16,6.00,6.67,3.43,3.33,3.33,3.49
25.14,-2.63,-6.08,-2.63,-6.08,5.98,6.64,3.52,3.35,3.35,3.45
25.39,-2.57,-5.99,-2.58,-6.00,5.95,6.60,3.60,3.37,3.37,3.42
25.65,-2.52,-5.91,-2.53,-5.92,5.90,6.55,3.69,3.37,3.36,3.39
25.91,-2.50,-5.85,-2.49,-5.84,5.84,6.48,3.78,3.33,3.34,3.34
26.16,-2.46,-5.75,-2.47,-5.76,5.77,6.41,3.87,3.30,3.30,3.29
26.43,-2.43,-5.66,-2.44,-5.67,5.68,6.33,3.96,3.25,3.25,3.23
26.69,-2.42,-5.59,-2.41,-5.58,5.59,6.24,4.04,3.17,3.18,3.17
26.96,-2.37,-5.47,-2.39,-5.49,5.50,6.14,4.13,3.12,3.11,3.10
27.23,-2.37,-5.41,-2.37,-5.40,5.40,6.03,4.21,3.02,3.03,3.04
27.50,-2.33,-5.31,-2.34,-5.31,5.30,5.91,4.29,2.97,2.96,2.98
27.77,-2.33,-5.21,-2.33,-5.21,5.21,5.79,4.37,2.87,2.88,2.87
28.05,-2.29,-5.11,-2.30,-5.11,5.11,5.67,4.45,2.82,2.81,2.81
28.33,-2.28,-5.02,-2.28,-5.01,5.01,5.54,4.52,2.73,2.74,2.73
28.62,-2.24,-4.91,-2.24,-4.91,4.92,5.41,4.59,2.67,2.68,2.66
28.90,-2.20,-4.81,-2.21,-4.82,4.83,5.28,4.65,2.62,2.61,2.60
29.19,-2.18,-4.73,-2.18,-4.72,4.73,5.15,4.71,2.55,2.56,2.55
29.48,-2.14,-4.64,-2.14,-4.64,4.64,5.02,4.76,2.50,2.50,2.50
29.78,-2.09,-4.54,-2.10,-4.55,4.55,4.89,4.80,2.46,2.45,2.45
