frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.43,-3.62,-4.44,4.43,4.28,1.16,0.82,0.81,0.81
20.20,-3.58,-4.42,-3.58,-4.40,4.40,4.25,1.20,0.81,0.82,0.83
20.40,-3.54,-4.37,-3.53,-4.36,4.36,4.23,1.23,0.82,0.83,0.83
20.61,-3.48,-4.32,-3.49,-4.32,4.33,4.20,1.27,0.84,0.84,0.83
20.81,-3.43,-4.26,-3.44,-4.27,4.28,4.17,1.31,0.85,0.84,0.83
21.02,-3.39,-4.22,-3.39,-4.22,4.24,4.14,1.36,0.84,0.85,0.83
21.23,-3.35,-4.18,-3.35,-4.18,4.19,4.10,1.40,0.83,0.84,0.83
21.44,-3.30,-4.13,-3.31,-4.14,4.13,4.06,1.44,0.83,0.83,0.83
21.66,-3.26,-4.09,-3.26,-4.09,4.08,4.02,1.49,0.81,0.82,0.83
21.87,-3.21,-4.04,-3.21,-4.03,4.01,3.98,1.54,0.80,0.81,0.83
22.09,-3.15,-3.96,-3.15,-3.96,3.95,3.94,1.58,0.80,0.80,0.81
22.31,-3.09,-3.87,-3.10,-3.88,3.88,3.89,1.63,0.79,0.78,0.78
22.54,-3.04,-3.79,-3.05,-3.81,3.81,3.84,1.68,0.77,0.76,0.75
22.76,-3.01,-3.75,-3.01,-3.73,3.74,3.79,1.74,0.73,0.74,0.74
22.99,-2.96,-3.66,-2.97,-3.66,3.68,3.74,1.79,0.71,0.71,0.70
23.22,-2.93,-3.59,-2.94,-3.61,3.61,3.69,1.84,0.68,0.68,0.66
23.45,-2.90,-3.55,-2.90,-3.55,3.56,3.64,1.90,0.65,0.65,0.65
23.69,-2.87,-3.52,-2.87,-3.50,3.51,3.59,1.96,0.63,0.64,0.65
23.92,-2.83,-3.45,-2.83,-3.45,3.46,3.53,2.02,0.62,0.63,0.62
24.16,-2.78,-3.39,-2.79,-3.41,3.41,3.48,2.08,0.62,0.61,0.61
24.40,-2.75,-3.36,-2.75,-3.36,3.35,3.42,2.14,0.60,0.60,0.61
24.65,-2.72,-3.33,-2.72,-3.32,3.30,3.37,2.20,0.58,0.58,0.61
24.89,-2.67,-3.25,-2.68,-3.26,3.24,3.31,2.26,0.57,0.57,0.58
25.14,-2.63,-3.21,-2.63,-3.19,3.18,3.25,2.32,0.55,0.56,0.57
25.39,-2.57,-3.11,-2.58,-3.12,3.12,3.20,2.38,0.55,0.55,0.53
25.65,-2.52,-3.05,-2.53,-3.05,3.06,3.14,2.45,0.54,0.53,0.52
25.91,-2.50,-2.99,-2.49,-2.98,3.00,3.08,2.51,0.49,0.50,0.48
26.16,-2.46,-2.93,-2.47,-2.93,2.94,3.02,2.57,0.47,0.47,0.46
26.43,-2.43,-2.88,-2.44,-2.87,2.88,2.97,2.63,0.44,0.44,0.44
26.69,-2.42,-2.83,-2.41,-2.82,2.82,2.91,2.69,0.40,0.41,0.40
26.96,-2.37,-2.77,-2.39,-2.77,2.77,2.85,2.75,0.39,0.38,0.39
27.23,-2.37,-2.72,-2.37,-2.72,2.72,2.80,2.81,0.34,0.35,0.35
27.50,-2.33,-2.64,-2.34,-2.66,2.67,2.74,2.86,0.33,0.33,0.31
27.77,-2.33,-2.63,-2.33,-2.61,2.62,2.68,2.92,0.28,0.29,0.30
28.05,-2.29,-2.55,-2.30,-2.56,2.56,2.63,2.97,0.27,0.26,0.26
28.33,-2.28,-2.52,-2.28,-2.51,2.51,2.57,3.01,0.22,0.23,0.24
28.62,-2.24,-2.46,-2.24,-2.45,2.45,2.52,3.06,0.20,0.20,0.22
28.90,-2.20,-2.39,-2.21,-2.40,2.39,2.46,3.09,0.18,0.17,0.19
29.19,-2.18,-2.34,-2.18,-2.33,2.32,2.41,3.13,0.14,0.15,0.15
29.48,-2.14,-2.28,-2.14,-2.27,2.26,2.35,3.16,0.12,0.12,0.13
29.78,-2.09,-2.19,-2.10,-2.20,2.20,2.30,3.19,0.11,0.10,0.09
30.08,-2.05,-2.15,-2.05,-2.14,2.15,2.25,3.21,0.09,0.10,0.09
30.38,-2.00,-2.09,-2.01,-2.09,2.11,2.20,3.22,0.10,0.10,0.09
30.68,-1.96,-2.05,-1.96,-2.06,2.08,2.14,3.23,0.11,0.12,0.09
30.99,-1.91,-2.05,-1.92,-2.05,2.06,2.09,3.23,0.15,0.15,0.14
31.30,-1.87,-2.06,-1.87,-2.06,2.07,2.04,3.23,0.19,0.19,0.19
31.61,-1.83,-2.07,-1.83,-2.07,2.08,1.99,3.22,0.25,0.25,0.24
31.93,-1.80,-2.11,-1.81,-2.10,2.11,1.94,3.21,0.31,0.31,0.30
32.24,-1.77,-2.13,-1.78,-2.15,2.15,1.90,3.19,0.38,0.37,0.35
32.57,-1.76,-2.21,-1.75,-2.19,2.20,1.85,3.16,0.44,0.45,0.45
32.89,-1.72,-2.23,-1.72,-2.24,2.25,1.80,3.13,0.52,0.53,0.51
33.22,-1.68,-2.28,-1.69,-2.29,2.28,1.75,3.09,0.60,0.60,0.60
33.55,-1.65,-2.31,-1.66,-2.32,2.31,1.71,3.05,0.65,0.64,0.66
33.89,-1.64,-2.35,-1.64,-2.34,2.31,1.66,3.00,0.67,0.67,0.71
34.23,-1.64,-2.35,-1.63,-2.33,2.29,1.62,2.95,0.65,0.67,0.70
34.57,-1.59,-2.28,-1.60,-2.28,2.25,1.58,2.90,0.66,0.65,0.68
