frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.46,-3.62,-4.46,4.45,4.28,1.86,0.84,0.83,0.85
20.20,-3.58,-4.44,-3.58,-4.45,4.44,4.30,1.91,0.86,0.87,0.86
20.40,-3.54,-4.43,-3.53,-4.43,4.44,4.32,1.97,0.89,0.90,0.89
20.61,-3.48,-4.43,-3.49,-4.42,4.43,4.34,2.03,0.95,0.94,0.95
20.81,-3.43,-4.41,-3.44,-4.42,4.43,4.36,2.09,0.99,0.99,0.98
21.02,-3.39,-4.41,-3.39,-4.41,4.42,4.37,2.15,1.03,1.03,1.02
21.23,-3.35,-4.41,-3.35,-4.41,4.41,4.39,2.21,1.06,1.06,1.06
21.44,-3.30,-4.40,-3.31,-4.41,4.41,4.40,2.27,1.10,1.10,1.10
21.66,-3.26,-4.41,-3.26,-4.41,4.40,4.41,2.34,1.14,1.14,1.15
21.87,-3.21,-4.42,-3.21,-4.41,4.40,4.42,2.40,1.18,1.19,1.21
22.09,-3.15,-4.39,-3.15,-4.40,4.39,4.43,2.47,1.24,1.24,1.24
22.31,-3.09,-4.38,-3.10,-4.38,4.38,4.43,2.55,1.29,1.29,1.29
22.54,-3.04,-4.37,-3.05,-4.37,4.38,4.44,2.62,1.33,1.33,1.33
22.76,-3.01,-4.37,-3.01,-4.36,4.37,4.44,2.69,1.36,1.36,1.36
22.99,-2.96,-4.35,-2.97,-4.36,4.36,4.45,2.77,1.40,1.39,1.39
23.22,-2.93,-4.36,-2.94,-4.35,4.36,4.45,2.85,1.42,1.42,1.42
23.45,-2.90,-4.35,-2.90,-4.35,4.35,4.45,2.93,1.45,1.45,1.44
23.69,-2.87,-4.36,-2.87,-4.35,4.35,4.45,3.01,1.48,1.48,1.48
23.92,-2.83,-4.35,-2.83,-4.35,4.35,4.45,3.09,1.52,1.52,1.51
24.16,-2.78,-4.35,-2.79,-4.35,4.35,4.44,3.18,1.56,1.56,1.56
24.40,-2.75,-4.35,-2.75,-4.34,4.34,4.44,3.27,1.59,1.59,1.59
24.65,-2.72,-4.35,-2.72,-4.34,4.34,4.43,3.35,1.61,1.62,1.62
24.89,-2.67,-4.33,-2.68,-4.34,4.33,4.43,3.44,1.66,1.65,1.65
25.14,-2.63,-4.33,-2.63,-4.33,4.32,4.42,3.53,1.69,1.70,1.70
25.39,-2.57,-4.31,-2.58,-4.31,4.31,4.41,3.62,1.74,1.74,1.74
25.65,-2.52,-4.29,-2.53,-4.30,4.31,4.40,3.71,1.78,1.77,1.77
25.91,-2.50,-4.29,-2.49,-4.29,4.30,4.39,3.80,1.79,1.80,1.79
26.16,-2.46,-4.29,-2.47,-4.29,4.29,4.38,3.89,1.83,1.82,1.83
26.43,-2.43,-4.27,-2.44,-4.29,4.29,4.36,3.98,1.85,1.85,1.84
26.69,-2.42,-4.31,-2.41,-4.29,4.29,4.35,4.07,1.86,1.88,1.89
26.96,-2.37,-4.26,-2.39,-4.28,4.29,4.33,4.15,1.91,1.90,1.89
27.23,-2.37,-4.30,-2.37,-4.29,4.29,4.32,4.24,1.91,1.92,1.93
27.50,-2.33,-4.27,-2.34,-4.28,4.29,4.30,4.32,1.95,1.95,1.94
27.77,-2.33,-4.31,-2.33,-4.29,4.29,4.28,4.40,1.95,1.96,1.98
28.05,-2.29,-4.28,-2.30,-4.29,4.28,4.27,4.47,1.99,1.98,1.98
28.33,-2.28,-4.28,-2.28,-4.28,4.27,4.25,4.55,1.99,2.00,1.99
28.62,-2.24,-4.28,-2.24,-4.26,4.26,4.23,4.61,2.02,2.02,2.03
28.90,-2.20,-4.24,-2.21,-4.25,4.25,4.21,4.68,2.04,2.03,2.03
