frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-1.12,-3.62,-1.13,1.11,0.72,0.48,-2.51,-2.51,-2.49
20.20,-3.58,-1.12,-3.58,-1.11,1.11,0.73,0.49,-2.47,-2.47,-2.46
20.40,-3.54,-1.10,-3.53,-1.10,1.11,0.74,0.51,-2.43,-2.42,-2.44
20.61,-3.48,-1.09,-3.49,-1.10,1.11,0.75,0.52,-2.37,-2.37,-2.39
20.81,-3.43,-1.09,-3.44,-1.10,1.12,0.76,0.54,-2.32,-2.32,-2.34
21.02,-3.39,-1.11,-3.39,-1.11,1.12,0.77,0.55,-2.28,-2.28,-2.28
21.23,-3.35,-1.13,-3.35,-1.12,1.12,0.78,0.57,-2.24,-2.23,-2.22
21.44,-3.30,-1.13,-3.31,-1.13,1.12,0.79,0.58,-2.19,-2.19,-2.17
21.66,-3.26,-1.13,-3.26,-1.13,1.12,0.80,0.60,-2.15,-2.15,-2.13
21.87,-3.21,-1.12,-3.21,-1.12,1.11,0.82,0.62,-2.10,-2.09,-2.09
22.09,-3.15,-1.12,-3.15,-1.11,1.11,0.83,0.64,-2.04,-2.04,-2.03
22.31,-3.09,-1.09,-3.10,-1.10,1.11,0.84,0.65,-1.98,-1.99,-2.00
22.54,-3.04,-1.09,-3.05,-1.09,1.11,0.85,0.67,-1.94,-1.94,-1.95
22.76,-3.01,-1.10,-3.01,-1.09,1.10,0.86,0.69,-1.91,-1.90,-1.91
22.99,-2.96,-1.10,-2.97,-1.10,1.11,0.87,0.71,-1.86,-1.86,-1.86
23.22,-2.93,-1.12,-2.94,-1.11,1.11,0.88,0.73,-1.82,-1.82,-1.82
23.45,-2.90,-1.12,-2.90,-1.12,1.12,0.90,0.75,-1.78,-1.78,-1.78
23.69,-2.87,-1.14,-2.87,-1.13,1.13,0.91,0.77,-1.74,-1.74,-1.74
23.92,-2.83,-1.14,-2.83,-1.14,1.14,0.92,0.79,-1.69,-1.69,-1.70
24.16,-2.78,-1.14,-2.79,-1.15,1.15,0.93,0.82,-1.64,-1.64,-1.65
