frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-9.17,-3.62,-9.18,6.00,5.20,2.49,2.39,2.38,5.56
20.20,-3.58,-9.16,-3.58,-9.15,6.00,5.26,2.56,2.42,2.42,5.58
20.40,-3.54,-9.12,-3.53,-9.12,6.00,5.32,2.64,2.46,2.47,5.58
20.61,-3.48,-9.07,-3.49,-9.09,6.00,5.37,2.71,2.52,2.51,5.58
20.81,-3.43,-9.06,-3.44,-9.05,6.00,5.43,2.79,2.57,2.56,5.63
21.02,-3.39,-9.02,-3.39,-9.02,6.00,5.48,2.87,2.61,2.61,5.63
21.23,-3.35,-8.98,-3.35,-9.00,6.00,5.54,2.96,2.65,2.65,5.63
21.44,-3.30,-8.98,-3.31,-8.97,6.00,5.59,3.05,2.70,2.69,5.68
21.66,-3.26,-8.94,-3.26,-8.93,6.00,5.64,3.13,2.74,2.74,5.68
21.87,-3.21,-8.89,-3.21,-8.89,6.00,5.69,3.23,2.79,2.79,5.68
22.09,-3.15,-8.83,-3.15,-8.84,6.00,5.74,3.32,2.85,2.85,5.68
22.31,-3.09,-8.81,-3.10,-8.80,6.00,5.78,3.42,2.91,2.90,5.72
22.54,-3.04,-8.76,-3.05,-8.76,6.00,5.83,3.52,2.96,2.95,5.72
22.76,-3.01,-8.73,-3.01,-8.73,6.00,5.87,3.62,2.99,2.99,5.72
22.99,-2.96,-8.69,-2.97,-8.71,6.00,5.92,3.72,3.04,3.03,5.73
23.22,-2.93,-8.70,-2.94,-8.69,6.00,5.96,3.83,3.07,3.06,5.77
23.45,-2.90,-8.67,-2.90,-8.67,6.00,5.99,3.94,3.10,3.10,5.77
23.69,-2.87,-8.64,-2.87,-8.64,6.00,6.03,4.05,3.13,3.13,5.77
23.92,-2.83,-8.60,-2.83,-8.60,6.00,6.06,4.16,3.17,3.17,5.77
24.16,-2.78,-8.55,-2.79,-8.56,6.00,6.10,4.28,3.22,3.21,5.77
24.40,-2.75,-8.52,-2.75,-8.52,6.00,6.12,4.40,3.25,3.25,5.76
24.65,-2.72,-8.49,-2.72,-8.48,6.00,6.15,4.51,3.28,3.28,5.76
24.89,-2.67,-8.44,-2.68,-8.44,6.00,6.18,4.64,3.33,3.32,5.76
