frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.60,-3.62,-3.61,3.60,3.42,1.52,-0.01,-0.02,-0.01
20.20,-3.58,-3.60,-3.58,-3.59,3.59,3.42,1.57,0.01,0.01,0.02
20.40,-3.54,-3.58,-3.53,-3.58,3.58,3.43,1.61,0.04,0.05,0.04
20.61,-3.48,-3.56,-3.49,-3.56,3.57,3.43,1.66,0.08,0.08,0.08
20.81,-3.43,-3.54,-3.44,-3.55,3.56,3.44,1.70,0.13,0.12,0.11
21.02,-3.39,-3.56,-3.39,-3.55,3.55,3.44,1.75,0.16,0.16,0.17
21.23,-3.35,-3.55,-3.35,-3.55,3.55,3.44,1.80,0.19,0.20,0.20
21.44,-3.30,-3.55,-3.31,-3.55,3.54,3.45,1.85,0.24,0.24,0.25
21.66,-3.26,-3.55,-3.26,-3.55,3.54,3.45,1.91,0.28,0.28,0.29
21.87,-3.21,-3.55,-3.21,-3.55,3.54,3.46,1.96,0.33,0.33,0.34
22.09,-3.15,-3.54,-3.15,-3.54,3.54,3.46,2.02,0.39,0.39,0.39
22.31,-3.09,-3.54,-3.10,-3.54,3.54,3.46,2.07,0.45,0.45,0.45
22.54,-3.04,-3.53,-3.05,-3.54,3.55,3.46,2.13,0.50,0.50,0.48
22.76,-3.01,-3.56,-3.01,-3.55,3.56,3.47,2.19,0.54,0.55,0.54
22.99,-2.96,-3.56,-2.97,-3.56,3.57,3.47,2.25,0.60,0.60,0.59
23.22,-2.93,-3.58,-2.94,-3.58,3.58,3.47,2.32,0.64,0.64,0.64
23.45,-2.90,-3.60,-2.90,-3.59,3.59,3.47,2.38,0.69,0.69,0.69
23.69,-2.87,-3.61,-2.87,-3.61,3.61,3.48,2.45,0.73,0.74,0.73
23.92,-2.83,-3.63,-2.83,-3.62,3.62,3.48,2.51,0.79,0.79,0.79
24.16,-2.78,-3.63,-2.79,-3.63,3.63,3.48,2.58,0.84,0.83,0.84
24.40,-2.75,-3.64,-2.75,-3.64,3.63,3.48,2.65,0.87,0.87,0.88
24.65,-2.72,-3.64,-2.72,-3.64,3.62,3.48,2.72,0.90,0.91,0.92
24.89,-2.67,-3.62,-2.68,-3.63,3.62,3.49,2.79,0.95,0.94,0.95
25.14,-2.63,-3.61,-2.63,-3.61,3.61,3.49,2.86,0.98,0.99,0.98
25.39,-2.57,-3.58,-2.58,-3.59,3.61,3.49,2.93,1.03,1.03,1.01
25.65,-2.52,-3.57,-2.53,-3.59,3.60,3.49,3.00,1.07,1.06,1.05
25.91,-2.50,-3.59,-2.49,-3.58,3.59,3.49,3.07,1.08,1.09,1.09
26.16,-2.46,-3.59,-2.47,-3.58,3.58,3.49,3.14,1.11,1.11,1.13
26.43,-2.43,-3.57,-2.44,-3.58,3.57,3.49,3.21,1.13,1.13,1.14
26.69,-2.42,-3.56,-2.41,-3.57,3.56,3.49,3.28,1.14,1.15,1.14
26.96,-2.37,-3.55,-2.39,-3.55,3.55,3.49,3.35,1.18,1.17,1.18
27.23,-2.37,-3.55,-2.37,-3.54,3.55,3.49,3.42,1.18,1.18,1.18
27.50,-2.33,-3.51,-2.34,-3.54,3.54,3.49,3.48,1.21,1.20,1.17
27.77,-2.33,-3.56,-2.33,-3.53,3.54,3.49,3.55,1.20,1.21,1.22
28.05,-2.29,-3.52,-2.30,-3.53,3.53,3.49,3.61,1.23,1.22,1.22
28.33,-2.28,-3.52,-2.28,-3.52,3.51,3.49,3.66,1.23,1.24,1.23
28.62,-2.24,-3.52,-2.24,-3.50,3.50,3.49,3.72,1.25,1.25,1.27
28.90,-2.20,-3.48,-2.21,-3.49,3.48,3.49,3.77,1.27,1.26,1.28
29.19,-2.18,-3.46,-2.18,-3.46,3.45,3.49,3.82,1.27,1.27,1.28
29.48,-2.14,-3.42,-2.14,-3.42,3.42,3.49,3.86,1.28,1.28,1.28
29.78,-2.09,-3.37,-2.10,-3.39,3.39,3.49,3.90,1.30,1.29,1.28
30.08,-2.05,-3.37,-2.05,-3.36,3.36,3.49,3.93,1.31,1.31,1.32
30.38,-2.00,-3.32,-2.01,-3.33,3.33,3.49,3.96,1.33,1.32,1.32
30.68,-1.96,-3.31,-1.96,-3.30,3.30,3.49,3.99,1.34,1.34,1.34
30.99,-1.91,-3.28,-1.92,-3.28,3.28,3.48,4.01,1.37,1.37,1.36
31.30,-1.87,-3.25,-1.87,-3.26,3.26,3.48,4.02,1.39,1.39,1.37
31.61,-1.83,-3.25,-1.83,-3.24,3.25,3.48,4.03,1.41,1.41,1.42
31.93,-1.80,-3.22,-1.81,-3.23,3.23,3.48,4.04,1.43,1.43,1.42
32.24,-1.77,-3.23,-1.78,-3.23,3.22,3.48,4.04,1.45,1.44,1.46
32.57,-1.76,-3.22,-1.75,-3.22,3.22,3.48,4.03,1.45,1.47,1.46
32.89,-1.72,-3.23,-1.72,-3.22,3.22,3.47,4.02,1.49,1.50,1.51
33.22,-1.68,-3.19,-1.69,-3.21,3.21,3.47,4.01,1.53,1.53,1.50
33.55,-1.65,-3.22,-1.66,-3.21,3.21,3.47,3.99,1.56,1.55,1.56
33.89,-1.64,-3.20,-1.64,-3.21,3.21,3.47,3.97,1.57,1.57,1.56
34.23,-1.64,-3.24,-1.63,-3.22,3.21,3.46,3.95,1.57,1.58,1.60
34.57,-1.59,-3.19,-1.60,-3.21,3.21,3.46,3.92,1.61,1.60,1.60
34.92,-1.57,-3.22,-1.58,-3.21,3.20,3.46,3.89,1.63,1.63,1.64
35.27,-1.54,-3.19,-1.54,-3.20,3.20,3.45,3.86,1.65,1.66,1.64
35.62,-1.51,-3.22,-1.51,-3.19,3.19,3.45,3.82,1.68,1.69,1.70
35.97,-1.46,-3.16,-1.47,-3.18,3.19,3.45,3.79,1.72,1.72,1.70
36.33,-1.43,-3.17,-1.44,-3.18,3.18,3.44,3.75,1.75,1.74,1.74
36.70,-1.42,-3.17,-1.41,-3.17,3.17,3.44,3.72,1.75,1.76,1.74
37.06,-1.38,-3.18,-1.39,-3.17,3.16,3.44,3.68,1.78,1.77,1.79
37.43,-1.36,-3.15,-1.36,-3.16,3.15,3.43,3.64,1.79,1.79,1.79
37.81,-1.33,-3.15,-1.33,-3.15,3.14,3.43,3.60,1.81,1.81,1.82
38.19,-1.30,-3.14,-1.31,-3.13,3.13,3.42,3.57,1.82,1.82,1.83
38.57,-1.27,-3.12,-1.28,-3.12,3.12,3.42,3.53,1.84,1.84,1.84
38.95,-1.25,-3.09,-1.25,-3.10,3.10,3.41,3.50,1.85,1.85,1.84
39.34,-1.22,-3.08,-1.23,-3.09,3.09,3.41,3.46,1.87,1.86,1.86
39.74,-1.20,-3.08,-1.21,-3.08,3.08,3.40,3.43,1.88,1.87,1.87
40.14,-1.20,-3.08,-1.19,-3.06,3.07,3.40,3.40,1.87,1.88,1.88
40.54,-1.16,-3.04,-1.18,-3.06,3.07,3.39,3.37,1.90,1.89,1.88
40.94,-1.16,-3.06,-1.16,-3.06,3.06,3.39,3.35,1.90,1.90,1.89
41.35,-1.15,-3.08,-1.15,-3.06,3.06,3.38,3.32,1.90,1.91,1.93
41.76,-1.12,-3.05,-1.13,-3.06,3.05,3.38,3.30,1.93,1.92,1.93
42.18,-1.12,-3.06,-1.12,-3.05,3.05,3.37,3.28,1.92,1.93,1.93
