frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-8.39,-3.62,-8.38,6.00,5.76,2.81,2.39,2.38,4.77
20.20,-3.58,-8.36,-3.58,-8.36,6.00,5.79,2.89,2.42,2.42,4.77
20.40,-3.54,-8.35,-3.53,-8.34,6.00,5.82,2.97,2.46,2.47,4.80
20.61,-3.48,-8.34,-3.49,-8.33,6.00,5.85,3.06,2.52,2.51,4.85
20.81,-3.43,-8.32,-3.44,-8.33,6.00,5.87,3.14,2.57,2.56,4.88
21.02,-3.39,-8.32,-3.39,-8.32,6.00,5.90,3.23,2.61,2.61,4.92
21.23,-3.35,-8.31,-3.35,-8.30,6.00,5.93,3.32,2.65,2.65,4.96
21.44,-3.30,-8.26,-3.31,-8.27,6.00,5.95,3.41,2.70,2.69,4.96
21.66,-3.26,-8.22,-3.26,-8.23,6.00,5.97,3.51,2.74,2.74,4.96
21.87,-3.21,-8.17,-3.21,-8.17,6.00,5.99,3.61,2.79,2.79,4.96
22.09,-3.15,-8.11,-3.15,-8.11,6.00,6.01,3.71,2.85,2.85,4.96
22.31,-3.09,-8.05,-3.10,-8.06,6.00,6.03,3.81,2.91,2.90,4.96
22.54,-3.04,-8.00,-3.05,-8.01,6.00,6.05,3.92,2.96,2.95,4.96
22.76,-3.01,-7.97,-3.01,-7.96,6.00,6.07,4.03,2.99,2.99,4.96
22.99,-2.96,-7.92,-2.97,-7.94,6.00,6.09,4.14,3.04,3.03,4.96
23.22,-2.93,-7.91,-2.94,-7.92,6.00,6.10,4.25,3.07,3.06,4.98
23.45,-2.90,-7.91,-2.90,-7.90,6.00,6.12,4.37,3.10,3.10,5.01
23.69,-2.87,-7.88,-2.87,-7.87,6.00,6.13,4.49,3.13,3.13,5.01
23.92,-2.83,-7.84,-2.83,-7.84,6.00,6.15,4.61,3.17,3.17,5.01
24.16,-2.78,-7.79,-2.79,-7.81,6.00,6.16,4.74,3.22,3.21,5.01
24.40,-2.75,-7.80,-2.75,-7.79,6.00,6.17,4.86,3.25,3.25,5.05
24.65,-2.72,-7.78,-2.72,-7.77,6.00,6.18,4.99,3.28,3.28,5.06
24.89,-2.67,-7.73,-2.68,-7.73,6.00,6.19,5.12,3.33,3.32,5.06
25.14,-2.63,-7.69,-2.63,-7.68,6.00,6.19,5.25,3.37,3.37,5.05
25.39,-2.57,-7.63,-2.58,-7.64,6.00,6.20,5.38,3.43,3.42,5.05
25.65,-2.52,-7.61,-2.53,-7.61,6.00,6.20,5.51,3.48,3.47,5.08
25.91,-2.50,-7.60,-2.49,-7.60,6.00,6.21,5.64,3.50,3.51,5.09
26.16,-2.46,-7.61,-2.47,-7.60,6.00,6.21,5.78,3.54,3.53,5.14
26.43,-2.43,-7.61,-2.44,-7.62,6.00,6.21,5.91,3.57,3.56,5.17
26.69,-2.42,-7.65,-2.41,-7.64,6.00,6.21,6.04,3.58,3.59,5.22
26.96,-2.37,-7.66,-2.39,-7.66,6.00,6.21,6.16,3.63,3.61,5.29
27.23,-2.37,-7.70,-2.37,-7.70,6.00,6.21,6.29,3.63,3.63,5.33
27.50,-2.33,-7.71,-2.34,-7.72,6.00,6.21,6.41,3.67,3.66,5.38
27.77,-2.33,-7.76,-2.33,-7.75,6.00,6.20,6.53,3.67,3.67,5.43
28.05,-2.29,-7.75,-2.30,-7.76,6.00,6.20,6.64,3.71,3.70,5.46
28.33,-2.28,-7.77,-2.28,-7.77,6.00,6.19,6.75,3.72,3.72,5.49
28.62,-2.24,-7.77,-2.24,-7.76,6.00,6.18,6.85,3.76,3.76,5.53
28.90,-2.20,-7.74,-2.21,-7.76,6.00,6.18,6.94,3.80,3.79,5.54
29.19,-2.18,-7.76,-2.18,-7.74,6.00,6.17,7.02,3.82,3.82,5.57
29.48,-2.14,-7.72,-2.14,-7.71,6.00,6.16,7.10,3.86,3.86,5.57
29.78,-2.09,-7.67,-2.10,-7.69,6.00,6.14,7.16,3.91,3.90,5.57
