frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-7.65,-3.62,-7.66,6.00,5.47,2.33,2.39,2.38,4.04
20.20,-3.58,-7.64,-3.58,-7.64,6.00,5.47,2.40,2.42,2.42,4.06
20.40,-3.54,-7.64,-3.53,-7.63,6.00,5.46,2.47,2.46,2.47,4.10
20.61,-3.48,-7.59,-3.49,-7.61,6.00,5.46,2.54,2.52,2.51,4.11
20.81,-3.43,-7.58,-3.44,-7.59,6.00,5.46,2.62,2.57,2.56,4.15
21.02,-3.39,-7.58,-3.39,-7.57,6.00,5.45,2.70,2.61,2.61,4.19
21.23,-3.35,-7.54,-3.35,-7.55,6.00,5.45,2.78,2.65,2.65,4.19
21.44,-3.30,-7.54,-3.31,-7.53,6.00,5.44,2.86,2.70,2.69,4.24
21.66,-3.26,-7.50,-3.26,-7.51,6.00,5.44,2.94,2.74,2.74,4.24
21.87,-3.21,-7.49,-3.21,-7.48,6.00,5.44,3.03,2.79,2.79,4.28
22.09,-3.15,-7.44,-3.15,-7.44,6.00,5.43,3.12,2.85,2.85,4.29
22.31,-3.09,-7.38,-3.10,-7.40,6.00,5.43,3.21,2.91,2.90,4.29
22.54,-3.04,-7.37,-3.05,-7.36,6.00,5.42,3.30,2.96,2.95,4.33
22.76,-3.01,-7.34,-3.01,-7.35,6.00,5.42,3.40,2.99,2.99,4.33
22.99,-2.96,-7.34,-2.97,-7.33,6.00,5.41,3.50,3.04,3.03,4.37
23.22,-2.93,-7.31,-2.94,-7.31,6.00,5.41,3.60,3.07,3.06,4.37
23.45,-2.90,-7.28,-2.90,-7.29,6.00,5.40,3.70,3.10,3.10,4.37
23.69,-2.87,-7.27,-2.87,-7.26,6.00,5.39,3.81,3.13,3.13,4.39
23.92,-2.83,-7.23,-2.83,-7.22,6.00,5.39,3.91,3.17,3.17,4.39
24.16,-2.78,-7.18,-2.79,-7.19,6.00,5.38,4.02,3.22,3.21,4.39
24.40,-2.75,-7.15,-2.75,-7.14,6.00,5.37,4.14,3.25,3.25,4.39
24.65,-2.72,-7.10,-2.72,-7.10,6.00,5.37,4.25,3.28,3.28,4.37
24.89,-2.67,-7.04,-2.68,-7.05,6.00,5.36,4.36,3.33,3.32,4.37
25.14,-2.63,-7.00,-2.63,-6.99,6.00,5.35,4.48,3.37,3.37,4.37
25.39,-2.57,-6.94,-2.58,-6.95,6.00,5.35,4.60,3.43,3.42,4.37
25.65,-2.52,-6.89,-2.53,-6.90,6.00,5.34,4.72,3.48,3.47,4.37
25.91,-2.50,-6.87,-2.49,-6.85,6.00,5.33,4.84,3.50,3.51,4.37
26.16,-2.46,-6.78,-2.47,-6.80,6.00,5.32,4.96,3.54,3.53,4.32
26.43,-2.43,-6.75,-2.44,-6.76,6.00,5.31,5.07,3.57,3.56,4.32
26.69,-2.42,-6.74,-2.41,-6.72,6.00,5.31,5.19,3.58,3.59,4.32
26.96,-2.37,-6.69,-2.39,-6.70,6.00,5.30,5.31,3.63,3.61,4.32
27.23,-2.37,-6.66,-2.37,-6.66,6.00,5.29,5.42,3.63,3.63,4.29
27.50,-2.33,-6.62,-2.34,-6.62,6.00,5.28,5.53,3.67,3.66,4.29
27.77,-2.33,-6.58,-2.33,-6.58,6.00,5.27,5.64,3.67,3.67,4.25
28.05,-2.29,-6.54,-2.30,-6.54,6.00,5.26,5.75,3.71,3.70,4.24
28.33,-2.28,-6.50,-2.28,-6.49,6.00,5.24,5.85,3.72,3.73,4.21
28.62,-2.24,-6.44,-2.24,-6.43,6.01,5.23,5.94,3.76,3.77,4.19
28.90,-2.20,-6.36,-2.21,-6.38,6.02,5.22,6.03,3.81,3.80,4.15
29.19,-2.18,-6.33,-2.18,-6.32,6.02,5.21,6.11,3.84,3.84,4.15
29.48,-2.14,-6.25,-2.14,-6.24,6.01,5.20,6.19,3.87,3.87,4.11
29.78,-2.09,-6.15,-2.10,-6.16,5.99,5.18,6.26,3.90,3.89,4.06
30.08,-2.05,-6.06,-2.05,-6.07,5.96,5.17,6.31,3.91,3.91,4.01
30.38,-2.00,-5.97,-2.01,-5.97,5.91,5.15,6.36,3.91,3.91,3.97
30.68,-1.96,-5.88,-1.96,-5.87,5.85,5.14,6.40,3.89,3.89,3.92
30.99,-1.91,-5.77,-1.92,-5.77,5.78,5.12,6.44,3.86,3.86,3.86
31.30,-1.87,-5.67,-1.87,-5.67,5.69,5.11,6.46,3.82,3.82,3.79
31.61,-1.83,-5.57,-1.83,-5.57,5.60,5.09,6.47,3.76,3.76,3.73
31.93,-1.80,-5.48,-1.81,-5.48,5.49,5.07,6.47,3.69,3.69,3.67
32.24,-1.77,-5.38,-1.78,-5.39,5.39,5.05,6.46,3.62,3.61,3.61
32.57,-1.76,-5.32,-1.75,-5.31,5.30,5.03,6.44,3.53,3.54,3.56
32.89,-1.72,-5.21,-1.72,-5.21,5.21,5.01,6.42,3.48,3.49,3.49
33.22,-1.68,-5.12,-1.69,-5.12,5.12,4.99,6.38,3.44,3.43,3.43
33.55,-1.65,-5.02,-1.66,-5.03,5.04,4.96,6.34,3.38,3.37,3.36
33.89,-1.64,-4.96,-1.64,-4.95,4.95,4.94,6.29,3.31,3.31,3.31
34.23,-1.64,-4.87,-1.63,-4.87,4.86,4.91,6.23,3.22,3.24,3.23
34.57,-1.59,-4.77,-1.60,-4.79,4.78,4.89,6.17,3.19,3.18,3.18
34.92,-1.57,-4.71,-1.58,-4.70,4.70,4.86,6.10,3.12,3.12,3.14
35.27,-1.54,-4.62,-1.54,-4.62,4.62,4.83,6.03,3.08,3.08,3.08
35.62,-1.51,-4.55,-1.51,-4.54,4.54,4.80,5.96,3.03,3.04,3.03
35.97,-1.46,-4.46,-1.47,-4.47,4.47,4.76,5.88,3.01,3.00,3.00
36.33,-1.43,-4.38,-1.44,-4.40,4.40,4.73,5.80,2.97,2.96,2.95
36.70,-1.42,-4.35,-1.41,-4.33,4.33,4.69,5.71,2.91,2.92,2.93
37.06,-1.38,-4.26,-1.39,-4.27,4.27,4.65,5.63,2.88,2.88,2.87
37.43,-1.36,-4.21,-1.36,-4.21,4.21,4.61,5.54,2.84,2.84,2.85
37.81,-1.33,-4.14,-1.33,-4.15,4.15,4.57,5.46,2.81,2.82,2.81
38.19,-1.30,-4.11,-1.31,-4.10,4.09,4.52,5.38,2.79,2.79,2.81
38.57,-1.27,-4.04,-1.28,-4.04,4.04,4.47,5.29,2.77,2.76,2.76
38.95,-1.25,-3.97,-1.25,-3.98,3.99,4.42,5.21,2.74,2.74,2.72
39.34,-1.22,-3.93,-1.23,-3.93,3.94,4.37,5.13,2.72,2.71,2.71
39.74,-1.20,-3.89,-1.21,-3.89,3.89,4.31,5.05,2.69,2.69,2.68
40.14,-1.20,-3.86,-1.19,-3.85,3.85,4.25,4.97,2.64,2.66,2.65
40.54,-1.16,-3.79,-1.18,-3.81,3.80,4.18,4.90,2.64,2.62,2.63
40.94,-1.16,-3.76,-1.16,-3.75,3.75,4.11,4.83,2.59,2.59,2.59
41.35,-1.15,-3.71,-1.15,-3.70,3.70,4.04,4.76,2.54,2.55,2.56
41.76,-1.12,-3.63,-1.13,-3.64,3.63,3.97,4.69,2.51,2.50,2.51
42.18,-1.12,-3.59,-1.12,-3.58,3.57,3.89,4.63,2.44,2.45,2.46
42.60,-1.09,-3.49,-1.10,-3.50,3.49,3.80,4.57,2.40,2.40,2.40
43.03,-1.07,-3.43,-1.07,-3.42,3.41,3.72,4.51,2.34,2.34,2.35
43.46,-1.04,-3.33,-1.04,-3.33,3.33,3.63,4.46,2.29,2.29,2.29
43.90,-0.99,-3.23,-1.01,-3.25,3.25,3.54,4.41,2.26,2.24,2.24
44.33,-0.99,-3.17,-0.98,-3.16,3.17,3.44,4.36,2.18,2.19,2.18
44.78,-0.94,-3.09,-0.96,-3.09,3.09,3.35,4.32,2.15,2.13,2.15
45.23,-0.94,-3.02,-0.94,-3.02,3.02,3.25,4.28,2.08,2.08,2.07
45.68,-0.94,-2.97,-0.93,-2.96,2.96,3.16,4.24,2.01,2.03,2.03
46.13,-0.90,-2.89,-0.92,-2.90,2.90,3.06,4.21,2.00,1.98,1.99
46.60,-0.90,-2.85,-0.91,-2.85,2.85,2.97,4.18,1.95,1.95,1.95
47.06,-0.90,-2.81,-0.90,-2.81,2.81,2.89,4.15,1.91,1.91,1.91
47.53,-0.90,-2.79,-0.90,-2.79,2.78,2.81,4.13,1.88,1.88,1.88
48.01,-0.90,-2.76,-0.90,-2.76,2.76,2.74,4.11,1.86,1.86,1.86
48.49,-0.90,-2.75,-0.90,-2.75,2.76,2.69,4.09,1.85,1.85,1.85
48.97,-0.90,-2.74,-0.91,-2.75,2.77,2.64,4.07,1.86,1.85,1.83
49.46,-0.93,-2.79,-0.93,-2.77,2.79,2.61,4.06,1.86,1.86,1.86
49.96,-0.96,-2.81,-0.96,-2.81,2.83,2.59,4.05,1.86,1.87,1.85
50.46,-0.99,-2.85,-1.00,-2.87,2.87,2.59,4.04,1.88,1.87,1.86
50.96,-1.03,-2.94,-1.03,-2.92,2.92,2.61,4.03,1.89,1.89,1.90
51.47,-1.07,-3.00,-1.07,-2.99,2.98,2.64,4.03,1.91,1.91,1.92
51.99,-1.10,-3.04,-1.11,-3.06,3.04,2.68,4.03,1.93,1.93,1.94
52.51,-1.14,-3.12,-1.14,-3.11,3.09,2.74,4.03,1.95,1.95,1.98
53.03,-1.18,-3.16,-1.19,-3.15,3.15,2.80,4.03,1.97,1.96,1.98
53.56,-1.24,-3.18,-1.24,-3.20,3.20,2.88,4.03,1.96,1.96,1.94
54.10,-1.30,-3.24,-1.30,-3.24,3.25,2.96,4.04,1.95,1.95,1.94
54.64,-1.34,-3.28,-1.35,-3.29,3.30,3.05,4.04,1.95,1.95,1.94
55.18,-1.38,-3.35,-1.39,-3.35,3.34,3.14,4.05,1.95,1.95,1.97
55.74,-1.42,-3.40,-1.41,-3.39,3.38,3.23,4.05,1.96,1.97,1.98
56.29,-1.42,-3.42,-1.43,-3.43,3.42,3.32,4.06,2.00,2.00,2.00
56.86,-1.42,-3.46,-1.44,-3.47,3.47,3.42,4.06,2.04,2.03,2.03
57.42,-1.46,-3.52,-1.45,-3.50,3.51,3.51,4.07,2.05,2.06,2.05
58.00,-1.46,-3.54,-1.46,-3.55,3.55,3.60,4.07,2.09,2.09,2.08
58.58,-1.46,-3.59,-1.47,-3.60,3.60,3.68,4.08,2.14,2.13,2.13
59.16,-1.46,-3.65,-1.46,-3.65,3.65,3.77,4.08,2.18,2.18,2.19
59.76,-1.46,-3.70,-1.46,-3.71,3.70,3.85,4.08,2.23,2.23,2.24
60.35,-1.46,-3.77,-1.46,-3.76,3.76,3.92,4.08,2.29,2.29,2.31
60.96,-1.46,-3.82,-1.46,-3.82,3.82,4.00,4.08,2.36,2.36,2.35
61.57,-1.46,-3.87,-1.46,-3.88,3.89,4.07,4.08,2.43,2.43,2.41
62.18,-1.46,-3.96,-1.46,-3.95,3.97,4.13,4.08,2.51,2.50,2.49
62.80,-1.46,-4.04,-1.48,-4.04,4.05,4.19,4.07,2.59,2.57,2.58
63.43,-1.50,-4.13,-1.49,-4.14,4.14,4.25,4.07,2.63,2.64,2.63
64.07,-1.51,-4.25,-1.51,-4.24,4.23,4.31,4.06,2.71,2.72,2.73
64.71,-1.51,-4.33,-1.52,-4.32,4.32,4.37,4.05,2.81,2.80,2.81
65.35,-1.51,-4.40,-1.52,-4.41,4.41,4.42,4.04,2.90,2.89,2.89
66.01,-1.53,-4.48,-1.53,-4.49,4.50,4.47,4.02,2.96,2.97,2.95
66.67,-1.53,-4.59,-1.53,-4.58,4.57,4.51,4.01,3.04,3.04,3.06
67.33,-1.51,-4.65,-1.52,-4.65,4.64,4.56,4.00,3.13,3.13,3.14
68.01,-1.49,-4.72,-1.48,-4.72,4.71,4.60,3.98,3.21,3.22,3.23
68.69,-1.42,-4.74,-1.43,-4.76,4.76,4.64,3.97,3.33,3.33,3.32
69.37,-1.36,-4.81,-1.36,-4.80,4.80,4.68,3.95,3.44,3.45,3.45
70.07,-1.26,-4.82,-1.27,-4.84,4.84,4.72,3.94,3.57,3.56,3.56
70.77,-1.18,-4.87,-1.19,-4.86,4.86,4.75,3.92,3.68,3.68,3.68
71.48,-1.10,-4.89,-1.09,-4.88,4.88,4.79,3.90,3.77,3.79,3.79
72.19,-0.99,-4.87,-1.00,-4.89,4.88,4.82,3.89,3.89,3.88,3.88
72.91,-0.90,-4.90,-0.91,-4.89,4.88,4.85,3.87,3.97,3.96,3.99
73.64,-0.83,-4.88,-0.82,-4.88,4.86,4.88,3.86,4.03,4.04,4.05
74.38,-0.73,-4.87,-0.74,-4.87,4.85,4.91,3.85,4.11,4.11,4.13
75.12,-0.65,-4.84,-0.65,-4.84,4.84,4.94,3.84,4.18,4.18,4.19
75.87,-0.57,-4.82,-0.57,-4.82,4.83,4.97,3.83,4.26,4.27,4.25
76.63,-0.49,-4.80,-0.49,-4.80,4.84,5.00,3.82,4.35,4.35,4.30
