frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.98,-3.62,-4.99,4.98,4.95,2.07,1.37,1.36,1.37
20.20,-3.58,-4.98,-3.58,-4.97,4.97,4.93,2.13,1.39,1.39,1.40
20.40,-3.54,-4.96,-3.53,-4.95,4.96,4.91,2.19,1.42,1.43,1.42
20.61,-3.48,-4.94,-3.49,-4.94,4.95,4.89,2.25,1.47,1.46,1.46
20.81,-3.43,-4.92,-3.44,-4.93,4.94,4.87,2.31,1.51,1.50,1.49
21.02,-3.39,-4.93,-3.39,-4.93,4.93,4.85,2.38,1.53,1.54,1.54
21.23,-3.35,-4.93,-3.35,-4.92,4.92,4.83,2.44,1.56,1.57,1.58
21.44,-3.30,-4.91,-3.31,-4.91,4.91,4.81,2.51,1.60,1.60,1.61
21.66,-3.26,-4.90,-3.26,-4.90,4.89,4.79,2.58,1.63,1.63,1.64
21.87,-3.21,-4.89,-3.21,-4.89,4.88,4.77,2.65,1.67,1.67,1.68
22.09,-3.15,-4.88,-3.15,-4.87,4.87,4.75,2.73,1.72,1.72,1.73
22.31,-3.09,-4.85,-3.10,-4.85,4.86,4.73,2.80,1.76,1.76,1.76
22.54,-3.04,-4.83,-3.05,-4.83,4.85,4.72,2.88,1.80,1.80,1.78
22.76,-3.01,-4.83,-3.01,-4.83,4.84,4.70,2.96,1.83,1.83,1.81
22.99,-2.96,-4.83,-2.97,-4.83,4.83,4.69,3.05,1.87,1.87,1.86
23.22,-2.93,-4.84,-2.94,-4.83,4.83,4.67,3.13,1.90,1.89,1.90
23.45,-2.90,-4.84,-2.90,-4.84,4.83,4.66,3.22,1.92,1.92,1.93
23.69,-2.87,-4.83,-2.87,-4.83,4.83,4.64,3.30,1.95,1.96,1.95
23.92,-2.83,-4.84,-2.83,-4.83,4.82,4.63,3.39,1.99,1.99,2.00
24.16,-2.78,-4.82,-2.79,-4.82,4.82,4.62,3.48,2.04,2.03,2.03
24.40,-2.75,-4.81,-2.75,-4.81,4.81,4.61,3.58,2.06,2.06,2.05
24.65,-2.72,-4.81,-2.72,-4.80,4.80,4.60,3.67,2.08,2.08,2.09
24.89,-2.67,-4.79,-2.68,-4.80,4.79,4.59,3.76,2.12,2.11,2.12
25.14,-2.63,-4.78,-2.63,-4.78,4.78,4.58,3.86,2.14,2.15,2.15
25.39,-2.57,-4.76,-2.58,-4.76,4.76,4.57,3.96,2.19,2.19,2.19
25.65,-2.52,-4.74,-2.53,-4.75,4.76,4.56,4.05,2.23,2.22,2.22
25.91,-2.50,-4.74,-2.49,-4.74,4.75,4.55,4.15,2.24,2.25,2.24
26.16,-2.46,-4.74,-2.47,-4.74,4.74,4.54,4.25,2.28,2.27,2.28
26.43,-2.43,-4.72,-2.44,-4.74,4.74,4.53,4.34,2.30,2.30,2.29
26.69,-2.42,-4.75,-2.41,-4.74,4.74,4.53,4.44,2.32,2.33,2.33
26.96,-2.37,-4.74,-2.39,-4.74,4.74,4.52,4.53,2.37,2.36,2.37
27.23,-2.37,-4.75,-2.37,-4.75,4.75,4.52,4.62,2.38,2.38,2.38
27.50,-2.33,-4.75,-2.34,-4.75,4.75,4.51,4.71,2.42,2.41,2.41
27.77,-2.33,-4.77,-2.33,-4.76,4.76,4.51,4.80,2.43,2.43,2.43
28.05,-2.29,-4.76,-2.30,-4.77,4.76,4.50,4.88,2.47,2.46,2.46
28.33,-2.28,-4.78,-2.28,-4.77,4.76,4.50,4.96,2.48,2.49,2.49
28.62,-2.24,-4.77,-2.24,-4.76,4.76,4.50,5.04,2.52,2.52,2.52
28.90,-2.20,-4.74,-2.21,-4.76,4.76,4.50,5.11,2.55,2.54,2.54
29.19,-2.18,-4.74,-2.18,-4.74,4.74,4.49,5.17,2.56,2.57,2.56
29.48,-2.14,-4.75,-2.14,-4.74,4.73,4.49,5.23,2.59,2.59,2.61
29.78,-2.09,-4.70,-2.10,-4.72,4.71,4.49,5.29,2.62,2.61,2.61
30.08,-2.05,-4.71,-2.05,-4.70,4.69,4.49,5.34,2.64,2.64,2.66
30.38,-2.00,-4.66,-2.01,-4.67,4.67,4.49,5.38,2.67,2.67,2.66
30.68,-1.96,-4.66,-1.96,-4.65,4.65,4.49,5.41,2.69,2.69,2.69
30.99,-1.91,-4.62,-1.92,-4.62,4.63,4.49,5.44,2.72,2.72,2.70
31.30,-1.87,-4.62,-1.87,-4.61,4.62,4.49,5.46,2.74,2.74,2.74
31.61,-1.83,-4.58,-1.83,-4.59,4.60,4.49,5.47,2.77,2.77,2.75
31.93,-1.80,-4.60,-1.81,-4.59,4.59,4.49,5.48,2.79,2.78,2.80
32.24,-1.77,-4.57,-1.78,-4.59,4.58,4.50,5.48,2.81,2.80,2.80
32.57,-1.76,-4.60,-1.75,-4.58,4.58,4.50,5.47,2.81,2.82,2.84
32.89,-1.72,-4.56,-1.72,-4.57,4.57,4.50,5.46,2.85,2.85,2.84
33.22,-1.68,-4.57,-1.69,-4.56,4.57,4.50,5.44,2.88,2.88,2.88
