frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-0.49,-3.62,-0.49,0.49,-0.00,-0.06,-3.12,-3.13,-3.12
20.20,-3.58,-0.46,-3.58,-0.46,0.46,-0.00,-0.06,-3.12,-3.11,-3.12
20.40,-3.54,-0.43,-3.53,-0.44,0.44,-0.00,-0.06,-3.10,-3.09,-3.11
20.61,-3.48,-0.41,-3.49,-0.42,0.42,-0.00,-0.07,-3.07,-3.07,-3.07
20.81,-3.43,-0.41,-3.44,-0.40,0.39,-0.00,-0.07,-3.04,-3.05,-3.02
21.02,-3.39,-0.37,-3.39,-0.37,0.37,-0.00,-0.07,-3.03,-3.02,-3.02
21.23,-3.35,-0.34,-3.35,-0.35,0.35,-0.00,-0.07,-3.01,-3.00,-3.01
21.44,-3.30,-0.32,-3.31,-0.32,0.32,-0.00,-0.08,-2.98,-2.98,-2.98
21.66,-3.26,-0.31,-3.26,-0.30,0.30,-0.00,-0.08,-2.96,-2.96,-2.95
21.87,-3.21,-0.28,-3.21,-0.28,0.28,-0.00,-0.08,-2.93,-2.93,-2.93
22.09,-3.15,-0.27,-3.15,-0.26,0.26,-0.00,-0.08,-2.89,-2.89,-2.88
22.31,-3.09,-0.24,-3.10,-0.24,0.24,-0.01,-0.09,-2.85,-2.86,-2.85
22.54,-3.04,-0.22,-3.05,-0.23,0.23,-0.01,-0.09,-2.82,-2.82,-2.83
22.76,-3.01,-0.22,-3.01,-0.21,0.21,-0.01,-0.09,-2.80,-2.79,-2.80
22.99,-2.96,-0.20,-2.97,-0.20,0.20,-0.01,-0.09,-2.76,-2.76,-2.77
23.22,-2.93,-0.18,-2.94,-0.19,0.20,-0.01,-0.10,-2.74,-2.74,-2.76
23.45,-2.90,-0.20,-2.90,-0.19,0.19,-0.01,-0.10,-2.71,-2.71,-2.71
23.69,-2.87,-0.20,-2.87,-0.19,0.19,-0.01,-0.10,-2.69,-2.68,-2.68
23.92,-2.83,-0.19,-2.83,-0.19,0.18,-0.01,-0.11,-2.65,-2.65,-2.65
24.16,-2.78,-0.18,-2.79,-0.18,0.18,-0.01,-0.11,-2.61,-2.62,-2.61
24.40,-2.75,-0.17,-2.75,-0.17,0.17,-0.01,-0.11,-2.58,-2.58,-2.59
24.65,-2.72,-0.16,-2.72,-0.16,0.16,-0.01,-0.12,-2.57,-2.56,-2.56
24.89,-2.67,-0.16,-2.68,-0.15,0.14,-0.01,-0.12,-2.53,-2.53,-2.51
25.14,-2.63,-0.12,-2.63,-0.13,0.12,-0.01,-0.12,-2.51,-2.50,-2.51
25.39,-2.57,-0.10,-2.58,-0.10,0.10,-0.01,-0.13,-2.47,-2.47,-2.47
25.65,-2.52,-0.06,-2.53,-0.08,0.08,-0.01,-0.13,-2.44,-2.45,-2.46
25.91,-2.50,-0.08,-2.49,-0.06,0.06,-0.01,-0.13,-2.44,-2.43,-2.42
26.16,-2.46,-0.04,-2.47,-0.04,0.05,-0.01,-0.13,-2.42,-2.42,-2.42
