frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-1.82,-3.62,-1.82,1.79,1.87,1.23,-1.82,-1.83,-1.79
20.20,-3.58,-1.86,-3.58,-1.86,1.86,1.91,1.27,-1.72,-1.71,-1.72
20.40,-3.54,-1.90,-3.53,-1.92,1.93,1.95,1.31,-1.61,-1.60,-1.64
20.61,-3.48,-1.98,-3.49,-1.98,2.00,1.99,1.35,-1.49,-1.49,-1.51
20.81,-3.43,-2.04,-3.44,-2.05,2.06,2.03,1.39,-1.37,-1.38,-1.39
21.02,-3.39,-2.13,-3.39,-2.12,2.11,2.06,1.43,-1.28,-1.28,-1.26
21.23,-3.35,-2.18,-3.35,-2.18,2.17,2.10,1.47,-1.19,-1.18,-1.17
21.44,-3.30,-2.21,-3.31,-2.23,2.21,2.14,1.51,-1.09,-1.09,-1.09
21.66,-3.26,-2.28,-3.26,-2.26,2.26,2.19,1.56,-1.01,-1.00,-0.99
21.87,-3.21,-2.29,-3.21,-2.30,2.30,2.23,1.60,-0.92,-0.91,-0.92
22.09,-3.15,-2.34,-3.15,-2.33,2.33,2.27,1.65,-0.82,-0.82,-0.81
22.31,-3.09,-2.36,-3.10,-2.36,2.36,2.31,1.70,-0.74,-0.74,-0.73
22.54,-3.04,-2.38,-3.05,-2.38,2.38,2.35,1.75,-0.66,-0.67,-0.67
22.76,-3.01,-2.41,-3.01,-2.40,2.41,2.39,1.80,-0.61,-0.60,-0.61
22.99,-2.96,-2.42,-2.97,-2.43,2.43,2.43,1.85,-0.53,-0.54,-0.55
23.22,-2.93,-2.46,-2.94,-2.46,2.46,2.46,1.90,-0.47,-0.47,-0.48
23.45,-2.90,-2.50,-2.90,-2.49,2.50,2.50,1.96,-0.41,-0.41,-0.41
23.69,-2.87,-2.52,-2.87,-2.52,2.53,2.54,2.01,-0.34,-0.34,-0.36
23.92,-2.83,-2.57,-2.83,-2.56,2.57,2.58,2.07,-0.26,-0.26,-0.27
24.16,-2.78,-2.59,-2.79,-2.60,2.61,2.61,2.13,-0.17,-0.18,-0.20
24.40,-2.75,-2.67,-2.75,-2.65,2.64,2.65,2.18,-0.11,-0.11,-0.09
24.65,-2.72,-2.69,-2.72,-2.69,2.68,2.69,2.24,-0.05,-0.04,-0.03
24.89,-2.67,-2.72,-2.68,-2.72,2.71,2.72,2.30,0.03,0.03,0.05
25.14,-2.63,-2.73,-2.63,-2.73,2.73,2.75,2.36,0.09,0.10,0.10
25.39,-2.57,-2.73,-2.58,-2.74,2.74,2.78,2.42,0.17,0.17,0.16
25.65,-2.52,-2.74,-2.53,-2.75,2.75,2.81,2.48,0.23,0.22,0.22
25.91,-2.50,-2.77,-2.49,-2.76,2.75,2.84,2.54,0.25,0.26,0.27
26.16,-2.46,-2.76,-2.47,-2.77,2.76,2.87,2.60,0.29,0.29,0.30
26.43,-2.43,-2.76,-2.44,-2.76,2.76,2.89,2.66,0.33,0.32,0.33
26.69,-2.42,-2.77,-2.41,-2.76,2.77,2.92,2.72,0.35,0.36,0.35
26.96,-2.37,-2.76,-2.39,-2.77,2.79,2.94,2.78,0.42,0.40,0.39
27.23,-2.37,-2.80,-2.37,-2.79,2.81,2.96,2.84,0.44,0.45,0.42
27.50,-2.33,-2.82,-2.34,-2.82,2.84,2.98,2.89,0.50,0.50,0.48
27.77,-2.33,-2.88,-2.33,-2.87,2.87,2.99,2.94,0.54,0.54,0.55
28.05,-2.29,-2.91,-2.30,-2.92,2.91,3.00,2.99,0.61,0.60,0.61
28.33,-2.28,-2.97,-2.28,-2.95,2.95,3.02,3.04,0.66,0.67,0.68
28.62,-2.24,-2.99,-2.24,-2.98,2.98,3.02,3.08,0.74,0.74,0.74
28.90,-2.20,-3.00,-2.21,-3.02,3.02,3.03,3.13,0.81,0.80,0.80
29.19,-2.18,-3.04,-2.18,-3.04,3.05,3.04,3.16,0.86,0.87,0.86
29.48,-2.14,-3.08,-2.14,-3.07,3.07,3.04,3.20,0.93,0.93,0.94
29.78,-2.09,-3.08,-2.10,-3.09,3.08,3.04,3.23,0.99,0.98,0.99
30.08,-2.05,-3.09,-2.05,-3.09,3.09,3.03,3.25,1.03,1.03,1.04
30.38,-2.00,-3.09,-2.01,-3.08,3.08,3.03,3.27,1.07,1.07,1.09
30.68,-1.96,-3.06,-1.96,-3.07,3.06,3.02,3.29,1.10,1.10,1.09
30.99,-1.91,-3.06,-1.92,-3.05,3.04,3.01,3.30,1.12,1.12,1.14
31.30,-1.87,-3.03,-1.87,-3.02,3.01,3.00,3.30,1.13,1.13,1.15
31.61,-1.83,-2.98,-1.83,-2.97,2.97,2.99,3.30,1.14,1.14,1.14
31.93,-1.80,-2.90,-1.81,-2.92,2.93,2.97,3.30,1.13,1.13,1.10
32.24,-1.77,-2.87,-1.78,-2.88,2.89,2.95,3.29,1.12,1.11,1.10
