frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-2.68,-3.62,-2.67,2.64,2.97,2.07,-0.97,-0.98,-0.93
20.20,-3.58,-2.69,-3.58,-2.71,2.72,3.01,2.13,-0.87,-0.86,-0.89
20.40,-3.54,-2.76,-3.53,-2.77,2.79,3.05,2.19,-0.76,-0.75,-0.78
20.61,-3.48,-2.82,-3.49,-2.83,2.86,3.09,2.25,-0.63,-0.63,-0.66
20.81,-3.43,-2.92,-3.44,-2.92,2.93,3.13,2.32,-0.50,-0.51,-0.51
21.02,-3.39,-3.00,-3.39,-3.00,3.00,3.17,2.38,-0.40,-0.39,-0.39
21.23,-3.35,-3.08,-3.35,-3.08,3.07,3.22,2.45,-0.29,-0.28,-0.27
21.44,-3.30,-3.14,-3.31,-3.15,3.13,3.26,2.52,-0.17,-0.18,-0.16
21.66,-3.26,-3.21,-3.26,-3.21,3.20,3.30,2.59,-0.07,-0.06,-0.05
21.87,-3.21,-3.27,-3.21,-3.27,3.26,3.34,2.67,0.05,0.05,0.06
22.09,-3.15,-3.32,-3.15,-3.32,3.32,3.39,2.74,0.17,0.17,0.17
22.31,-3.09,-3.36,-3.10,-3.37,3.38,3.43,2.82,0.29,0.28,0.27
22.54,-3.04,-3.42,-3.05,-3.43,3.44,3.47,2.90,0.39,0.39,0.38
22.76,-3.01,-3.50,-3.01,-3.49,3.50,3.52,2.98,0.48,0.49,0.49
22.99,-2.96,-3.56,-2.97,-3.56,3.56,3.56,3.07,0.60,0.59,0.60
23.22,-2.93,-3.62,-2.94,-3.63,3.62,3.61,3.16,0.69,0.69,0.69
23.45,-2.90,-3.70,-2.90,-3.70,3.69,3.65,3.24,0.79,0.79,0.80
23.69,-2.87,-3.77,-2.87,-3.76,3.76,3.69,3.33,0.89,0.89,0.89
23.92,-2.83,-3.83,-2.83,-3.83,3.83,3.74,3.42,1.00,1.00,1.00
24.16,-2.78,-3.88,-2.79,-3.89,3.90,3.78,3.52,1.12,1.11,1.10
24.40,-2.75,-3.97,-2.75,-3.97,3.97,3.83,3.61,1.22,1.22,1.22
24.65,-2.72,-4.06,-2.72,-4.05,4.03,3.87,3.71,1.31,1.32,1.33
24.89,-2.67,-4.12,-2.68,-4.12,4.10,3.91,3.81,1.42,1.42,1.44
25.14,-2.63,-4.18,-2.63,-4.17,4.16,3.96,3.90,1.53,1.53,1.54
25.39,-2.57,-4.21,-2.58,-4.21,4.22,4.00,4.00,1.65,1.64,1.63
25.65,-2.52,-4.25,-2.53,-4.27,4.28,4.05,4.10,1.76,1.75,1.72
25.91,-2.50,-4.33,-2.49,-4.32,4.34,4.09,4.20,1.83,1.85,1.83
26.16,-2.46,-4.41,-2.47,-4.40,4.40,4.13,4.30,1.93,1.93,1.95
26.43,-2.43,-4.43,-2.44,-4.46,4.46,4.18,4.40,2.02,2.02,2.00
26.69,-2.42,-4.54,-2.41,-4.52,4.52,4.22,4.50,2.09,2.11,2.12
26.96,-2.37,-4.56,-2.39,-4.58,4.58,4.26,4.59,2.21,2.19,2.19
