frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.31,-3.62,-3.32,3.33,2.79,0.79,-0.29,-0.30,-0.30
20.20,-3.58,-3.30,-3.58,-3.29,3.29,2.76,0.82,-0.30,-0.29,-0.28
20.40,-3.54,-3.26,-3.53,-3.25,3.25,2.74,0.84,-0.29,-0.28,-0.28
20.61,-3.48,-3.21,-3.49,-3.21,3.21,2.71,0.87,-0.28,-0.28,-0.27
20.81,-3.43,-3.15,-3.44,-3.16,3.17,2.68,0.89,-0.26,-0.27,-0.28
21.02,-3.39,-3.12,-3.39,-3.12,3.13,2.66,0.92,-0.26,-0.26,-0.27
21.23,-3.35,-3.08,-3.35,-3.08,3.09,2.63,0.95,-0.27,-0.26,-0.27
21.44,-3.30,-3.04,-3.31,-3.05,3.05,2.60,0.98,-0.26,-0.26,-0.26
21.66,-3.26,-3.01,-3.26,-3.01,3.00,2.57,1.01,-0.26,-0.26,-0.25
21.87,-3.21,-2.98,-3.21,-2.97,2.96,2.55,1.04,-0.26,-0.25,-0.23
22.09,-3.15,-2.92,-3.15,-2.92,2.91,2.52,1.07,-0.24,-0.24,-0.23
22.31,-3.09,-2.86,-3.10,-2.87,2.87,2.49,1.10,-0.22,-0.23,-0.23
22.54,-3.04,-2.81,-3.05,-2.81,2.83,2.46,1.14,-0.22,-0.22,-0.23
22.76,-3.01,-2.78,-3.01,-2.77,2.78,2.44,1.17,-0.23,-0.22,-0.23
22.99,-2.96,-2.73,-2.97,-2.73,2.74,2.41,1.21,-0.22,-0.23,-0.23
23.22,-2.93,-2.70,-2.94,-2.70,2.70,2.38,1.24,-0.23,-0.23,-0.23
23.45,-2.90,-2.67,-2.90,-2.67,2.66,2.35,1.28,-0.24,-0.24,-0.23
23.69,-2.87,-2.64,-2.87,-2.63,2.63,2.33,1.32,-0.24,-0.24,-0.24
23.92,-2.83,-2.60,-2.83,-2.59,2.59,2.30,1.36,-0.24,-0.24,-0.24
24.16,-2.78,-2.55,-2.79,-2.56,2.56,2.27,1.39,-0.23,-0.24,-0.24
24.40,-2.75,-2.52,-2.75,-2.52,2.52,2.25,1.43,-0.24,-0.24,-0.24
24.65,-2.72,-2.49,-2.72,-2.48,2.47,2.22,1.47,-0.25,-0.24,-0.24
24.89,-2.67,-2.44,-2.68,-2.44,2.43,2.19,1.51,-0.24,-0.25,-0.24
25.14,-2.63,-2.40,-2.63,-2.39,2.39,2.16,1.55,-0.25,-0.24,-0.24
25.39,-2.57,-2.33,-2.58,-2.34,2.34,2.14,1.59,-0.23,-0.23,-0.24
25.65,-2.52,-2.29,-2.53,-2.29,2.30,2.11,1.63,-0.22,-0.23,-0.24
25.91,-2.50,-2.26,-2.49,-2.25,2.27,2.08,1.68,-0.24,-0.23,-0.24
26.16,-2.46,-2.22,-2.47,-2.23,2.23,2.06,1.72,-0.23,-0.24,-0.24
26.43,-2.43,-2.19,-2.44,-2.20,2.20,2.03,1.76,-0.23,-0.24,-0.24
26.69,-2.42,-2.19,-2.41,-2.18,2.18,2.00,1.79,-0.25,-0.24,-0.23
26.96,-2.37,-2.14,-2.39,-2.15,2.15,1.98,1.83,-0.22,-0.23,-0.23
27.23,-2.37,-2.14,-2.37,-2.13,2.13,1.95,1.87,-0.24,-0.23,-0.23
27.50,-2.33,-2.10,-2.34,-2.11,2.11,1.93,1.91,-0.22,-0.23,-0.23
27.77,-2.33,-2.10,-2.33,-2.09,2.09,1.90,1.94,-0.25,-0.24,-0.23
28.05,-2.29,-2.06,-2.30,-2.07,2.06,1.87,1.97,-0.23,-0.24,-0.23
28.33,-2.28,-2.05,-2.28,-2.04,2.04,1.85,2.01,-0.25,-0.24,-0.24
28.62,-2.24,-2.01,-2.24,-2.01,2.01,1.82,2.04,-0.24,-0.24,-0.24
28.90,-2.20,-1.97,-2.21,-1.98,1.97,1.80,2.06,-0.23,-0.24,-0.24
29.19,-2.18,-1.95,-2.18,-1.94,1.94,1.77,2.09,-0.24,-0.24,-0.24
29.48,-2.14,-1.90,-2.14,-1.90,1.90,1.75,2.11,-0.24,-0.24,-0.24
29.78,-2.09,-1.85,-2.10,-1.86,1.86,1.73,2.13,-0.24,-0.24,-0.24
30.08,-2.05,-1.82,-2.05,-1.82,1.81,1.70,2.14,-0.24,-0.24,-0.23
30.38,-2.00,-1.77,-2.01,-1.77,1.77,1.68,2.16,-0.24,-0.24,-0.23
30.68,-1.96,-1.73,-1.96,-1.73,1.73,1.65,2.17,-0.24,-0.24,-0.23
30.99,-1.91,-1.68,-1.92,-1.68,1.69,1.63,2.17,-0.23,-0.23,-0.23
31.30,-1.87,-1.64,-1.87,-1.64,1.65,1.61,2.18,-0.22,-0.22,-0.24
31.61,-1.83,-1.60,-1.83,-1.60,1.62,1.58,2.18,-0.21,-0.21,-0.24
31.93,-1.80,-1.59,-1.81,-1.58,1.59,1.56,2.17,-0.21,-0.21,-0.22
32.24,-1.77,-1.55,-1.78,-1.57,1.57,1.54,2.17,-0.21,-0.21,-0.22
32.57,-1.76,-1.57,-1.75,-1.56,1.54,1.52,2.16,-0.22,-0.21,-0.19
32.89,-1.72,-1.54,-1.72,-1.53,1.52,1.50,2.15,-0.20,-0.20,-0.18
33.22,-1.68,-1.50,-1.69,-1.51,1.51,1.47,2.13,-0.18,-0.18,-0.18
33.55,-1.65,-1.47,-1.66,-1.48,1.49,1.45,2.11,-0.17,-0.18,-0.19
33.89,-1.64,-1.46,-1.64,-1.46,1.46,1.43,2.09,-0.18,-0.18,-0.19
34.23,-1.64,-1.45,-1.63,-1.44,1.44,1.41,2.07,-0.21,-0.19,-0.19
34.57,-1.59,-1.40,-1.60,-1.42,1.41,1.39,2.04,-0.18,-0.20,-0.19
34.92,-1.57,-1.39,-1.58,-1.39,1.38,1.37,2.02,-0.19,-0.20,-0.18
35.27,-1.54,-1.36,-1.54,-1.36,1.35,1.35,1.99,-0.19,-0.19,-0.18
35.62,-1.51,-1.33,-1.51,-1.32,1.32,1.33,1.96,-0.19,-0.18,-0.19
35.97,-1.46,-1.27,-1.47,-1.28,1.29,1.31,1.93,-0.17,-0.18,-0.19
36.33,-1.43,-1.24,-1.44,-1.25,1.26,1.29,1.90,-0.17,-0.18,-0.19
36.70,-1.42,-1.24,-1.41,-1.23,1.23,1.28,1.87,-0.19,-0.18,-0.18
37.06,-1.38,-1.20,-1.39,-1.20,1.20,1.26,1.83,-0.18,-0.19,-0.19
37.43,-1.36,-1.18,-1.36,-1.18,1.17,1.24,1.80,-0.19,-0.19,-0.19
37.81,-1.33,-1.14,-1.33,-1.15,1.14,1.22,1.77,-0.20,-0.19,-0.19
38.19,-1.30,-1.12,-1.31,-1.12,1.11,1.21,1.73,-0.20,-0.20,-0.18
38.57,-1.27,-1.09,-1.28,-1.08,1.08,1.19,1.70,-0.20,-0.20,-0.19
38.95,-1.25,-1.03,-1.25,-1.04,1.05,1.17,1.66,-0.21,-0.20,-0.22
39.34,-1.22,-1.00,-1.23,-1.00,1.02,1.16,1.63,-0.21,-0.21,-0.22
39.74,-1.20,-0.97,-1.21,-0.97,0.99,1.14,1.60,-0.21,-0.22,-0.23
40.14,-1.20,-0.97,-1.19,-0.96,0.96,1.12,1.57,-0.24,-0.23,-0.24
40.54,-1.16,-0.93,-1.18,-0.94,0.94,1.11,1.54,-0.22,-0.24,-0.23
40.94,-1.16,-0.93,-1.16,-0.93,0.92,1.10,1.51,-0.25,-0.24,-0.23
41.35,-1.15,-0.92,-1.15,-0.90,0.90,1.08,1.48,-0.26,-0.25,-0.24
