frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-1.93,-3.62,-1.93,1.92,1.59,0.68,-1.69,-1.70,-1.68
20.20,-3.58,-1.90,-3.58,-1.92,1.92,1.62,0.69,-1.67,-1.66,-1.68
20.40,-3.54,-1.92,-3.53,-1.91,1.91,1.65,0.71,-1.63,-1.62,-1.62
20.61,-3.48,-1.89,-3.49,-1.90,1.90,1.68,0.73,-1.58,-1.58,-1.59
20.81,-3.43,-1.89,-3.44,-1.89,1.90,1.71,0.75,-1.54,-1.54,-1.54
21.02,-3.39,-1.88,-3.39,-1.88,1.89,1.74,0.77,-1.50,-1.50,-1.51
21.23,-3.35,-1.88,-3.35,-1.88,1.88,1.77,0.80,-1.47,-1.47,-1.47
21.44,-3.30,-1.88,-3.31,-1.88,1.88,1.79,0.82,-1.43,-1.43,-1.42
21.66,-3.26,-1.87,-3.26,-1.88,1.87,1.82,0.84,-1.40,-1.39,-1.39
21.87,-3.21,-1.88,-3.21,-1.87,1.86,1.84,0.86,-1.35,-1.35,-1.33
22.09,-3.15,-1.85,-3.15,-1.85,1.85,1.86,0.89,-1.30,-1.30,-1.30
22.31,-3.09,-1.83,-3.10,-1.84,1.84,1.88,0.91,-1.25,-1.26,-1.26
22.54,-3.04,-1.82,-3.05,-1.82,1.84,1.90,0.94,-1.21,-1.21,-1.22
22.76,-3.01,-1.82,-3.01,-1.82,1.84,1.92,0.97,-1.18,-1.17,-1.19
22.99,-2.96,-1.83,-2.97,-1.83,1.83,1.94,0.99,-1.13,-1.13,-1.13
23.22,-2.93,-1.83,-2.94,-1.84,1.84,1.95,1.02,-1.10,-1.10,-1.10
23.45,-2.90,-1.85,-2.90,-1.84,1.84,1.96,1.05,-1.06,-1.06,-1.05
23.69,-2.87,-1.85,-2.87,-1.85,1.84,1.97,1.07,-1.03,-1.02,-1.02
23.92,-2.83,-1.85,-2.83,-1.85,1.85,1.97,1.10,-0.99,-0.98,-0.98
24.16,-2.78,-1.85,-2.79,-1.85,1.85,1.98,1.13,-0.94,-0.95,-0.93
24.40,-2.75,-1.85,-2.75,-1.84,1.84,1.98,1.16,-0.92,-0.92,-0.91
24.65,-2.72,-1.83,-2.72,-1.83,1.83,1.98,1.19,-0.90,-0.89,-0.90
24.89,-2.67,-1.83,-2.68,-1.82,1.81,1.98,1.22,-0.86,-0.87,-0.85
25.14,-2.63,-1.80,-2.63,-1.80,1.80,1.97,1.25,-0.84,-0.83,-0.84
25.39,-2.57,-1.78,-2.58,-1.77,1.78,1.97,1.28,-0.79,-0.79,-0.80
25.65,-2.52,-1.75,-2.53,-1.76,1.77,1.96,1.31,-0.76,-0.76,-0.78
25.91,-2.50,-1.75,-2.49,-1.74,1.76,1.95,1.34,-0.75,-0.74,-0.76
26.16,-2.46,-1.75,-2.47,-1.75,1.75,1.93,1.37,-0.71,-0.72,-0.71
26.43,-2.43,-1.73,-2.44,-1.75,1.75,1.92,1.40,-0.69,-0.69,-0.70
26.69,-2.42,-1.77,-2.41,-1.75,1.75,1.90,1.43,-0.68,-0.67,-0.65
26.96,-2.37,-1.72,-2.39,-1.74,1.75,1.88,1.46,-0.63,-0.64,-0.65
27.23,-2.37,-1.76,-2.37,-1.75,1.75,1.86,1.49,-0.63,-0.62,-0.61
27.50,-2.33,-1.73,-2.34,-1.75,1.75,1.84,1.52,-0.59,-0.59,-0.60
27.77,-2.33,-1.77,-2.33,-1.75,1.74,1.82,1.54,-0.59,-0.58,-0.56
28.05,-2.29,-1.73,-2.30,-1.74,1.73,1.80,1.57,-0.56,-0.57,-0.56
28.33,-2.28,-1.72,-2.28,-1.72,1.72,1.78,1.59,-0.56,-0.56,-0.56
28.62,-2.24,-1.70,-2.24,-1.70,1.70,1.75,1.61,-0.54,-0.54,-0.55
28.90,-2.20,-1.69,-2.21,-1.69,1.68,1.73,1.63,-0.53,-0.54,-0.52
29.19,-2.18,-1.67,-2.18,-1.66,1.65,1.70,1.65,-0.53,-0.53,-0.52
29.48,-2.14,-1.63,-2.14,-1.63,1.62,1.67,1.67,-0.52,-0.52,-0.52
29.78,-2.09,-1.59,-2.10,-1.59,1.59,1.65,1.68,-0.50,-0.51,-0.51
30.08,-2.05,-1.55,-2.05,-1.55,1.56,1.62,1.69,-0.49,-0.49,-0.50
30.38,-2.00,-1.53,-2.01,-1.53,1.54,1.59,1.70,-0.47,-0.47,-0.47
