frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-3.17,-3.62,-3.18,3.18,2.85,0.77,-0.44,-0.44,-0.44
20.20,-3.58,-3.15,-3.58,-3.15,3.15,2.82,0.79,-0.44,-0.43,-0.43
20.40,-3.54,-3.11,-3.53,-3.11,3.12,2.79,0.82,-0.43,-0.42,-0.43
20.61,-3.48,-3.08,-3.49,-3.08,3.08,2.76,0.84,-0.40,-0.41,-0.40
20.81,-3.43,-3.04,-3.44,-3.04,3.05,2.73,0.87,-0.39,-0.39,-0.39
21.02,-3.39,-3.00,-3.39,-3.01,3.01,2.71,0.89,-0.39,-0.38,-0.39
21.23,-3.35,-2.98,-3.35,-2.98,2.97,2.68,0.92,-0.39,-0.38,-0.37
21.44,-3.30,-2.94,-3.31,-2.95,2.93,2.65,0.95,-0.38,-0.38,-0.36
21.66,-3.26,-2.91,-3.26,-2.90,2.88,2.62,0.98,-0.38,-0.38,-0.35
21.87,-3.21,-2.85,-3.21,-2.84,2.83,2.59,1.01,-0.38,-0.37,-0.36
22.09,-3.15,-2.77,-3.15,-2.78,2.79,2.56,1.04,-0.37,-0.37,-0.38
22.31,-3.09,-2.71,-3.10,-2.72,2.74,2.53,1.07,-0.35,-0.36,-0.38
22.54,-3.04,-2.68,-3.05,-2.68,2.70,2.50,1.11,-0.35,-0.35,-0.36
22.76,-3.01,-2.66,-3.01,-2.65,2.65,2.47,1.14,-0.36,-0.35,-0.35
22.99,-2.96,-2.61,-2.97,-2.62,2.61,2.44,1.17,-0.35,-0.35,-0.35
23.22,-2.93,-2.58,-2.94,-2.58,2.58,2.41,1.21,-0.36,-0.36,-0.36
23.45,-2.90,-2.55,-2.90,-2.55,2.54,2.38,1.24,-0.36,-0.36,-0.36
23.69,-2.87,-2.52,-2.87,-2.52,2.51,2.36,1.28,-0.37,-0.36,-0.36
23.92,-2.83,-2.48,-2.83,-2.47,2.47,2.33,1.32,-0.37,-0.36,-0.36
24.16,-2.78,-2.43,-2.79,-2.43,2.42,2.30,1.36,-0.36,-0.37,-0.36
24.40,-2.75,-2.37,-2.75,-2.38,2.38,2.27,1.40,-0.38,-0.38,-0.39
24.65,-2.72,-2.34,-2.72,-2.33,2.33,2.24,1.43,-0.39,-0.39,-0.39
24.89,-2.67,-2.29,-2.68,-2.29,2.28,2.21,1.47,-0.39,-0.39,-0.39
25.14,-2.63,-2.24,-2.63,-2.24,2.24,2.18,1.51,-0.40,-0.39,-0.39
25.39,-2.57,-2.18,-2.58,-2.19,2.19,2.15,1.55,-0.38,-0.39,-0.39
25.65,-2.52,-2.13,-2.53,-2.14,2.15,2.12,1.59,-0.38,-0.39,-0.39
25.91,-2.50,-2.11,-2.49,-2.10,2.11,2.10,1.63,-0.40,-0.38,-0.39
26.16,-2.46,-2.07,-2.47,-2.08,2.08,2.07,1.67,-0.39,-0.39,-0.39
26.43,-2.43,-2.04,-2.44,-2.05,2.05,2.04,1.71,-0.39,-0.39,-0.39
26.69,-2.42,-2.03,-2.41,-2.02,2.03,2.01,1.75,-0.40,-0.39,-0.39
26.96,-2.37,-1.98,-2.39,-2.00,2.01,1.99,1.79,-0.36,-0.38,-0.39
27.23,-2.37,-1.99,-2.37,-1.99,2.00,1.96,1.83,-0.38,-0.37,-0.38
27.50,-2.33,-1.98,-2.34,-1.98,1.98,1.93,1.86,-0.35,-0.36,-0.35
27.77,-2.33,-1.99,-2.33,-1.98,1.97,1.90,1.90,-0.36,-0.36,-0.34
28.05,-2.29,-1.96,-2.30,-1.97,1.95,1.88,1.93,-0.34,-0.35,-0.34
28.33,-2.28,-1.95,-2.28,-1.94,1.93,1.85,1.96,-0.35,-0.34,-0.34
28.62,-2.24,-1.91,-2.24,-1.91,1.91,1.82,1.99,-0.34,-0.34,-0.34
28.90,-2.20,-1.87,-2.21,-1.88,1.87,1.80,2.02,-0.33,-0.34,-0.34
29.19,-2.18,-1.84,-2.18,-1.84,1.84,1.77,2.05,-0.35,-0.34,-0.34
29.48,-2.14,-1.80,-2.14,-1.80,1.79,1.75,2.07,-0.35,-0.35,-0.34
29.78,-2.09,-1.75,-2.10,-1.75,1.75,1.72,2.09,-0.34,-0.35,-0.34
30.08,-2.05,-1.69,-2.05,-1.70,1.71,1.69,2.10,-0.35,-0.35,-0.36
30.38,-2.00,-1.64,-2.01,-1.65,1.66,1.67,2.12,-0.34,-0.35,-0.36
30.68,-1.96,-1.63,-1.96,-1.62,1.62,1.65,2.13,-0.35,-0.34,-0.33
30.99,-1.91,-1.58,-1.92,-1.58,1.58,1.62,2.14,-0.34,-0.34,-0.34
31.30,-1.87,-1.54,-1.87,-1.54,1.54,1.60,2.14,-0.34,-0.34,-0.34
31.61,-1.83,-1.50,-1.83,-1.50,1.50,1.57,2.15,-0.33,-0.33,-0.34
31.93,-1.80,-1.47,-1.81,-1.47,1.47,1.55,2.14,-0.34,-0.34,-0.34
32.24,-1.77,-1.43,-1.78,-1.44,1.44,1.53,2.14,-0.33,-0.34,-0.34
32.57,-1.76,-1.42,-1.75,-1.41,1.42,1.50,2.13,-0.35,-0.34,-0.34
32.89,-1.72,-1.39,-1.72,-1.39,1.40,1.48,2.12,-0.33,-0.32,-0.33
33.22,-1.68,-1.37,-1.69,-1.38,1.38,1.46,2.11,-0.30,-0.31,-0.31
33.55,-1.65,-1.37,-1.66,-1.37,1.36,1.44,2.09,-0.29,-0.30,-0.29
33.89,-1.64,-1.36,-1.64,-1.35,1.35,1.41,2.07,-0.29,-0.29,-0.29
34.23,-1.64,-1.35,-1.63,-1.34,1.34,1.39,2.05,-0.31,-0.29,-0.29
34.57,-1.59,-1.30,-1.60,-1.33,1.32,1.37,2.03,-0.27,-0.28,-0.29
34.92,-1.57,-1.32,-1.58,-1.31,1.31,1.35,2.01,-0.27,-0.27,-0.25
35.27,-1.54,-1.30,-1.54,-1.29,1.29,1.33,1.98,-0.25,-0.25,-0.25
35.62,-1.51,-1.27,-1.51,-1.28,1.27,1.31,1.95,-0.24,-0.23,-0.25
35.97,-1.46,-1.26,-1.47,-1.26,1.26,1.29,1.93,-0.21,-0.21,-0.20
36.33,-1.43,-1.23,-1.44,-1.24,1.24,1.27,1.90,-0.19,-0.20,-0.20
36.70,-1.42,-1.23,-1.41,-1.22,1.22,1.25,1.87,-0.20,-0.19,-0.19
37.06,-1.38,-1.19,-1.39,-1.20,1.21,1.23,1.83,-0.18,-0.18,-0.20
37.43,-1.36,-1.19,-1.36,-1.19,1.19,1.21,1.80,-0.18,-0.18,-0.18
37.81,-1.33,-1.18,-1.33,-1.17,1.17,1.19,1.77,-0.17,-0.16,-0.15
38.19,-1.30,-1.16,-1.31,-1.16,1.15,1.17,1.74,-0.16,-0.16,-0.14
38.57,-1.27,-1.13,-1.28,-1.13,1.13,1.16,1.71,-0.15,-0.15,-0.15
38.95,-1.25,-1.10,-1.25,-1.10,1.11,1.14,1.68,-0.15,-0.14,-0.15
39.34,-1.22,-1.07,-1.23,-1.08,1.09,1.12,1.65,-0.14,-0.14,-0.15
39.74,-1.20,-1.06,-1.21,-1.06,1.07,1.11,1.62,-0.14,-0.14,-0.15
40.14,-1.20,-1.06,-1.19,-1.04,1.05,1.09,1.59,-0.16,-0.14,-0.15
40.54,-1.16,-1.01,-1.18,-1.03,1.03,1.07,1.56,-0.13,-0.15,-0.15
40.94,-1.16,-1.02,-1.16,-1.01,1.01,1.06,1.53,-0.15,-0.15,-0.15
41.35,-1.15,-1.00,-1.15,-1.00,1.00,1.04,1.50,-0.16,-0.15,-0.15
41.76,-1.12,-0.97,-1.13,-0.99,0.98,1.03,1.47,-0.14,-0.15,-0.15
42.18,-1.12,-0.98,-1.12,-0.97,0.96,1.01,1.45,-0.16,-0.16,-0.15
42.60,-1.09,-0.94,-1.10,-0.95,0.94,1.00,1.42,-0.15,-0.16,-0.15
43.03,-1.07,-0.93,-1.07,-0.92,0.92,0.98,1.40,-0.16,-0.15,-0.15
43.46,-1.04,-0.89,-1.04,-0.89,0.89,0.97,1.38,-0.15,-0.15,-0.15
43.90,-0.99,-0.85,-1.01,-0.86,0.87,0.96,1.35,-0.13,-0.14,-0.14
44.33,-0.99,-0.84,-0.98,-0.83,0.84,0.95,1.33,-0.15,-0.13,-0.15
44.78,-0.94,-0.80,-0.96,-0.81,0.82,0.93,1.31,-0.13,-0.14,-0.14
45.23,-0.94,-0.80,-0.94,-0.80,0.79,0.92,1.29,-0.15,-0.15,-0.15
45.68,-0.94,-0.80,-0.93,-0.78,0.77,0.91,1.28,-0.17,-0.16,-0.14
46.13,-0.90,-0.75,-0.92,-0.76,0.75,0.90,1.26,-0.15,-0.17,-0.15
46.60,-0.90,-0.73,-0.91,-0.73,0.73,0.89,1.24,-0.17,-0.17,-0.17
47.06,-0.90,-0.70,-0.90,-0.71,0.72,0.88,1.23,-0.19,-0.18,-0.20
47.53,-0.90,-0.71,-0.90,-0.70,0.71,0.87,1.22,-0.20,-0.20,-0.20
48.01,-0.90,-0.71,-0.90,-0.70,0.70,0.87,1.20,-0.20,-0.20,-0.19
48.49,-0.90,-0.70,-0.90,-0.71,0.70,0.86,1.19,-0.20,-0.20,-0.20
48.97,-0.90,-0.71,-0.91,-0.71,0.72,0.85,1.18,-0.19,-0.20,-0.20
49.46,-0.93,-0.72,-0.93,-0.72,0.73,0.85,1.17,-0.20,-0.20,-0.21
49.96,-0.96,-0.74,-0.96,-0.75,0.76,0.84,1.16,-0.21,-0.20,-0.22
50.46,-0.99,-0.79,-1.00,-0.79,0.79,0.84,1.15,-0.21,-0.21,-0.20
50.96,-1.03,-0.84,-1.03,-0.83,0.82,0.84,1.14,-0.21,-0.21,-0.20
51.47,-1.07,-0.88,-1.07,-0.87,0.87,0.84,1.13,-0.21,-0.20,-0.20
51.99,-1.10,-0.91,-1.11,-0.91,0.92,0.84,1.13,-0.19,-0.19,-0.19
52.51,-1.14,-0.94,-1.14,-0.95,0.97,0.84,1.12,-0.17,-0.17,-0.20
53.03,-1.18,-1.00,-1.19,-1.01,1.03,0.85,1.11,-0.16,-0.16,-0.18
53.56,-1.24,-1.08,-1.24,-1.08,1.08,0.86,1.11,-0.16,-0.16,-0.16
54.10,-1.30,-1.15,-1.30,-1.14,1.13,0.87,1.10,-0.17,-0.17,-0.15
54.64,-1.34,-1.19,-1.35,-1.20,1.18,0.88,1.09,-0.17,-0.17,-0.15
55.18,-1.38,-1.23,-1.39,-1.24,1.22,0.89,1.09,-0.16,-0.17,-0.15
55.74,-1.42,-1.27,-1.41,-1.26,1.25,0.91,1.08,-0.17,-0.15,-0.15
56.29,-1.42,-1.28,-1.43,-1.28,1.28,0.94,1.07,-0.14,-0.15,-0.14
56.86,-1.42,-1.28,-1.44,-1.30,1.30,0.96,1.07,-0.13,-0.14,-0.14
57.42,-1.46,-1.32,-1.45,-1.30,1.31,1.00,1.06,-0.16,-0.14,-0.15
58.00,-1.46,-1.31,-1.46,-1.31,1.31,1.03,1.05,-0.15,-0.15,-0.15
58.58,-1.46,-1.31,-1.47,-1.32,1.31,1.08,1.04,-0.15,-0.15,-0.15
59.16,-1.46,-1.32,-1.46,-1.31,1.31,1.12,1.03,-0.15,-0.15,-0.14
59.76,-1.46,-1.32,-1.46,-1.32,1.31,1.18,1.02,-0.15,-0.15,-0.15
60.35,-1.46,-1.31,-1.46,-1.31,1.31,1.23,1.01,-0.15,-0.15,-0.15
60.96,-1.46,-1.32,-1.46,-1.31,1.32,1.29,1.00,-0.15,-0.15,-0.15
61.57,-1.46,-1.31,-1.46,-1.31,1.32,1.34,0.99,-0.14,-0.14,-0.15
