frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,7.05,-3.62,7.06,-7.09,-6.04,-1.87,-10.71,-10.71,-10.66
20.20,-3.58,7.04,-3.58,7.02,-7.03,-6.14,-1.92,-10.61,-10.60,-10.62
20.40,-3.54,6.99,-3.53,6.98,-6.96,-6.23,-1.98,-10.50,-10.49,-10.53
20.61,-3.48,6.93,-3.49,6.92,-6.89,-6.32,-2.04,-10.37,-10.38,-10.41
20.81,-3.43,6.84,-3.44,6.84,-6.82,-6.40,-2.10,-10.25,-10.26,-10.27
21.02,-3.39,6.75,-3.39,6.76,-6.75,-6.46,-2.16,-10.14,-10.14,-10.14
21.23,-3.35,6.68,-3.35,6.67,-6.67,-6.51,-2.22,-10.03,-10.02,-10.03
21.44,-3.30,6.59,-3.31,6.59,-6.60,-6.56,-2.29,-9.90,-9.91,-9.89
21.66,-3.26,6.50,-3.26,6.50,-6.52,-6.59,-2.36,-9.78,-9.78,-9.76
21.87,-3.21,6.43,-3.21,6.42,-6.44,-6.60,-2.43,-9.65,-9.65,-9.64
22.09,-3.15,6.35,-3.15,6.36,-6.36,-6.61,-2.50,-9.51,-9.51,-9.50
22.31,-3.09,6.30,-3.10,6.29,-6.28,-6.60,-2.57,-9.37,-9.38,-9.39
22.54,-3.04,6.22,-3.05,6.21,-6.20,-6.58,-2.65,-9.24,-9.25,-9.26
22.76,-3.01,6.12,-3.01,6.13,-6.12,-6.54,-2.73,-9.13,-9.12,-9.13
22.99,-2.96,6.05,-2.97,6.04,-6.03,-6.50,-2.81,-9.00,-9.00,-9.01
23.22,-2.93,5.94,-2.94,5.94,-5.94,-6.44,-2.89,-8.88,-8.88,-8.87
23.45,-2.90,5.85,-2.90,5.85,-5.85,-6.37,-2.97,-8.76,-8.76,-8.75
23.69,-2.87,5.75,-2.87,5.75,-5.76,-6.30,-3.06,-8.63,-8.63,-8.63
23.92,-2.83,5.66,-2.83,5.67,-5.66,-6.21,-3.14,-8.50,-8.49,-8.49
24.16,-2.78,5.58,-2.79,5.58,-5.57,-6.12,-3.23,-8.36,-8.37,-8.36
24.40,-2.75,5.50,-2.75,5.49,-5.49,-6.01,-3.32,-8.24,-8.24,-8.25
24.65,-2.72,5.40,-2.72,5.40,-5.41,-5.91,-3.41,-8.13,-8.12,-8.13
24.89,-2.67,5.30,-2.68,5.31,-5.33,-5.80,-3.50,-8.00,-8.01,-7.97
25.14,-2.63,5.23,-2.63,5.24,-5.26,-5.68,-3.59,-7.89,-7.88,-7.87
25.39,-2.57,5.18,-2.58,5.18,-5.18,-5.56,-3.68,-7.76,-7.76,-7.76
25.65,-2.52,5.13,-2.53,5.12,-5.11,-5.44,-3.77,-7.64,-7.65,-7.66
25.91,-2.50,5.06,-2.49,5.06,-5.04,-5.32,-3.87,-7.54,-7.53,-7.56
26.16,-2.46,4.97,-2.47,4.98,-4.97,-5.20,-3.96,-7.43,-7.43,-7.44
26.43,-2.43,4.91,-2.44,4.90,-4.89,-5.07,-4.05,-7.32,-7.33,-7.34
26.69,-2.42,4.80,-2.41,4.81,-4.81,-4.95,-4.14,-7.23,-7.22,-7.22
26.96,-2.37,4.74,-2.39,4.73,-4.73,-4.83,-4.22,-7.10,-7.11,-7.11
27.23,-2.37,4.63,-2.37,4.64,-4.64,-4.71,-4.31,-7.01,-7.01,-7.00
27.50,-2.33,4.56,-2.34,4.55,-4.55,-4.59,-4.39,-6.89,-6.89,-6.89
27.77,-2.33,4.45,-2.33,4.46,-4.47,-4.48,-4.47,-6.80,-6.79,-6.78
28.05,-2.29,4.38,-2.30,4.37,-4.38,-4.36,-4.54,-6.67,-6.68,-6.67
28.33,-2.28,4.29,-2.28,4.30,-4.30,-4.25,-4.61,-6.58,-6.57,-6.57
28.62,-2.24,4.22,-2.24,4.22,-4.21,-4.14,-4.67,-6.46,-6.46,-6.47
28.90,-2.20,4.15,-2.21,4.13,-4.13,-4.04,-4.73,-6.33,-6.34,-6.36
29.19,-2.18,4.04,-2.18,4.05,-4.05,-3.94,-4.78,-6.23,-6.22,-6.23
