frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-1.71,-3.62,-1.70,1.68,1.61,0.59,-1.93,-1.94,-1.91
20.20,-3.58,-1.69,-3.58,-1.69,1.69,1.62,0.61,-1.89,-1.88,-1.90
20.40,-3.54,-1.70,-3.53,-1.69,1.70,1.63,0.63,-1.84,-1.83,-1.85
20.61,-3.48,-1.69,-3.49,-1.69,1.71,1.64,0.64,-1.78,-1.78,-1.79
20.81,-3.43,-1.69,-3.44,-1.71,1.71,1.65,0.66,-1.72,-1.72,-1.74
21.02,-3.39,-1.71,-3.39,-1.71,1.72,1.66,0.68,-1.67,-1.67,-1.68
21.23,-3.35,-1.74,-3.35,-1.73,1.72,1.66,0.71,-1.63,-1.63,-1.61
21.44,-3.30,-1.72,-3.31,-1.74,1.72,1.67,0.73,-1.58,-1.58,-1.58
21.66,-3.26,-1.74,-3.26,-1.74,1.73,1.68,0.75,-1.54,-1.54,-1.52
21.87,-3.21,-1.74,-3.21,-1.73,1.72,1.68,0.77,-1.49,-1.48,-1.47
22.09,-3.15,-1.71,-3.15,-1.72,1.72,1.69,0.80,-1.43,-1.43,-1.44
22.31,-3.09,-1.71,-3.10,-1.71,1.72,1.70,0.82,-1.37,-1.38,-1.38
22.54,-3.04,-1.69,-3.05,-1.70,1.72,1.70,0.84,-1.33,-1.33,-1.35
22.76,-3.01,-1.71,-3.01,-1.70,1.71,1.70,0.87,-1.30,-1.29,-1.30
22.99,-2.96,-1.70,-2.97,-1.71,1.71,1.71,0.90,-1.25,-1.25,-1.26
23.22,-2.93,-1.72,-2.94,-1.72,1.72,1.71,0.92,-1.22,-1.22,-1.21
23.45,-2.90,-1.72,-2.90,-1.73,1.72,1.71,0.95,-1.18,-1.18,-1.18
23.69,-2.87,-1.74,-2.87,-1.73,1.73,1.72,0.98,-1.15,-1.14,-1.13
23.92,-2.83,-1.74,-2.83,-1.73,1.73,1.72,1.01,-1.10,-1.10,-1.09
24.16,-2.78,-1.72,-2.79,-1.74,1.73,1.72,1.03,-1.05,-1.06,-1.06
24.40,-2.75,-1.73,-2.75,-1.73,1.73,1.72,1.06,-1.02,-1.02,-1.02
24.65,-2.72,-1.74,-2.72,-1.73,1.72,1.72,1.09,-1.00,-1.00,-0.99
24.89,-2.67,-1.71,-2.68,-1.72,1.71,1.71,1.12,-0.97,-0.97,-0.96
25.14,-2.63,-1.72,-2.63,-1.70,1.69,1.71,1.15,-0.94,-0.93,-0.92
25.39,-2.57,-1.67,-2.58,-1.67,1.68,1.71,1.18,-0.90,-0.90,-0.91
25.65,-2.52,-1.65,-2.53,-1.65,1.66,1.70,1.21,-0.86,-0.87,-0.88
25.91,-2.50,-1.64,-2.49,-1.63,1.65,1.70,1.24,-0.85,-0.84,-0.87
26.16,-2.46,-1.64,-2.47,-1.63,1.64,1.70,1.28,-0.82,-0.83,-0.83
26.43,-2.43,-1.63,-2.44,-1.63,1.63,1.69,1.31,-0.80,-0.80,-0.81
26.69,-2.42,-1.64,-2.41,-1.63,1.63,1.68,1.34,-0.79,-0.78,-0.78
26.96,-2.37,-1.63,-2.39,-1.63,1.64,1.68,1.36,-0.74,-0.75,-0.74
27.23,-2.37,-1.63,-2.37,-1.64,1.64,1.67,1.39,-0.73,-0.72,-0.74
27.50,-2.33,-1.64,-2.34,-1.64,1.65,1.66,1.42,-0.69,-0.69,-0.69
27.77,-2.33,-1.67,-2.33,-1.66,1.65,1.65,1.45,-0.68,-0.67,-0.66
28.05,-2.29,-1.64,-2.30,-1.66,1.65,1.65,1.47,-0.64,-0.65,-0.65
28.33,-2.28,-1.67,-2.28,-1.65,1.65,1.64,1.50,-0.63,-0.63,-0.61
28.62,-2.24,-1.64,-2.24,-1.64,1.64,1.63,1.52,-0.60,-0.60,-0.60
28.90,-2.20,-1.61,-2.21,-1.64,1.63,1.62,1.54,-0.57,-0.59,-0.59
29.19,-2.18,-1.64,-2.18,-1.61,1.61,1.60,1.56,-0.57,-0.57,-0.55
29.48,-2.14,-1.60,-2.14,-1.59,1.59,1.59,1.58,-0.56,-0.55,-0.55
29.78,-2.09,-1.55,-2.10,-1.57,1.56,1.58,1.60,-0.53,-0.54,-0.55
30.08,-2.05,-1.54,-2.05,-1.53,1.53,1.57,1.61,-0.52,-0.52,-0.51
30.38,-2.00,-1.49,-2.01,-1.49,1.50,1.56,1.63,-0.51,-0.51,-0.51
30.68,-1.96,-1.45,-1.96,-1.46,1.47,1.54,1.64,-0.50,-0.49,-0.51
30.99,-1.91,-1.43,-1.92,-1.43,1.43,1.53,1.64,-0.48,-0.48,-0.48
31.30,-1.87,-1.41,-1.87,-1.40,1.40,1.52,1.65,-0.47,-0.47,-0.46
31.61,-1.83,-1.37,-1.83,-1.37,1.37,1.50,1.65,-0.46,-0.46,-0.46
31.93,-1.80,-1.35,-1.81,-1.35,1.34,1.49,1.66,-0.46,-0.46,-0.46
32.24,-1.77,-1.32,-1.78,-1.32,1.32,1.47,1.65,-0.45,-0.46,-0.46
32.57,-1.76,-1.30,-1.75,-1.30,1.30,1.46,1.65,-0.46,-0.45,-0.46
32.89,-1.72,-1.27,-1.72,-1.28,1.28,1.44,1.65,-0.44,-0.44,-0.45
33.22,-1.68,-1.27,-1.69,-1.26,1.27,1.43,1.64,-0.41,-0.42,-0.41
33.55,-1.65,-1.24,-1.66,-1.25,1.26,1.41,1.63,-0.39,-0.40,-0.41
33.89,-1.64,-1.23,-1.64,-1.24,1.25,1.39,1.62,-0.39,-0.39,-0.42
34.23,-1.64,-1.28,-1.63,-1.25,1.24,1.38,1.61,-0.40,-0.38,-0.37
34.57,-1.59,-1.23,-1.60,-1.25,1.24,1.36,1.59,-0.36,-0.37,-0.37
