frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,0.71,-3.62,0.70,-0.72,-0.61,-0.59,-4.34,-4.35,-4.32
20.20,-3.58,0.73,-3.58,0.73,-0.74,-0.62,-0.61,-4.32,-4.31,-4.31
20.40,-3.54,0.74,-3.53,0.75,-0.75,-0.64,-0.62,-4.29,-4.28,-4.28
20.61,-3.48,0.78,-3.49,0.77,-0.75,-0.65,-0.64,-4.24,-4.24,-4.26
20.81,-3.43,0.79,-3.44,0.78,-0.76,-0.66,-0.66,-4.20,-4.20,-4.22
21.02,-3.39,0.79,-3.39,0.80,-0.77,-0.67,-0.69,-4.16,-4.16,-4.18
21.23,-3.35,0.80,-3.35,0.80,-0.78,-0.69,-0.71,-4.13,-4.13,-4.15
21.44,-3.30,0.80,-3.31,0.79,-0.78,-0.70,-0.73,-4.08,-4.09,-4.10
21.66,-3.26,0.78,-3.26,0.78,-0.78,-0.71,-0.75,-4.04,-4.04,-4.04
21.87,-3.21,0.76,-3.21,0.76,-0.78,-0.73,-0.78,-3.99,-3.99,-3.97
22.09,-3.15,0.76,-3.15,0.76,-0.78,-0.74,-0.80,-3.93,-3.93,-3.91
22.31,-3.09,0.77,-3.10,0.77,-0.78,-0.75,-0.82,-3.87,-3.88,-3.86
22.54,-3.04,0.79,-3.05,0.79,-0.79,-0.77,-0.85,-3.83,-3.83,-3.83
22.76,-3.01,0.79,-3.01,0.80,-0.80,-0.78,-0.88,-3.81,-3.80,-3.80
22.99,-2.96,0.84,-2.97,0.82,-0.81,-0.80,-0.90,-3.77,-3.78,-3.80
23.22,-2.93,0.82,-2.94,0.83,-0.82,-0.81,-0.93,-3.76,-3.76,-3.75
23.45,-2.90,0.85,-2.90,0.84,-0.84,-0.83,-0.96,-3.75,-3.75,-3.75
23.69,-2.87,0.83,-2.87,0.85,-0.86,-0.84,-0.99,-3.73,-3.73,-3.71
23.92,-2.83,0.87,-2.83,0.87,-0.87,-0.86,-1.01,-3.70,-3.70,-3.70
24.16,-2.78,0.88,-2.79,0.88,-0.88,-0.88,-1.04,-3.67,-3.67,-3.67
24.40,-2.75,0.91,-2.75,0.90,-0.89,-0.89,-1.07,-3.65,-3.65,-3.67
24.65,-2.72,0.90,-2.72,0.91,-0.90,-0.91,-1.10,-3.62,-3.62,-3.63
24.89,-2.67,0.91,-2.68,0.91,-0.91,-0.92,-1.13,-3.58,-3.58,-3.59
25.14,-2.63,0.90,-2.63,0.91,-0.91,-0.94,-1.17,-3.54,-3.53,-3.54
25.39,-2.57,0.91,-2.58,0.91,-0.91,-0.96,-1.20,-3.48,-3.49,-3.49
25.65,-2.52,0.92,-2.53,0.91,-0.91,-0.98,-1.23,-3.44,-3.44,-3.45
25.91,-2.50,0.90,-2.49,0.91,-0.91,-0.99,-1.26,-3.42,-3.41,-3.40
26.16,-2.46,0.92,-2.47,0.90,-0.91,-1.01,-1.29,-3.38,-3.38,-3.38
26.43,-2.43,0.91,-2.44,0.91,-0.92,-1.03,-1.32,-3.35,-3.36,-3.34
26.69,-2.42,0.91,-2.41,0.93,-0.92,-1.04,-1.35,-3.35,-3.34,-3.33
26.96,-2.37,0.96,-2.39,0.94,-0.93,-1.06,-1.38,-3.31,-3.32,-3.33
27.23,-2.37,0.96,-2.37,0.95,-0.94,-1.08,-1.41,-3.32,-3.31,-3.33
27.50,-2.33,0.95,-2.34,0.96,-0.96,-1.10,-1.43,-3.29,-3.30,-3.28
27.77,-2.33,0.95,-2.33,0.96,-0.97,-1.12,-1.46,-3.31,-3.30,-3.28
28.05,-2.29,0.99,-2.30,0.98,-0.99,-1.14,-1.48,-3.28,-3.29,-3.28
28.33,-2.28,1.00,-2.28,1.01,-1.00,-1.15,-1.51,-3.29,-3.28,-3.28
28.62,-2.24,1.04,-2.24,1.03,-1.02,-1.17,-1.53,-3.26,-3.26,-3.29
28.90,-2.20,1.04,-2.21,1.04,-1.03,-1.19,-1.55,-3.24,-3.25,-3.25
29.19,-2.18,1.05,-2.18,1.06,-1.05,-1.21,-1.57,-3.23,-3.23,-3.24
29.48,-2.14,1.05,-2.14,1.06,-1.07,-1.23,-1.59,-3.21,-3.21,-3.20
29.78,-2.09,1.10,-2.10,1.08,-1.09,-1.25,-1.60,-3.19,-3.19,-3.19
30.08,-2.05,1.09,-2.05,1.11,-1.11,-1.26,-1.61,-3.17,-3.17,-3.14
30.38,-2.00,1.14,-2.01,1.14,-1.14,-1.28,-1.62,-3.14,-3.14,-3.14
30.68,-1.96,1.18,-1.96,1.16,-1.16,-1.30,-1.63,-3.13,-3.12,-3.14
30.99,-1.91,1.19,-1.92,1.20,-1.19,-1.32,-1.64,-3.11,-3.11,-3.10
31.30,-1.87,1.23,-1.87,1.23,-1.22,-1.34,-1.64,-3.10,-3.10,-3.10
31.61,-1.83,1.26,-1.83,1.26,-1.26,-1.35,-1.64,-3.09,-3.09,-3.10
31.93,-1.80,1.28,-1.81,1.29,-1.30,-1.37,-1.64,-3.10,-3.10,-3.09
32.24,-1.77,1.34,-1.78,1.32,-1.33,-1.39,-1.63,-3.11,-3.11,-3.11
32.57,-1.76,1.34,-1.75,1.36,-1.37,-1.41,-1.62,-3.13,-3.12,-3.10
32.89,-1.72,1.40,-1.72,1.40,-1.40,-1.42,-1.61,-3.12,-3.12,-3.12
33.22,-1.68,1.46,-1.69,1.45,-1.43,-1.44,-1.60,-3.11,-3.12,-3.14
33.55,-1.65,1.49,-1.66,1.48,-1.46,-1.46,-1.59,-3.11,-3.12,-3.14
33.89,-1.64,1.50,-1.64,1.50,-1.49,-1.47,-1.57,-3.14,-3.14,-3.15
