frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-0.59,-3.62,-0.60,0.58,-0.08,-0.25,-3.03,-3.04,-3.02
20.20,-3.58,-0.59,-3.58,-0.58,0.57,-0.08,-0.25,-3.01,-3.00,-2.99
20.40,-3.54,-0.58,-3.53,-0.56,0.57,-0.08,-0.26,-2.98,-2.97,-2.96
20.61,-3.48,-0.54,-3.49,-0.55,0.56,-0.09,-0.27,-2.93,-2.93,-2.94
20.81,-3.43,-0.53,-3.44,-0.53,0.55,-0.09,-0.28,-2.88,-2.89,-2.90
21.02,-3.39,-0.50,-3.39,-0.51,0.54,-0.09,-0.28,-2.85,-2.85,-2.89
21.23,-3.35,-0.52,-3.35,-0.52,0.53,-0.10,-0.29,-2.82,-2.82,-2.83
21.44,-3.30,-0.52,-3.31,-0.52,0.52,-0.10,-0.30,-2.78,-2.79,-2.78
21.66,-3.26,-0.53,-3.26,-0.53,0.51,-0.10,-0.31,-2.75,-2.75,-2.73
21.87,-3.21,-0.52,-3.21,-0.52,0.50,-0.11,-0.32,-2.71,-2.70,-2.69
22.09,-3.15,-0.51,-3.15,-0.50,0.49,-0.11,-0.33,-2.66,-2.66,-2.64
22.31,-3.09,-0.47,-3.10,-0.48,0.48,-0.11,-0.34,-2.62,-2.62,-2.62
22.54,-3.04,-0.46,-3.05,-0.46,0.46,-0.12,-0.35,-2.59,-2.59,-2.59
22.76,-3.01,-0.44,-3.01,-0.43,0.43,-0.12,-0.36,-2.58,-2.58,-2.58
22.99,-2.96,-0.39,-2.97,-0.39,0.40,-0.13,-0.37,-2.57,-2.57,-2.58
23.22,-2.93,-0.36,-2.94,-0.36,0.37,-0.13,-0.38,-2.57,-2.57,-2.58
23.45,-2.90,-0.33,-2.90,-0.33,0.34,-0.14,-0.39,-2.57,-2.57,-2.58
23.69,-2.87,-0.31,-2.87,-0.30,0.30,-0.14,-0.40,-2.57,-2.57,-2.57
23.92,-2.83,-0.27,-2.83,-0.26,0.27,-0.15,-0.42,-2.57,-2.56,-2.57
24.16,-2.78,-0.22,-2.79,-0.23,0.23,-0.15,-0.43,-2.56,-2.57,-2.57
24.40,-2.75,-0.18,-2.75,-0.19,0.18,-0.16,-0.44,-2.57,-2.57,-2.57
24.65,-2.72,-0.16,-2.72,-0.15,0.13,-0.16,-0.45,-2.60,-2.59,-2.57
24.89,-2.67,-0.10,-2.68,-0.09,0.08,-0.17,-0.46,-2.60,-2.60,-2.57
25.14,-2.63,-0.01,-2.63,-0.02,0.02,-0.17,-0.48,-2.61,-2.61,-2.62
25.39,-2.57,0.05,-2.58,0.05,-0.04,-0.18,-0.49,-2.61,-2.62,-2.62
25.65,-2.52,0.12,-2.53,0.11,-0.10,-0.19,-0.50,-2.62,-2.63,-2.64
25.91,-2.50,0.16,-2.49,0.16,-0.15,-0.20,-0.51,-2.66,-2.64,-2.66
26.16,-2.46,0.20,-2.47,0.21,-0.20,-0.20,-0.53,-2.67,-2.67,-2.66
26.43,-2.43,0.26,-2.44,0.24,-0.25,-0.21,-0.54,-2.68,-2.69,-2.69
26.69,-2.42,0.27,-2.41,0.28,-0.29,-0.22,-0.55,-2.71,-2.70,-2.69
26.96,-2.37,0.32,-2.39,0.32,-0.31,-0.23,-0.56,-2.69,-2.70,-2.69
27.23,-2.37,0.34,-2.37,0.34,-0.33,-0.24,-0.57,-2.71,-2.70,-2.71
27.50,-2.33,0.38,-2.34,0.36,-0.35,-0.24,-0.59,-2.68,-2.69,-2.72
27.77,-2.33,0.34,-2.33,0.36,-0.36,-0.25,-0.60,-2.69,-2.68,-2.68
28.05,-2.29,0.37,-2.30,0.37,-0.36,-0.26,-0.61,-2.66,-2.66,-2.67
28.33,-2.28,0.36,-2.28,0.37,-0.37,-0.27,-0.62,-2.65,-2.64,-2.65
28.62,-2.24,0.37,-2.24,0.37,-0.37,-0.29,-0.63,-2.61,-2.61,-2.62
28.90,-2.20,0.37,-2.21,0.36,-0.37,-0.30,-0.64,-2.58,-2.59,-2.57
29.19,-2.18,0.36,-2.18,0.37,-0.38,-0.31,-0.65,-2.56,-2.56,-2.54
29.48,-2.14,0.38,-2.14,0.38,-0.40,-0.32,-0.66,-2.54,-2.54,-2.52
29.78,-2.09,0.43,-2.10,0.41,-0.42,-0.34,-0.67,-2.51,-2.52,-2.52
30.08,-2.05,0.44,-2.05,0.45,-0.45,-0.35,-0.67,-2.50,-2.50,-2.49
30.38,-2.00,0.48,-2.01,0.48,-0.48,-0.37,-0.68,-2.49,-2.49,-2.48
30.68,-1.96,0.52,-1.96,0.52,-0.52,-0.38,-0.69,-2.48,-2.48,-2.49
30.99,-1.91,0.57,-1.92,0.57,-0.56,-0.40,-0.69,-2.47,-2.47,-2.49
31.30,-1.87,0.60,-1.87,0.61,-0.60,-0.42,-0.70,-2.48,-2.48,-2.48
31.61,-1.83,0.64,-1.83,0.64,-0.65,-0.43,-0.70,-2.48,-2.48,-2.48
31.93,-1.80,0.68,-1.81,0.68,-0.69,-0.45,-0.70,-2.49,-2.49,-2.48
32.24,-1.77,0.71,-1.78,0.71,-0.72,-0.47,-0.71,-2.50,-2.50,-2.48
32.57,-1.76,0.76,-1.75,0.76,-0.75,-0.50,-0.71,-2.52,-2.51,-2.52
32.89,-1.72,0.80,-1.72,0.80,-0.78,-0.52,-0.71,-2.50,-2.50,-2.52
33.22,-1.68,0.84,-1.69,0.83,-0.80,-0.54,-0.71,-2.48,-2.48,-2.53
33.55,-1.65,0.82,-1.66,0.83,-0.81,-0.57,-0.71,-2.46,-2.47,-2.48
33.89,-1.64,0.83,-1.64,0.82,-0.82,-0.60,-0.71,-2.47,-2.47,-2.47
34.23,-1.64,0.79,-1.63,0.82,-0.83,-0.63,-0.71,-2.48,-2.46,-2.43
34.57,-1.59,0.84,-1.60,0.83,-0.85,-0.66,-0.71,-2.44,-2.45,-2.43
34.92,-1.57,0.86,-1.58,0.84,-0.86,-0.69,-0.70,-2.43,-2.44,-2.43
35.27,-1.54,0.87,-1.54,0.87,-0.88,-0.72,-0.70,-2.42,-2.42,-2.42
35.62,-1.51,0.87,-1.51,0.91,-0.91,-0.76,-0.70,-2.42,-2.41,-2.39
35.97,-1.46,0.97,-1.47,0.95,-0.94,-0.80,-0.70,-2.41,-2.41,-2.43
36.33,-1.43,1.00,-1.44,0.98,-0.98,-0.84,-0.70,-2.41,-2.42,-2.43
36.70,-1.42,1.01,-1.41,1.02,-1.02,-0.88,-0.69,-2.45,-2.43,-2.44
37.06,-1.38,1.04,-1.39,1.06,-1.06,-0.93,-0.69,-2.44,-2.45,-2.43
37.43,-1.36,1.11,-1.36,1.10,-1.10,-0.98,-0.69,-2.46,-2.46,-2.47
37.81,-1.33,1.15,-1.33,1.14,-1.13,-1.03,-0.69,-2.47,-2.47,-2.48
38.19,-1.30,1.18,-1.31,1.18,-1.17,-1.08,-0.69,-2.47,-2.47,-2.49
38.57,-1.27,1.20,-1.28,1.21,-1.20,-1.14,-0.68,-2.47,-2.47,-2.48
38.95,-1.25,1.23,-1.25,1.23,-1.23,-1.20,-0.68,-2.48,-2.47,-2.48
39.34,-1.22,1.26,-1.23,1.25,-1.26,-1.26,-0.68,-2.48,-2.49,-2.48
39.74,-1.20,1.28,-1.21,1.28,-1.29,-1.32,-0.68,-2.49,-2.49,-2.49
40.14,-1.20,1.30,-1.19,1.31,-1.32,-1.39,-0.68,-2.52,-2.51,-2.50
40.54,-1.16,1.36,-1.18,1.35,-1.35,-1.46,-0.68,-2.52,-2.53,-2.52
40.94,-1.16,1.39,-1.16,1.40,-1.40,-1.52,-0.68,-2.56,-2.56,-2.56
41.35,-1.15,1.44,-1.15,1.44,-1.44,-1.59,-0.69,-2.60,-2.59,-2.59
41.76,-1.12,1.51,-1.13,1.49,-1.50,-1.66,-0.69,-2.63,-2.64,-2.63
42.18,-1.12,1.53,-1.12,1.55,-1.56,-1.73,-0.69,-2.69,-2.68,-2.66
42.60,-1.09,1.62,-1.10,1.61,-1.63,-1.80,-0.69,-2.72,-2.73,-2.71
43.03,-1.07,1.69,-1.07,1.69,-1.69,-1.87,-0.70,-2.77,-2.76,-2.77
43.46,-1.04,1.76,-1.04,1.77,-1.76,-1.93,-0.70,-2.80,-2.80,-2.80
43.90,-0.99,1.86,-1.01,1.83,-1.82,-1.98,-0.70,-2.82,-2.83,-2.85
44.33,-0.99,1.86,-0.98,1.89,-1.88,-2.03,-0.71,-2.87,-2.86,-2.85
44.78,-0.94,1.95,-0.96,1.93,-1.93,-2.07,-0.72,-2.87,-2.89,-2.89
45.23,-0.94,1.96,-0.94,1.96,-1.96,-2.11,-0.72,-2.91,-2.91,-2.90
45.68,-0.94,1.98,-0.93,2.00,-1.99,-2.13,-0.73,-2.93,-2.91,-2.93
46.13,-0.90,2.04,-0.92,2.01,-2.00,-2.14,-0.74,-2.90,-2.92,-2.94
46.60,-0.90,2.00,-0.91,2.00,-2.00,-2.15,-0.74,-2.90,-2.90,-2.91
47.06,-0.90,1.98,-0.90,1.99,-1.98,-2.14,-0.75,-2.89,-2.88,-2.88
47.53,-0.90,1.94,-0.90,1.96,-1.96,-2.12,-0.76,-2.86,-2.86,-2.85
48.01,-0.90,1.95,-0.90,1.93,-1.92,-2.10,-0.77,-2.82,-2.82,-2.85
48.49,-0.90,1.90,-0.90,1.89,-1.88,-2.06,-0.78,-2.79,-2.78,-2.80
48.97,-0.90,1.83,-0.91,1.84,-1.84,-2.02,-0.79,-2.75,-2.76,-2.74
49.46,-0.93,1.78,-0.93,1.78,-1.81,-1.97,-0.80,-2.75,-2.74,-2.72
49.96,-0.96,1.75,-0.96,1.75,-1.79,-1.91,-0.81,-2.75,-2.75,-2.71
50.46,-0.99,1.72,-1.00,1.73,-1.76,-1.85,-0.82,-2.76,-2.76,-2.71
50.96,-1.03,1.72,-1.03,1.72,-1.74,-1.79,-0.84,-2.77,-2.77,-2.76
51.47,-1.07,1.72,-1.07,1.72,-1.70,-1.73,-0.85,-2.78,-2.77,-2.80
51.99,-1.10,1.70,-1.11,1.70,-1.66,-1.66,-0.86,-2.76,-2.76,-2.80
52.51,-1.14,1.66,-1.14,1.66,-1.60,-1.60,-0.87,-2.74,-2.74,-2.80
53.03,-1.18,1.61,-1.19,1.59,-1.54,-1.53,-0.88,-2.72,-2.73,-2.79
53.56,-1.24,1.50,-1.24,1.49,-1.47,-1.47,-0.90,-2.71,-2.71,-2.74
54.10,-1.30,1.38,-1.30,1.38,-1.41,-1.41,-0.91,-2.71,-2.70,-2.68
54.64,-1.34,1.27,-1.35,1.28,-1.35,-1.35,-0.92,-2.69,-2.70,-2.61
55.18,-1.38,1.21,-1.39,1.22,-1.30,-1.29,-0.93,-2.69,-2.69,-2.59
55.74,-1.42,1.22,-1.41,1.23,-1.27,-1.23,-0.94,-2.69,-2.68,-2.64
56.29,-1.42,1.28,-1.43,1.27,-1.26,-1.18,-0.95,-2.69,-2.69,-2.70
56.86,-1.42,1.33,-1.44,1.30,-1.28,-1.12,-0.96,-2.70,-2.72,-2.76
57.42,-1.46,1.30,-1.45,1.33,-1.31,-1.07,-0.97,-2.77,-2.76,-2.77
58.00,-1.46,1.34,-1.46,1.34,-1.35,-1.03,-0.98,-2.81,-2.81,-2.80
58.58,-1.46,1.36,-1.47,1.36,-1.38,-0.98,-0.99,-2.85,-2.85,-2.82
59.16,-1.46,1.39,-1.46,1.40,-1.40,-0.94,-1.00,-2.86,-2.86,-2.86
59.76,-1.46,1.43,-1.46,1.43,-1.39,-0.90,-1.00,-2.85,-2.85,-2.89
60.35,-1.46,1.44,-1.46,1.43,-1.36,-0.86,-1.01,-2.83,-2.83,-2.90
60.96,-1.46,1.40,-1.46,1.37,-1.33,-0.82,-1.01,-2.79,-2.79,-2.86
61.57,-1.46,1.27,-1.46,1.29,-1.28,-0.79,-1.01,-2.74,-2.74,-2.73
62.18,-1.46,1.17,-1.46,1.18,-1.22,-0.75,-1.02,-2.69,-2.69,-2.64
62.80,-1.46,1.10,-1.48,1.09,-1.15,-0.72,-1.02,-2.61,-2.63,-2.56
63.43,-1.50,1.02,-1.49,1.03,-1.06,-0.69,-1.02,-2.57,-2.56,-2.52
64.07,-1.51,0.98,-1.51,0.99,-0.97,-0.66,-1.02,-2.49,-2.48,-2.50
64.71,-1.51,0.94,-1.52,0.93,-0.88,-0.63,-1.01,-2.40,-2.40,-2.46
65.35,-1.51,0.86,-1.52,0.85,-0.80,-0.60,-1.01,-2.32,-2.33,-2.37
66.01,-1.53,0.74,-1.53,0.74,-0.73,-0.57,-1.01,-2.27,-2.26,-2.27
66.67,-1.53,0.61,-1.53,0.63,-0.66,-0.54,-1.00,-2.20,-2.20,-2.14
67.33,-1.51,0.54,-1.52,0.55,-0.60,-0.51,-0.99,-2.11,-2.12,-2.05
68.01,-1.49,0.50,-1.48,0.50,-0.54,-0.48,-0.99,-2.03,-2.02,-1.99
68.69,-1.42,0.48,-1.43,0.47,-0.48,-0.45,-0.98,-1.90,-1.90,-1.90
69.37,-1.36,0.44,-1.36,0.44,-0.42,-0.42,-0.97,-1.78,-1.77,-1.80
70.07,-1.26,0.40,-1.27,0.39,-0.35,-0.38,-0.96,-1.62,-1.63,-1.67
70.77,-1.18,0.31,-1.19,0.32,-0.29,-0.35,-0.95,-1.47,-1.47,-1.50
71.48,-1.10,0.24,-1.09,0.24,-0.21,-0.31,-0.94,-1.32,-1.30,-1.34
72.19,-0.99,0.16,-1.00,0.14,-0.13,-0.27,-0.93,-1.12,-1.13,-1.15
72.91,-0.90,0.03,-0.91,0.04,-0.04,-0.22,-0.92,-0.95,-0.95,-0.94
73.64,-0.83,-0.07,-0.82,-0.06,0.05,-0.18,-0.91,-0.79,-0.77,-0.76
74.38,-0.73,-0.15,-0.74,-0.16,0.13,-0.12,-0.90,-0.60,-0.61,-0.59
75.12,-0.65,-0.24,-0.65,-0.23,0.20,-0.06,-0.89,-0.45,-0.45,-0.41
75.87,-0.57,-0.28,-0.57,-0.28,0.27,0.00,-0.88,-0.30,-0.30,-0.29
76.63,-0.49,-0.33,-0.49,-0.32,0.32,0.07,-0.87,-0.17,-0.17,-0.17
77.40,-0.42,-0.33,-0.43,-0.34,0.36,0.15,-0.86,-0.06,-0.07,-0.10
78.17,-0.38,-0.35,-0.39,-0.37,0.38,0.22,-0.85,0.00,-0.01,-0.03
78.95,-0.38,-0.40,-0.38,-0.39,0.39,0.29,-0.84,0.01,0.01,0.02
79.74,-0.38,-0.42,-0.38,-0.41,0.38,0.36,-0.83,-0.00,0.01,0.04
80.54,-0.36,-0.40,-0.36,-0.40,0.37,0.41,-0.82,0.00,0.01,0.04
81.35,-0.31,-0.35,-0.31,-0.36,0.34,0.44,-0.81,0.02,0.02,0.04
82.16,-0.26,-0.30,-0.26,-0.30,0.30,0.45,-0.80,0.04,0.04,0.04
82.98,-0.20,-0.24,-0.21,-0.24,0.26,0.43,-0.80,0.05,0.05,0.03
83.81,-0.17,-0.17,-0.17,-0.19,0.21,0.39,-0.79,0.03,0.03,0.00
84.65,-0.14,-0.14,-0.14,-0.14,0.15,0.33,-0.78,0.01,0.01,-0.00
85.50,-0.11,-0.11,-0.11,-0.09,0.09,0.27,-0.78,-0.02,-0.02,-0.01
86.35,-0.08,-0.03,-0.09,-0.05,0.04,0.19,-0.77,-0.05,-0.05,-0.05
87.22,-0.05,0.01,-0.05,0.01,-0.01,0.12,-0.77,-0.07,-0.07,-0.06
88.09,-0.03,0.06,-0.03,0.07,-0.06,0.05,-0.76,-0.10,-0.09,-0.10
88.97,0.01,0.13,-0.01,0.12,-0.12,-0.01,-0.76,-0.11,-0.12,-0.12
89.86,0.01,0.15,0.02,0.17,-0.17,-0.07,-0.76,-0.16,-0.15,-0.14
90.76,0.05,0.23,0.04,0.22,-0.22,-0.12,-0.75,-0.18,-0.18,-0.19
91.66,0.07,0.26,0.06,0.27,-0.27,-0.17,-0.75,-0.21,-0.21,-0.19
92.58,0.10,0.34,0.09,0.32,-0.32,-0.21,-0.75,-0.22,-0.23,-0.24
93.51,0.10,0.35,0.11,0.37,-0.36,-0.24,-0.75,-0.27,-0.25,-0.26
94.44,0.14,0.42,0.13,0.41,-0.40,-0.28,-0.75,-0.27,-0.28,-0.28
95.39,0.14,0.46,0.13,0.45,-0.44,-0.31,-0.75,-0.30,-0.31,-0.32
96.34,0.14,0.47,0.14,0.48,-0.48,-0.33,-0.75,-0.34,-0.34,-0.33
97.30,0.14,0.51,0.13,0.50,-0.51,-0.36,-0.75,-0.37,-0.38,-0.38
98.28,0.14,0.52,0.14,0.53,-0.54,-0.38,-0.75,-0.41,-0.41,-0.39
99.26,0.14,0.56,0.15,0.57,-0.58,-0.40,-0.75,-0.44,-0.43,-0.43
100.25,0.18,0.61,0.16,0.60,-0.61,-0.42,-0.76,-0.43,-0.45,-0.44
101.25,0.18,0.65,0.17,0.64,-0.64,-0.44,-0.76,-0.46,-0.47,-0.47
102.27,0.18,0.65,0.19,0.68,-0.67,-0.46,-0.76,-0.49,-0.48,-0.47
103.29,0.20,0.72,0.20,0.71,-0.70,-0.47,-0.77,-0.50,-0.50,-0.52
104.32,0.23,0.75,0.21,0.73,-0.73,-0.49,-0.77,-0.50,-0.52,-0.52
105.37,0.23,0.75,0.23,0.76,-0.75,-0.50,-0.78,-0.53,-0.52,-0.52
106.42,0.23,0.75,0.24,0.77,-0.78,-0.52,-0.78,-0.55,-0.53,-0.52
107.48,0.27,0.82,0.25,0.79,-0.80,-0.53,-0.78,-0.53,-0.55,-0.55
108.56,0.27,0.83,0.27,0.82,-0.82,-0.54,-0.79,-0.55,-0.55,-0.56
109.64,0.27,0.83,0.28,0.84,-0.84,-0.56,-0.79,-0.57,-0.56,-0.56
110.74,0.31,0.86,0.29,0.85,-0.86,-0.57,-0.80,-0.55,-0.57,-0.56
111.85,0.31,0.86,0.30,0.88,-0.88,-0.58,-0.80,-0.58,-0.58,-0.56
112.97,0.31,0.92,0.31,0.90,-0.90,-0.60,-0.81,-0.60,-0.60,-0.62
114.10,0.31,0.92,0.31,0.92,-0.93,-0.61,-0.81,-0.62,-0.61,-0.61
115.24,0.33,0.94,0.33,0.94,-0.95,-0.62,-0.82,-0.62,-0.62,-0.61
116.39,0.36,0.97,0.35,0.96,-0.97,-0.63,-0.82,-0.61,-0.62,-0.61
117.55,0.36,0.97,0.36,0.99,-0.98,-0.65,-0.83,-0.63,-0.63,-0.62
