frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,6.02,-3.62,6.02,-6.09,-5.50,-2.18,-9.70,-9.71,-9.63
20.20,-3.58,5.99,-3.58,5.98,-5.99,-5.51,-2.24,-9.57,-9.56,-9.57
20.40,-3.54,5.93,-3.53,5.93,-5.90,-5.52,-2.30,-9.44,-9.43,-9.48
20.61,-3.48,5.87,-3.49,5.87,-5.81,-5.52,-2.37,-9.30,-9.30,-9.35
20.81,-3.43,5.79,-3.44,5.79,-5.74,-5.52,-2.44,-9.17,-9.18,-9.22
21.02,-3.39,5.72,-3.39,5.70,-5.67,-5.52,-2.51,-9.06,-9.06,-9.11
21.23,-3.35,5.60,-3.35,5.60,-5.61,-5.52,-2.58,-8.97,-8.96,-8.95
21.44,-3.30,5.52,-3.31,5.52,-5.56,-5.52,-2.66,-8.87,-8.87,-8.82
21.66,-3.26,5.46,-3.26,5.46,-5.51,-5.51,-2.73,-8.78,-8.78,-8.72
21.87,-3.21,5.44,-3.21,5.44,-5.48,-5.50,-2.81,-8.69,-8.69,-8.65
22.09,-3.15,5.44,-3.15,5.45,-5.46,-5.50,-2.89,-8.61,-8.61,-8.59
22.31,-3.09,5.47,-3.10,5.45,-5.44,-5.49,-2.98,-8.54,-8.54,-8.56
22.54,-3.04,5.47,-3.05,5.46,-5.43,-5.48,-3.06,-8.48,-8.48,-8.51
22.76,-3.01,5.44,-3.01,5.45,-5.42,-5.46,-3.15,-8.43,-8.42,-8.45
22.99,-2.96,5.44,-2.97,5.42,-5.40,-5.45,-3.24,-8.36,-8.37,-8.40
23.22,-2.93,5.37,-2.94,5.38,-5.37,-5.43,-3.33,-8.30,-8.30,-8.30
23.45,-2.90,5.34,-2.90,5.33,-5.32,-5.42,-3.42,-8.23,-8.23,-8.24
23.69,-2.87,5.26,-2.87,5.26,-5.27,-5.40,-3.52,-8.15,-8.14,-8.14
23.92,-2.83,5.19,-2.83,5.21,-5.22,-5.38,-3.62,-8.05,-8.05,-8.02
24.16,-2.78,5.16,-2.79,5.14,-5.16,-5.36,-3.71,-7.94,-7.95,-7.94
24.40,-2.75,5.10,-2.75,5.09,-5.10,-5.33,-3.81,-7.86,-7.86,-7.85
24.65,-2.72,5.02,-2.72,5.04,-5.05,-5.31,-3.92,-7.77,-7.76,-7.75
24.89,-2.67,5.00,-2.68,4.99,-4.99,-5.28,-4.02,-7.67,-7.67,-7.67
25.14,-2.63,4.93,-2.63,4.94,-4.94,-5.26,-4.12,-7.57,-7.57,-7.57
25.39,-2.57,4.90,-2.58,4.91,-4.89,-5.23,-4.23,-7.46,-7.46,-7.48
25.65,-2.52,4.86,-2.53,4.85,-4.83,-5.20,-4.33,-7.36,-7.37,-7.39
25.91,-2.50,4.80,-2.49,4.80,-4.78,-5.17,-4.43,-7.29,-7.28,-7.30
26.16,-2.46,4.71,-2.47,4.73,-4.73,-5.14,-4.54,-7.19,-7.20,-7.18
26.43,-2.43,4.69,-2.44,4.67,-4.68,-5.11,-4.64,-7.12,-7.12,-7.12
26.69,-2.42,4.62,-2.41,4.63,-4.64,-5.08,-4.74,-7.07,-7.05,-7.04
26.96,-2.37,4.60,-2.39,4.60,-4.61,-5.04,-4.84,-6.98,-6.99,-6.97
27.23,-2.37,4.57,-2.37,4.57,-4.58,-5.01,-4.94,-6.95,-6.94,-6.94
27.50,-2.33,4.56,-2.34,4.56,-4.56,-4.97,-5.03,-6.89,-6.90,-6.89
27.77,-2.33,4.54,-2.33,4.54,-4.54,-4.94,-5.12,-6.88,-6.87,-6.87
28.05,-2.29,4.55,-2.30,4.54,-4.53,-4.90,-5.21,-6.83,-6.84,-6.84
28.33,-2.28,4.52,-2.28,4.54,-4.53,-4.86,-5.29,-6.81,-6.80,-6.80
28.62,-2.24,4.54,-2.24,4.53,-4.52,-4.83,-5.37,-6.77,-6.77,-6.79
28.90,-2.20,4.53,-2.21,4.53,-4.52,-4.79,-5.44,-6.73,-6.74,-6.74
29.19,-2.18,4.52,-2.18,4.52,-4.52,-4.75,-5.50,-6.71,-6.70,-6.71
29.48,-2.14,4.51,-2.14,4.52,-4.53,-4.71,-5.56,-6.67,-6.67,-6.66
29.78,-2.09,4.52,-2.10,4.52,-4.53,-4.67,-5.61,-6.63,-6.63,-6.61
30.08,-2.05,4.53,-2.05,4.53,-4.54,-4.63,-5.65,-6.59,-6.59,-6.58
30.38,-2.00,4.55,-2.01,4.54,-4.54,-4.59,-5.68,-6.55,-6.55,-6.55
30.68,-1.96,4.56,-1.96,4.55,-4.54,-4.55,-5.70,-6.51,-6.51,-6.52
30.99,-1.91,4.55,-1.92,4.55,-4.54,-4.51,-5.72,-6.45,-6.45,-6.46
31.30,-1.87,4.54,-1.87,4.55,-4.53,-4.47,-5.72,-6.40,-6.40,-6.41
31.61,-1.83,4.53,-1.83,4.53,-4.51,-4.42,-5.72,-6.35,-6.35,-6.37
31.93,-1.80,4.50,-1.81,4.50,-4.49,-4.38,-5.71,-6.29,-6.29,-6.31
32.24,-1.77,4.45,-1.78,4.46,-4.46,-4.34,-5.68,-6.23,-6.24,-6.23
32.57,-1.76,4.41,-1.75,4.41,-4.43,-4.30,-5.65,-6.19,-6.18,-6.17
32.89,-1.72,4.38,-1.72,4.38,-4.39,-4.26,-5.61,-6.12,-6.11,-6.10
33.22,-1.68,4.36,-1.69,4.36,-4.36,-4.22,-5.57,-6.04,-6.05,-6.04
33.55,-1.65,4.33,-1.66,4.33,-4.33,-4.17,-5.51,-5.98,-5.99,-5.98
33.89,-1.64,4.31,-1.64,4.31,-4.31,-4.13,-5.45,-5.95,-5.95,-5.96
34.23,-1.64,4.26,-1.63,4.28,-4.29,-4.09,-5.39,-5.93,-5.91,-5.91
34.57,-1.59,4.28,-1.60,4.26,-4.27,-4.05,-5.31,-5.86,-5.87,-5.87
34.92,-1.57,4.24,-1.58,4.25,-4.25,-4.01,-5.23,-5.83,-5.83,-5.81
35.27,-1.54,4.24,-1.54,4.24,-4.24,-3.97,-5.15,-5.78,-5.78,-5.78
35.62,-1.51,4.22,-1.51,4.22,-4.22,-3.93,-5.07,-5.73,-5.72,-5.74
35.97,-1.46,4.21,-1.47,4.21,-4.19,-3.88,-4.98,-5.66,-5.67,-5.68
36.33,-1.43,4.19,-1.44,4.18,-4.17,-3.84,-4.89,-5.60,-5.61,-5.62
36.70,-1.42,4.14,-1.41,4.15,-4.14,-3.80,-4.79,-5.57,-5.55,-5.56
37.06,-1.38,4.12,-1.39,4.11,-4.12,-3.76,-4.70,-5.50,-5.51,-5.50
37.43,-1.36,4.07,-1.36,4.07,-4.09,-3.72,-4.60,-5.45,-5.45,-5.44
37.81,-1.33,4.05,-1.33,4.05,-4.06,-3.68,-4.50,-5.39,-5.39,-5.38
38.19,-1.30,4.02,-1.31,4.02,-4.04,-3.64,-4.41,-5.34,-5.34,-5.32
38.57,-1.27,4.02,-1.28,4.01,-4.01,-3.60,-4.31,-5.28,-5.29,-5.29
38.95,-1.25,3.98,-1.25,3.99,-3.99,-3.57,-4.22,-5.24,-5.24,-5.24
39.34,-1.22,3.98,-1.23,3.97,-3.96,-3.53,-4.12,-5.19,-5.19,-5.20
39.74,-1.20,3.95,-1.21,3.94,-3.94,-3.49,-4.03,-5.14,-5.15,-5.15
40.14,-1.20,3.90,-1.19,3.92,-3.91,-3.45,-3.93,-5.11,-5.10,-5.11
40.54,-1.16,3.89,-1.18,3.88,-3.87,-3.41,-3.84,-5.04,-5.05,-5.05
40.94,-1.16,3.85,-1.16,3.85,-3.84,-3.38,-3.75,-5.00,-5.00,-5.01
41.35,-1.15,3.80,-1.15,3.81,-3.80,-3.34,-3.67,-4.96,-4.95,-4.96
41.76,-1.12,3.77,-1.13,3.76,-3.77,-3.30,-3.58,-4.89,-4.90,-4.89
42.18,-1.12,3.71,-1.12,3.72,-3.73,-3.27,-3.50,-4.86,-4.85,-4.83
42.60,-1.09,3.67,-1.10,3.68,-3.70,-3.23,-3.42,-4.80,-4.80,-4.77
43.03,-1.07,3.66,-1.07,3.66,-3.67,-3.20,-3.34,-4.74,-4.74,-4.73
43.46,-1.04,3.64,-1.04,3.64,-3.64,-3.16,-3.26,-4.68,-4.68,-4.69
43.90,-0.99,3.64,-1.01,3.62,-3.61,-3.13,-3.18,-4.60,-4.62,-4.63
44.33,-0.99,3.57,-0.98,3.59,-3.58,-3.10,-3.11,-4.57,-4.55,-4.57
44.78,-0.94,3.56,-0.96,3.55,-3.54,-3.06,-3.04,-4.48,-4.50,-4.50
45.23,-0.94,3.50,-0.94,3.50,-3.50,-3.03,-2.97,-4.44,-4.44,-4.45
45.68,-0.94,3.43,-0.93,3.45,-3.44,-3.00,-2.91,-4.39,-4.37,-4.37
46.13,-0.90,3.40,-0.92,3.39,-3.39,-2.97,-2.85,-4.29,-4.30,-4.31
46.60,-0.90,3.33,-0.91,3.33,-3.33,-2.94,-2.79,-4.23,-4.23,-4.23
47.06,-0.90,3.25,-0.90,3.26,-3.26,-2.91,-2.73,-4.17,-4.16,-4.16
