frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,6.51,-3.62,6.51,-6.57,-6.29,-2.34,-10.19,-10.20,-10.12
20.20,-3.58,6.48,-3.58,6.48,-6.48,-6.28,-2.40,-10.06,-10.05,-10.06
20.40,-3.54,6.45,-3.53,6.43,-6.39,-6.27,-2.47,-9.94,-9.93,-9.99
20.61,-3.48,6.39,-3.49,6.37,-6.32,-6.26,-2.54,-9.80,-9.81,-9.87
20.81,-3.43,6.29,-3.44,6.30,-6.26,-6.24,-2.61,-9.69,-9.70,-9.72
21.02,-3.39,6.22,-3.39,6.22,-6.21,-6.23,-2.69,-9.60,-9.60,-9.61
21.23,-3.35,6.16,-3.35,6.16,-6.17,-6.21,-2.77,-9.53,-9.52,-9.51
21.44,-3.30,6.12,-3.31,6.11,-6.15,-6.19,-2.85,-9.45,-9.46,-9.42
21.66,-3.26,6.09,-3.26,6.09,-6.13,-6.17,-2.93,-9.40,-9.39,-9.35
21.87,-3.21,6.08,-3.21,6.09,-6.13,-6.15,-3.01,-9.35,-9.34,-9.29
22.09,-3.15,6.13,-3.15,6.13,-6.15,-6.13,-3.10,-9.30,-9.30,-9.28
22.31,-3.09,6.19,-3.10,6.18,-6.18,-6.10,-3.19,-9.27,-9.27,-9.28
22.54,-3.04,6.24,-3.05,6.23,-6.21,-6.08,-3.28,-9.25,-9.26,-9.28
22.76,-3.01,6.27,-3.01,6.27,-6.24,-6.05,-3.37,-9.25,-9.24,-9.28
22.99,-2.96,6.27,-2.97,6.28,-6.25,-6.02,-3.47,-9.22,-9.22,-9.23
23.22,-2.93,6.28,-2.94,6.27,-6.26,-5.99,-3.57,-9.19,-9.20,-9.21
23.45,-2.90,6.26,-2.90,6.25,-6.25,-5.95,-3.67,-9.15,-9.15,-9.16
23.69,-2.87,6.21,-2.87,6.22,-6.22,-5.92,-3.77,-9.10,-9.09,-9.09
23.92,-2.83,6.18,-2.83,6.18,-6.18,-5.88,-3.88,-9.01,-9.01,-9.01
24.16,-2.78,6.13,-2.79,6.13,-6.13,-5.85,-3.98,-8.91,-8.92,-8.91
24.40,-2.75,6.07,-2.75,6.07,-6.07,-5.81,-4.09,-8.82,-8.82,-8.82
24.65,-2.72,5.99,-2.72,6.00,-6.00,-5.77,-4.20,-8.72,-8.72,-8.72
24.89,-2.67,5.93,-2.68,5.92,-5.93,-5.73,-4.31,-8.60,-8.60,-8.60
25.14,-2.63,5.84,-2.63,5.85,-5.85,-5.69,-4.42,-8.48,-8.47,-8.48
25.39,-2.57,5.76,-2.58,5.77,-5.76,-5.65,-4.54,-8.34,-8.34,-8.34
25.65,-2.52,5.70,-2.53,5.68,-5.68,-5.61,-4.65,-8.20,-8.21,-8.22
25.91,-2.50,5.60,-2.49,5.60,-5.59,-5.56,-4.76,-8.10,-8.08,-8.10
26.16,-2.46,5.50,-2.47,5.51,-5.51,-5.52,-4.88,-7.97,-7.97,-7.96
26.43,-2.43,5.44,-2.44,5.42,-5.43,-5.48,-4.99,-7.86,-7.87,-7.87
26.69,-2.42,5.33,-2.41,5.34,-5.36,-5.43,-5.10,-7.78,-7.77,-7.75
26.96,-2.37,5.29,-2.39,5.28,-5.29,-5.38,-5.21,-7.67,-7.68,-7.66
27.23,-2.37,5.21,-2.37,5.22,-5.23,-5.34,-5.32,-7.61,-7.60,-7.58
27.50,-2.33,5.19,-2.34,5.18,-5.19,-5.29,-5.42,-7.52,-7.53,-7.52
27.77,-2.33,5.14,-2.33,5.14,-5.15,-5.24,-5.52,-7.48,-7.47,-7.47
28.05,-2.29,5.12,-2.30,5.11,-5.11,-5.19,-5.62,-7.40,-7.41,-7.41
28.33,-2.28,5.07,-2.28,5.08,-5.08,-5.15,-5.71,-7.36,-7.35,-7.36
28.62,-2.24,5.06,-2.24,5.05,-5.04,-5.10,-5.79,-7.29,-7.29,-7.31
28.90,-2.20,5.02,-2.21,5.02,-5.01,-5.05,-5.87,-7.22,-7.23,-7.23
29.19,-2.18,4.97,-2.18,4.98,-4.98,-5.00,-5.94,-7.16,-7.16,-7.16
29.48,-2.14,4.93,-2.14,4.94,-4.94,-4.95,-6.01,-7.09,-7.08,-7.08
29.78,-2.09,4.91,-2.10,4.90,-4.91,-4.90,-6.06,-7.00,-7.01,-7.00
30.08,-2.05,4.88,-2.05,4.87,-4.87,-4.85,-6.11,-6.93,-6.92,-6.93
30.38,-2.00,4.82,-2.01,4.83,-4.83,-4.80,-6.15,-6.84,-6.84,-6.82
30.68,-1.96,4.80,-1.96,4.80,-4.79,-4.75,-6.17,-6.76,-6.75,-6.76
30.99,-1.91,4.75,-1.92,4.75,-4.75,-4.70,-6.19,-6.66,-6.66,-6.67
31.30,-1.87,4.72,-1.87,4.72,-4.70,-4.65,-6.20,-6.58,-6.58,-6.60
31.61,-1.83,4.65,-1.83,4.67,-4.65,-4.60,-6.19,-6.49,-6.49,-6.49
31.93,-1.80,4.62,-1.81,4.61,-4.60,-4.55,-6.18,-6.41,-6.41,-6.43
32.24,-1.77,4.54,-1.78,4.55,-4.55,-4.50,-6.16,-6.33,-6.33,-6.32
32.57,-1.76,4.49,-1.75,4.49,-4.50,-4.45,-6.12,-6.27,-6.26,-6.25
32.89,-1.72,4.44,-1.72,4.44,-4.45,-4.40,-6.08,-6.18,-6.17,-6.16
33.22,-1.68,4.41,-1.69,4.41,-4.41,-4.35,-6.03,-6.09,-6.09,-6.09
33.55,-1.65,4.38,-1.66,4.37,-4.36,-4.30,-5.97,-6.02,-6.03,-6.03
33.89,-1.64,4.33,-1.64,4.33,-4.33,-4.25,-5.90,-5.97,-5.97,-5.98
34.23,-1.64,4.27,-1.63,4.29,-4.30,-4.21,-5.83,-5.95,-5.93,-5.91
34.57,-1.59,4.28,-1.60,4.27,-4.28,-4.16,-5.75,-5.87,-5.88,-5.87
34.92,-1.57,4.25,-1.58,4.25,-4.26,-4.11,-5.66,-5.83,-5.84,-5.82
35.27,-1.54,4.25,-1.54,4.25,-4.24,-4.06,-5.57,-5.78,-5.78,-5.79
35.62,-1.51,4.22,-1.51,4.23,-4.22,-4.01,-5.48,-5.73,-5.73,-5.74
35.97,-1.46,4.22,-1.47,4.22,-4.20,-3.97,-5.38,-5.66,-5.67,-5.69
36.33,-1.43,4.20,-1.44,4.19,-4.18,-3.92,-5.28,-5.61,-5.62,-5.63
36.70,-1.42,4.15,-1.41,4.16,-4.15,-3.88,-5.18,-5.58,-5.57,-5.57
37.06,-1.38,4.12,-1.39,4.12,-4.13,-3.83,-5.08,-5.51,-5.52,-5.50
37.43,-1.36,4.08,-1.36,4.09,-4.10,-3.78,-4.97,-5.46,-5.46,-5.45
37.81,-1.33,4.07,-1.33,4.06,-4.07,-3.74,-4.87,-5.41,-5.40,-5.40
38.19,-1.30,4.04,-1.31,4.04,-4.05,-3.69,-4.76,-5.35,-5.35,-5.34
38.57,-1.27,4.02,-1.28,4.02,-4.02,-3.65,-4.65,-5.29,-5.29,-5.30
38.95,-1.25,3.99,-1.25,3.99,-3.99,-3.61,-4.55,-5.24,-5.24,-5.25
39.34,-1.22,3.97,-1.23,3.97,-3.96,-3.56,-4.45,-5.19,-5.19,-5.19
39.74,-1.20,3.93,-1.21,3.94,-3.93,-3.52,-4.34,-5.13,-5.14,-5.13
40.14,-1.20,3.90,-1.19,3.90,-3.89,-3.48,-4.24,-5.10,-5.08,-5.11
40.54,-1.16,3.87,-1.18,3.86,-3.85,-3.44,-4.15,-5.01,-5.03,-5.03
