frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,2.14,-3.62,2.14,-2.15,-1.72,-0.59,-5.76,-5.77,-5.75
20.20,-3.58,2.13,-3.58,2.12,-2.12,-1.76,-0.61,-5.71,-5.70,-5.71
20.40,-3.54,2.11,-3.53,2.11,-2.10,-1.80,-0.63,-5.65,-5.64,-5.65
20.61,-3.48,2.10,-3.49,2.09,-2.08,-1.83,-0.65,-5.57,-5.57,-5.58
20.81,-3.43,2.07,-3.44,2.07,-2.06,-1.86,-0.67,-5.50,-5.50,-5.50
21.02,-3.39,2.04,-3.39,2.05,-2.04,-1.89,-0.69,-5.44,-5.43,-5.43
21.23,-3.35,2.03,-3.35,2.02,-2.02,-1.91,-0.71,-5.38,-5.37,-5.38
21.44,-3.30,2.00,-3.31,2.00,-2.00,-1.93,-0.74,-5.31,-5.31,-5.30
21.66,-3.26,1.97,-3.26,1.98,-1.99,-1.94,-0.76,-5.25,-5.25,-5.23
21.87,-3.21,1.96,-3.21,1.96,-1.97,-1.95,-0.78,-5.18,-5.18,-5.17
22.09,-3.15,1.96,-3.15,1.95,-1.95,-1.96,-0.81,-5.10,-5.10,-5.11
22.31,-3.09,1.94,-3.10,1.94,-1.93,-1.95,-0.83,-5.03,-5.03,-5.03
22.54,-3.04,1.93,-3.05,1.93,-1.91,-1.95,-0.86,-4.96,-4.96,-4.97
22.76,-3.01,1.90,-3.01,1.90,-1.89,-1.94,-0.88,-4.91,-4.90,-4.91
22.99,-2.96,1.87,-2.97,1.87,-1.87,-1.92,-0.91,-4.83,-4.84,-4.83
23.22,-2.93,1.84,-2.94,1.84,-1.84,-1.90,-0.94,-4.78,-4.78,-4.77
23.45,-2.90,1.81,-2.90,1.81,-1.82,-1.87,-0.97,-4.72,-4.72,-4.71
23.69,-2.87,1.78,-2.87,1.79,-1.79,-1.84,-1.00,-4.66,-4.66,-4.66
23.92,-2.83,1.76,-2.83,1.76,-1.76,-1.81,-1.02,-4.60,-4.59,-4.59
24.16,-2.78,1.75,-2.79,1.74,-1.74,-1.78,-1.05,-4.52,-4.53,-4.54
24.40,-2.75,1.71,-2.75,1.72,-1.72,-1.74,-1.08,-4.47,-4.47,-4.47
24.65,-2.72,1.69,-2.72,1.69,-1.70,-1.70,-1.11,-4.42,-4.42,-4.42
24.89,-2.67,1.67,-2.68,1.67,-1.68,-1.65,-1.15,-4.35,-4.36,-4.35
25.14,-2.63,1.64,-2.63,1.65,-1.66,-1.61,-1.18,-4.29,-4.28,-4.28
25.39,-2.57,1.64,-2.58,1.64,-1.64,-1.56,-1.21,-4.21,-4.21,-4.22
