frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,5.04,-3.62,5.04,-5.05,-4.74,-1.95,-8.66,-8.67,-8.65
20.20,-3.58,5.04,-3.58,5.03,-5.03,-4.76,-2.01,-8.62,-8.61,-8.62
20.40,-3.54,5.02,-3.53,5.02,-5.02,-4.77,-2.06,-8.56,-8.55,-8.56
20.61,-3.48,5.02,-3.49,5.01,-5.00,-4.78,-2.12,-8.48,-8.49,-8.50
20.81,-3.43,5.00,-3.44,4.99,-4.98,-4.78,-2.19,-8.42,-8.42,-8.43
21.02,-3.39,4.97,-3.39,4.97,-4.97,-4.79,-2.25,-8.36,-8.36,-8.36
21.23,-3.35,4.95,-3.35,4.94,-4.95,-4.80,-2.32,-8.30,-8.30,-8.30
21.44,-3.30,4.92,-3.31,4.92,-4.93,-4.80,-2.38,-8.24,-8.24,-8.22
21.66,-3.26,4.91,-3.26,4.90,-4.92,-4.80,-2.45,-8.18,-8.18,-8.17
21.87,-3.21,4.89,-3.21,4.89,-4.90,-4.81,-2.52,-8.11,-8.11,-8.10
22.09,-3.15,4.89,-3.15,4.89,-4.89,-4.81,-2.60,-8.04,-8.04,-8.04
22.31,-3.09,4.89,-3.10,4.88,-4.87,-4.80,-2.67,-7.96,-7.97,-7.98
22.54,-3.04,4.87,-3.05,4.87,-4.85,-4.80,-2.75,-7.90,-7.90,-7.91
22.76,-3.01,4.84,-3.01,4.84,-4.84,-4.80,-2.83,-7.85,-7.84,-7.85
22.99,-2.96,4.82,-2.97,4.82,-4.81,-4.79,-2.91,-7.78,-7.78,-7.78
23.22,-2.93,4.79,-2.94,4.79,-4.79,-4.79,-2.99,-7.73,-7.73,-7.72
23.45,-2.90,4.76,-2.90,4.76,-4.77,-4.78,-3.08,-7.67,-7.67,-7.66
23.69,-2.87,4.73,-2.87,4.73,-4.74,-4.77,-3.16,-7.61,-7.61,-7.60
23.92,-2.83,4.71,-2.83,4.71,-4.71,-4.76,-3.25,-7.55,-7.54,-7.54
24.16,-2.78,4.70,-2.79,4.69,-4.69,-4.75,-3.34,-7.47,-7.48,-7.48
24.40,-2.75,4.67,-2.75,4.67,-4.67,-4.74,-3.43,-7.42,-7.42,-7.42
24.65,-2.72,4.63,-2.72,4.64,-4.65,-4.73,-3.52,-7.37,-7.37,-7.36
24.89,-2.67,4.62,-2.68,4.62,-4.63,-4.71,-3.61,-7.31,-7.31,-7.30
25.14,-2.63,4.61,-2.63,4.61,-4.62,-4.70,-3.71,-7.25,-7.24,-7.25
25.39,-2.57,4.60,-2.58,4.60,-4.60,-4.68,-3.80,-7.17,-7.18,-7.18
25.65,-2.52,4.58,-2.53,4.58,-4.58,-4.66,-3.90,-7.10,-7.11,-7.11
25.91,-2.50,4.56,-2.49,4.57,-4.56,-4.65,-3.99,-7.06,-7.05,-7.07
26.16,-2.46,4.54,-2.47,4.54,-4.54,-4.63,-4.08,-7.00,-7.00,-7.01
26.43,-2.43,4.53,-2.44,4.52,-4.51,-4.61,-4.18,-6.94,-6.95,-6.96
