frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-0.00,-3.62,-0.00,-0.01,0.00,-0.04,-3.62,-3.63,-3.61
20.20,-3.58,0.03,-3.58,0.01,-0.01,0.00,-0.04,-3.60,-3.59,-3.61
20.40,-3.54,0.02,-3.53,0.02,-0.02,0.00,-0.04,-3.56,-3.55,-3.56
20.61,-3.48,0.04,-3.49,0.03,-0.02,0.00,-0.04,-3.51,-3.51,-3.52
20.81,-3.43,0.04,-3.44,0.03,-0.03,0.00,-0.04,-3.46,-3.47,-3.47
21.02,-3.39,0.04,-3.39,0.04,-0.03,0.00,-0.04,-3.43,-3.42,-3.43
21.23,-3.35,0.04,-3.35,0.04,-0.04,0.00,-0.04,-3.39,-3.39,-3.39
21.44,-3.30,0.04,-3.31,0.03,-0.04,0.00,-0.04,-3.34,-3.35,-3.34
21.66,-3.26,0.03,-3.26,0.03,-0.04,0.00,-0.04,-3.31,-3.31,-3.29
21.87,-3.21,0.04,-3.21,0.04,-0.05,0.00,-0.04,-3.26,-3.26,-3.25
22.09,-3.15,0.06,-3.15,0.05,-0.05,0.00,-0.04,-3.21,-3.20,-3.21
22.31,-3.09,0.06,-3.10,0.06,-0.06,0.00,-0.04,-3.15,-3.15,-3.15
22.54,-3.04,0.08,-3.05,0.07,-0.06,0.00,-0.04,-3.10,-3.11,-3.12
22.76,-3.01,0.06,-3.01,0.07,-0.06,0.00,-0.04,-3.07,-3.06,-3.07
22.99,-2.96,0.06,-2.97,0.06,-0.06,0.00,-0.04,-3.02,-3.03,-3.02
23.22,-2.93,0.06,-2.94,0.05,-0.06,0.00,-0.04,-2.99,-2.99,-2.99
23.45,-2.90,0.04,-2.90,0.04,-0.05,0.00,-0.04,-2.95,-2.95,-2.94
23.69,-2.87,0.04,-2.87,0.04,-0.04,0.00,-0.04,-2.92,-2.91,-2.91
23.92,-2.83,0.03,-2.83,0.04,-0.04,0.00,-0.04,-2.87,-2.87,-2.86
24.16,-2.78,0.05,-2.79,0.04,-0.03,0.00,-0.04,-2.82,-2.83,-2.83
24.40,-2.75,0.03,-2.75,0.03,-0.03,0.00,-0.04,-2.79,-2.79,-2.78
24.65,-2.72,0.02,-2.72,0.03,-0.03,0.00,-0.04,-2.76,-2.75,-2.75
24.89,-2.67,0.02,-2.68,0.02,-0.04,0.00,-0.05,-2.71,-2.71,-2.70
25.14,-2.63,0.03,-2.63,0.03,-0.04,0.00,-0.05,-2.67,-2.67,-2.67
25.39,-2.57,0.04,-2.58,0.05,-0.04,0.00,-0.05,-2.61,-2.62,-2.62
25.65,-2.52,0.06,-2.53,0.05,-0.04,0.00,-0.05,-2.57,-2.58,-2.59
25.91,-2.50,0.05,-2.49,0.05,-0.04,0.00,-0.05,-2.55,-2.53,-2.56
26.16,-2.46,0.03,-2.47,0.04,-0.04,0.00,-0.05,-2.50,-2.51,-2.50
26.43,-2.43,0.04,-2.44,0.03,-0.03,0.00,-0.05,-2.47,-2.47,-2.47
26.69,-2.42,0.02,-2.41,0.02,-0.02,0.00,-0.05,-2.45,-2.44,-2.44
26.96,-2.37,0.02,-2.39,0.01,-0.01,0.00,-0.05,-2.39,-2.40,-2.39
27.23,-2.37,-0.01,-2.37,-0.00,0.00,0.00,-0.05,-2.37,-2.36,-2.36
27.50,-2.33,-0.00,-2.34,-0.01,0.01,0.00,-0.05,-2.32,-2.33,-2.33
27.77,-2.33,-0.03,-2.33,-0.02,0.02,0.00,-0.05,-2.31,-2.30,-2.30
28.05,-2.29,-0.03,-2.30,-0.03,0.03,0.00,-0.05,-2.26,-2.27,-2.26
28.33,-2.28,-0.04,-2.28,-0.04,0.04,0.00,-0.05,-2.25,-2.24,-2.24
28.62,-2.24,-0.04,-2.24,-0.04,0.04,0.00,-0.05,-2.20,-2.20,-2.21
28.90,-2.20,-0.04,-2.21,-0.04,0.04,0.00,-0.04,-2.16,-2.17,-2.17
29.19,-2.18,-0.05,-2.18,-0.04,0.04,0.00,-0.04,-2.15,-2.14,-2.14
29.48,-2.14,-0.04,-2.14,-0.04,0.03,0.00,-0.04,-2.11,-2.11,-2.11
29.78,-2.09,-0.02,-2.10,-0.02,0.02,0.00,-0.04,-2.08,-2.08,-2.07
30.08,-2.05,-0.01,-2.05,-0.01,0.00,0.00,-0.04,-2.05,-2.05,-2.04
30.38,-2.00,0.03,-2.01,0.01,-0.01,0.00,-0.04,-2.02,-2.02,-2.03
30.68,-1.96,0.02,-1.96,0.03,-0.03,0.00,-0.04,-1.99,-1.99,-1.98
30.99,-1.91,0.04,-1.92,0.05,-0.04,0.00,-0.04,-1.96,-1.96,-1.95
31.30,-1.87,0.07,-1.87,0.06,-0.05,0.00,-0.04,-1.93,-1.93,-1.94
31.61,-1.83,0.07,-1.83,0.08,-0.06,0.00,-0.04,-1.90,-1.90,-1.91
31.93,-1.80,0.08,-1.81,0.08,-0.07,0.00,-0.04,-1.88,-1.88,-1.89
32.24,-1.77,0.07,-1.78,0.07,-0.08,0.00,-0.03,-1.85,-1.86,-1.85
32.57,-1.76,0.06,-1.75,0.07,-0.08,0.00,-0.03,-1.84,-1.83,-1.82
32.89,-1.72,0.07,-1.72,0.07,-0.08,0.00,-0.03,-1.80,-1.80,-1.79
33.22,-1.68,0.09,-1.69,0.08,-0.07,0.00,-0.03,-1.75,-1.76,-1.77
33.55,-1.65,0.08,-1.66,0.08,-0.06,0.00,-0.03,-1.72,-1.73,-1.73
33.89,-1.64,0.06,-1.64,0.07,-0.06,0.00,-0.03,-1.70,-1.70,-1.71
34.23,-1.64,0.04,-1.63,0.05,-0.05,0.00,-0.03,-1.70,-1.68,-1.69
34.57,-1.59,0.05,-1.60,0.04,-0.05,0.00,-0.03,-1.65,-1.66,-1.64
34.92,-1.57,0.04,-1.58,0.04,-0.05,0.00,-0.02,-1.62,-1.63,-1.61
35.27,-1.54,0.04,-1.54,0.04,-0.05,0.00,-0.02,-1.59,-1.59,-1.58
35.62,-1.51,0.04,-1.51,0.05,-0.04,0.00,-0.02,-1.56,-1.55,-1.56
35.97,-1.46,0.05,-1.47,0.05,-0.04,0.00,-0.02,-1.51,-1.52,-1.52
36.33,-1.43,0.06,-1.44,0.05,-0.04,0.00,-0.02,-1.48,-1.48,-1.49
36.70,-1.42,0.04,-1.41,0.05,-0.04,0.00,-0.02,-1.47,-1.46,-1.46
37.06,-1.38,0.05,-1.39,0.05,-0.04,0.00,-0.02,-1.43,-1.43,-1.43
