frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-8.17,-3.62,-8.18,6.00,5.33,2.77,2.39,2.38,4.56
20.20,-3.58,-8.17,-3.58,-8.15,6.00,5.36,2.84,2.42,2.42,4.59
20.40,-3.54,-8.13,-3.53,-8.13,6.00,5.39,2.92,2.46,2.47,4.59
20.61,-3.48,-8.09,-3.49,-8.10,6.00,5.42,3.00,2.52,2.51,4.61
20.81,-3.43,-8.06,-3.44,-8.06,6.00,5.45,3.09,2.57,2.56,4.63
21.02,-3.39,-8.03,-3.39,-8.03,6.00,5.48,3.17,2.61,2.61,4.64
21.23,-3.35,-8.02,-3.35,-8.01,6.00,5.51,3.26,2.65,2.65,4.67
21.44,-3.30,-7.97,-3.31,-7.99,6.00,5.54,3.35,2.70,2.69,4.67
21.66,-3.26,-7.97,-3.26,-7.96,6.00,5.57,3.44,2.74,2.74,4.71
21.87,-3.21,-7.93,-3.21,-7.92,6.00,5.59,3.54,2.79,2.79,4.72
22.09,-3.15,-7.88,-3.15,-7.89,6.00,5.62,3.64,2.85,2.85,4.73
22.31,-3.09,-7.85,-3.10,-7.84,6.00,5.65,3.74,2.91,2.90,4.76
22.54,-3.04,-7.80,-3.05,-7.81,6.00,5.67,3.84,2.96,2.95,4.76
22.76,-3.01,-7.80,-3.01,-7.78,6.00,5.70,3.95,2.99,2.99,4.78
22.99,-2.96,-7.76,-2.97,-7.76,6.00,5.73,4.06,3.04,3.03,4.79
23.22,-2.93,-7.74,-2.94,-7.76,6.00,5.75,4.17,3.07,3.06,4.80
23.45,-2.90,-7.76,-2.90,-7.74,6.00,5.78,4.28,3.10,3.10,4.85
23.69,-2.87,-7.73,-2.87,-7.72,6.00,5.80,4.40,3.13,3.13,4.85
23.92,-2.83,-7.69,-2.83,-7.70,6.00,5.82,4.52,3.17,3.17,4.85
24.16,-2.78,-7.68,-2.79,-7.67,6.00,5.85,4.64,3.22,3.21,4.89
24.40,-2.75,-7.65,-2.75,-7.64,6.00,5.87,4.76,3.25,3.25,4.89
