frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-4.77,-3.62,-4.77,4.74,4.79,2.78,1.13,1.12,1.16
20.20,-3.58,-4.80,-3.58,-4.81,4.80,4.84,2.86,1.22,1.23,1.22
20.40,-3.54,-4.84,-3.53,-4.85,4.86,4.88,2.94,1.32,1.33,1.30
20.61,-3.48,-4.92,-3.49,-4.91,4.93,4.92,3.02,1.45,1.44,1.44
20.81,-3.43,-4.98,-3.44,-4.98,5.00,4.96,3.10,1.56,1.56,1.55
21.02,-3.39,-5.05,-3.39,-5.06,5.07,5.00,3.19,1.68,1.68,1.66
21.23,-3.35,-5.14,-3.35,-5.14,5.14,5.05,3.28,1.79,1.79,1.79
21.44,-3.30,-5.23,-3.31,-5.22,5.22,5.09,3.37,1.92,1.91,1.93
21.66,-3.26,-5.31,-3.26,-5.31,5.30,5.13,3.47,2.04,2.04,2.05
21.87,-3.21,-5.38,-3.21,-5.39,5.39,5.17,3.57,2.18,2.18,2.17
22.09,-3.15,-5.48,-3.15,-5.47,5.48,5.21,3.67,2.33,2.33,2.33
22.31,-3.09,-5.56,-3.10,-5.56,5.57,5.25,3.77,2.48,2.47,2.47
22.54,-3.04,-5.64,-3.05,-5.65,5.66,5.29,3.87,2.61,2.61,2.59
22.76,-3.01,-5.75,-3.01,-5.74,5.74,5.33,3.98,2.72,2.73,2.74
22.99,-2.96,-5.81,-2.97,-5.81,5.81,5.37,4.09,2.85,2.84,2.84
23.22,-2.93,-5.89,-2.94,-5.88,5.87,5.41,4.21,2.94,2.94,2.95
23.45,-2.90,-5.93,-2.90,-5.94,5.92,5.44,4.32,3.02,3.02,3.02
23.69,-2.87,-6.00,-2.87,-5.99,5.96,5.48,4.44,3.09,3.09,3.12
23.92,-2.83,-6.03,-2.83,-6.03,5.99,5.52,4.56,3.15,3.16,3.19
