frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,-8.21,-3.62,-8.22,6.00,5.73,2.60,2.39,2.38,4.59
20.20,-3.58,-8.20,-3.58,-8.18,6.00,5.76,2.68,2.42,2.42,4.61
20.40,-3.54,-8.15,-3.53,-8.14,6.00,5.79,2.75,2.46,2.47,4.61
20.61,-3.48,-8.10,-3.49,-8.10,6.00,5.81,2.83,2.52,2.51,4.61
20.81,-3.43,-8.04,-3.44,-8.06,6.00,5.84,2.91,2.57,2.56,4.61
21.02,-3.39,-8.04,-3.39,-8.03,6.00,5.87,2.99,2.61,2.61,4.65
21.23,-3.35,-8.00,-3.35,-8.00,6.00,5.89,3.08,2.65,2.65,4.65
21.44,-3.30,-7.95,-3.31,-7.96,6.00,5.92,3.17,2.70,2.69,4.65
21.66,-3.26,-7.91,-3.26,-7.92,6.00,5.94,3.26,2.74,2.74,4.65
21.87,-3.21,-7.87,-3.21,-7.88,6.00,5.96,3.35,2.79,2.79,4.66
22.09,-3.15,-7.85,-3.15,-7.84,6.00,5.98,3.45,2.85,2.85,4.70
22.31,-3.09,-7.79,-3.10,-7.79,6.00,6.00,3.55,2.91,2.90,4.70
22.54,-3.04,-7.74,-3.05,-7.75,6.00,6.02,3.65,2.96,2.95,4.70
22.76,-3.01,-7.71,-3.01,-7.72,6.00,6.03,3.75,2.99,2.99,4.70
22.99,-2.96,-7.70,-2.97,-7.69,6.00,6.05,3.86,3.04,3.03,4.74
23.22,-2.93,-7.67,-2.94,-7.67,6.00,6.06,3.96,3.07,3.06,4.74
23.45,-2.90,-7.64,-2.90,-7.64,6.00,6.08,4.07,3.10,3.10,4.74
23.69,-2.87,-7.61,-2.87,-7.61,6.00,6.09,4.19,3.13,3.13,4.74
23.92,-2.83,-7.57,-2.83,-7.57,6.00,6.10,4.30,3.17,3.17,4.74
24.16,-2.78,-7.52,-2.79,-7.53,6.00,6.11,4.42,3.22,3.21,4.74
24.40,-2.75,-7.49,-2.75,-7.49,6.00,6.11,4.54,3.25,3.25,4.74
24.65,-2.72,-7.46,-2.72,-7.46,6.00,6.12,4.66,3.28,3.28,4.74
24.89,-2.67,-7.42,-2.68,-7.42,6.00,6.12,4.79,3.33,3.32,4.75
25.14,-2.63,-7.38,-2.63,-7.37,6.00,6.13,4.91,3.37,3.37,4.74
25.39,-2.57,-7.32,-2.58,-7.32,6.00,6.13,5.04,3.43,3.42,4.74
25.65,-2.52,-7.27,-2.53,-7.28,6.00,6.13,5.16,3.48,3.47,4.74
25.91,-2.50,-7.25,-2.49,-7.24,6.00,6.13,5.29,3.50,3.51,4.74
26.16,-2.46,-7.21,-2.47,-7.21,6.00,6.13,5.42,3.54,3.53,4.74
26.43,-2.43,-7.18,-2.44,-7.18,6.00,6.12,5.54,3.57,3.56,4.74
26.69,-2.42,-7.16,-2.41,-7.15,6.00,6.12,5.67,3.58,3.59,4.74
26.96,-2.37,-7.11,-2.39,-7.11,6.00,6.11,5.79,3.63,3.61,4.74
27.23,-2.37,-7.07,-2.37,-7.08,6.00,6.11,5.91,3.63,3.63,4.70
27.50,-2.33,-7.03,-2.34,-7.04,6.00,6.10,6.03,3.67,3.66,4.70
27.77,-2.33,-7.03,-2.33,-7.01,6.00,6.09,6.15,3.67,3.67,4.70
28.05,-2.29,-6.96,-2.30,-6.97,6.00,6.08,6.26,3.71,3.70,4.67
28.33,-2.28,-6.93,-2.28,-6.93,6.00,6.07,6.37,3.72,3.72,4.65
28.62,-2.24,-6.89,-2.24,-6.88,6.00,6.06,6.47,3.76,3.76,4.65
28.90,-2.20,-6.83,-2.21,-6.84,6.00,6.05,6.56,3.80,3.79,4.63
29.19,-2.18,-6.80,-2.18,-6.79,6.00,6.03,6.65,3.82,3.82,4.61
29.48,-2.14,-6.75,-2.14,-6.74,6.00,6.02,6.73,3.86,3.86,4.60
29.78,-2.09,-6.67,-2.10,-6.68,6.00,6.00,6.81,3.91,3.90,4.57
30.08,-2.05,-6.63,-2.05,-6.61,6.00,5.99,6.87,3.95,3.95,4.57
30.38,-2.00,-6.53,-2.01,-6.54,6.00,5.97,6.93,4.00,3.99,4.52
30.68,-1.96,-6.48,-1.96,-6.47,6.00,5.95,6.97,4.04,4.04,4.52
30.99,-1.91,-6.40,-1.92,-6.41,6.00,5.93,7.01,4.09,4.08,4.49
31.30,-1.87,-6.35,-1.87,-6.35,6.00,5.91,7.03,4.13,4.13,4.48
31.61,-1.83,-6.30,-1.83,-6.29,6.00,5.89,7.05,4.17,4.17,4.47
31.93,-1.80,-6.25,-1.81,-6.26,6.00,5.87,7.06,4.20,4.19,4.44
32.24,-1.77,-6.22,-1.78,-6.22,6.00,5.85,7.06,4.23,4.22,4.44
32.57,-1.76,-6.21,-1.75,-6.19,6.00,5.83,7.04,4.24,4.25,4.44
32.89,-1.72,-6.16,-1.72,-6.16,6.00,5.81,7.02,4.28,4.28,4.44
33.22,-1.68,-6.12,-1.69,-6.13,6.00,5.79,7.00,4.32,4.31,4.44
33.55,-1.65,-6.09,-1.66,-6.10,6.01,5.76,6.96,4.35,4.34,4.44
33.89,-1.64,-6.09,-1.64,-6.09,6.01,5.74,6.92,4.36,4.36,4.45
34.23,-1.64,-6.09,-1.63,-6.08,6.01,5.72,6.87,4.37,4.38,4.44
34.57,-1.59,-6.06,-1.60,-6.07,6.01,5.70,6.82,4.41,4.40,4.46
34.92,-1.57,-6.05,-1.58,-6.05,6.00,5.67,6.76,4.42,4.42,4.48
35.27,-1.54,-6.02,-1.54,-6.02,5.98,5.65,6.70,4.44,4.44,4.48
35.62,-1.51,-5.99,-1.51,-5.98,5.96,5.63,6.63,4.45,4.45,4.48
35.97,-1.46,-5.92,-1.47,-5.93,5.93,5.60,6.56,4.46,4.46,4.45
36.33,-1.43,-5.88,-1.44,-5.88,5.89,5.58,6.50,4.45,4.45,4.44
36.70,-1.42,-5.84,-1.41,-5.83,5.84,5.56,6.43,4.41,4.42,4.42
37.06,-1.38,-5.77,-1.39,-5.78,5.77,5.53,6.36,4.39,4.39,4.39
37.43,-1.36,-5.73,-1.36,-5.72,5.71,5.51,6.29,4.34,4.34,4.36
37.81,-1.33,-5.64,-1.33,-5.64,5.63,5.49,6.22,4.30,4.30,4.30
38.19,-1.30,-5.56,-1.31,-5.56,5.56,5.46,6.15,4.26,4.25,4.26
38.57,-1.27,-5.47,-1.28,-5.48,5.48,5.44,6.09,4.21,4.21,4.20
38.95,-1.25,-5.41,-1.25,-5.40,5.41,5.42,6.02,4.16,4.16,4.15
39.34,-1.22,-5.33,-1.23,-5.34,5.34,5.40,5.96,4.11,4.11,4.11
39.74,-1.20,-5.27,-1.21,-5.27,5.27,5.38,5.91,4.06,4.06,4.07
40.14,-1.20,-5.21,-1.19,-5.20,5.21,5.36,5.85,4.00,4.02,4.01
40.54,-1.16,-5.13,-1.18,-5.15,5.16,5.34,5.80,3.99,3.98,3.96
40.94,-1.16,-5.12,-1.16,-5.10,5.11,5.32,5.75,3.95,3.95,3.96
41.35,-1.15,-5.08,-1.15,-5.08,5.08,5.30,5.71,3.93,3.93,3.92
41.76,-1.12,-5.04,-1.13,-5.05,5.05,5.28,5.67,3.93,3.92,3.92
42.18,-1.12,-5.04,-1.12,-5.03,5.03,5.27,5.63,3.91,3.92,3.92
