frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,9.54,-3.62,9.55,-9.59,-9.30,-1.48,-13.21,-13.21,-13.15
20.20,-3.58,9.50,-3.58,9.48,-9.48,-9.31,-1.53,-13.06,-13.05,-13.08
20.40,-3.54,9.39,-3.53,9.38,-9.36,-9.29,-1.58,-12.90,-12.89,-12.93
20.61,-3.48,9.28,-3.49,9.27,-9.23,-9.26,-1.63,-12.72,-12.72,-12.76
20.81,-3.43,9.14,-3.44,9.13,-9.11,-9.21,-1.68,-12.54,-12.55,-12.57
21.02,-3.39,8.97,-3.39,8.98,-8.98,-9.14,-1.73,-12.37,-12.37,-12.36
21.23,-3.35,8.85,-3.35,8.84,-8.85,-9.05,-1.78,-12.20,-12.20,-12.20
21.44,-3.30,8.69,-3.31,8.70,-8.71,-8.95,-1.84,-12.02,-12.02,-11.99
21.66,-3.26,8.57,-3.26,8.56,-8.57,-8.84,-1.90,-11.84,-11.83,-11.83
21.87,-3.21,8.42,-3.21,8.42,-8.43,-8.70,-1.95,-11.64,-11.64,-11.63
22.09,-3.15,8.27,-3.15,8.29,-8.28,-8.56,-2.02,-11.44,-11.44,-11.42
22.31,-3.09,8.17,-3.10,8.15,-8.14,-8.41,-2.08,-11.23,-11.24,-11.26
22.54,-3.04,8.02,-3.05,8.01,-8.00,-8.25,-2.14,-11.04,-11.04,-11.07
22.76,-3.01,7.83,-3.01,7.86,-7.85,-8.07,-2.21,-10.86,-10.85,-10.84
22.99,-2.96,7.70,-2.97,7.69,-7.69,-7.90,-2.27,-10.66,-10.66,-10.66
23.22,-2.93,7.54,-2.94,7.53,-7.53,-7.71,-2.34,-10.47,-10.47,-10.47
23.45,-2.90,7.37,-2.90,7.37,-7.37,-7.52,-2.41,-10.28,-10.28,-10.27
23.69,-2.87,7.19,-2.87,7.20,-7.21,-7.33,-2.48,-10.08,-10.08,-10.07
23.92,-2.83,7.04,-2.83,7.04,-7.04,-7.14,-2.55,-9.88,-9.87,-9.87
24.16,-2.78,6.89,-2.79,6.88,-6.88,-6.94,-2.63,-9.66,-9.67,-9.67
24.40,-2.75,6.72,-2.75,6.72,-6.72,-6.74,-2.70,-9.47,-9.47,-9.47
24.65,-2.72,6.54,-2.72,6.55,-6.55,-6.54,-2.77,-9.28,-9.27,-9.27
24.89,-2.67,6.38,-2.68,6.38,-6.39,-6.35,-2.85,-9.06,-9.07,-9.05
25.14,-2.63,6.22,-2.63,6.22,-6.23,-6.15,-2.92,-8.86,-8.85,-8.85
25.39,-2.57,6.06,-2.58,6.07,-6.06,-5.95,-3.00,-8.64,-8.64,-8.63
25.65,-2.52,5.92,-2.53,5.90,-5.90,-5.76,-3.07,-8.42,-8.43,-8.44
25.91,-2.50,5.74,-2.49,5.74,-5.73,-5.56,-3.15,-8.23,-8.22,-8.24
26.16,-2.46,5.55,-2.47,5.56,-5.56,-5.37,-3.22,-8.02,-8.03,-8.02
26.43,-2.43,5.40,-2.44,5.38,-5.38,-5.18,-3.29,-7.82,-7.82,-7.83
26.69,-2.42,5.19,-2.41,5.21,-5.20,-5.00,-3.36,-7.63,-7.62,-7.61
26.96,-2.37,5.04,-2.39,5.03,-5.02,-4.81,-3.43,-7.40,-7.41,-7.41
27.23,-2.37,4.84,-2.37,4.84,-4.84,-4.63,-3.49,-7.21,-7.21,-7.21
27.50,-2.33,4.66,-2.34,4.65,-4.66,-4.45,-3.55,-6.99,-7.00,-6.99
27.77,-2.33,4.45,-2.33,4.46,-4.47,-4.27,-3.61,-6.80,-6.80,-6.78
28.05,-2.29,4.29,-2.30,4.28,-4.29,-4.10,-3.66,-6.58,-6.59,-6.58
28.33,-2.28,4.11,-2.28,4.11,-4.11,-3.93,-3.71,-6.39,-6.38,-6.39
28.62,-2.24,3.94,-2.24,3.94,-3.93,-3.75,-3.75,-6.18,-6.18,-6.18
28.90,-2.20,3.76,-2.21,3.75,-3.76,-3.59,-3.78,-5.96,-5.97,-5.97
29.19,-2.18,3.57,-2.18,3.58,-3.59,-3.42,-3.81,-5.77,-5.77,-5.76
29.48,-2.14,3.40,-2.14,3.41,-3.42,-3.26,-3.83,-5.56,-5.56,-5.55
29.78,-2.09,3.26,-2.10,3.25,-3.25,-3.09,-3.84,-5.35,-5.35,-5.35
30.08,-2.05,3.09,-2.05,3.09,-3.09,-2.93,-3.84,-5.14,-5.14,-5.14
30.38,-2.00,2.94,-2.01,2.93,-2.92,-2.77,-3.83,-4.92,-4.93,-4.94
30.68,-1.96,2.74,-1.96,2.75,-2.75,-2.62,-3.82,-4.71,-4.71,-4.70
30.99,-1.91,2.57,-1.92,2.58,-2.57,-2.46,-3.79,-4.49,-4.49,-4.49
31.30,-1.87,2.40,-1.87,2.40,-2.39,-2.31,-3.76,-4.27,-4.27,-4.28
31.61,-1.83,2.21,-1.83,2.22,-2.21,-2.15,-3.72,-4.04,-4.04,-4.05
31.93,-1.80,2.04,-1.81,2.02,-2.02,-2.00,-3.66,-3.82,-3.82,-3.84
32.24,-1.77,1.80,-1.78,1.82,-1.82,-1.85,-3.60,-3.60,-3.60,-3.58
32.57,-1.76,1.63,-1.75,1.62,-1.63,-1.70,-3.53,-3.39,-3.38,-3.39
32.89,-1.72,1.41,-1.72,1.42,-1.42,-1.55,-3.45,-3.15,-3.15,-3.13
33.22,-1.68,1.24,-1.69,1.23,-1.22,-1.40,-3.36,-2.91,-2.91,-2.92
33.55,-1.65,1.02,-1.66,1.02,-1.02,-1.25,-3.26,-2.67,-2.68,-2.67
33.89,-1.64,0.82,-1.64,0.82,-0.81,-1.10,-3.15,-2.46,-2.46,-2.47
34.23,-1.64,0.59,-1.63,0.60,-0.61,-0.96,-3.04,-2.26,-2.24,-2.23
34.57,-1.59,0.42,-1.60,0.41,-0.41,-0.81,-2.92,-2.00,-2.01,-2.01
34.92,-1.57,0.20,-1.58,0.20,-0.21,-0.66,-2.79,-1.78,-1.79,-1.78
35.27,-1.54,0.01,-1.54,0.01,-0.01,-0.51,-2.66,-1.55,-1.55,-1.56
35.62,-1.51,-0.21,-1.51,-0.19,0.19,-0.36,-2.52,-1.32,-1.32,-1.31
35.97,-1.46,-0.37,-1.47,-0.38,0.39,-0.21,-2.38,-1.07,-1.08,-1.10
36.33,-1.43,-0.59,-1.44,-0.58,0.59,-0.05,-2.24,-0.85,-0.85,-0.85
36.70,-1.42,-0.78,-1.41,-0.78,0.78,0.10,-2.09,-0.64,-0.63,-0.64
37.06,-1.38,-0.99,-1.39,-0.98,0.98,0.25,-1.93,-0.40,-0.41,-0.39
