frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,1.57,-3.62,1.57,-1.59,-1.72,-0.70,-5.20,-5.21,-5.18
20.20,-3.58,1.59,-3.58,1.59,-1.59,-1.73,-0.72,-5.17,-5.16,-5.17
20.40,-3.54,1.60,-3.53,1.60,-1.59,-1.74,-0.75,-5.13,-5.12,-5.14
20.61,-3.48,1.60,-3.49,1.61,-1.59,-1.75,-0.77,-5.08,-5.08,-5.08
20.81,-3.43,1.62,-3.44,1.61,-1.60,-1.75,-0.79,-5.03,-5.04,-5.05
21.02,-3.39,1.61,-3.39,1.61,-1.60,-1.76,-0.82,-5.00,-5.00,-5.00
21.23,-3.35,1.61,-3.35,1.61,-1.61,-1.77,-0.84,-4.97,-4.96,-4.96
21.44,-3.30,1.61,-3.31,1.61,-1.62,-1.77,-0.87,-4.93,-4.93,-4.91
21.66,-3.26,1.62,-3.26,1.62,-1.63,-1.78,-0.90,-4.90,-4.89,-4.88
21.87,-3.21,1.63,-3.21,1.64,-1.65,-1.78,-0.92,-4.86,-4.86,-4.84
22.09,-3.15,1.67,-3.15,1.66,-1.66,-1.79,-0.95,-4.82,-4.82,-4.82
22.31,-3.09,1.68,-3.10,1.68,-1.68,-1.79,-0.98,-4.77,-4.78,-4.77
22.54,-3.04,1.71,-3.05,1.71,-1.70,-1.79,-1.01,-4.75,-4.75,-4.76
22.76,-3.01,1.71,-3.01,1.72,-1.72,-1.79,-1.04,-4.73,-4.72,-4.73
22.99,-2.96,1.75,-2.97,1.74,-1.73,-1.80,-1.07,-4.70,-4.70,-4.72
23.22,-2.93,1.74,-2.94,1.75,-1.74,-1.80,-1.10,-4.68,-4.68,-4.68
23.45,-2.90,1.77,-2.90,1.76,-1.75,-1.80,-1.13,-4.65,-4.65,-4.68
23.69,-2.87,1.74,-2.87,1.75,-1.75,-1.80,-1.17,-4.63,-4.62,-4.62
23.92,-2.83,1.75,-2.83,1.76,-1.76,-1.80,-1.20,-4.59,-4.59,-4.59
24.16,-2.78,1.75,-2.79,1.75,-1.77,-1.80,-1.23,-4.55,-4.56,-4.54
24.40,-2.75,1.77,-2.75,1.76,-1.78,-1.79,-1.27,-4.53,-4.53,-4.53
24.65,-2.72,1.76,-2.72,1.77,-1.79,-1.79,-1.30,-4.52,-4.51,-4.49
24.89,-2.67,1.80,-2.68,1.80,-1.81,-1.79,-1.34,-4.49,-4.49,-4.47
25.14,-2.63,1.82,-2.63,1.83,-1.83,-1.78,-1.37,-4.46,-4.46,-4.45
25.39,-2.57,1.88,-2.58,1.86,-1.85,-1.78,-1.41,-4.42,-4.42,-4.45
25.65,-2.52,1.88,-2.53,1.88,-1.86,-1.77,-1.44,-4.38,-4.39,-4.40
25.91,-2.50,1.88,-2.49,1.88,-1.86,-1.76,-1.48,-4.37,-4.36,-4.38
26.16,-2.46,1.87,-2.47,1.87,-1.86,-1.75,-1.51,-4.32,-4.32,-4.33
26.43,-2.43,1.85,-2.44,1.85,-1.84,-1.75,-1.54,-4.27,-4.28,-4.28
26.69,-2.42,1.81,-2.41,1.81,-1.81,-1.74,-1.58,-4.23,-4.22,-4.23
26.96,-2.37,1.78,-2.39,1.78,-1.77,-1.72,-1.61,-4.14,-4.15,-4.15
27.23,-2.37,1.72,-2.37,1.73,-1.72,-1.71,-1.64,-4.10,-4.09,-4.09
