frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,5.71,-3.62,5.72,-5.78,-5.62,-0.65,-9.39,-9.40,-9.32
20.20,-3.58,5.67,-3.58,5.65,-5.66,-5.53,-0.67,-9.24,-9.23,-9.25
20.40,-3.54,5.58,-3.53,5.56,-5.54,-5.44,-0.70,-9.08,-9.07,-9.12
20.61,-3.48,5.45,-3.49,5.46,-5.41,-5.34,-0.72,-8.90,-8.90,-8.94
20.81,-3.43,5.33,-3.44,5.33,-5.29,-5.23,-0.75,-8.73,-8.73,-8.76
21.02,-3.39,5.20,-3.39,5.19,-5.17,-5.13,-0.77,-8.57,-8.56,-8.59
21.23,-3.35,5.05,-3.35,5.05,-5.05,-5.01,-0.80,-8.41,-8.40,-8.40
21.44,-3.30,4.91,-3.31,4.91,-4.93,-4.90,-0.83,-8.23,-8.24,-8.21
21.66,-3.26,4.78,-3.26,4.78,-4.80,-4.78,-0.86,-8.06,-8.06,-8.05
21.87,-3.21,4.65,-3.21,4.66,-4.67,-4.67,-0.89,-7.88,-7.88,-7.86
22.09,-3.15,4.55,-3.15,4.55,-4.55,-4.55,-0.92,-7.70,-7.70,-7.70
22.31,-3.09,4.44,-3.10,4.43,-4.43,-4.43,-0.95,-7.52,-7.53,-7.53
22.54,-3.04,4.33,-3.05,4.33,-4.32,-4.31,-0.98,-7.36,-7.36,-7.38
22.76,-3.01,4.20,-3.01,4.22,-4.21,-4.19,-1.02,-7.22,-7.21,-7.21
22.99,-2.96,4.11,-2.97,4.10,-4.10,-4.07,-1.05,-7.06,-7.06,-7.08
23.22,-2.93,3.98,-2.94,3.98,-3.99,-3.95,-1.09,-6.92,-6.92,-6.92
23.45,-2.90,3.85,-2.90,3.87,-3.88,-3.83,-1.12,-6.78,-6.78,-6.76
23.69,-2.87,3.77,-2.87,3.76,-3.77,-3.71,-1.16,-6.64,-6.64,-6.65
23.92,-2.83,3.65,-2.83,3.66,-3.66,-3.59,-1.20,-6.49,-6.49,-6.49
24.16,-2.78,3.55,-2.79,3.55,-3.55,-3.47,-1.23,-6.33,-6.34,-6.34
24.40,-2.75,3.44,-2.75,3.44,-3.44,-3.35,-1.27,-6.20,-6.20,-6.20
24.65,-2.72,3.33,-2.72,3.33,-3.34,-3.24,-1.31,-6.06,-6.05,-6.05
24.89,-2.67,3.22,-2.68,3.22,-3.22,-3.13,-1.35,-5.90,-5.90,-5.90
25.14,-2.63,3.09,-2.63,3.11,-3.11,-3.01,-1.39,-5.74,-5.73,-5.73
25.39,-2.57,2.99,-2.58,2.99,-2.98,-2.90,-1.43,-5.55,-5.56,-5.57
25.65,-2.52,2.88,-2.53,2.87,-2.85,-2.79,-1.46,-5.37,-5.38,-5.40
25.91,-2.50,2.72,-2.49,2.72,-2.71,-2.68,-1.50,-5.21,-5.20,-5.22
26.16,-2.46,2.56,-2.47,2.56,-2.56,-2.58,-1.54,-5.02,-5.02,-5.03
26.43,-2.43,2.39,-2.44,2.40,-2.40,-2.47,-1.57,-4.83,-4.83,-4.83
26.69,-2.42,2.23,-2.41,2.23,-2.23,-2.36,-1.61,-4.66,-4.64,-4.65
26.96,-2.37,2.08,-2.39,2.07,-2.06,-2.26,-1.64,-4.44,-4.45,-4.46
27.23,-2.37,1.89,-2.37,1.90,-1.90,-2.16,-1.67,-4.27,-4.26,-4.27
27.50,-2.33,1.74,-2.34,1.74,-1.74,-2.06,-1.70,-4.07,-4.08,-4.08
27.77,-2.33,1.57,-2.33,1.58,-1.59,-1.96,-1.72,-3.92,-3.91,-3.90
28.05,-2.29,1.45,-2.30,1.44,-1.45,-1.86,-1.75,-3.75,-3.75,-3.75
28.33,-2.28,1.30,-2.28,1.32,-1.33,-1.76,-1.77,-3.61,-3.61,-3.59
28.62,-2.24,1.23,-2.24,1.21,-1.22,-1.67,-1.78,-3.47,-3.47,-3.47
28.90,-2.20,1.12,-2.21,1.12,-1.14,-1.57,-1.80,-3.34,-3.35,-3.33
29.19,-2.18,1.05,-2.18,1.06,-1.06,-1.48,-1.81,-3.25,-3.24,-3.23
29.48,-2.14,1.00,-2.14,1.00,-1.01,-1.38,-1.81,-3.15,-3.15,-3.14
29.78,-2.09,0.97,-2.10,0.96,-0.96,-1.29,-1.81,-3.06,-3.06,-3.06
30.08,-2.05,0.93,-2.05,0.93,-0.93,-1.20,-1.80,-2.98,-2.98,-2.98
30.38,-2.00,0.90,-2.01,0.90,-0.90,-1.10,-1.79,-2.90,-2.90,-2.90
