frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,2.53,-3.62,2.53,-2.54,-1.61,-1.24,-6.15,-6.16,-6.14
20.20,-3.58,2.54,-3.58,2.53,-2.53,-1.66,-1.27,-6.11,-6.11,-6.12
20.40,-3.54,2.52,-3.53,2.53,-2.52,-1.71,-1.31,-6.06,-6.05,-6.06
20.61,-3.48,2.53,-3.49,2.52,-2.52,-1.75,-1.35,-6.00,-6.00,-6.01
20.81,-3.43,2.52,-3.44,2.51,-2.51,-1.80,-1.39,-5.95,-5.95,-5.95
21.02,-3.39,2.51,-3.39,2.51,-2.51,-1.85,-1.43,-5.90,-5.90,-5.90
21.23,-3.35,2.51,-3.35,2.51,-2.51,-1.91,-1.48,-5.86,-5.86,-5.86
21.44,-3.30,2.51,-3.31,2.50,-2.51,-1.96,-1.52,-5.81,-5.82,-5.81
21.66,-3.26,2.50,-3.26,2.50,-2.51,-2.01,-1.57,-5.77,-5.77,-5.76
21.87,-3.21,2.49,-3.21,2.50,-2.51,-2.06,-1.61,-5.73,-5.72,-5.70
22.09,-3.15,2.52,-3.15,2.52,-2.52,-2.12,-1.66,-5.67,-5.67,-5.67
22.31,-3.09,2.53,-3.10,2.53,-2.52,-2.17,-1.71,-5.61,-5.62,-5.62
22.54,-3.04,2.55,-3.05,2.54,-2.52,-2.23,-1.76,-5.57,-5.57,-5.59
22.76,-3.01,2.52,-3.01,2.54,-2.52,-2.28,-1.81,-5.54,-5.53,-5.53
22.99,-2.96,2.54,-2.97,2.53,-2.52,-2.33,-1.87,-5.49,-5.49,-5.50
23.22,-2.93,2.52,-2.94,2.52,-2.52,-2.39,-1.92,-5.45,-5.46,-5.45
23.45,-2.90,2.51,-2.90,2.51,-2.51,-2.44,-1.98,-5.42,-5.42,-5.41
23.69,-2.87,2.49,-2.87,2.50,-2.51,-2.49,-2.03,-5.38,-5.38,-5.37
23.92,-2.83,2.50,-2.83,2.50,-2.51,-2.54,-2.09,-5.34,-5.34,-5.33
24.16,-2.78,2.50,-2.79,2.51,-2.51,-2.59,-2.15,-5.29,-5.30,-5.29
24.40,-2.75,2.52,-2.75,2.51,-2.51,-2.64,-2.21,-5.27,-5.27,-5.28
24.65,-2.72,2.51,-2.72,2.51,-2.52,-2.69,-2.27,-5.25,-5.24,-5.24
24.89,-2.67,2.51,-2.68,2.53,-2.53,-2.73,-2.33,-5.21,-5.21,-5.19
25.14,-2.63,2.54,-2.63,2.54,-2.55,-2.77,-2.39,-5.18,-5.17,-5.18
25.39,-2.57,2.57,-2.58,2.56,-2.56,-2.81,-2.45,-5.13,-5.13,-5.15
25.65,-2.52,2.58,-2.53,2.58,-2.56,-2.84,-2.51,-5.09,-5.10,-5.10
25.91,-2.50,2.57,-2.49,2.58,-2.57,-2.87,-2.57,-5.07,-5.06,-5.07
26.16,-2.46,2.59,-2.47,2.57,-2.57,-2.90,-2.63,-5.03,-5.04,-5.05
26.43,-2.43,2.58,-2.44,2.57,-2.57,-2.92,-2.69,-5.00,-5.00,-5.01
26.69,-2.42,2.54,-2.41,2.56,-2.56,-2.94,-2.75,-4.98,-4.97,-4.96
26.96,-2.37,2.56,-2.39,2.54,-2.55,-2.96,-2.80,-4.92,-4.94,-4.93
27.23,-2.37,2.53,-2.37,2.54,-2.54,-2.97,-2.86,-4.91,-4.91,-4.90
27.50,-2.33,2.54,-2.34,2.54,-2.53,-2.97,-2.91,-4.87,-4.87,-4.87
