frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,1.89,-3.62,1.90,-1.90,-1.45,-0.87,-5.51,-5.52,-5.50
20.20,-3.58,1.90,-3.58,1.88,-1.88,-1.45,-0.89,-5.46,-5.46,-5.48
20.40,-3.54,1.87,-3.53,1.87,-1.86,-1.45,-0.92,-5.40,-5.39,-5.41
20.61,-3.48,1.86,-3.49,1.85,-1.84,-1.45,-0.95,-5.33,-5.33,-5.34
20.81,-3.43,1.82,-3.44,1.83,-1.83,-1.45,-0.98,-5.27,-5.27,-5.25
21.02,-3.39,1.81,-3.39,1.81,-1.82,-1.45,-1.00,-5.22,-5.22,-5.20
21.23,-3.35,1.81,-3.35,1.80,-1.82,-1.45,-1.03,-5.17,-5.17,-5.16
21.44,-3.30,1.81,-3.31,1.80,-1.81,-1.45,-1.07,-5.12,-5.12,-5.11
21.66,-3.26,1.80,-3.26,1.81,-1.82,-1.45,-1.10,-5.08,-5.08,-5.06
21.87,-3.21,1.82,-3.21,1.82,-1.82,-1.45,-1.13,-5.04,-5.03,-5.03
22.09,-3.15,1.84,-3.15,1.84,-1.83,-1.45,-1.16,-4.99,-4.99,-4.99
22.31,-3.09,1.85,-3.10,1.85,-1.84,-1.45,-1.20,-4.94,-4.94,-4.94
22.54,-3.04,1.87,-3.05,1.86,-1.85,-1.45,-1.23,-4.90,-4.90,-4.92
22.76,-3.01,1.85,-3.01,1.86,-1.86,-1.44,-1.27,-4.87,-4.86,-4.87
22.99,-2.96,1.86,-2.97,1.86,-1.86,-1.44,-1.31,-4.83,-4.83,-4.83
23.22,-2.93,1.86,-2.94,1.86,-1.86,-1.44,-1.35,-4.80,-4.80,-4.80
23.45,-2.90,1.85,-2.90,1.85,-1.86,-1.44,-1.38,-4.76,-4.76,-4.76
23.69,-2.87,1.85,-2.87,1.85,-1.85,-1.44,-1.42,-4.72,-4.72,-4.73
23.92,-2.83,1.83,-2.83,1.85,-1.84,-1.44,-1.46,-4.67,-4.67,-4.67
24.16,-2.78,1.85,-2.79,1.84,-1.83,-1.44,-1.51,-4.61,-4.62,-4.64
24.40,-2.75,1.82,-2.75,1.82,-1.82,-1.44,-1.55,-4.58,-4.58,-4.58
24.65,-2.72,1.80,-2.72,1.81,-1.81,-1.44,-1.59,-4.54,-4.53,-4.52
24.89,-2.67,1.79,-2.68,1.79,-1.81,-1.44,-1.63,-4.48,-4.48,-4.46
25.14,-2.63,1.80,-2.63,1.79,-1.80,-1.44,-1.67,-4.43,-4.42,-4.43
25.39,-2.57,1.80,-2.58,1.79,-1.79,-1.44,-1.72,-4.36,-4.37,-4.37
25.65,-2.52,1.80,-2.53,1.79,-1.78,-1.44,-1.76,-4.31,-4.32,-4.32
25.91,-2.50,1.77,-2.49,1.78,-1.78,-1.44,-1.80,-4.28,-4.27,-4.27
26.16,-2.46,1.77,-2.47,1.77,-1.77,-1.44,-1.85,-4.23,-4.24,-4.23
26.43,-2.43,1.77,-2.44,1.76,-1.76,-1.44,-1.89,-4.20,-4.20,-4.20
26.69,-2.42,1.74,-2.41,1.75,-1.75,-1.44,-1.93,-4.17,-4.16,-4.16
26.96,-2.37,1.74,-2.39,1.74,-1.73,-1.44,-1.97,-4.10,-4.12,-4.11
27.23,-2.37,1.71,-2.37,1.72,-1.71,-1.44,-2.01,-4.08,-4.07,-4.08
27.50,-2.33,1.71,-2.34,1.70,-1.68,-1.44,-2.05,-4.02,-4.02,-4.05
27.77,-2.33,1.65,-2.33,1.67,-1.66,-1.43,-2.08,-3.99,-3.98,-3.99
28.05,-2.29,1.64,-2.30,1.63,-1.64,-1.43,-2.12,-3.93,-3.94,-3.94
28.33,-2.28,1.60,-2.28,1.61,-1.62,-1.43,-2.15,-3.90,-3.89,-3.89
28.62,-2.24,1.58,-2.24,1.59,-1.61,-1.43,-2.18,-3.85,-3.85,-3.83
28.90,-2.20,1.60,-2.21,1.58,-1.60,-1.43,-2.21,-3.81,-3.82,-3.80
29.19,-2.18,1.59,-2.18,1.59,-1.61,-1.43,-2.23,-3.79,-3.78,-3.77
29.48,-2.14,1.60,-2.14,1.61,-1.62,-1.43,-2.26,-3.76,-3.76,-3.74
29.78,-2.09,1.65,-2.10,1.64,-1.63,-1.43,-2.27,-3.72,-3.73,-3.74
30.08,-2.05,1.67,-2.05,1.67,-1.65,-1.43,-2.29,-3.70,-3.70,-3.72
30.38,-2.00,1.69,-2.01,1.68,-1.67,-1.43,-2.30,-3.67,-3.67,-3.69
30.68,-1.96,1.68,-1.96,1.69,-1.69,-1.43,-2.31,-3.65,-3.65,-3.65
30.99,-1.91,1.70,-1.92,1.70,-1.71,-1.42,-2.32,-3.62,-3.62,-3.62
31.30,-1.87,1.72,-1.87,1.71,-1.72,-1.42,-2.32,-3.60,-3.59,-3.60
31.61,-1.83,1.71,-1.83,1.73,-1.73,-1.42,-2.32,-3.57,-3.57,-3.55
31.93,-1.80,1.75,-1.81,1.74,-1.75,-1.42,-2.31,-3.55,-3.55,-3.55
