frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,1.09,-3.62,1.08,-1.12,0.45,0.88,-4.74,-4.74,-4.70
20.20,-3.58,1.08,-3.58,1.08,-1.09,0.46,0.91,-4.68,-4.67,-4.66
20.40,-3.54,1.05,-3.53,1.06,-1.05,0.48,0.94,-4.60,-4.59,-4.59
20.61,-3.48,1.02,-3.49,1.02,-1.00,0.50,0.97,-4.48,-4.48,-4.50
20.81,-3.43,0.96,-3.44,0.96,-0.93,0.51,1.00,-4.36,-4.37,-4.39
21.02,-3.39,0.88,-3.39,0.88,-0.84,0.53,1.03,-4.24,-4.23,-4.27
21.23,-3.35,0.77,-3.35,0.78,-0.74,0.55,1.06,-4.10,-4.09,-4.12
21.44,-3.30,0.66,-3.31,0.65,-0.63,0.57,1.09,-3.94,-3.94,-3.96
21.66,-3.26,0.51,-3.26,0.50,-0.49,0.59,1.12,-3.75,-3.75,-3.78
21.87,-3.21,0.32,-3.21,0.34,-0.33,0.62,1.16,-3.55,-3.54,-3.53
22.09,-3.15,0.18,-3.15,0.17,-0.17,0.64,1.19,-3.32,-3.32,-3.33
22.31,-3.09,-0.01,-3.10,-0.01,-0.00,0.66,1.23,-3.10,-3.10,-3.08
22.54,-3.04,-0.17,-3.05,-0.17,0.16,0.69,1.26,-2.89,-2.89,-2.88
22.76,-3.01,-0.35,-3.01,-0.33,0.31,0.71,1.30,-2.70,-2.70,-2.66
22.99,-2.96,-0.47,-2.97,-0.47,0.45,0.74,1.34,-2.51,-2.52,-2.50
23.22,-2.93,-0.58,-2.94,-0.59,0.58,0.77,1.38,-2.35,-2.35,-2.36
23.45,-2.90,-0.71,-2.90,-0.70,0.70,0.80,1.42,-2.20,-2.20,-2.20
23.69,-2.87,-0.80,-2.87,-0.80,0.81,0.83,1.46,-2.07,-2.06,-2.08
23.92,-2.83,-0.91,-2.83,-0.90,0.90,0.87,1.50,-1.93,-1.93,-1.93
24.16,-2.78,-0.98,-2.79,-0.99,1.00,0.90,1.54,-1.79,-1.80,-1.81
24.40,-2.75,-1.08,-2.75,-1.08,1.08,0.94,1.59,-1.67,-1.67,-1.68
24.65,-2.72,-1.16,-2.72,-1.16,1.16,0.98,1.63,-1.56,-1.55,-1.56
24.89,-2.67,-1.23,-2.68,-1.24,1.23,1.02,1.68,-1.44,-1.44,-1.45
25.14,-2.63,-1.30,-2.63,-1.30,1.29,1.06,1.72,-1.34,-1.34,-1.33
25.39,-2.57,-1.36,-2.58,-1.37,1.33,1.11,1.76,-1.24,-1.24,-1.21
25.65,-2.52,-1.41,-2.53,-1.42,1.37,1.15,1.81,-1.15,-1.16,-1.11
25.91,-2.50,-1.46,-2.49,-1.44,1.41,1.20,1.85,-1.10,-1.09,-1.04
26.16,-2.46,-1.46,-2.47,-1.45,1.45,1.25,1.90,-1.01,-1.02,-1.00
26.43,-2.43,-1.44,-2.44,-1.47,1.52,1.31,1.94,-0.92,-0.92,-0.99
26.69,-2.42,-1.53,-2.41,-1.52,1.60,1.36,1.99,-0.82,-0.81,-0.89
26.96,-2.37,-1.62,-2.39,-1.62,1.71,1.42,2.03,-0.66,-0.67,-0.76
27.23,-2.37,-1.79,-2.37,-1.79,1.84,1.48,2.07,-0.53,-0.52,-0.59
27.50,-2.33,-1.95,-2.34,-1.97,1.99,1.55,2.11,-0.35,-0.35,-0.39
27.77,-2.33,-2.19,-2.33,-2.17,2.14,1.61,2.15,-0.20,-0.19,-0.14
28.05,-2.29,-2.34,-2.30,-2.35,2.28,1.68,2.19,-0.02,-0.03,0.04
28.33,-2.28,-2.50,-2.28,-2.48,2.40,1.75,2.22,0.11,0.12,0.21
28.62,-2.24,-2.55,-2.24,-2.55,2.49,1.82,2.26,0.25,0.25,0.31
28.90,-2.20,-2.56,-2.21,-2.58,2.55,1.90,2.29,0.35,0.34,0.36
29.19,-2.18,-2.60,-2.18,-2.58,2.59,1.98,2.31,0.40,0.41,0.42
29.48,-2.14,-2.56,-2.14,-2.57,2.59,2.05,2.34,0.45,0.45,0.42
29.78,-2.09,-2.56,-2.10,-2.56,2.59,2.13,2.36,0.49,0.49,0.47
30.08,-2.05,-2.55,-2.05,-2.55,2.57,2.21,2.38,0.52,0.52,0.50
30.38,-2.00,-2.55,-2.01,-2.55,2.56,2.30,2.40,0.55,0.55,0.55
30.68,-1.96,-2.56,-1.96,-2.55,2.55,2.38,2.41,0.59,0.59,0.59
30.99,-1.91,-2.56,-1.92,-2.56,2.56,2.46,2.42,0.65,0.65,0.64
31.30,-1.87,-2.58,-1.87,-2.57,2.58,2.54,2.42,0.71,0.71,0.70
31.61,-1.83,-2.59,-1.83,-2.60,2.62,2.61,2.42,0.78,0.78,0.76
31.93,-1.80,-2.64,-1.81,-2.64,2.66,2.69,2.42,0.86,0.86,0.84
32.24,-1.77,-2.69,-1.78,-2.71,2.72,2.75,2.42,0.95,0.94,0.92
32.57,-1.76,-2.79,-1.75,-2.77,2.79,2.82,2.41,1.02,1.03,1.03
32.89,-1.72,-2.85,-1.72,-2.85,2.86,2.88,2.40,1.14,1.14,1.13
33.22,-1.68,-2.91,-1.69,-2.93,2.93,2.93,2.38,1.25,1.25,1.22
33.55,-1.65,-3.01,-1.66,-3.00,3.00,2.97,2.37,1.34,1.33,1.35
33.89,-1.64,-3.06,-1.64,-3.06,3.04,3.00,2.35,1.40,1.40,1.42
34.23,-1.64,-3.10,-1.63,-3.10,3.06,3.03,2.32,1.42,1.44,1.46
34.57,-1.59,-3.10,-1.60,-3.10,3.06,3.04,2.30,1.46,1.45,1.51
34.92,-1.57,-3.08,-1.58,-3.08,3.02,3.05,2.27,1.45,1.44,1.51
35.27,-1.54,-3.01,-1.54,-3.01,2.97,3.04,2.24,1.42,1.42,1.46
35.62,-1.51,-2.93,-1.51,-2.91,2.90,3.03,2.21,1.39,1.39,1.41
35.97,-1.46,-2.79,-1.47,-2.80,2.84,3.00,2.18,1.37,1.37,1.33
36.33,-1.43,-2.71,-1.44,-2.71,2.78,2.96,2.15,1.35,1.34,1.28
36.70,-1.42,-2.63,-1.41,-2.65,2.74,2.92,2.12,1.31,1.32,1.21
37.06,-1.38,-2.65,-1.39,-2.65,2.70,2.87,2.08,1.32,1.31,1.26
37.43,-1.36,-2.67,-1.36,-2.67,2.68,2.81,2.05,1.32,1.32,1.31
37.81,-1.33,-2.71,-1.33,-2.71,2.66,2.74,2.02,1.33,1.33,1.38
38.19,-1.30,-2.74,-1.31,-2.72,2.66,2.67,1.98,1.35,1.35,1.43
38.57,-1.27,-2.70,-1.28,-2.70,2.65,2.59,1.95,1.37,1.37,1.42
38.95,-1.25,-2.64,-1.25,-2.64,2.63,2.51,1.91,1.38,1.38,1.39
39.34,-1.22,-2.58,-1.23,-2.59,2.61,2.43,1.88,1.38,1.38,1.36
39.74,-1.20,-2.53,-1.21,-2.54,2.57,2.35,1.85,1.37,1.36,1.32
40.14,-1.20,-2.51,-1.19,-2.50,2.52,2.26,1.82,1.32,1.33,1.31
40.54,-1.16,-2.46,-1.18,-2.48,2.47,2.17,1.79,1.31,1.30,1.30
40.94,-1.16,-2.45,-1.16,-2.44,2.42,2.09,1.76,1.26,1.26,1.28
41.35,-1.15,-2.40,-1.15,-2.39,2.38,2.00,1.73,1.22,1.23,1.25
41.76,-1.12,-2.31,-1.13,-2.33,2.32,1.92,1.70,1.20,1.19,1.19
42.18,-1.12,-2.27,-1.12,-2.26,2.26,1.84,1.68,1.14,1.15,1.14
42.60,-1.09,-2.19,-1.10,-2.20,2.19,1.76,1.65,1.10,1.09,1.10
43.03,-1.07,-2.14,-1.07,-2.14,2.12,1.68,1.63,1.04,1.05,1.06
43.46,-1.04,-2.07,-1.04,-2.06,2.04,1.61,1.60,0.99,1.00,1.03
43.90,-0.99,-1.97,-1.01,-1.98,1.97,1.53,1.58,0.98,0.96,0.98
44.33,-0.99,-1.89,-0.98,-1.88,1.91,1.46,1.56,0.92,0.93,0.90
44.78,-0.94,-1.80,-0.96,-1.81,1.86,1.39,1.54,0.92,0.90,0.86
