frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,21.00,-3.62,21.00,-21.00,-21.04,-10.14,-24.61,-24.62,-24.62
20.20,-3.58,20.93,-3.58,20.94,-20.94,-20.98,-10.32,-24.52,-24.51,-24.52
20.40,-3.54,20.86,-3.53,20.88,-20.88,-20.91,-10.50,-24.42,-24.41,-24.41
20.61,-3.48,20.83,-3.49,20.82,-20.82,-20.84,-10.68,-24.31,-24.31,-24.31
20.81,-3.43,20.77,-3.44,20.77,-20.76,-20.77,-10.87,-24.20,-24.20,-24.21
21.02,-3.39,20.71,-3.39,20.71,-20.71,-20.70,-11.06,-24.10,-24.10,-24.10
21.23,-3.35,20.65,-3.35,20.65,-20.65,-20.62,-11.26,-24.00,-24.00,-24.00
21.44,-3.30,20.59,-3.31,20.59,-20.59,-20.55,-11.47,-23.90,-23.90,-23.90
21.66,-3.26,20.53,-3.26,20.53,-20.54,-20.47,-11.68,-23.81,-23.80,-23.79
21.87,-3.21,20.48,-3.21,20.48,-20.49,-20.39,-11.89,-23.70,-23.70,-23.69
22.09,-3.15,20.44,-3.15,20.44,-20.44,-20.31,-12.11,-23.59,-23.59,-23.59
22.31,-3.09,20.40,-3.10,20.39,-20.38,-20.23,-12.34,-23.47,-23.48,-23.49
22.54,-3.04,20.34,-3.05,20.34,-20.32,-20.15,-12.57,-23.37,-23.37,-23.38
22.76,-3.01,20.27,-3.01,20.28,-20.27,-20.07,-12.81,-23.28,-23.27,-23.28
22.99,-2.96,20.22,-2.97,20.21,-20.21,-19.98,-13.06,-23.17,-23.17,-23.18
23.22,-2.93,20.14,-2.94,20.14,-20.14,-19.90,-13.31,-23.07,-23.08,-23.07
23.45,-2.90,20.07,-2.90,20.07,-20.07,-19.81,-13.57,-22.98,-22.98,-22.97
23.69,-2.87,20.00,-2.87,20.00,-20.00,-19.72,-13.84,-22.88,-22.87,-22.87
23.92,-2.83,19.93,-2.83,19.93,-19.93,-19.63,-14.12,-22.77,-22.76,-22.76
24.16,-2.78,19.87,-2.79,19.86,-19.87,-19.54,-14.41,-22.65,-22.66,-22.65
24.40,-2.75,19.80,-2.75,19.80,-19.80,-19.45,-14.71,-22.55,-22.56,-22.55
24.65,-2.72,19.73,-2.72,19.73,-19.74,-19.35,-15.02,-22.46,-22.46,-22.46
24.89,-2.67,19.67,-2.68,19.67,-19.68,-19.26,-15.33,-22.35,-22.35,-22.34
25.14,-2.63,19.61,-2.63,19.62,-19.62,-19.16,-15.67,-22.25,-22.24,-22.24
25.39,-2.57,19.56,-2.58,19.56,-19.56,-19.06,-16.01,-22.13,-22.14,-22.13
25.65,-2.52,19.51,-2.53,19.50,-19.50,-18.96,-16.36,-22.03,-22.04,-22.04
25.91,-2.50,19.43,-2.49,19.44,-19.45,-18.86,-16.74,-21.95,-21.94,-21.94
26.16,-2.46,19.37,-2.47,19.37,-19.38,-18.76,-17.12,-21.85,-21.85,-21.84
26.43,-2.43,19.30,-2.44,19.30,-19.31,-18.65,-17.52,-21.74,-21.75,-21.73
26.69,-2.42,19.22,-2.41,19.24,-19.22,-18.55,-17.94,-21.65,-21.64,-21.65
26.96,-2.37,19.18,-2.39,19.16,-19.12,-18.44,-18.37,-21.50,-21.51,-21.55
