frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,1.90,-3.62,1.91,-1.93,-1.22,-0.36,-5.54,-5.55,-5.52
20.20,-3.58,1.90,-3.58,1.90,-1.90,-1.20,-0.37,-5.48,-5.47,-5.49
20.40,-3.54,1.88,-3.53,1.88,-1.87,-1.17,-0.38,-5.41,-5.40,-5.43
20.61,-3.48,1.85,-3.49,1.85,-1.84,-1.14,-0.39,-5.32,-5.33,-5.33
20.81,-3.43,1.83,-3.44,1.82,-1.81,-1.11,-0.40,-5.24,-5.25,-5.27
21.02,-3.39,1.77,-3.39,1.78,-1.78,-1.08,-0.42,-5.17,-5.17,-5.16
21.23,-3.35,1.75,-3.35,1.74,-1.75,-1.04,-0.43,-5.10,-5.10,-5.10
21.44,-3.30,1.71,-3.31,1.70,-1.72,-1.00,-0.44,-5.02,-5.03,-5.01
21.66,-3.26,1.68,-3.26,1.68,-1.69,-0.96,-0.46,-4.95,-4.95,-4.94
21.87,-3.21,1.65,-3.21,1.65,-1.66,-0.92,-0.47,-4.87,-4.87,-4.86
22.09,-3.15,1.63,-3.15,1.63,-1.63,-0.88,-0.48,-4.78,-4.78,-4.78
22.31,-3.09,1.63,-3.10,1.61,-1.60,-0.84,-0.50,-4.69,-4.70,-4.72
22.54,-3.04,1.58,-3.05,1.58,-1.57,-0.80,-0.51,-4.62,-4.62,-4.62
22.76,-3.01,1.54,-3.01,1.55,-1.54,-0.77,-0.53,-4.55,-4.54,-4.55
22.99,-2.96,1.52,-2.97,1.51,-1.50,-0.73,-0.55,-4.47,-4.47,-4.48
23.22,-2.93,1.46,-2.94,1.46,-1.46,-0.69,-0.56,-4.40,-4.40,-4.39
23.45,-2.90,1.43,-2.90,1.42,-1.42,-0.66,-0.58,-4.33,-4.33,-4.33
23.69,-2.87,1.36,-2.87,1.38,-1.38,-0.63,-0.60,-4.25,-4.25,-4.23
23.92,-2.83,1.34,-2.83,1.34,-1.34,-0.59,-0.61,-4.17,-4.17,-4.17
24.16,-2.78,1.31,-2.79,1.30,-1.30,-0.56,-0.63,-4.08,-4.09,-4.09
24.40,-2.75,1.25,-2.75,1.27,-1.26,-0.54,-0.65,-4.02,-4.02,-4.00
24.65,-2.72,1.23,-2.72,1.22,-1.23,-0.51,-0.67,-3.95,-3.95,-3.95
24.89,-2.67,1.19,-2.68,1.18,-1.20,-0.48,-0.68,-3.87,-3.87,-3.86
25.14,-2.63,1.14,-2.63,1.16,-1.16,-0.46,-0.70,-3.80,-3.79,-3.77
25.39,-2.57,1.14,-2.58,1.13,-1.13,-0.43,-0.72,-3.71,-3.71,-3.71
25.65,-2.52,1.12,-2.53,1.10,-1.10,-0.41,-0.74,-3.62,-3.63,-3.65
25.91,-2.50,1.05,-2.49,1.07,-1.06,-0.39,-0.75,-3.57,-3.56,-3.56
26.16,-2.46,1.03,-2.47,1.03,-1.03,-0.37,-0.77,-3.49,-3.49,-3.50
26.43,-2.43,0.99,-2.44,0.99,-0.99,-0.35,-0.79,-3.42,-3.42,-3.43
26.69,-2.42,0.93,-2.41,0.94,-0.94,-0.34,-0.81,-3.36,-3.35,-3.36
26.96,-2.37,0.91,-2.39,0.90,-0.89,-0.32,-0.82,-3.27,-3.28,-3.28
27.23,-2.37,0.84,-2.37,0.84,-0.85,-0.30,-0.84,-3.22,-3.21,-3.21
27.50,-2.33,0.81,-2.34,0.79,-0.80,-0.29,-0.85,-3.13,-3.14,-3.14
