frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,11.71,-3.62,11.71,-11.75,-9.50,-3.19,-15.36,-15.37,-15.32
20.20,-3.58,11.65,-3.58,11.65,-11.65,-9.74,-3.27,-15.23,-15.23,-15.23
20.40,-3.54,11.58,-3.53,11.57,-11.55,-9.98,-3.36,-15.09,-15.08,-15.12
20.61,-3.48,11.48,-3.49,11.48,-11.45,-10.20,-3.46,-14.93,-14.94,-14.97
20.81,-3.43,11.36,-3.44,11.36,-11.34,-10.40,-3.55,-14.77,-14.78,-14.79
21.02,-3.39,11.24,-3.39,11.24,-11.23,-10.59,-3.65,-14.63,-14.62,-14.63
21.23,-3.35,11.11,-3.35,11.12,-11.12,-10.75,-3.75,-14.47,-14.47,-14.46
21.44,-3.30,11.00,-3.31,10.99,-11.00,-10.89,-3.86,-14.31,-14.31,-14.30
21.66,-3.26,10.87,-3.26,10.87,-10.88,-11.00,-3.97,-14.14,-14.14,-14.14
21.87,-3.21,10.73,-3.21,10.74,-10.75,-11.08,-4.08,-13.97,-13.96,-13.94
22.09,-3.15,10.63,-3.15,10.62,-10.63,-11.13,-4.19,-13.78,-13.78,-13.78
22.31,-3.09,10.50,-3.10,10.50,-10.50,-11.15,-4.31,-13.59,-13.60,-13.59
22.54,-3.04,10.39,-3.05,10.38,-10.37,-11.13,-4.43,-13.41,-13.42,-13.44
22.76,-3.01,10.23,-3.01,10.25,-10.24,-11.08,-4.55,-13.25,-13.24,-13.24
22.99,-2.96,10.11,-2.97,10.11,-10.10,-10.99,-4.68,-13.07,-13.07,-13.08
23.22,-2.93,9.97,-2.94,9.96,-9.96,-10.88,-4.81,-12.90,-12.90,-12.91
23.45,-2.90,9.80,-2.90,9.82,-9.82,-10.74,-4.94,-12.73,-12.73,-12.71
23.69,-2.87,9.69,-2.87,9.68,-9.68,-10.58,-5.07,-12.56,-12.55,-12.56
23.92,-2.83,9.53,-2.83,9.54,-9.54,-10.41,-5.21,-12.38,-12.37,-12.37
24.16,-2.78,9.41,-2.79,9.41,-9.41,-10.21,-5.35,-12.19,-12.20,-12.20
24.40,-2.75,9.27,-2.75,9.27,-9.27,-10.01,-5.49,-12.03,-12.03,-12.03
24.65,-2.72,9.13,-2.72,9.13,-9.14,-9.79,-5.64,-11.86,-11.86,-11.85
24.89,-2.67,9.00,-2.68,9.00,-9.01,-9.57,-5.79,-11.68,-11.68,-11.68
25.14,-2.63,8.86,-2.63,8.88,-8.87,-9.35,-5.94,-11.51,-11.50,-11.50
25.39,-2.57,8.75,-2.58,8.75,-8.74,-9.12,-6.09,-11.31,-11.32,-11.33
25.65,-2.52,8.63,-2.53,8.61,-8.60,-8.90,-6.24,-11.13,-11.14,-11.15
25.91,-2.50,8.46,-2.49,8.47,-8.47,-8.67,-6.39,-10.97,-10.96,-10.97
26.16,-2.46,8.32,-2.47,8.32,-8.33,-8.45,-6.54,-10.79,-10.79,-10.78
26.43,-2.43,8.18,-2.44,8.17,-8.18,-8.24,-6.69,-10.62,-10.62,-10.62
26.69,-2.42,8.02,-2.41,8.03,-8.03,-8.03,-6.84,-10.46,-10.44,-10.44
26.96,-2.37,7.90,-2.39,7.89,-7.88,-7.83,-6.99,-10.25,-10.26,-10.28
27.23,-2.37,7.73,-2.37,7.74,-7.72,-7.63,-7.13,-10.10,-10.09,-10.11
27.50,-2.33,7.58,-2.34,7.58,-7.57,-7.44,-7.27,-9.90,-9.91,-9.92
27.77,-2.33,7.40,-2.33,7.40,-7.41,-7.25,-7.40,-9.74,-9.74,-9.73
28.05,-2.29,7.24,-2.30,7.24,-7.25,-7.07,-7.53,-9.55,-9.56,-9.54
