frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,17.78,-3.62,17.77,-17.77,-17.45,-7.17,-21.38,-21.39,-21.39
20.20,-3.58,17.70,-3.58,17.70,-17.70,-17.44,-7.32,-21.28,-21.28,-21.28
20.40,-3.54,17.63,-3.53,17.64,-17.64,-17.42,-7.48,-21.18,-21.17,-21.17
20.61,-3.48,17.58,-3.49,17.57,-17.57,-17.40,-7.64,-21.06,-21.06,-21.06
20.81,-3.43,17.52,-3.44,17.51,-17.51,-17.38,-7.80,-20.94,-20.95,-20.95
21.02,-3.39,17.45,-3.39,17.45,-17.45,-17.34,-7.97,-20.84,-20.84,-20.84
21.23,-3.35,17.38,-3.35,17.38,-17.38,-17.30,-8.15,-20.74,-20.73,-20.73
21.44,-3.30,17.32,-3.31,17.31,-17.32,-17.26,-8.32,-20.63,-20.63,-20.62
21.66,-3.26,17.25,-3.26,17.25,-17.27,-17.20,-8.50,-20.54,-20.53,-20.51
21.87,-3.21,17.19,-3.21,17.19,-17.22,-17.14,-8.69,-20.43,-20.43,-20.40
22.09,-3.15,17.15,-3.15,17.15,-17.16,-17.08,-8.88,-20.32,-20.32,-20.30
22.31,-3.09,17.10,-3.10,17.10,-17.10,-17.01,-9.08,-20.19,-20.20,-20.19
22.54,-3.04,17.06,-3.05,17.05,-17.03,-16.93,-9.28,-20.07,-20.07,-20.10
22.76,-3.01,16.98,-3.01,16.98,-16.94,-16.85,-9.49,-19.95,-19.94,-19.99
22.99,-2.96,16.89,-2.97,16.87,-16.84,-16.77,-9.70,-19.80,-19.80,-19.85
23.22,-2.93,16.73,-2.94,16.73,-16.72,-16.67,-9.92,-19.65,-19.65,-19.66
23.45,-2.90,16.58,-2.90,16.58,-16.59,-16.58,-10.15,-19.49,-19.49,-19.48
23.69,-2.87,16.41,-2.87,16.42,-16.44,-16.48,-10.38,-19.31,-19.31,-19.29
23.92,-2.83,16.27,-2.83,16.27,-16.29,-16.37,-10.62,-19.12,-19.12,-19.10
24.16,-2.78,16.14,-2.79,16.12,-16.13,-16.26,-10.87,-18.92,-18.93,-18.92
24.40,-2.75,15.96,-2.75,15.98,-15.98,-16.15,-11.13,-18.74,-18.74,-18.71
24.65,-2.72,15.83,-2.72,15.83,-15.84,-16.03,-11.39,-18.56,-18.55,-18.56
24.89,-2.67,15.70,-2.68,15.68,-15.70,-15.91,-11.66,-18.37,-18.37,-18.37
25.14,-2.63,15.54,-2.63,15.55,-15.56,-15.79,-11.93,-18.19,-18.18,-18.17
25.39,-2.57,15.41,-2.58,15.42,-15.42,-15.66,-12.22,-18.00,-18.00,-17.98
