frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,17.46,-3.62,17.46,-17.40,-17.27,-7.04,-21.02,-21.02,-21.08
20.20,-3.58,17.43,-3.58,17.44,-17.43,-17.19,-7.19,-21.01,-21.01,-21.02
20.40,-3.54,17.43,-3.53,17.43,-17.45,-17.10,-7.35,-20.99,-20.98,-20.97
20.61,-3.48,17.43,-3.49,17.42,-17.46,-17.00,-7.50,-20.94,-20.94,-20.91
20.81,-3.43,17.43,-3.44,17.43,-17.45,-16.91,-7.67,-20.89,-20.89,-20.86
21.02,-3.39,17.42,-3.39,17.41,-17.44,-16.82,-7.83,-20.83,-20.83,-20.81
21.23,-3.35,17.40,-3.35,17.39,-17.42,-16.73,-8.00,-20.77,-20.77,-20.75
21.44,-3.30,17.35,-3.31,17.35,-17.39,-16.63,-8.17,-20.69,-20.70,-20.65
21.66,-3.26,17.32,-3.26,17.33,-17.37,-16.54,-8.35,-20.63,-20.63,-20.58
21.87,-3.21,17.31,-3.21,17.32,-17.33,-16.44,-8.54,-20.54,-20.54,-20.52
22.09,-3.15,17.31,-3.15,17.30,-17.27,-16.34,-8.72,-20.42,-20.42,-20.46
22.31,-3.09,17.27,-3.10,17.25,-17.18,-16.24,-8.92,-20.27,-20.28,-20.36
22.54,-3.04,17.14,-3.05,17.14,-17.07,-16.14,-9.11,-20.12,-20.12,-20.18
22.76,-3.01,16.98,-3.01,16.98,-16.94,-16.04,-9.32,-19.96,-19.95,-19.99
22.99,-2.96,16.79,-2.97,16.79,-16.80,-15.94,-9.53,-19.76,-19.77,-19.75
23.22,-2.93,16.60,-2.94,16.59,-16.64,-15.84,-9.74,-19.57,-19.57,-19.53
23.45,-2.90,16.40,-2.90,16.41,-16.47,-15.74,-9.96,-19.37,-19.37,-19.30
23.69,-2.87,16.25,-2.87,16.26,-16.29,-15.63,-10.18,-19.16,-19.16,-19.13
23.92,-2.83,16.12,-2.83,16.11,-16.12,-15.53,-10.42,-18.95,-18.95,-18.95
24.16,-2.78,15.98,-2.79,15.97,-15.95,-15.42,-10.65,-18.74,-18.74,-18.76
24.40,-2.75,15.81,-2.75,15.82,-15.79,-15.31,-10.90,-18.55,-18.55,-18.56
