frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,0.82,-3.62,0.81,-0.83,-0.23,-0.34,-4.45,-4.45,-4.43
20.20,-3.58,0.82,-3.58,0.83,-0.83,-0.23,-0.35,-4.41,-4.40,-4.40
20.40,-3.54,0.84,-3.53,0.83,-0.82,-0.24,-0.36,-4.36,-4.35,-4.38
20.61,-3.48,0.85,-3.49,0.83,-0.81,-0.24,-0.37,-4.30,-4.30,-4.33
20.81,-3.43,0.82,-3.44,0.82,-0.81,-0.25,-0.39,-4.24,-4.25,-4.25
21.02,-3.39,0.80,-3.39,0.81,-0.81,-0.25,-0.40,-4.20,-4.20,-4.19
21.23,-3.35,0.80,-3.35,0.79,-0.80,-0.26,-0.41,-4.16,-4.15,-4.15
21.44,-3.30,0.79,-3.31,0.79,-0.80,-0.26,-0.43,-4.11,-4.11,-4.09
21.66,-3.26,0.79,-3.26,0.79,-0.80,-0.26,-0.44,-4.06,-4.06,-4.05
21.87,-3.21,0.79,-3.21,0.79,-0.80,-0.27,-0.46,-4.01,-4.01,-4.00
22.09,-3.15,0.80,-3.15,0.80,-0.80,-0.27,-0.47,-3.95,-3.95,-3.95
22.31,-3.09,0.82,-3.10,0.81,-0.80,-0.28,-0.49,-3.89,-3.90,-3.91
22.54,-3.04,0.82,-3.05,0.82,-0.80,-0.28,-0.51,-3.85,-3.85,-3.86
22.76,-3.01,0.80,-3.01,0.81,-0.80,-0.29,-0.52,-3.82,-3.81,-3.81
22.99,-2.96,0.81,-2.97,0.80,-0.80,-0.29,-0.54,-3.77,-3.77,-3.77
23.22,-2.93,0.79,-2.94,0.80,-0.80,-0.30,-0.56,-3.73,-3.73,-3.72
23.45,-2.90,0.79,-2.90,0.79,-0.79,-0.30,-0.58,-3.70,-3.70,-3.69
23.69,-2.87,0.79,-2.87,0.78,-0.79,-0.31,-0.59,-3.66,-3.66,-3.67
23.92,-2.83,0.77,-2.83,0.79,-0.79,-0.31,-0.61,-3.62,-3.62,-3.61
24.16,-2.78,0.79,-2.79,0.79,-0.79,-0.32,-0.63,-3.57,-3.58,-3.58
24.40,-2.75,0.79,-2.75,0.79,-0.79,-0.32,-0.65,-3.54,-3.54,-3.55
24.65,-2.72,0.78,-2.72,0.79,-0.80,-0.33,-0.67,-3.52,-3.51,-3.51
24.89,-2.67,0.79,-2.68,0.79,-0.80,-0.34,-0.69,-3.48,-3.48,-3.47
25.14,-2.63,0.79,-2.63,0.81,-0.81,-0.34,-0.71,-3.44,-3.44,-3.43
25.39,-2.57,0.82,-2.58,0.82,-0.81,-0.35,-0.73,-3.39,-3.39,-3.40
