frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.61,9.76,-3.62,9.76,-9.83,-7.68,-2.33,-13.44,-13.45,-13.38
20.20,-3.58,9.74,-3.58,9.75,-9.77,-7.95,-2.40,-13.35,-13.35,-13.33
20.40,-3.54,9.72,-3.53,9.73,-9.70,-8.21,-2.47,-13.25,-13.24,-13.27
20.61,-3.48,9.69,-3.49,9.68,-9.63,-8.47,-2.54,-13.11,-13.12,-13.17
20.81,-3.43,9.61,-3.44,9.61,-9.55,-8.72,-2.62,-12.98,-12.99,-13.05
21.02,-3.39,9.49,-3.39,9.51,-9.46,-8.97,-2.69,-12.86,-12.85,-12.89
21.23,-3.35,9.40,-3.35,9.39,-9.37,-9.20,-2.77,-12.72,-12.72,-12.75
21.44,-3.30,9.25,-3.31,9.25,-9.27,-9.42,-2.85,-12.57,-12.58,-12.56
21.66,-3.26,9.12,-3.26,9.12,-9.15,-9.61,-2.94,-12.41,-12.41,-12.38
21.87,-3.21,8.97,-3.21,8.99,-9.02,-9.78,-3.02,-12.24,-12.23,-12.19
22.09,-3.15,8.89,-3.15,8.88,-8.90,-9.92,-3.11,-12.05,-12.05,-12.04
22.31,-3.09,8.77,-3.10,8.77,-8.78,-10.03,-3.20,-11.87,-11.87,-11.87
22.54,-3.04,8.66,-3.05,8.65,-8.65,-10.10,-3.30,-11.69,-11.70,-11.70
22.76,-3.01,8.52,-3.01,8.54,-8.51,-10.12,-3.39,-11.53,-11.52,-11.53
22.99,-2.96,8.41,-2.97,8.40,-8.37,-10.11,-3.49,-11.34,-11.34,-11.37
23.22,-2.93,8.27,-2.94,8.25,-8.22,-10.06,-3.59,-11.16,-11.16,-11.20
23.45,-2.90,8.07,-2.90,8.09,-8.06,-9.97,-3.69,-10.97,-10.97,-10.97
23.69,-2.87,7.91,-2.87,7.90,-7.90,-9.84,-3.80,-10.77,-10.77,-10.79
23.92,-2.83,7.72,-2.83,7.72,-7.74,-9.68,-3.91,-10.57,-10.57,-10.55
24.16,-2.78,7.55,-2.79,7.55,-7.58,-9.49,-4.01,-10.36,-10.37,-10.33
24.40,-2.75,7.39,-2.75,7.40,-7.43,-9.28,-4.13,-10.19,-10.19,-10.14
24.65,-2.72,7.27,-2.72,7.27,-7.30,-9.05,-4.24,-10.02,-10.01,-10.00
24.89,-2.67,7.15,-2.68,7.15,-7.17,-8.80,-4.35,-9.84,-9.85,-9.82
25.14,-2.63,7.05,-2.63,7.06,-7.05,-8.54,-4.47,-9.68,-9.67,-9.68
25.39,-2.57,6.96,-2.58,6.95,-6.93,-8.28,-4.58,-9.51,-9.51,-9.53
25.65,-2.52,6.85,-2.53,6.84,-6.82,-8.02,-4.70,-9.34,-9.35,-9.38
25.91,-2.50,6.72,-2.49,6.72,-6.70,-7.75,-4.81,-9.21,-9.19,-9.22
26.16,-2.46,6.57,-2.47,6.57,-6.58,-7.48,-4.93,-9.04,-9.04,-9.03
26.43,-2.43,6.44,-2.44,6.44,-6.44,-7.22,-5.04,-8.88,-8.88,-8.87
26.69,-2.42,6.28,-2.41,6.29,-6.30,-6.96,-5.16,-8.72,-8.71,-8.71
26.96,-2.37,6.17,-2.39,6.15,-6.14,-6.70,-5.27,-8.52,-8.53,-8.54
27.23,-2.37,5.99,-2.37,5.99,-5.99,-6.45,-5.38,-8.36,-8.35,-8.36
27.50,-2.33,5.84,-2.34,5.83,-5.82,-6.21,-5.48,-8.16,-8.16,-8.17
27.77,-2.33,5.65,-2.33,5.66,-5.66,-5.97,-5.58,-7.99,-7.98,-7.98
28.05,-2.29,5.51,-2.30,5.49,-5.49,-5.74,-5.68,-7.79,-7.79,-7.80
28.33,-2.28,5.31,-2.28,5.32,-5.33,-5.52,-5.77,-7.61,-7.60,-7.59
28.62,-2.24,5.17,-2.24,5.16,-5.16,-5.31,-5.85,-7.41,-7.41,-7.42
28.90,-2.20,5.00,-2.21,5.00,-5.01,-5.10,-5.92,-7.21,-7.22,-7.20
29.19,-2.18,4.85,-2.18,4.85,-4.86,-4.90,-5.99,-7.05,-7.04,-7.04
29.48,-2.14,4.71,-2.14,4.71,-4.73,-4.71,-6.04,-6.87,-6.87,-6.86
29.78,-2.09,4.58,-2.10,4.59,-4.60,-4.52,-6.09,-6.69,-6.70,-6.68
30.08,-2.05,4.47,-2.05,4.47,-4.48,-4.34,-6.13,-6.54,-6.53,-6.52
30.38,-2.00,4.37,-2.01,4.36,-4.37,-4.17,-6.15,-6.37,-6.37,-6.37
30.68,-1.96,4.25,-1.96,4.25,-4.25,-4.00,-6.16,-6.21,-6.21,-6.21
30.99,-1.91,4.15,-1.92,4.15,-4.13,-3.84,-6.16,-6.05,-6.05,-6.06
31.30,-1.87,4.03,-1.87,4.03,-4.01,-3.69,-6.15,-5.88,-5.88,-5.91
31.61,-1.83,3.91,-1.83,3.91,-3.88,-3.54,-6.12,-5.72,-5.72,-5.74
31.93,-1.80,3.77,-1.81,3.76,-3.75,-3.40,-6.08,-5.55,-5.55,-5.58
32.24,-1.77,3.60,-1.78,3.60,-3.61,-3.26,-6.03,-5.38,-5.39,-5.37
32.57,-1.76,3.44,-1.75,3.45,-3.46,-3.13,-5.97,-5.22,-5.21,-5.20
32.89,-1.72,3.31,-1.72,3.30,-3.31,-3.00,-5.90,-5.04,-5.04,-5.03
33.22,-1.68,3.18,-1.69,3.17,-3.17,-2.87,-5.81,-4.86,-4.86,-4.86
33.55,-1.65,3.03,-1.66,3.03,-3.03,-2.75,-5.71,-4.69,-4.70,-4.68
33.89,-1.64,2.89,-1.64,2.89,-2.90,-2.64,-5.61,-4.55,-4.55,-4.53
34.23,-1.64,2.74,-1.63,2.77,-2.78,-2.53,-5.50,-4.42,-4.40,-4.39
34.57,-1.59,2.67,-1.60,2.65,-2.66,-2.42,-5.37,-4.25,-4.26,-4.27
34.92,-1.57,2.55,-1.58,2.54,-2.54,-2.31,-5.25,-4.12,-4.12,-4.12
35.27,-1.54,2.43,-1.54,2.44,-2.43,-2.21,-5.11,-3.97,-3.97,-3.97
35.62,-1.51,2.32,-1.51,2.32,-2.31,-2.11,-4.97,-3.82,-3.82,-3.83
35.97,-1.46,2.21,-1.47,2.21,-2.20,-2.02,-4.83,-3.66,-3.67,-3.67
36.33,-1.43,2.09,-1.44,2.09,-2.08,-1.93,-4.68,-3.51,-3.52,-3.53
36.70,-1.42,1.97,-1.41,1.97,-1.97,-1.84,-4.52,-3.39,-3.38,-3.39
37.06,-1.38,1.84,-1.39,1.85,-1.86,-1.75,-4.37,-3.24,-3.25,-3.22
37.43,-1.36,1.74,-1.36,1.73,-1.75,-1.66,-4.21,-3.11,-3.11,-3.10
37.81,-1.33,1.63,-1.33,1.64,-1.64,-1.58,-4.05,-2.98,-2.98,-2.97
38.19,-1.30,1.54,-1.31,1.54,-1.55,-1.50,-3.90,-2.85,-2.85,-2.84
38.57,-1.27,1.46,-1.28,1.45,-1.45,-1.42,-3.74,-2.73,-2.73,-2.73
38.95,-1.25,1.36,-1.25,1.37,-1.36,-1.34,-3.57,-2.62,-2.61,-2.61
39.34,-1.22,1.28,-1.23,1.28,-1.28,-1.27,-3.41,-2.50,-2.51,-2.51
39.74,-1.20,1.20,-1.21,1.20,-1.20,-1.19,-3.25,-2.40,-2.41,-2.40
40.14,-1.20,1.11,-1.19,1.12,-1.11,-1.12,-3.09,-2.32,-2.30,-2.32
40.54,-1.16,1.05,-1.18,1.03,-1.03,-1.05,-2.93,-2.19,-2.21,-2.21
40.94,-1.16,0.94,-1.16,0.95,-0.95,-0.98,-2.78,-2.11,-2.11,-2.10
41.35,-1.15,0.86,-1.15,0.87,-0.86,-0.91,-2.62,-2.01,-2.01,-2.02
41.76,-1.12,0.80,-1.13,0.78,-0.78,-0.84,-2.46,-1.90,-1.91,-1.93
42.18,-1.12,0.69,-1.12,0.70,-0.70,-0.78,-2.31,-1.82,-1.81,-1.81
42.60,-1.09,0.61,-1.10,0.61,-0.62,-0.71,-2.15,-1.71,-1.72,-1.71
43.03,-1.07,0.53,-1.07,0.53,-0.55,-0.65,-2.00,-1.62,-1.62,-1.60
43.46,-1.04,0.44,-1.04,0.46,-0.48,-0.58,-1.85,-1.53,-1.52,-1.49
43.90,-0.99,0.44,-1.01,0.40,-0.42,-0.52,-1.70,-1.41,-1.42,-1.43
44.33,-0.99,0.33,-0.98,0.36,-0.35,-0.46,-1.55,-1.35,-1.33,-1.32
44.78,-0.94,0.32,-0.96,0.31,-0.29,-0.39,-1.40,-1.23,-1.25,-1.26
45.23,-0.94,0.25,-0.94,0.23,-0.22,-0.33,-1.25,-1.16,-1.16,-1.20
45.68,-0.94,0.15,-0.93,0.16,-0.15,-0.27,-1.11,-1.09,-1.07,-1.09
46.13,-0.90,0.07,-0.92,0.08,-0.07,-0.21,-0.96,-0.97,-0.99,-0.98
46.60,-0.90,-0.00,-0.91,-0.01,0.01,-0.15,-0.82,-0.89,-0.90,-0.90
47.06,-0.90,-0.10,-0.90,-0.10,0.09,-0.08,-0.68,-0.81,-0.81,-0.81
47.53,-0.90,-0.21,-0.90,-0.20,0.18,-0.02,-0.54,-0.72,-0.72,-0.69
48.01,-0.90,-0.27,-0.90,-0.28,0.27,0.04,-0.40,-0.64,-0.63,-0.63
48.49,-0.90,-0.37,-0.90,-0.36,0.35,0.10,-0.26,-0.55,-0.55,-0.54
48.97,-0.90,-0.42,-0.91,-0.43,0.44,0.16,-0.12,-0.46,-0.47,-0.48
49.46,-0.93,-0.51,-0.93,-0.52,0.53,0.22,0.01,-0.40,-0.40,-0.42
49.96,-0.96,-0.62,-0.96,-0.60,0.62,0.28,0.15,-0.34,-0.34,-0.35
50.46,-0.99,-0.70,-1.00,-0.70,0.71,0.34,0.28,-0.28,-0.29,-0.30
50.96,-1.03,-0.79,-1.03,-0.80,0.80,0.40,0.41,-0.24,-0.23,-0.24
51.47,-1.07,-0.89,-1.07,-0.89,0.89,0.46,0.53,-0.19,-0.18,-0.18
51.99,-1.10,-0.99,-1.11,-0.98,0.97,0.52,0.66,-0.13,-0.14,-0.11
52.51,-1.14,-1.06,-1.14,-1.06,1.05,0.58,0.78,-0.10,-0.10,-0.08
53.03,-1.18,-1.11,-1.19,-1.12,1.12,0.63,0.90,-0.07,-0.07,-0.08
53.56,-1.24,-1.19,-1.24,-1.18,1.18,0.69,1.02,-0.06,-0.06,-0.06
54.10,-1.30,-1.23,-1.30,-1.22,1.23,0.75,1.13,-0.07,-0.06,-0.08
54.64,-1.34,-1.27,-1.35,-1.27,1.27,0.81,1.24,-0.07,-0.07,-0.08
55.18,-1.38,-1.31,-1.39,-1.31,1.30,0.86,1.35,-0.08,-0.08,-0.08
55.74,-1.42,-1.34,-1.41,-1.33,1.32,0.92,1.45,-0.10,-0.08,-0.08
56.29,-1.42,-1.34,-1.43,-1.35,1.33,0.97,1.55,-0.09,-0.09,-0.08
56.86,-1.42,-1.34,-1.44,-1.35,1.33,1.03,1.64,-0.09,-0.11,-0.08
57.42,-1.46,-1.33,-1.45,-1.33,1.33,1.08,1.73,-0.14,-0.12,-0.13
58.00,-1.46,-1.32,-1.46,-1.31,1.31,1.13,1.81,-0.15,-0.15,-0.15
58.58,-1.46,-1.29,-1.47,-1.29,1.30,1.18,1.89,-0.17,-0.17,-0.18
59.16,-1.46,-1.27,-1.46,-1.27,1.28,1.22,1.96,-0.19,-0.19,-0.19
59.76,-1.46,-1.25,-1.46,-1.25,1.26,1.26,2.02,-0.20,-0.20,-0.22
60.35,-1.46,-1.24,-1.46,-1.24,1.25,1.31,2.07,-0.21,-0.21,-0.22
60.96,-1.46,-1.24,-1.46,-1.24,1.25,1.34,2.12,-0.22,-0.22,-0.22
61.57,-1.46,-1.24,-1.46,-1.24,1.25,1.38,2.16,-0.22,-0.21,-0.22
62.18,-1.46,-1.25,-1.46,-1.25,1.26,1.41,2.20,-0.21,-0.21,-0.21
62.80,-1.46,-1.24,-1.48,-1.27,1.27,1.44,2.22,-0.19,-0.21,-0.22
